RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Black,-22.189175300500747,C,A,-30.178932008313534,A,-8.0374845578642,0
Other,-90.01944065959619,B,C,18.59261053922976,A,24.323483743547662,0
White,3.9917450900044478,D,E,-46.92110351919989,E,51.83270834525855,1
Other,-7.946735325430505,C,E,-63.56981682592887,D,-60.7692905191349,1
White,-96.75551881527367,D,D,17.326009890191855,C,115.29927273611452,1
Black,-224.59558503059625,A,E,-7.040861505953323,D,-16.951815045971657,0
White,-62.93201856848385,E,C,-55.91505343601861,D,-301.7025841178815,1
Other,2.4897502043155892,B,C,64.88784017968159,D,6.683511079270323,0
White,-3.727122314583986,B,D,-18.42939705760536,B,-6.273507893509185,1
Asian,150.12879903240807,C,D,-64.6731499724699,D,16.34473778898964,0
Asian,25.529704216038574,A,B,84.59142659673982,B,-65.04590360808237,1
Other,-20.404960968363824,A,B,-12.22144635088089,D,-88.21797682967055,1
Hispanic,-0.21834315125055667,B,D,64.73993276994143,B,-57.31995442125349,1
Asian,133.98750822653386,B,A,15.546401588169664,B,-174.47391498256388,1
African American,9.32143022292534,D,B,-137.04868802521165,B,102.74323758033105,0
Hispanic,58.51998235713517,B,E,91.79935936455081,C,-40.17619515973952,1
White,-202.75656040659342,A,D,115.8971073234095,B,204.32295245227948,0
Other,10.220535724289794,C,A,-36.706002425136035,C,-184.7402873225894,1
White,-35.588308221907894,C,A,20.528945054410038,A,-202.92843529023997,0
White,162.76929125324662,B,A,-4.290003684849482,B,-3.2782933388044513,0
Black,14.743204084770166,A,B,53.31056167213466,E,-40.00624545026862,1
Hispanic,174.72718429660623,A,B,89.70978014491413,E,16.63174317651008,1
White,-68.48776488892948,C,E,-93.3371698782146,B,0.8523711983273764,1
Asian,141.2030165356733,A,A,-26.56651130524117,A,-87.50868173385352,1
Hispanic,-137.28463214986658,C,B,88.85195021607318,B,5.011705709335897,1
Asian,45.044410719244084,C,D,-13.075969529222759,A,106.85235765308309,1
African American,-59.497920883595256,E,C,191.29395500925074,A,92.17301302611605,0
Asian,-34.16179092852924,C,C,66.4645821077202,B,-59.90417622274372,0
Black,143.37432749904755,D,B,55.49328836492015,B,28.157668170764133,1
Black,98.25863469070168,C,C,98.69023004183816,D,-39.32821922424806,0
White,153.84637628129406,D,A,-91.35771149853437,D,153.25845843498544,1
Hispanic,-0.5537805978056655,B,D,9.087680517367993,C,79.03605845823934,1
Hispanic,113.17061119348384,C,D,-253.3515661091035,A,-44.787506406823866,0
