faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
None,-44.02618756941889,E,E,B,D,A,C,C,C,C,98.47344350084293,B,C,0
None,-10.38852472774344,A,E,B,D,C,D,E,B,C,13.421149447096282,D,C,0
Jewish,-139.37426981776886,C,C,E,D,E,B,D,D,D,-38.98401807360209,A,D,1
None,3.677377173732678,D,A,C,E,E,A,B,D,C,54.346795947993456,D,E,0
Hindu,-7.424930730975313,C,D,A,E,B,C,D,B,E,-49.72673990776268,C,E,1
Hindu,-21.996032766255734,B,A,A,C,D,E,E,A,D,-22.394923771090525,A,C,1
Muslim,188.50429091025222,D,E,D,C,A,E,B,E,D,27.720406142475262,B,C,0
Christian,264.989883199484,E,C,D,E,B,A,C,C,C,115.39467040315643,C,C,1
Muslim,180.5774339552229,E,B,E,E,B,A,E,B,C,92.0356832698587,D,D,0
Buddhist,62.63178247735841,C,B,E,D,E,D,D,E,A,-80.46533329467853,A,D,0
Muslim,209.68827831966107,C,B,C,D,E,B,B,B,D,-40.058709085503686,E,E,1
Jewish,73.78579139941402,E,E,E,B,E,A,D,E,B,-67.74998382609576,C,C,0
Hindu,-40.15639759021198,E,C,B,C,E,C,E,E,D,-95.12289894613775,A,D,0
Buddhist,165.6845469645448,C,B,D,C,E,D,A,A,C,-52.59551811915111,E,D,0
Hindu,-127.63371398909555,B,C,D,D,C,A,A,B,B,72.6091471098968,B,D,1
None,-148.97468719605519,D,D,C,C,A,E,C,E,B,89.64695822957384,B,A,1
Other,51.074031481334444,B,B,E,E,E,A,D,D,E,99.24777442880952,C,B,1
Other,87.38036584889174,E,E,D,D,C,B,D,E,D,11.927997246259103,B,B,1
Other,102.69449245542339,B,B,C,E,D,D,C,A,A,-13.07183571452349,D,E,1
Hindu,-71.18677089275248,C,D,A,D,E,B,D,D,E,82.95232755633981,E,B,1
Buddhist,-178.6707601096762,E,B,B,B,B,D,B,D,C,6.538473457590778,A,E,1
Hindu,-57.669253574506484,C,A,C,D,D,A,E,D,E,-56.04065317057193,B,B,0
Hindu,-10.9375706092893,B,D,B,C,C,A,D,A,E,-88.36351047517297,B,C,1
Hindu,-45.87304034132875,C,C,C,A,E,D,E,C,C,-14.297730131511846,A,D,0
None,33.79535068138015,A,B,C,D,E,D,A,E,D,-39.064454815142845,C,C,1
None,-92.09419114486614,A,D,B,A,B,C,D,A,E,-42.36435432151938,D,C,1
None,-28.635594292429996,C,A,E,D,A,A,C,A,A,-128.7852685306054,D,A,1
Hindu,-31.942733524868338,E,B,A,C,E,D,D,D,A,37.54287954739932,C,D,0
None,34.01866748164568,D,C,B,A,B,B,C,E,C,-85.20180197962952,C,E,1
None,171.34691763399843,E,A,C,E,A,B,C,C,E,33.94554013466994,C,C,1
Other,11.95030763818509,E,D,C,B,C,A,E,C,E,-10.966181576161778,E,C,1
None,57.038227310351495,C,A,B,D,E,C,A,B,C,-37.3515729682253,A,B,1
Muslim,111.44492565097424,D,C,B,D,C,B,E,D,E,-74.03434200543093,B,A,1
None,92.57223136633532,B,A,D,D,A,E,A,B,D,81.96551260892355,D,D,0
None,23.920551285011022,C,B,B,A,C,D,A,C,E,28.844681296682435,C,D,1
None,-5.190001034325186,C,E,E,E,A,A,A,E,D,-46.30782501112032,E,D,1
Buddhist,-41.87292716445767,D,C,D,A,D,A,E,D,C,-127.570838979534,E,C,1
Buddhist,-85.93835426094752,B,B,A,B,C,B,D,A,A,6.839173632723268,E,E,1
Christian,70.96654183633525,A,B,D,D,D,C,B,E,C,-90.55189066843083,C,D,0
Muslim,-8.511664130085677,D,B,C,E,C,D,A,A,C,26.69881014899682,E,B,1
Hindu,242.19456144498056,A,B,C,D,E,D,D,C,E,152.236870159201,C,A,1
Christian,27.896816427835514,E,E,B,C,A,B,A,B,D,28.796754003261434,E,E,1
Jewish,22.059914511186246,E,D,D,D,D,E,C,D,E,55.690826097733684,B,B,0
Hindu,21.229187891560706,A,A,B,B,B,C,E,C,D,46.8329346702963,B,B,1
Muslim,-86.52998469382672,A,B,B,A,A,E,D,A,A,82.73268484763851,E,E,0
None,-153.3794269837714,A,C,D,E,D,C,E,E,C,124.39071383943016,E,D,0
Christian,-55.12420844046254,B,C,D,D,C,D,A,E,A,12.1332281149616,E,D,1
Buddhist,113.80406117362169,D,D,C,C,E,B,D,C,D,-233.6312132624884,D,E,0
None,141.9985771575185,B,A,D,E,C,C,D,A,D,-46.05461690593422,E,C,0
Christian,-59.48869656550143,B,E,C,C,C,A,C,E,A,-117.27643422869028,D,D,0
Hindu,30.505065068190905,C,A,A,A,E,E,A,B,A,103.5129446006975,B,B,0
None,8.350860827042029,E,C,C,C,A,C,D,A,C,-35.079586184744436,C,A,0
Buddhist,-0.6447809975893262,B,A,D,C,D,E,D,A,D,132.04313234589569,C,E,1
Buddhist,78.67898667009452,A,D,D,A,C,A,C,D,B,-185.33646173512864,B,D,0
Jewish,62.148412030834066,D,D,C,B,D,C,B,C,B,-67.58752672181727,B,D,0
Muslim,30.213667056581766,B,B,C,C,A,A,E,D,E,87.28375947129146,D,D,0
Hindu,-18.247390902785245,E,B,E,B,C,E,C,D,E,-99.48501490984242,A,A,1
Christian,42.87537887715166,E,D,E,B,D,D,B,C,C,-110.17916589565102,E,C,1
Jewish,-96.90161995470189,E,A,E,B,D,A,C,C,A,9.788390107474564,E,D,0
Buddhist,-54.548134534023106,A,D,B,C,E,D,D,A,E,-104.72134921394198,D,D,1
Muslim,0.6313726064877739,D,E,B,D,A,A,E,B,D,-145.1766862642082,D,E,1
Other,34.67159472857615,E,D,B,D,E,A,A,A,B,83.22668001417877,B,B,0
Buddhist,-122.1147085652025,D,D,D,E,D,D,B,B,B,-7.870352878634527,A,C,1
Hindu,-219.6324658415831,C,D,D,A,C,B,C,A,E,-136.30990809273294,E,E,0
Muslim,-127.58701642615964,B,E,B,C,C,D,C,A,D,-56.170149926948945,E,C,0
Other,-68.58322679838686,A,B,A,C,E,A,E,D,D,-10.531852210913993,C,C,0
Muslim,81.74992961173581,B,A,D,B,B,E,C,C,E,-72.07907169265101,E,A,1
Hindu,114.84562202122414,A,B,E,D,E,D,C,A,E,14.603718262889517,D,A,1
None,62.021771014850394,A,A,E,B,D,C,B,E,E,-217.16071171170688,C,B,0
Jewish,-145.66544449980313,D,A,B,B,C,B,B,B,D,95.67049954768981,B,D,0
Hindu,48.05800326693716,C,D,C,B,C,B,A,C,E,54.24674889918565,A,B,0
Buddhist,70.67608610487243,A,B,E,C,A,E,C,A,B,150.3537500729188,E,E,1
Christian,-100.56037219648071,B,A,C,C,E,B,B,A,C,83.22012786196605,D,D,0
Jewish,-98.44118720945951,D,B,A,E,E,E,A,A,D,-40.72316297253214,D,D,0
Muslim,74.9657680743345,A,B,B,C,B,C,A,E,A,-199.30690787638426,C,B,1
Jewish,80.61660182986893,C,A,A,A,B,B,B,B,D,-65.8039693364491,C,A,1
Hindu,3.8881737754079873,B,E,E,A,A,B,C,B,A,-138.45505271288172,B,C,1
None,99.7346604560824,D,C,D,A,B,D,B,D,C,111.77487879397196,B,D,0
Christian,59.02307687223173,D,B,A,E,E,A,A,A,A,126.24157116384723,E,D,0
Hindu,96.01462615660246,D,C,D,E,E,E,A,C,C,-26.766186069532676,C,E,1
Muslim,-137.2793698009155,B,E,C,B,A,D,A,E,C,-23.77643181534514,C,C,0
Christian,97.47133287336474,E,D,C,E,C,D,D,E,B,-108.42780975655046,A,E,0
Other,-229.88938265177654,A,D,B,D,C,B,D,A,A,39.64348952098774,A,B,1
Hindu,64.86516973564679,A,E,C,A,E,A,B,D,A,-56.89663889005707,B,D,0
Hindu,217.95564971231073,C,C,E,D,A,D,C,E,D,7.975511351930989,A,D,1
Hindu,233.9013841577415,E,D,E,D,D,D,E,D,A,-0.07591235009914116,B,C,1
Muslim,192.76220692866153,A,C,B,C,A,E,D,D,A,41.21499259337296,B,B,0
Buddhist,-116.42386194632641,C,B,B,C,A,C,C,A,A,-91.56656479800883,E,E,0
Muslim,-212.53928737551558,E,B,D,D,D,D,A,C,D,66.27356592102952,A,E,1
Hindu,-85.75716368426174,D,B,A,A,E,A,B,E,B,124.25773346242018,E,A,1
Hindu,-166.79235049678977,A,D,D,E,B,C,C,C,D,38.728023363196314,E,C,0
Muslim,27.564161926309062,B,D,A,D,E,E,D,B,B,67.07507046717474,A,C,0
Jewish,-109.66764399504218,D,A,B,D,E,B,E,A,E,53.123002960311084,D,B,0
Jewish,-136.14426330106133,D,A,A,A,A,B,D,B,C,-82.93988374355108,A,E,1
Buddhist,-51.668430459437076,D,B,A,C,A,E,D,B,A,-86.23018296772807,B,E,0
Hindu,43.446534180904315,C,C,E,D,A,E,B,E,E,104.9149697897952,A,E,0
None,67.30807399427202,E,E,C,A,B,B,B,E,C,126.548788230779,B,D,0
Muslim,98.74548724968662,A,A,A,B,E,B,D,C,D,21.240493721650203,E,A,1
Hindu,-34.839956274386765,B,E,B,A,E,A,B,B,C,23.012714987216455,C,B,1
Other,38.67605678797709,C,B,D,A,B,B,A,E,C,-29.92185368577674,C,B,1
Jewish,-1.9089254816341112,D,E,D,D,C,A,D,C,D,-145.9042266621798,E,C,0
Muslim,44.99452764689122,B,A,E,A,D,B,B,E,D,-54.94219621845351,C,E,0
Hindu,9.314393980772453,D,B,C,D,E,E,B,D,B,-85.09891032968319,A,A,0
Muslim,123.99418406623586,B,A,A,D,B,C,D,D,C,-27.757528696881444,E,E,0
Christian,-85.82307257847262,D,D,E,A,A,D,D,A,E,-101.07325485043572,B,A,0
Jewish,-105.07951738286904,C,B,E,B,D,B,A,A,A,-191.95191724252524,A,B,1
None,0.4200391996243228,C,B,D,D,E,C,A,A,D,267.917811118571,C,C,0
Other,25.259044071594506,B,C,C,E,D,C,B,A,B,-27.33486425489003,C,A,0
Buddhist,13.678788916572007,A,A,E,C,A,D,B,A,D,-53.818338173619495,D,D,0
Muslim,11.402610884024108,D,E,C,D,D,A,C,D,C,-13.677702708922673,D,C,0
Buddhist,51.76557073555107,A,C,B,A,E,D,D,E,A,-83.74856053928146,A,B,1
Hindu,-64.72784785344746,B,E,A,D,C,C,A,D,A,-78.0047008029411,A,A,0
Buddhist,27.185623056084328,B,E,D,A,B,B,A,A,A,187.6253737611313,E,B,0
Christian,-86.73071670951414,B,E,E,B,E,B,E,A,D,58.24093230716342,A,A,0
Christian,86.7099364439409,D,E,C,B,C,D,D,D,E,147.81045088075183,E,E,1
Jewish,17.521331883390317,D,E,E,B,B,D,B,C,B,-17.81367927089155,C,B,0
Other,59.26752595018977,C,C,D,B,B,C,C,B,E,138.53476448164452,C,A,1
Buddhist,0.1178939355946013,D,A,D,D,B,D,B,D,B,253.11575397833064,D,D,1
Jewish,-26.447970584212975,A,C,A,C,A,B,E,B,C,-68.88022158071614,D,D,1
Christian,-5.31937940170256,B,C,C,B,B,B,C,D,C,-1.6619057929437786,B,D,0
Buddhist,-118.92299269918969,D,D,D,B,C,D,C,A,E,3.7982430007483905,D,C,1
None,-114.43995716067388,B,D,A,C,B,C,B,D,E,16.027928601756276,E,D,0
None,-34.23779581526432,D,C,E,A,B,B,D,A,B,172.26809194923982,A,B,1
Hindu,-28.16001234981999,A,A,B,C,E,B,B,E,A,-23.791446189305564,C,C,1
Hindu,93.05544328967517,A,B,E,B,A,B,C,D,D,61.27136893203806,A,A,0
Christian,124.51682507964439,E,D,B,E,A,E,E,C,A,-43.5520665044251,D,A,1
Jewish,138.8618197626309,A,D,D,E,D,B,B,E,C,75.27087074122315,C,A,0
Christian,54.90244624897878,A,D,D,C,B,E,B,D,A,-106.98332482441121,C,B,0
Muslim,12.712641633151382,D,B,C,B,C,C,E,A,D,-3.2343520602162723,B,E,1
Buddhist,-86.54255341181138,B,E,C,D,A,D,D,E,E,61.65279825260199,A,B,1
Buddhist,180.971528038259,E,A,E,B,B,C,D,B,E,20.833706243534373,D,D,1
Hindu,24.69272368511112,A,E,C,E,C,C,D,C,D,196.09590778151826,C,C,1
Christian,36.36982401296168,B,E,E,C,A,E,C,B,A,184.18178208129666,E,A,1
Other,29.99226162336251,A,D,A,C,C,C,E,E,B,127.31919200851152,A,B,0
Buddhist,-32.37385311716638,E,A,C,E,E,D,A,E,E,22.220601973545175,D,B,1
Buddhist,-110.35444085574075,A,A,E,C,D,B,A,E,A,68.92368594429519,E,D,0
Hindu,64.89174977001143,E,C,C,D,B,A,C,B,D,62.88788838884053,B,B,0
Buddhist,63.48116563431234,E,A,E,D,A,B,E,E,E,1.5638891241214876,A,A,1
Christian,26.854422840432417,C,E,C,D,D,E,A,B,E,75.2653478590522,B,A,1
None,-104.14097581432044,B,D,C,A,D,B,E,D,C,-36.80116250907197,D,D,0
Other,17.616039780526282,E,C,B,C,C,B,B,D,C,-6.50616100928086,B,D,0
Jewish,75.92462993254543,B,A,B,B,B,C,B,E,D,187.4900654349013,E,E,1
Christian,-46.66828623432896,E,A,A,A,B,D,D,B,B,64.76294243907276,B,D,1
Christian,-26.879226025877166,C,C,C,A,E,E,C,E,D,53.279762069387324,A,E,0
None,-196.66056890130804,B,D,E,A,D,E,D,B,E,159.45740127578824,D,E,0
Jewish,-202.15078556081582,A,E,E,C,B,C,A,B,C,127.95342451085973,A,D,1
Hindu,79.62341479136276,C,D,D,B,D,E,D,D,B,-41.98488110959725,B,E,1
Buddhist,-58.6701620948547,B,C,C,C,C,C,E,C,A,63.67339718594284,D,B,1
None,-255.17539915961893,C,B,C,A,C,A,C,A,D,-10.284717105097291,D,B,1
Other,-153.6609987453481,E,A,B,B,D,D,B,D,E,136.37447267460027,A,A,0
Hindu,-103.44107657039454,A,A,B,A,C,A,D,B,E,49.31416848432506,E,D,1
None,22.372475968124686,D,B,C,C,B,D,A,B,A,19.49794340983249,B,E,0
Jewish,59.0227073000437,A,B,B,C,D,C,C,B,A,-175.31271459826098,C,C,0
Muslim,192.45331442581178,D,C,A,C,B,D,A,E,B,-108.12451663907953,D,A,1
Jewish,-125.13471510355949,B,A,B,C,C,A,E,B,C,80.10222482627206,A,B,1
Other,184.32235904241494,D,E,E,E,D,D,A,C,B,88.99282627511144,E,D,1
None,104.55695567719646,E,D,C,C,D,D,E,C,C,-50.87867027156364,E,C,1
Christian,-23.09581891522826,B,B,E,B,B,B,C,E,C,-171.6030188735292,B,A,0
Other,14.25064064546687,D,A,C,A,E,A,D,E,C,-96.60718487056185,C,C,1
Other,-59.442913662771645,D,D,E,E,D,C,A,A,E,-20.80664263971772,D,E,1
Buddhist,-24.799057737778323,B,D,D,E,D,C,B,C,C,65.70273559530249,C,D,0
Hindu,-53.405153482871846,E,E,A,B,C,A,C,D,D,-57.15516714868388,C,A,0
Muslim,55.12176072938652,B,C,B,C,D,C,C,D,D,-88.96540669193233,C,A,1
Buddhist,-79.09126650000223,E,D,B,D,E,A,B,E,B,51.2962991599774,A,C,1
Jewish,-79.60136248556832,A,E,A,D,C,B,E,B,C,-142.92252132778,A,C,1
Christian,160.12579563869477,E,E,E,E,D,C,C,D,C,35.38827589870056,B,C,1
Jewish,-59.332152353345215,B,E,D,B,E,B,C,C,D,-63.33753163270778,C,B,1
Christian,93.18917099052113,E,A,D,C,C,E,D,A,C,-196.26857407046057,D,B,1
Hindu,88.8578520648814,D,E,E,D,E,C,A,C,B,69.34250155583915,D,A,1
Muslim,-163.3290777280398,C,A,E,A,D,C,C,D,A,-7.305207169199493,C,E,1
None,-91.68501722843925,B,A,D,A,A,C,B,C,E,166.59206329184113,B,A,0
Other,61.994601301115935,B,E,D,D,D,B,A,D,B,-100.25321768869975,A,A,0
Christian,-10.695255272560054,E,A,E,E,D,B,D,C,D,81.99581692318715,E,B,1
Hindu,231.8828067875185,C,D,C,A,A,E,C,B,B,116.29863353122106,E,E,0
Christian,-145.30019658377503,B,D,B,A,B,C,B,A,B,-31.588987073533048,D,B,0
Muslim,88.23464097367464,D,A,B,A,D,C,D,A,B,-30.67202686670827,D,A,1
Hindu,-84.48164984532865,E,E,B,A,D,E,C,E,B,88.19642888731941,E,D,0
Christian,-122.59721243075931,C,A,B,C,C,B,E,B,C,119.98453777185776,E,D,1
Buddhist,-23.838682359884373,E,C,A,D,A,B,D,A,D,7.771023767639575,D,A,1
Other,-108.5200249314236,D,C,C,D,D,C,E,D,D,-26.714507634941558,A,D,0
Christian,-115.47249334326499,D,B,E,D,A,E,D,B,B,26.046657757369235,C,A,1
Jewish,43.07872788740531,C,D,B,C,C,B,C,A,C,-3.1642704833043274,C,E,0
Jewish,-14.81243896939349,A,D,D,B,E,A,B,D,C,16.836272430267943,B,A,1
Christian,66.49274019932872,A,D,D,B,E,B,B,E,E,-254.67684288852524,C,B,1
Other,-123.75640683430798,A,A,E,C,A,A,A,C,D,-120.63387414487813,D,C,1
Jewish,-18.961267558973717,B,A,B,D,B,C,A,A,B,-40.05232372977737,A,D,1
Buddhist,29.12977528162026,D,B,C,B,A,B,C,E,C,-0.39769958695267427,B,E,1
Hindu,163.55148566526364,D,C,E,D,C,C,C,C,B,107.24900049519417,E,E,0
Buddhist,155.39202098004438,E,D,A,A,B,D,A,E,E,-102.1871564909853,E,D,0
Hindu,78.279760110811,B,B,A,A,A,E,A,B,E,-116.65811001449018,E,E,1
None,-20.35767370984778,D,D,D,D,C,B,E,A,B,-92.94774852950127,B,B,1
Other,-133.59839339954112,E,C,C,C,E,D,A,A,A,79.1634038199198,D,B,0
Jewish,-18.983544003303223,D,E,E,C,B,A,A,D,C,-209.20737377679268,E,E,0
Hindu,-144.85980329932352,E,D,E,A,D,A,C,A,D,-57.62960131976567,D,D,1
Muslim,-26.101748908123373,E,C,C,E,B,C,E,B,B,55.29224340303476,C,E,0
Hindu,-36.54680400537229,C,E,A,A,B,C,E,E,D,-187.63088536088648,D,E,0
Jewish,-100.23895945149448,B,B,A,A,B,E,B,D,B,-2.7947570546130716,C,E,0
None,110.32574787053413,D,D,B,D,D,A,B,A,A,-55.47676846623979,D,B,0
Other,14.468244142780618,C,B,A,A,B,C,B,A,C,94.90253722706572,C,E,0
Muslim,41.59037929497366,C,E,E,D,E,A,B,E,C,-83.28704455677016,A,B,0
Hindu,135.2709724623283,D,C,C,E,E,B,C,B,E,179.87679985668532,A,B,1
None,3.1231532482697624,A,E,C,E,D,E,A,A,B,-67.1377692275116,A,A,0
Other,20.871438617450362,C,A,E,B,C,E,B,E,C,152.16590095057697,D,C,1
Muslim,-30.661632057307276,B,B,D,B,A,C,C,E,E,-69.96117321594889,E,B,1
Muslim,-117.44556877318706,B,E,D,B,D,D,C,D,E,-86.25260310351041,A,C,1
Christian,155.73109228129124,E,D,A,C,A,E,A,A,A,61.224696790263025,A,E,0
Hindu,253.23981892969067,E,B,B,B,E,C,B,A,E,14.304410505043833,B,C,0
None,24.167926189983703,A,B,A,A,E,C,B,D,C,89.90585824181989,E,C,1
None,237.5732030033289,E,D,D,E,D,A,C,C,D,32.94872149402758,E,A,0
Christian,11.985959947866858,C,C,D,D,A,C,B,E,A,-8.378818815463607,D,E,0
None,93.2963688812159,B,A,E,D,B,A,A,B,C,101.07357984711105,E,D,0
Buddhist,-175.35894137824502,B,D,B,C,D,E,D,E,E,65.28536170060248,B,C,1
None,72.08432368408423,D,E,D,A,D,B,C,E,A,-1.4593509424372089,A,D,0
None,-0.9468299762180684,B,D,D,E,A,C,B,D,A,-22.486139990620927,C,C,0
Christian,23.438108195247075,C,D,A,E,A,D,B,C,D,58.10373126912298,B,A,0
Buddhist,29.901964435097046,C,C,A,D,D,D,D,E,E,17.346891001369844,C,B,1
Jewish,66.07170769000363,C,A,E,C,B,E,A,B,D,130.51991859430032,E,E,0
Christian,7.939595381589721,D,B,D,C,D,A,D,D,B,4.616298577650668,D,C,0
Christian,30.863992013387538,C,C,C,B,B,E,B,D,D,65.10422151142126,A,E,1
Christian,-74.45320952034629,E,C,A,C,D,E,E,C,A,-94.88965382633275,E,D,1
Buddhist,-100.60436286000109,A,A,C,E,C,B,E,C,A,-47.347234100042805,C,C,1
None,-264.24642507809864,E,D,A,A,E,E,C,C,A,191.73039724449484,A,B,1
Christian,-57.31624204090867,B,B,A,B,A,A,D,C,D,-32.428453805503715,E,E,1
