military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
No,B,89.93405644845257,D,A,6.075657712443473,C,119.83570958342789,E,B,C,-52.1209861074071,-82.23617543470725,E,23.764477585165377,-10.810874554208679,1
Veteran,C,109.90517472257098,C,B,106.44585167759428,C,30.474661360584605,C,D,E,-41.25967911514227,-41.509769207656575,C,23.888164502020317,103.52059929281441,0
Non-Veteran,A,119.595866099047,A,A,-93.06751811343827,C,-194.82440801775513,D,B,C,166.16220352234402,-24.57873786035363,D,-146.46032843897189,68.23158720971514,1
Yes,E,127.61054634372857,B,A,12.850387900777708,C,102.68031112888202,A,D,D,58.012804220530924,-89.32858368226215,A,-23.926686931922923,112.27426702107948,1
Yes,D,106.51860054814644,A,D,57.47176371505388,A,101.35008288946783,D,E,B,-85.47556090166853,-204.21507821444442,B,-50.11144406653902,106.5472636824683,0
Veteran,E,-24.247969444591234,A,D,-17.11320664895947,B,5.130264588563655,D,E,B,-200.96295687953355,6.102287244769034,D,-147.78094393235574,46.68637547383397,0
Veteran,A,-141.30665011053728,C,E,-95.76185007627114,E,-45.95100019803464,A,A,D,2.715603306256318,-56.147359523102004,D,-168.1584632562524,40.82397053219833,0
Non-Veteran,A,74.30706683180232,E,B,100.46018526816947,A,-13.030683279430178,E,C,B,-89.85510826855871,146.66212649972715,C,-18.05157637425106,98.26809273265835,0
Veteran,B,-94.97358639013147,E,D,33.91770460619665,E,-10.935788810835364,B,A,E,19.52043260622028,-96.65189703869535,C,112.83156501440845,-83.88868195648756,0
No,B,-1.8251667711878905,E,A,-7.762006394101917,C,127.34324349907371,B,E,A,-39.3162768430226,-189.86637634646448,E,-184.36128365842882,72.88145827015313,1
Yes,C,20.21316564354182,C,E,-100.57668034626033,D,-341.972037586258,A,B,E,21.522288716742445,24.549738003632555,C,-84.05066784591939,56.68378930855589,1
Non-Veteran,A,-122.02704321730178,C,B,-66.73086902447729,B,213.14481435592958,E,E,E,30.570151255376665,118.64215191305014,D,-169.86801358673253,-43.527342045644616,1
No,E,78.8254260347941,D,E,-51.518729626963676,A,-10.061186164208902,C,C,E,-10.093490742920425,39.03086674406392,D,-104.294517072201,69.38540996038216,1
Yes,A,27.713795540446956,B,A,151.0094758321316,A,49.85505858180457,B,C,C,58.094555835959405,33.09931433148874,A,164.46744768339732,44.77970350576011,1
Veteran,A,80.08151268901725,C,B,-29.33923069561143,B,-15.142639088396843,E,D,D,79.11128142608267,-73.43626198677903,E,58.185549402144886,156.75223749189058,0
No,B,-221.96936108099652,E,A,-21.269361508738562,E,125.84230418487667,B,A,B,-66.72360666194415,160.61499918708802,C,-156.30445705562093,-125.90785415108819,0
Non-Veteran,C,48.70101112749069,C,E,-57.76625064798521,A,-64.48465115429411,D,D,A,-259.2846056351786,-68.06213736594971,E,153.0522075470439,-17.64542844606782,1
Yes,C,-4.125773384104229,A,D,-71.75707050325619,C,129.8028372660335,B,A,D,-73.50672343705833,41.44800027834352,C,-72.20487007905928,80.27246945354756,1
Yes,D,-69.75358188856781,E,A,-165.5194706462628,A,43.07975893307134,A,D,E,-115.52210796906499,98.53183180855633,B,-63.29753278380132,-95.54901797213677,1
Yes,C,-41.34804684931757,C,B,67.79591218963506,B,-24.87723922777457,A,A,A,-82.18522852391685,-20.126747770921376,C,68.92623898669818,-53.12057074837525,1
No,B,-149.7209587460887,D,C,136.88031381102883,B,-133.9924158608407,B,E,C,-11.926882989460564,-1.7894342143835853,B,4.319703886552138,142.35763687252242,0
Yes,B,65.62469078932641,B,D,17.912445365629935,D,29.243258450564774,E,C,D,16.043390199904703,-29.77603602013257,D,180.67621854211433,39.83301071090706,1
Yes,E,-46.36318298704806,B,B,-34.623020176369636,E,107.10514159684381,C,C,B,-131.8229855578751,177.95198882377903,B,82.44669390974988,59.419099510929165,0
Non-Veteran,C,-19.87180611677168,E,A,172.92219023834153,E,-48.387502848409056,B,E,A,68.81372672938889,-105.61209673859646,D,176.0884637966491,-89.32646129819565,0
No,B,8.73436976459227,B,B,46.27838296561665,E,50.64731460641209,D,B,E,-83.85519527734012,31.658131078953204,D,-70.90759388014197,-117.77674713424311,1
