disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Mental,D,-27.609200001114893,D,E,A,E,-120.7921651840628,E,43.447491798557,1
Both,E,-46.478877173711744,E,E,D,E,6.318874982472185,B,39.999960462335615,0
Physical,E,-41.14123386116065,B,B,B,D,-101.28396664074222,B,92.96153662225385,1
Yes,D,54.99375764047022,B,C,D,D,-182.87939630629438,B,-63.91813194850726,1
Mental,E,202.33284809021978,E,C,E,D,159.34763121565817,B,-103.23120517316893,1
None,C,-88.03097472696506,B,C,D,D,124.28465038797248,A,-152.76196629095992,1
Yes,A,46.500156385411486,C,B,E,E,125.51667118938855,B,97.45185993661549,1
Physical,A,12.598042417246472,B,A,A,E,-20.60075730600212,E,8.599759622686612,1
Both,E,79.82385996493481,B,A,C,D,-97.01652590448275,B,150.38516900529353,0
Yes,E,-128.87626685073707,A,C,D,D,-75.27191459194785,B,76.28812447612148,1
Both,D,30.23084258015725,B,B,A,E,-197.15577861210127,D,-48.147103859510096,0
Mental,E,-124.01384269859447,D,B,B,E,-82.71942353536684,A,-94.84340614556767,1
Yes,A,-22.175712711793416,D,E,E,D,-133.2312279967502,C,45.33090612417077,0
No,C,-118.15409420381819,D,C,B,C,-173.18081907444252,D,21.935551494847566,1
Yes,E,3.3416796090293404,C,A,C,A,-120.09403813989839,E,-63.13469318546049,0
Physical,B,92.2349842218367,A,C,D,C,-31.45589312354901,A,-96.2475518504291,0
Yes,B,34.314406687324066,B,C,A,A,-37.065605375047475,C,130.7337024809577,1
None,A,-90.25891165384272,E,B,B,B,99.47284739962156,A,-177.04833298541743,0
Mental,A,30.814282559869145,D,D,A,B,55.29071469685941,B,87.98685645814291,0
Yes,B,109.25556920108971,A,D,B,D,-72.65188500848284,E,27.184539146651254,1
Mental,E,94.70305801080609,D,A,B,A,121.72886659015919,C,-22.001260914596948,0
Both,A,-24.966668156716583,E,B,A,E,-273.1820949386902,B,-6.619328276165176,0
