Nationality,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
UK,31,-95.73383684687165,3.8621832540809744,D,E,B,E,A,-35.67897633905258,C,B,-101.52354395231909,C,D,-113.63758028740341,B,A,-24.559573746932372,58.73270338964397,1
US,40,-99.56695360863941,97.10013886928407,E,C,B,B,D,-161.65198867841772,D,D,79.03128031322325,E,B,57.32274004318213,C,B,25.65103948666147,-183.77470892849507,1
Brazil,98,-90.90054749785382,54.67196907306777,C,E,C,A,B,31.045915670421437,E,D,-114.30321967569587,E,D,91.60240272135624,E,E,-14.59772574304004,64.9957550245276,0
Other,99,125.66966142436362,-38.887935376962005,A,B,A,D,D,-58.805393577413454,A,C,-16.131521422019514,D,E,112.61567790598852,D,C,8.681934975842863,2.782252874481332,0
US,26,-101.78172559675247,93.72715797938308,C,B,C,C,E,16.46904330883416,C,D,-37.19465600187778,E,D,-41.74640008643384,A,C,-101.535928390635,18.07717727466575,1
Other,28,-161.97726591586047,-3.026143894465082,B,C,E,E,D,235.1793644593991,C,B,0.8078673940694897,A,A,-12.109735596453469,C,D,5.029204792414703,105.6932543010916,1
UK,77,71.5536306712954,1.9044204291156215,C,B,B,E,A,51.20090740923084,A,D,9.320628309616769,A,D,59.720428694206205,B,D,-5.395345867406047,-3.247667705879146,1
Other,65,-122.49701778692548,-108.0269606509421,B,E,A,A,E,-3.39587222162533,C,B,65.18067115955529,B,C,82.43873244990579,E,C,-38.778085120949704,198.75302721697668,0
Germany,77,-106.4195135779114,11.380762491259858,D,E,B,C,D,57.41357146382373,B,C,-132.56179366899212,A,E,74.31006804036704,C,E,-134.77274618792555,31.05065743438048,0
US,87,-106.38152553118006,-17.46632354789543,A,A,C,E,D,-54.056570460703455,C,A,9.436552989097605,D,E,2.3468417275220705,D,B,137.50559394181334,-56.46115570008661,1
Other,70,-115.60783312454286,-152.9070159138544,E,D,D,B,B,-6.060871393327369,D,C,134.29441237652372,C,C,-12.15256775360858,C,A,-137.09575606429235,-45.13171155665094,0
China,28,146.9234241261631,14.981607790541865,B,C,B,E,C,30.532746072165928,E,B,115.36318915141717,B,A,56.83176450474525,C,C,157.30817455626485,-26.997885242010028,1
US,51,223.91933914681454,-6.570673450011522,B,E,A,A,A,-174.1826353935188,B,C,-201.6800373987754,D,E,-244.0344160099212,A,E,-49.9087474611016,135.3411470431836,1
Other,47,-78.36288709598698,55.56828004742744,E,D,E,B,C,150.86703353493493,C,C,-118.75806263761002,B,D,3.631595054951304,D,C,-155.25994412386868,-161.45430066292917,0
Brazil,31,-159.80475665165582,-47.5502865169078,D,D,B,B,B,11.667777162464755,B,B,-117.11431595756943,E,D,-179.56961648816966,A,B,-114.89863676890666,48.69544568614375,0
India,58,-10.214003645168681,74.92130325221514,B,B,C,E,E,43.42899412985336,A,C,159.4529278661594,B,A,-87.48650729689615,E,C,48.617302835675765,-245.02243254379675,0
India,60,69.98592149938555,-40.92178140688401,C,B,E,C,E,201.0389747121819,A,C,-22.3273490881774,B,D,-66.60248935151623,C,D,76.38234181271667,113.50423482385546,0
Mexico,47,79.54213704884583,-43.59744097358009,E,A,C,A,E,1.3570768152681518,B,A,179.16348667898959,A,B,17.274046766280648,C,A,-94.65862409784638,66.24109672358756,1
China,55,99.06088344613183,-33.03806430734707,C,E,A,B,B,-124.83992389104736,A,E,-89.77065630317918,D,D,62.32826977059964,C,D,-19.72852028318983,-136.05793139781395,1
UK,34,48.18597477860013,-39.162957058821995,D,C,E,B,B,-107.35313191037532,D,D,-28.538530863347088,D,E,-51.64855123768831,C,A,40.91954064119287,-6.1809233092444575,1
Other,86,-113.93902816760777,98.63528808324821,C,B,B,B,A,-41.542541295494125,B,E,317.0724687189829,C,E,37.34841864929802,E,D,-13.203722778286147,231.93756742975742,0
India,68,17.438221538776492,159.29990221513978,C,E,C,B,B,-9.415074409824218,E,A,101.82035767292041,B,E,-177.81034766184573,B,A,46.16587461592705,-105.08322092955747,1
UK,41,-88.64858358251227,54.79252696865724,E,C,E,C,B,-187.62611228382443,A,B,-42.412026061457304,E,A,-75.70756333079085,E,E,-64.34137152144213,103.70012558489266,1
Germany,96,-94.30547907455413,11.061315755438446,E,B,A,C,B,-43.44006606051333,D,C,-24.469409918421725,D,E,-66.90839267110242,B,C,-85.98586561439969,-117.04575874977404,0
China,87,-100.99613715025532,-139.18278083381236,C,C,E,E,C,27.873062573533307,D,A,-32.37923698987646,C,B,207.26582535280355,C,E,-209.0850461443635,45.714200512448485,1
Other,38,-37.63038811215777,-51.52610921989129,E,B,A,D,C,-20.88655046673937,E,E,3.255903391953488,D,C,-40.154320898812195,A,B,-28.908750260604315,-107.35260795103747,0
Mexico,33,57.26875214518932,10.428043525314541,E,C,B,E,A,20.23328556505142,A,D,-44.78310365374084,B,B,139.51696061196057,E,A,-22.868360006356117,3.173384543501931,1
Germany,27,-25.032043275404682,-111.19615892379639,A,E,A,D,D,50.923928519298855,D,B,-3.174213600226091,B,D,126.44612062439428,A,E,-65.66333528971298,190.99240191943971,0
Brazil,20,-98.65944673807334,84.34645351623355,D,D,E,B,E,-15.739645519170505,A,C,-20.036240288691037,E,A,174.56605879378452,E,B,43.29024821277307,-66.92522085060031,0
India,94,-54.16183413881743,11.526696008136607,C,A,C,A,B,-29.22861439591578,C,A,69.58995911166535,E,C,-120.43918509570662,A,E,-22.28038537389645,-280.1870336519383,1
Germany,77,-68.5340728942357,211.1126136365149,D,D,C,D,D,106.26838535687683,C,C,172.97079442097044,B,A,-17.50806130886348,D,B,-103.30138509702336,174.05165661652794,0
China,95,-47.60936135728558,39.5225858294429,C,C,D,C,E,202.39570104003352,E,A,-94.55111091083836,C,E,112.32988030064763,A,B,-216.40066448246742,-20.686522190044023,0
Mexico,58,97.23820720745923,78.03779070821494,D,A,C,B,C,13.22397992991718,E,C,77.23307774094793,D,C,-104.14930315347053,B,E,60.11041297364188,-106.30995560064807,1
China,80,191.87246417343692,-55.813567903425586,C,C,D,C,E,67.8031442821709,C,A,118.20681163183903,E,C,69.41979502515314,E,A,-137.04804518732405,-145.61755786635283,0
Other,36,128.47089763978522,-63.837176223501956,E,B,B,E,E,-36.94048710421215,C,B,69.75033719971098,A,E,-37.46649188953718,B,B,-170.4765778999581,-124.36473573853422,0
Brazil,83,-35.72082303738371,-25.3827577266934,E,A,E,B,E,83.67534467504845,A,D,-75.41887391405857,C,D,-207.27926329153937,E,B,19.94872797977911,5.985143091891691,1
China,66,53.91443415838604,74.20029689521242,C,E,A,B,A,68.13379942487055,A,D,56.25952297919115,C,C,-255.86338428057283,C,E,-24.965540707506584,106.70805992787919,0
Mexico,93,-0.9916794648873257,239.5626282133711,B,C,D,A,D,-45.398154763171384,A,D,38.832624397843624,E,A,157.54637164044232,B,E,-37.139503198215344,-93.17028712548704,0
Mexico,47,61.786211065230376,44.05351191561093,B,A,A,C,B,-24.235618098267434,A,E,22.39306958985893,B,E,-74.16674642188009,A,E,49.20953855785201,26.928695311526347,1
Mexico,98,-130.21605272493858,65.49127787065878,A,C,E,B,D,68.1575972806954,C,D,-181.9736622440908,A,C,40.512067487572715,D,A,-119.2435143656297,126.99565596997509,1
Mexico,33,3.699267512686687,-40.06630927836906,D,D,E,C,E,97.35843946968743,B,A,4.667944887673223,A,E,47.32291090522096,E,B,-68.05989898064873,-10.806481399210059,0
Germany,64,-53.65753219834841,-19.80715291094242,E,B,E,B,A,-29.403338444543365,B,D,-63.51406977968643,B,B,-64.26514119941582,A,A,47.050904477994436,15.748450723082492,0
