Gender,religion,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
F,Buddhist,Yes,140.85561282792162,120.05640591974196,D,57.80673756022922,-80.2146974481762,94.62658352940878,0
Female,Hindu,None,29.07243581813071,0.5591067164699266,C,-29.520385681704596,-70.18784298495167,47.75211784472953,1
F,Buddhist,Both,98.96615427198786,-203.95084092583664,B,-133.89456062662137,62.87952342964216,157.7240020185099,0
Male,Other,No,99.28944310097216,145.10723458437496,B,-95.6219247432958,1.0319442374435872,-162.2381842847808,0
F,Muslim,Both,264.3053053567762,-49.30079393988257,A,34.50115475149733,-41.992375220864695,71.50104483189898,0
Female,Christian,Physical,101.66319126436049,235.66986703972015,A,29.43265021236475,31.679730129060303,-53.928057343084845,0
Other,Christian,Both,195.59524855221935,-58.011123776107,B,109.60018859071792,136.01132142630303,-128.19136801113297,0
Non-binary,Other,None,-6.641148944816622,116.47324624028433,E,92.87276386677247,58.66614697867571,-133.8047021107427,0
Female,Jewish,No,-1.619259247258606,30.170427294919133,C,-85.41106195758358,-52.09356185143711,-61.22951266469862,0
Male,Jewish,Yes,44.54500739373973,-2.935680480630109,A,-154.16321180413541,49.0069591325426,-68.79612648530896,1
Other,None,Mental,131.48783204920608,-131.68066781573378,D,82.19720364312695,-93.43766974296828,1.8625604952333426,1
M,Muslim,Mental,144.43555805867842,256.88410509901365,E,113.71561502597456,108.97563540284878,-25.27989578710535,1
F,Hindu,None,-5.012361946550031,123.40062615270615,E,-21.80963283300616,103.01698739613163,-183.75941275512744,1
M,Muslim,Physical,-10.140874650210922,8.121793275892914,D,-77.35675664095089,82.93629265874162,-235.43926055349002,0
Male,Other,None,20.66647052247083,-96.58658756556036,B,33.63175608795608,21.475391848559365,-156.7742683333812,1
Female,Buddhist,None,75.28301755326855,-45.925910252790544,B,187.0536715738002,-148.30701669715737,105.02517421688114,0
Other,Muslim,Both,-141.41117197388067,61.87329162155283,D,66.47324558073991,-101.55316336063449,16.248641010151342,0
Male,Jewish,Mental,-2.2565005518675565,116.28616706917039,D,-68.55684962702978,-57.58471091670743,-54.09417059515253,0
M,Buddhist,Physical,145.28469233752529,11.785327550729823,C,-4.061008656463066,27.684002849976185,8.795103842869874,0
Other,Christian,Both,-58.18067064889526,23.629187506691736,A,111.98996089038356,-18.008219294627175,7.669264923045642,0
Male,None,Mental,76.84914085179034,104.52141354612945,B,-48.22036942934487,-116.89271396435328,201.19016509193645,0
Other,Buddhist,None,34.37834609374815,88.74387654881241,B,26.519221413249493,31.081884343618043,-3.34048243669368,1
Non-binary,Other,None,25.969271823482913,88.19349511137493,D,92.30310004847287,175.05360326380682,-132.62849156196273,0
Non-binary,Other,Physical,-7.041595106312496,-184.912406032637,C,-37.68418624855072,-19.25812677300216,-24.738987590085667,0
Other,Buddhist,None,59.12520582590345,-2.1235669304950036,D,-137.01842407626944,-12.702407894524494,-173.0166121071136,0
F,Buddhist,Yes,194.64213659587176,-12.37285790099511,B,-69.3220863246169,-38.20695899950661,63.748010713582644,0
Other,Hindu,Mental,-0.973182265673756,-192.31456110617995,E,-46.0004875687604,-223.66716086759232,68.57103637716388,1
Other,Buddhist,Mental,-3.557270984729103,106.0054182673468,D,-181.72736847595672,-80.95030611341747,-69.80052915587449,1
Other,Hindu,Both,-128.85827553224223,236.8523001141409,C,-31.29155125659091,-10.870474993196492,56.35099346640089,0
Male,Jewish,Physical,-86.02182391995066,73.38285544272306,D,-68.6565866457991,-88.13721108106151,74.64878267217084,1
Male,None,Yes,-52.40723872738877,14.984807348806727,B,-170.73379750179768,-186.51960148258993,67.3394303835527,0
Male,Buddhist,Both,-53.327795175060224,131.90850317422496,E,207.4525355407168,30.735200802898778,-55.58600059964305,1
Male,Muslim,Both,77.14416564578123,189.91629139147886,B,-46.25070408667668,33.28405863265865,-59.52085149942196,0
Non-binary,Jewish,None,41.88993256878541,46.08073082557913,B,79.5056258986126,-42.928259900296645,35.0981820522785,1
Male,Buddhist,Both,193.59861297393502,60.30626973283573,A,-33.827330540024576,164.19240764017508,-26.821287404778055,1
Non-binary,None,Physical,-121.17343778922975,152.9887256802676,E,65.9469005106049,96.60506377013027,-8.177568741013745,1
