genero,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Female,Married,Physical,A,19.62621792851995,E,E,63.44955953771135,-63.56603591983576,-76.34820260598207,B,A,-119.73535211078547,-91.05768201069428,C,A,B,110.70802959621848,A,-5.804592892798098,1
Female,Widowed,Both,E,10.641973311110037,C,D,-189.90030231476288,201.6200410953936,19.522243898191334,B,A,-158.313524885079,131.1948420566687,D,B,D,-114.35699374290446,E,9.94897106008883,1
F,Widowed,Physical,B,-69.95295476567242,D,C,5.658335545224558,-40.10682373854999,31.777851057785412,C,D,66.38742439984809,33.628457227571964,D,D,C,70.19088591186733,B,-19.912645853355716,0
Other,Divorced,Both,E,17.373242206685493,A,E,251.32611279934355,-2.916962046278157,175.13772699345748,C,A,25.268301069834298,187.8128976196716,C,E,D,-66.36539228787495,D,-58.98973290955831,0
Other,Married,Mental,A,14.556511665086799,B,B,-50.95381447740963,114.15719404961982,-116.07009736688103,A,C,101.02221516702326,-94.99877371983725,E,A,A,33.65247120671487,C,-127.87612067242982,1
F,Widowed,Mental,E,-127.21576460080524,A,E,53.57188617264551,31.238703024429448,51.54752661943955,D,E,85.05216601742038,-52.11315191623039,C,D,D,110.58091909239549,C,-195.23867150061628,1
M,Divorced,No,E,-181.2177311543695,C,C,3.5193398934007627,-39.5594525199939,-24.5585292389449,B,D,-143.6356087105596,-47.63805068338078,B,D,D,-35.07051761213475,A,-56.12624573644411,0
M,Married,Both,C,-89.04647755459833,A,A,-30.2730237876075,-199.97835308482888,-91.00450857933446,D,A,-42.77295830227898,-155.6538873724956,A,A,D,-140.04082029920002,A,-88.80686324889999,1
F,Married,Yes,C,76.84300607592395,A,A,64.65118502319844,-237.5728553541905,-116.59373071402055,A,A,17.637707757068284,29.506294329159854,D,B,A,-110.00296992373335,D,-137.76404479694253,1
Non-binary,Widowed,Physical,D,103.55665102752837,D,D,74.16617304859753,-206.70945680029243,26.759511053074288,E,E,154.58914889732168,141.9539960986814,C,E,A,113.01489515963874,E,94.25593454313358,1
M,Widowed,No,A,84.15116357267954,E,A,20.7659614847716,21.300014382270657,83.82211165492598,A,D,64.84751988440553,142.88477751255598,B,A,E,-10.43391989786604,B,40.71882496732411,1
F,Widowed,No,D,176.24384261775253,D,A,-22.859209234623204,54.212668528286926,-91.84391669761133,C,D,-54.864837998497585,31.83841211906398,A,A,A,95.92912271486503,E,69.25907290395425,0
Other,Divorced,None,C,-16.725831366559017,C,E,-37.13471574315396,-102.3467446389189,-68.96600686061267,A,D,19.323966784195534,3.573198998518833,B,E,A,168.47368896811506,D,205.42441873902618,1
Non-binary,Single,Yes,C,60.92237576186936,B,B,-69.6165387544532,28.98437067199569,-7.554129838275816,B,C,-22.140723969388258,253.7102488942501,E,B,E,42.971523619896075,B,107.27356274840172,1
Other,Widowed,Yes,C,-46.14494421558675,B,C,-80.21531737628847,94.25428609720528,-79.58598165834516,E,D,113.29386452602559,19.695476024695978,E,D,E,-158.8683348916951,C,-81.53071531593498,0
M,Divorced,Yes,A,-68.17028093769554,C,A,78.5945559694017,-99.3755877625416,-1.1457009445724906,C,E,-10.257801663884262,103.8306165237084,B,C,A,-1.3452013369335445,E,5.1195194059593945,1
M,Single,Both,B,10.599305793555782,B,E,-162.506693076771,-43.46629917604006,-211.0146319513312,C,A,154.4745426440363,-117.35494848385449,A,B,A,16.044582057040053,A,7.4318206766401484,1
Non-binary,Single,No,E,-72.04360589090543,B,D,-18.587205664310137,-197.67182504803645,44.32174046835811,A,E,141.12457417470685,-3.4432383101785224,A,A,E,-94.04422338639003,A,-103.4003340962425,0
Other,Widowed,Physical,A,-33.154677958839905,E,B,-67.71926191889946,37.75805501912403,41.83748814289536,E,B,87.08271148157017,-116.1737559501709,D,C,E,-59.18817575008616,B,71.2268316854833,0
Non-binary,Widowed,None,E,33.1931622468739,C,A,-6.888691432792829,33.81876880987505,-42.86171597114933,C,D,-242.04661208830836,34.08738915823415,E,A,C,170.52421053618946,C,-16.160102286503914,1
Female,Widowed,Physical,B,-15.035014163020827,A,E,-59.70044086037692,108.40769520996083,-91.86854048681208,E,D,56.50034683648837,271.0960267612422,E,C,A,101.21880211992888,A,-76.21538975970029,1
F,Married,No,C,61.56010829447385,C,E,-7.138685371550128,32.067337856128994,52.61860828195793,A,C,-17.497452552016675,74.21320179213207,B,E,D,-138.8991187425486,E,94.5588330817086,1
Female,Married,Mental,E,214.5426185962661,C,D,1.6620381785297085,114.47345776540354,-111.30150061694775,E,A,-32.49544195761091,2.3106198243532914,A,C,B,120.31425741024633,D,47.04250265698606,0
Non-binary,Married,No,A,30.50388465021563,B,B,-56.04555537608833,41.738531803756445,-187.9254695573304,A,C,148.7160763722366,-113.89239919778706,A,E,D,-56.77363176616231,E,52.067332800879896,1
M,Married,Physical,D,8.741762631956556,E,E,67.81807566000292,27.2725716460165,-209.50199188946348,D,E,-75.05611872429994,-54.12407680658266,E,E,D,188.4519299507858,B,-21.357645339040985,1
Non-binary,Married,Yes,C,2.056718116864667,C,C,46.26720304777417,-118.53905967534912,172.5737222308012,E,C,149.1831067256175,-153.93382530344172,B,C,A,-53.123192493141715,C,-74.57237219387115,1
M,Single,Physical,D,169.16127364913777,A,A,-6.866128891885112,138.5190331322613,-67.52590526938877,C,C,132.025330410374,173.04514706876733,B,D,A,133.58964112595055,B,136.70494278205186,1
Non-binary,Widowed,Both,D,-69.37857291679698,E,A,41.87541259416818,91.16425822467468,6.714663670567125,D,C,137.52282281120694,41.62878694726835,B,A,E,10.642450392663482,B,-323.64106506900873,0
F,Widowed,Physical,C,136.87612381851648,C,C,-16.70910171619724,-47.02528561005768,45.742842757112506,D,C,-9.728118424290948,-253.18357678804563,D,D,C,-153.48901050929214,B,-8.87973858048354,1
Male,Single,No,C,-10.491002332267792,B,E,33.57253443324678,41.7220300069416,114.5008370830332,C,A,23.32457094821492,-6.789202888657589,E,C,C,85.58548878300678,D,-102.52108143019552,0
M,Divorced,Physical,E,-136.63187613439516,E,A,85.27710650212008,-23.951944415293973,-225.83868983382774,B,C,-21.776908455451192,173.29695278353782,B,E,D,-69.47941839931268,A,108.14448541085082,0
Male,Widowed,Physical,B,-56.174158671264294,A,C,-155.55979578075932,158.1011887200569,25.682895155173814,B,E,7.2273401999980225,91.37256682636495,D,B,A,45.591757090576614,D,13.361855140138895,1
Non-binary,Divorced,Both,A,28.717105232971036,B,E,-11.971417548222608,-181.9739658382594,-4.822209193487784,D,E,-41.648066992785665,-83.06510533608578,C,C,B,61.56588809008598,E,200.87403156636339,0
M,Single,Yes,D,154.7206901910539,B,E,48.84771686161796,-52.70296515795218,39.77685344883965,C,B,-85.35472388068037,72.02455029038423,A,E,E,166.9415719006311,C,-142.70999907699638,1
M,Divorced,Yes,C,118.11414982070374,D,C,173.25095939345562,-3.6389591684029208,86.80809881079189,C,A,46.24940585710862,81.29748026526697,D,C,B,-112.5727360809252,A,-67.83757526606956,1
M,Single,No,E,29.930780047998173,D,B,11.466319726138652,111.22738443638043,-56.09962467625408,D,C,-101.50521575333042,45.063832300825155,D,D,C,13.176184740734012,E,121.09319992598641,0
Male,Married,None,B,69.3493255755395,C,D,-22.190977363851438,1.2078918685528555,168.36261412996237,A,C,-11.395861362345197,-296.15766116374914,C,E,E,-59.12797703749604,B,-68.67484467216592,1
Other,Divorced,Physical,A,-18.829934075481805,B,B,129.0470882266255,72.37449962459739,-88.00040970488222,B,B,68.47719109913115,176.42644233378795,B,B,A,43.60986374013685,C,0.02554056594410205,0
F,Divorced,Both,A,15.377221878037222,A,A,-4.562187678231703,-46.68519022016926,-25.519719055814228,A,D,10.687963259022178,-6.562246388821117,E,E,A,-18.89549551928104,E,40.046340859633965,1
Female,Divorced,Mental,D,-32.7945029833343,E,D,10.932365732682243,142.3754943261192,-225.21686760104154,B,B,93.55855559991682,-41.24592293913786,B,E,D,-49.99019689244465,D,44.0786768522872,0
Female,Married,Mental,D,187.8972222321598,A,C,-53.929039091354184,-125.17440439728371,8.318866614221001,A,A,10.005597748686274,-2.4453247024942892,B,D,E,-46.66109999330548,B,-63.31030212776565,0
Non-binary,Single,None,C,-26.972186286436873,D,A,155.94541077380822,20.537745812037166,-38.940198019672884,E,E,38.9869598917656,-129.47863145970823,C,D,D,107.41605713113461,C,8.628127248214398,1
Non-binary,Divorced,Physical,A,-59.97215771543608,E,A,-90.41500267546972,-14.528818573855359,49.190873885560535,B,B,192.71608824414446,-40.45748831640416,E,B,B,72.65188681529835,D,-105.47907266525911,1
M,Widowed,Both,E,54.97321089068515,E,C,213.8388488861032,-13.90551162821438,-72.20637463705776,B,C,7.039966349882571,111.71100064710453,A,A,B,65.13206055997246,B,19.96766964836154,0
Male,Widowed,Yes,B,-115.59988158765029,B,E,-14.959352483132655,-141.90685741536478,13.537963781670298,D,A,-2.546793573887769,181.55016647579004,E,B,A,-131.52005225486658,C,-13.904106909921385,0
Other,Divorced,Physical,B,-127.37000135196351,C,C,0.09182036601292062,-82.73715894050272,84.81971225313714,D,E,99.4859017371599,-169.73859929285774,A,E,A,-32.11546364526586,B,-98.6565862874781,0
Female,Widowed,Both,D,-119.73791078698997,C,B,-98.12144432722869,59.67261405397739,167.3765679933604,C,D,51.60109076428904,201.18483321406387,B,D,A,14.675708760483012,B,142.02255333178206,0
Other,Divorced,None,D,-14.671418483782839,B,B,31.690436555347723,-106.25572020397291,-107.45947759145562,E,E,-128.11935292721765,47.20900502641499,C,A,E,-1.8812544059521974,B,178.56133406163573,0
Non-binary,Widowed,Mental,A,5.425581920546607,D,E,53.6717102419042,35.53509781292459,218.4818417670701,A,E,6.049366546704555,-22.317760750730436,D,C,D,-66.42018928064213,E,-64.9450847033726,0
Other,Widowed,Both,D,231.9096982428085,E,B,135.11366619291135,72.87580763428832,102.69750150860082,A,C,121.75447546471344,64.0932456130181,C,E,A,-150.6860369112762,B,-9.746983340650244,1
F,Widowed,Both,A,-216.0776161239086,E,E,-111.39902844839227,-38.284533656972016,-28.719157884047913,E,C,27.217809133756944,125.80819070575767,A,B,D,7.434603566566582,C,-46.64197621039231,0
F,Single,No,D,54.252132611628014,B,D,237.12028123806718,-19.31605210733574,-88.40396412090685,D,E,32.978189997872015,58.395774787343335,A,C,C,-16.709417640966855,E,33.8013304861356,1
Male,Married,Mental,D,95.81000025768093,C,D,-40.4453826366626,-9.495001343625264,29.998093477758342,B,E,-77.79154707652222,57.47169113846861,A,E,C,24.700770369361578,E,-123.09652352331051,0
F,Divorced,Mental,D,15.850443724099298,D,D,83.93450306942489,124.58336054510903,-15.418173127328261,B,B,-40.05180849945552,-80.8347600891832,E,B,C,215.9126218300088,D,39.53157355096592,0
Male,Single,Yes,B,-10.519611640681308,A,B,26.106009035753107,-38.2297433528903,-149.35590141031403,D,D,15.943779238397992,57.06929867298681,D,E,C,0.8245489482553698,B,-13.698553430121157,0
M,Widowed,Physical,A,74.46579965971922,B,A,-37.58786661808378,111.5121185650936,-49.26213401165036,E,A,-24.89553598613807,38.54168670403375,E,D,C,-52.858822157038986,D,132.64899154081746,0
M,Widowed,Mental,B,223.48709211724488,B,B,-25.38292093763779,-6.06745138523045,21.54822269827121,A,D,35.96195378504411,282.852786728396,B,B,C,11.918789733270506,D,247.31053115728722,0
