age,nationality,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
58,India,Other,55.96054677881418,C,A,E,A,D,E,E,107.77862370523867,1
52,China,Other,119.5134896467197,D,C,C,A,B,C,E,81.64919276753628,0
29,Mexico,Heterosexual,-21.18316661727602,B,B,E,E,D,B,C,41.87915978619593,0
34,UK,Other,-3.0449184358313923,C,E,A,C,C,A,C,-42.7712316892295,1
39,India,Other,-144.58044640644593,E,C,D,B,B,A,A,22.454931775491524,0
61,Other,Bisexual,-5.551794759141907,D,E,A,B,A,C,A,70.6187718594593,1
36,China,Bisexual,122.66013114543837,C,A,B,D,E,E,B,129.8925123816789,1
55,India,Other,52.46062741876,D,C,D,A,D,A,A,51.10253949171542,0
47,India,Heterosexual,-121.65168329560308,D,A,C,E,E,C,E,-214.19906681283106,0
59,India,Bisexual,-19.619515525791368,B,A,C,E,D,E,D,121.51335072186534,1
75,Mexico,Bisexual,69.16269626872545,A,B,B,D,D,B,C,-12.373456066182897,0
25,UK,Heterosexual,-37.02775997334978,A,A,D,A,C,E,A,-143.76251571567255,0
66,Mexico,Bisexual,-39.38649132928059,D,C,B,D,D,B,A,15.649110708981159,1
46,Other,Homosexual,25.36377572276213,E,A,D,E,D,E,D,104.0696045046563,0
66,Other,Homosexual,-61.50707694260724,C,C,D,E,A,E,E,-90.14133603012077,1
31,US,Bisexual,-60.318386381757605,B,A,E,C,A,D,B,-45.12420430526966,1
40,Brazil,Bisexual,53.64516635525924,A,D,E,C,D,B,D,-6.357904202671401,0
46,US,Heterosexual,91.10085049739884,B,B,D,A,A,B,C,-46.927838286719144,1
52,UK,Other,-1.4807533367680275,C,C,C,E,A,B,E,51.30414076687483,1
38,Germany,Bisexual,25.28076111695878,B,D,A,C,A,D,D,17.537535235129702,1
67,China,Heterosexual,55.710932827757944,D,E,A,E,D,A,A,-143.27662194890854,1
36,Mexico,Other,-61.848260932500786,A,C,A,D,A,D,B,-68.67615112991474,0
26,China,Homosexual,-25.188336505892977,C,E,D,A,A,B,E,36.38498322206309,0
18,Other,Heterosexual,-97.25035327134003,C,C,C,E,E,D,D,55.01659966046327,0
78,Mexico,Other,102.14330127206522,B,A,B,E,E,C,C,-31.850657211483753,1
54,India,Bisexual,-25.350368186042378,C,C,C,B,E,D,E,26.540334866175737,0
61,China,Homosexual,-38.2352327135326,D,D,E,E,E,B,B,1.827238030742732,1
22,UK,Bisexual,57.58414318282797,C,E,D,E,E,B,B,20.493721098216156,1
59,China,Homosexual,141.06836500240118,E,B,C,E,C,A,E,87.98409556797833,0
49,India,Heterosexual,-94.57483105859131,A,B,E,A,E,C,D,-223.97102951197581,1
60,China,Other,-40.40308231458659,C,B,D,E,D,D,A,-34.37455473017466,1
42,China,Homosexual,-114.1878472183496,A,A,A,E,C,B,D,-39.39938180833015,1
70,UK,Homosexual,95.66608244386937,B,B,D,B,A,D,C,97.63450415044012,1
65,Other,Bisexual,69.32206547456141,A,C,C,E,A,E,D,-90.77882243638857,0
71,UK,Bisexual,-9.295540036247564,C,D,E,B,A,D,E,-11.217513908480052,0
69,US,Heterosexual,131.12831330676363,C,B,B,A,C,D,C,-57.27155266034342,1
56,US,Heterosexual,-17.464518941021737,C,D,E,D,C,C,C,44.91968428703354,0
37,UK,Homosexual,115.17969110327415,C,E,D,D,A,A,C,-78.90284316830164,0
53,UK,Other,-52.87164530441667,A,A,B,E,A,C,D,-10.075447460400603,0
35,Germany,Bisexual,-139.1767197975873,D,D,A,B,C,A,A,-82.70579297274486,0
75,India,Homosexual,132.315431642353,C,D,E,A,E,A,A,3.9893270160435645,0
25,Brazil,Bisexual,80.67271579988913,C,C,E,C,E,A,E,3.654937119844359,1
59,US,Other,-74.73033790250682,D,A,A,B,D,D,D,-31.47549128639755,0
39,US,Other,-25.224356378821977,E,A,E,D,B,C,C,62.70371428573925,1
36,Germany,Bisexual,117.24756688344246,A,A,D,A,E,D,E,-110.27500906388082,1
43,Mexico,Bisexual,33.1100200323632,B,E,E,C,D,E,D,-140.98537114758898,1
34,UK,Bisexual,-54.50553097483812,C,C,A,B,D,E,D,1.3723628112608082,0
39,Other,Bisexual,22.35647486054208,E,E,D,C,E,D,A,71.78279706871304,1
59,China,Bisexual,-55.868021918195396,D,D,E,E,C,A,C,14.309109008251456,1
32,Germany,Bisexual,-54.50638655934591,D,B,B,D,E,A,D,-85.4217305509557,1
70,Other,Homosexual,-156.12701130903665,A,E,B,C,B,A,D,-5.9378445724072835,1
63,Germany,Other,-180.22643000499076,B,E,E,D,E,D,A,-80.26785674325299,0
35,Brazil,Heterosexual,-95.59631349868273,C,B,A,B,D,D,E,25.63775576530352,1
59,Mexico,Other,-126.12907024471987,A,C,D,A,C,D,A,0.8770770109450767,0
50,Brazil,Heterosexual,-3.6284986138306836,E,A,B,D,A,B,A,-156.68126234863246,1
19,Brazil,Bisexual,114.99205337373566,D,C,D,B,D,A,D,95.29445049748091,0
58,UK,Other,107.89369966771201,C,E,E,E,E,C,B,114.04396705211101,1
32,Other,Homosexual,20.343662951900406,D,E,C,E,B,B,E,70.13992433295596,1
39,Other,Other,156.02805271933354,C,D,A,D,B,C,D,-64.66451338000995,0
54,Other,Other,50.71272807226501,A,E,B,B,E,D,B,119.73768287224331,1
29,UK,Other,138.8976762002691,A,B,D,A,B,A,B,100.93415417039728,1
43,UK,Homosexual,-138.5585919030082,E,D,D,B,D,D,C,9.353597355019579,0
41,China,Homosexual,18.207715032523595,E,D,B,E,C,D,E,-34.42706213943649,1
76,Other,Other,154.80427335939254,A,B,E,E,A,D,E,55.057773152680234,1
68,Brazil,Heterosexual,28.107653058843525,D,E,E,D,B,D,E,-41.88332652640539,1
53,Mexico,Heterosexual,70.00062356616154,D,C,E,B,A,D,A,67.56697904737128,0
42,India,Bisexual,-16.50444379593528,D,A,A,C,C,D,B,236.67050687910765,0
57,Germany,Homosexual,-82.38195827463083,E,C,E,B,E,E,A,-72.95645883869673,1
