sex,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,64,A,D,B,A,C,-236.44309253488976,E,15.739597370433614,B,18.441826808936238,70.49175414022453,B,A,D,C,49.601111784372655,113.11394503169676,1
Female,79,D,A,A,E,A,201.4108605019877,D,-1.3560315619049936,E,-39.984943283914006,41.60676008587773,D,E,C,D,85.51806037338929,-128.84345601542236,0
F,40,E,A,B,A,C,27.867270816508427,E,-46.797619582480394,E,-89.25345262514757,131.61967542486994,B,A,D,E,-107.36533053496238,72.83054502025949,1
M,21,D,A,D,B,A,-151.46411595807402,C,243.95139349989506,A,25.452579887994986,104.88505753698341,D,D,C,A,-265.92091221026993,-109.99979450027575,0
Other,55,C,D,D,D,B,60.91863821370338,D,-236.54358324923055,D,-102.25083143993292,45.293777598350474,E,B,E,C,-4.39272376582042,-208.12088836651705,0
Male,47,A,B,E,E,D,60.59388356749519,E,-170.25458432142875,B,-52.35680478765724,-69.22032783718385,E,B,D,A,82.57623122924694,-46.52221295673547,1
M,62,C,A,B,B,B,-134.682886007154,C,-122.17975627809179,E,-3.955124130688671,29.577274453926027,D,D,A,D,-84.59057405127976,-19.51173338755138,1
Male,20,C,C,D,E,B,-2.4833549647971087,B,-77.72093996495786,D,-147.22928762911985,52.790785788974325,E,E,A,C,-39.126339479032886,16.030992447637697,1
Other,40,C,C,B,E,C,-38.72585733516929,E,-83.20521517939812,A,-0.6861057784177493,-103.21741537396107,A,B,D,E,-1.361130731462836,46.11478232393152,0
F,73,B,A,D,B,A,34.30282885627569,E,91.41051273817484,E,133.28311416313457,-41.37646423834001,B,E,A,E,51.683539017861094,21.044648518007687,0
Other,22,D,E,D,E,E,193.69238630380772,B,-133.60363218320134,E,95.36475716167936,-5.15788953090013,D,C,C,B,12.977909082563082,-48.61621884182938,0
F,61,B,B,B,C,A,-103.96082389776942,C,147.58685665576166,E,115.88115680476565,36.93902462334547,E,C,B,E,-112.08114690748927,-132.03124496950892,1
M,20,B,B,C,A,C,99.84903812279946,A,-61.32832894641044,C,35.98373855405047,28.421435783816758,C,B,E,D,40.864292425455,-187.9639744459782,1
F,60,E,D,B,D,D,36.03145016061872,A,-95.75622678545827,A,53.66454975917853,-37.37506417794344,A,D,E,D,-25.736816558274096,-53.060572642577156,0
Non-binary,73,C,A,B,A,D,55.81827559210685,C,-153.02956893164145,A,10.335063593691816,62.384077124064454,A,A,D,B,-148.29971748079066,-89.31159260095383,0
M,65,A,C,A,B,D,-23.42871814732537,C,13.36617508617901,C,-58.37628152983412,66.54191008797096,E,A,C,E,-88.01412750246944,-53.23309682180789,1
Female,48,B,D,C,C,D,0.2651708939579854,E,23.76984788285357,A,58.564808876526605,-76.38238191227308,C,D,B,C,-52.84763445891885,-68.39253249584876,0
M,42,C,D,A,D,D,25.388400725103967,C,-33.56274428394815,C,-46.1472762352278,-48.98094483446953,D,C,A,A,-22.44147898337998,24.505079395491666,1
Male,53,B,B,D,C,D,-168.228107175454,C,-158.4390477077313,C,192.92973039006333,-121.33115399573936,C,A,A,A,112.70815659721181,28.202474373163422,0
Female,62,A,E,D,B,E,-109.83942021243888,A,68.37816818725396,D,83.82118112488071,-77.6634639461361,B,A,A,D,114.59640410850152,104.3682300852997,0
F,49,C,B,B,A,D,141.3604552054961,A,128.25806550345092,C,-18.746851564455433,-73.3989022554095,A,C,C,D,-228.2012021633016,44.04856263373627,1
Male,19,E,B,D,E,D,-125.57292283523698,B,84.94396950540317,D,-107.10361395822827,98.51208768244814,D,B,A,E,-83.03499833482249,-83.9591073487385,0
M,48,D,D,C,A,D,179.5526547797878,C,149.20007849300256,E,53.66461211094198,122.90121640383036,E,B,D,C,-53.71903252732222,18.696716754899256,0
M,71,D,E,D,C,B,-68.8854982675749,D,64.35602657083851,D,-20.855548655000447,-127.29940923065016,C,D,B,A,-98.54760018434177,-21.259013419151678,1
F,60,E,D,E,D,E,-4.261863157267924,C,38.64635091893021,E,-70.90539089215872,-183.25551698021312,E,A,C,E,-108.09029347587959,-14.564106287442927,0
M,19,E,D,E,E,B,-79.53375539311959,A,23.30368516958547,D,77.51990696859407,-92.64554266727957,A,C,D,D,10.915278670358521,133.29444903015371,0
F,52,C,B,E,E,A,-258.8178088219226,A,-66.76221962953773,C,72.81540615255297,14.180008493573279,A,C,E,B,-6.073987266514861,112.63301905170893,0
M,62,C,A,B,E,D,14.90115087900398,D,-53.30190799899764,C,106.83748214721487,-15.469337153376001,B,A,A,E,43.11889370309174,13.007873075273203,1
F,44,A,C,E,E,C,-170.19489912571362,D,-69.03220120154727,D,102.15221762425489,-206.95496354074345,D,E,B,B,-31.415476604651932,-166.02787953305565,1
M,66,A,B,D,A,B,117.00422619704544,E,-24.44249636223631,E,98.15960968415732,140.79233131730047,B,B,B,E,-46.22383827608216,18.209466653459867,0
F,27,A,B,B,C,C,-60.16511336166174,D,106.0851130773858,D,38.325004382941756,-187.2061454349442,A,B,E,A,33.71203981938764,-109.9616605180418,1
Female,57,A,E,D,A,A,-36.08739786380619,E,34.4975756386029,B,35.671616621379606,151.92907033231506,E,E,A,B,-54.65241963271017,-72.65761200109084,1
Non-binary,69,C,D,A,E,C,-28.733465732422296,B,-103.40893993555235,E,126.34170786995051,121.1394331758193,B,C,B,B,-28.76739817597867,-79.09430691109016,0
Female,52,C,A,D,A,D,71.14992196010157,B,-64.66402167334293,A,156.23028478435418,-78.34126382971765,E,A,C,C,249.7914863358171,82.33682312356804,1
Female,18,D,A,C,B,B,2.4117135904924596,D,254.31123945154508,C,-25.68416045421258,154.70095877039572,A,E,B,D,-169.1410792261919,52.67401935886489,1
M,50,D,D,E,C,B,138.65307768890705,C,215.0779071332148,C,-136.5550855990688,-76.31890440692989,C,A,B,A,66.4607890318273,-282.91617417505677,0
Non-binary,38,A,B,E,B,D,-48.17805462003,C,-157.67647688895,E,-42.149009028525704,197.15419724581005,B,C,A,D,41.09203440772502,184.19148981879962,1
M,70,A,B,D,B,D,82.13438081877041,D,157.752440200482,A,-231.17669075594512,204.84065067085245,C,C,A,B,-110.7500711738219,-3.12875049237286,0
F,52,B,E,C,E,E,-16.544230146121016,D,-84.6944908532665,B,-34.74003172651764,23.870649115424282,C,D,D,A,26.32312414635929,19.629382368130706,1
M,79,E,B,D,D,B,-44.69847805957741,C,-140.10365976845125,C,-30.022044307851203,168.37573136289012,B,C,C,B,-115.01446567612084,167.53284848040906,1
Male,48,D,A,A,D,D,1.4298797444187616,D,96.99631529277708,C,162.74705187558064,234.98667906544628,D,A,D,B,-27.850758070356452,-136.70311916216215,0
F,42,E,E,C,C,E,94.99810301297333,D,123.77342285470607,E,58.25349624535079,16.822190944018807,D,E,B,E,-57.8609692279213,51.169186939675804,0
Female,19,B,C,D,A,E,-16.68205569540959,B,126.30765769931776,B,-17.573839145249146,-22.98535722316441,C,B,C,D,-166.60816958165216,38.26777526280543,1
Male,30,D,C,A,E,D,33.11186836748294,B,58.45871933298905,D,-107.11469352246581,-17.95181487679599,E,B,B,A,-120.97284007009704,-119.18840382766311,1
Non-binary,31,D,E,D,E,B,60.992295555431184,C,110.33403459957323,B,91.89783256517782,-24.168336465488256,B,D,E,A,-102.12335586563046,71.62753131128176,0
Male,20,A,A,A,A,B,25.797664653268885,B,73.84887796278518,A,-53.472764120708675,-0.050412709840229775,D,C,E,C,-87.97579035077231,-120.10779894535169,1
Non-binary,32,C,B,B,A,D,107.95232755402799,C,-96.92259546959798,D,148.79320465120392,16.09822917634807,A,E,D,A,40.095772129447596,-14.01145115549941,0
Other,50,C,C,A,D,B,79.09220767086417,C,57.52413624204993,B,-12.789173012321378,95.19085269089048,D,E,C,D,16.005799420449453,-196.8912126673351,1
F,79,D,E,E,B,A,148.7120844142229,C,-141.67699777936164,A,-86.01393703040011,-11.097183291798977,C,A,E,E,121.57620441874879,14.936670187309147,0
F,22,D,C,E,C,C,39.53212205319574,C,-99.00524807330928,B,43.29970675379346,-110.25705017251451,C,E,D,D,56.653019113602745,115.67417078070426,1
F,44,A,E,D,B,C,16.92574591625787,D,-237.9077369594992,D,68.33963384381964,29.340436208835285,C,E,D,C,-137.14056592213626,274.04213916156056,1
Female,50,D,D,D,E,B,16.957310052488207,C,46.07836920772391,A,115.87599072449358,-158.32835012457653,A,A,C,A,-50.277337355550856,92.79651686239787,1
Other,47,A,C,D,B,A,-82.45144689397705,D,228.5170303574846,D,-99.1872473777502,22.514703939024653,C,C,A,E,-42.1922090421517,149.79932140382323,0
Other,72,C,C,B,C,C,24.848453224292612,A,-96.32997707527365,D,-14.062778291312528,-113.95328157323519,A,B,B,D,74.1450915104416,38.297926956030665,0
Female,74,B,C,C,D,D,-37.15682613780886,D,-46.576473810117776,A,-104.03518436195019,-63.96912760646134,B,D,B,E,-50.83559066341841,-41.95128695239857,1
M,61,C,E,D,A,D,-52.402219254265944,A,-30.37574537371011,B,96.8081598971769,-52.70548671391014,E,D,A,A,-125.77361104093731,4.965271964960574,0
Female,32,B,D,E,B,E,90.86578138170348,D,-108.44016143020671,B,77.42058055294943,-49.00849605736325,D,C,A,D,-125.10287301308485,-104.38749294711909,1
F,72,D,A,E,E,C,244.46288229062807,A,-30.47515567304661,A,80.34496450137637,-147.44648609956496,B,A,B,A,152.65998279237004,-27.897114265433824,0
Female,47,D,B,E,A,E,111.10007003800455,D,199.9156287522618,E,18.006285384486198,102.47772026591868,C,E,B,D,-33.487173936177314,117.97857247971389,1
Male,32,A,D,B,B,E,154.7334841349875,E,-239.9358537052915,B,32.65406785501576,15.409817065541992,E,A,B,D,99.06152990945158,62.33489720242298,1
M,41,A,A,B,A,A,27.265032972701388,B,-30.30217197373724,E,-22.499603394697047,-12.794448725290936,A,C,E,A,138.06701368833967,18.063366654824435,1
Other,54,C,B,E,D,E,-27.86969676561453,A,76.84477227156805,C,24.17682987217045,170.70902823546132,E,D,A,E,42.254518016240965,38.828598251196894,0
Male,56,A,A,E,A,A,-39.065027660730266,C,36.47158984770854,A,-16.563953289233503,65.33976459028183,D,A,A,B,2.3425806683126242,84.31510699200547,1
Non-binary,19,C,C,A,D,C,150.4897894782458,B,28.171023493349367,A,130.92811788772724,149.47715126375562,A,C,A,D,-20.050511193480585,104.54488027931583,1
F,35,C,C,E,A,C,13.101972461587028,A,11.967364397248543,D,11.0683797710361,118.3857166054542,E,D,D,A,-8.976267995654728,-318.98934034942954,1
F,74,E,C,C,D,A,21.216522071464393,C,16.0588050644956,D,62.79345148464574,-43.8729134709797,B,C,B,A,84.21936892269237,100.47792473900262,0
Male,72,E,B,C,D,E,1.8128674037831127,D,110.67680880002226,E,-27.492992575873686,105.94585565209937,D,D,B,B,5.0626917081106315,-0.08592963334480908,0
Female,50,D,E,D,A,E,218.71191779625156,A,8.236838805779287,A,9.821444665006403,50.93160211978481,A,A,D,D,-54.85830471732959,-112.46833149069622,1
Male,48,C,D,D,B,B,74.53536397385454,D,216.50338588574522,D,57.46035974394626,68.85777910808596,A,A,B,D,-0.716697177734296,58.6359546396732,0
Female,43,D,D,A,B,B,49.047365280056354,E,231.2419293955332,D,180.63170424793543,-176.53782359108894,E,B,E,E,-113.96313270621104,26.415383004180065,0
Other,19,C,D,D,A,E,101.47784658681296,A,-27.851545360742936,B,206.628062707055,34.31255798056464,D,E,D,A,104.36377828735928,214.87328623635472,1
Non-binary,59,A,E,B,A,A,63.55213007190289,C,66.796201147524,B,16.832060246139687,67.78543888978868,D,D,C,E,-73.06303412737041,75.31035023226406,1
Female,50,C,B,B,A,D,11.806074792236803,D,51.96558638480895,C,-181.62423813589393,105.72919652235629,C,E,A,E,-194.99892055082987,-6.133998857816372,1
Non-binary,19,C,B,C,A,C,18.154591136667122,B,-58.38545853354133,A,101.76636033962664,44.78098886706171,D,B,A,D,-98.00600594788106,-98.01521879152885,1
Non-binary,26,A,A,E,B,D,-51.92518566133505,B,-67.14166755322846,E,23.214830288516023,75.74574114421053,A,B,B,B,-190.87809776354675,1.6443700762126263,0
Other,34,E,E,B,B,E,-42.04662902697075,B,-9.051441807590416,A,178.6491869600487,-50.80336673215163,C,B,C,E,46.30765303820205,33.20696253047604,1
F,24,E,A,D,D,A,124.28574629324743,D,104.88940027234297,E,-172.31813526618367,192.30506727332775,E,A,E,A,-14.378410531248061,107.48750315491813,1
Other,47,A,B,A,E,C,-91.70547306563638,D,33.992577417609546,C,67.08573447271384,-216.47123066734477,A,E,E,E,6.828993555772625,172.77611893369468,0
Male,73,E,D,A,C,D,-61.568091320398864,A,-81.88540870895363,B,143.44657000916564,-18.927336590597633,D,D,B,D,-111.78018061770065,45.57640795023276,0
Male,39,B,B,A,E,B,-21.48467819614599,A,-6.793855775363459,D,106.35420128032986,-175.73011422121206,E,C,D,B,43.129625537052306,190.20051312006646,1
F,67,A,A,E,C,B,86.53944751884268,A,-71.58494836255582,E,93.77605698600182,67.12857986780641,A,A,A,A,94.22770218442253,81.50399560844382,0
