handicap,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
None,36-50,D,71.7570155903268,-35.05539984745529,73.1697242161932,C,B,73.93774356185325,A,32.9159048904783,B,0
Yes,26-35,B,-61.83981469100467,29.787410761096744,64.36349016946795,D,B,112.81051332808958,B,79.20808413287668,B,0
No,36-50,B,-21.01536489541358,77.65003070825514,57.018947511211096,A,E,-312.16175197592895,C,2.1502421144825106,B,1
None,18-25,D,90.65567205103486,-181.28315534801703,115.33780107871277,A,B,-38.43336698379575,E,51.320347217226406,E,0
None,51-65,A,9.078642074660873,-18.489707384837565,53.34732883902655,A,E,26.925993266070087,A,152.17031316097285,B,1
None,18-25,A,100.51203734304697,-41.39738451938128,-15.935445680639182,C,A,121.3148807069317,D,15.079104151583097,C,0
None,51-65,A,73.69521787696831,-60.67993320202616,7.2768047376485,D,E,2.2896150416639522,C,25.932752083742955,E,1
No,26-35,C,183.69785138532302,52.54221646405634,126.97709843492761,D,C,-85.0785078900351,C,-129.68820271653482,E,1
Physical,65+,E,21.625700139867256,-18.130925797507196,24.58730249614479,E,A,-2.1236213393067915,C,-21.472507794233145,A,1
No,26-35,E,-169.44649315373823,-1.7309059714122863,29.963249618316468,C,B,9.083414804588331,A,51.87599531305839,D,1
None,65+,A,4.259291774823675,-15.547989286991577,125.77862369545994,E,E,-93.03852367754835,C,71.61907101253031,D,1
Yes,18-25,C,43.43403160455262,28.70911937714488,-131.51718470683613,C,A,212.13645321828713,D,216.12870325684673,A,0
Physical,65+,C,-93.6678425400625,-5.75206118226828,177.82047143578475,E,B,-54.32762315209085,E,67.88705587897897,C,0
No,26-35,E,32.716036607080206,5.662780118718863,-31.129004208373125,B,E,59.742844480239945,D,-180.80752066483177,C,0
Yes,18-25,C,-48.02698148776547,130.6217266121297,-67.9923613449551,B,A,6.549961786608398,A,-7.949579529956276,E,1
Mental,65+,B,-43.99492129276975,-104.38047407637059,-123.38442138971617,A,B,-163.39936236982422,A,89.26064893963877,C,0
Physical,65+,C,-65.10576429998687,-42.79847994852181,109.81755158614818,B,D,96.52538678388832,C,-171.0872836403503,B,0
None,65+,E,-58.05623676285408,-3.2852884206474116,-129.78365762684643,D,D,-69.7927311345419,D,-53.413868967743404,C,0
