Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
No,C,B,59.64133799491712,D,A,D,D,-24.205535649872868,0
Mental,C,A,-100.83835497085202,E,B,C,C,22.279520869461606,1
No,B,C,78.7276905347761,D,E,C,B,-106.09000812011308,1
Mental,C,B,-23.607496768824298,B,A,A,E,82.53061041316444,1
Both,C,E,10.482651435780664,C,B,D,E,-33.15804302335902,0
Mental,B,D,-68.52909974904199,A,B,E,B,-144.30509612182462,0
Yes,D,E,31.757623788520505,A,B,A,C,-115.04220071267244,1
Yes,D,B,109.03567719603244,B,E,B,C,42.98494458889074,1
None,A,E,-143.80627499862777,B,D,B,D,67.77418104750403,0
No,C,D,-200.3651280336852,C,D,A,D,111.24122669772618,0
None,D,E,1.5727289458566354,D,A,A,B,-18.385285455793476,1
Yes,A,E,23.164481060890378,A,E,E,D,94.93979260837548,1
Yes,C,B,50.4902111880606,C,B,B,E,142.25277153354605,1
Physical,C,E,46.58979430515572,E,B,E,D,-40.571762661667535,1
None,E,A,44.00631134850327,E,D,D,E,80.23340743115398,1
None,A,D,-82.59725498692876,D,D,A,E,-53.42693935920024,0
Both,E,C,-21.849178583998828,C,E,D,A,-39.71378829098837,1
Physical,A,C,84.98294531728769,B,E,B,A,14.674502293482561,1
Both,E,A,214.34794366918766,C,E,E,D,-146.87615239726173,0
Mental,B,D,37.34681016240688,E,B,D,A,-87.40504261414176,0
Both,C,D,-11.35623430071685,A,A,C,B,0.2192770025113761,1
Mental,E,E,-8.372837363761711,A,A,A,C,135.88437642139786,1
Physical,A,C,145.90703187551944,A,C,E,E,101.74318898656693,0
Both,D,C,-103.36380458870356,A,E,D,C,-0.18320313851263836,1
Physical,C,C,-70.93880802989763,C,A,C,A,-6.6867858672568765,0
Physical,C,E,-27.47506608448979,B,C,C,C,23.245783735155566,0
Physical,C,B,-17.294254038229447,C,D,B,E,-79.30102303975944,1
Yes,C,C,65.76940444714204,A,D,E,B,-71.62602359383835,0
None,E,A,-215.85594036995852,B,D,B,B,42.61641516646853,1
Both,B,E,6.847311961070912,A,E,D,B,122.1661466099881,1
Both,B,B,29.76466403404146,B,E,B,E,34.27461851803197,0
No,A,C,-58.79991189653752,D,C,A,A,-52.91767069960489,0
Physical,B,E,-344.9124653688815,B,B,C,A,-49.785946247660405,0
Both,A,E,92.90174127452579,B,C,E,E,-186.57052127984218,1
Yes,E,D,-75.90614291390057,B,D,B,C,-35.154490297667785,1
Mental,A,B,7.829357132067884,D,E,A,A,-161.78768208274272,1
Both,D,D,28.417511871483605,B,B,B,C,83.89754293110525,0
Both,D,B,144.09438978814507,E,B,E,C,72.77329780442933,1
Both,A,A,19.2877209149515,B,B,E,C,-2.767722046014342,1
Mental,E,D,76.27578476784973,D,A,E,D,72.84994163228657,0
Mental,D,B,-238.37127393151079,D,B,E,D,-126.32463862657994,1
Physical,C,B,89.40733917944391,C,A,D,D,147.5217301366527,0
None,C,A,204.17777792507556,C,E,D,A,-246.41461824115552,1
Both,C,B,-71.56496231655247,B,A,E,A,-14.881523405743055,0
None,E,D,64.85355554463096,C,E,B,B,194.21977470404846,1
Yes,B,B,-92.18828118408837,C,A,E,E,-109.03456163783132,1
