AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
51-65,E,159.68580614740713,D,-17.09687764505769,E,174.58132047306142,1
18-25,A,-109.65714662242165,B,-0.13238849370191982,B,138.63759327575792,0
36-50,B,6.6732473722141945,D,-13.262083714070878,A,77.90289617704224,0
36-50,B,203.60129034801307,B,54.32634029833762,D,22.543550606918956,0
65+,C,-64.22549727200033,D,13.445649775060723,E,124.51348538940312,1
36-50,B,187.00732097108693,A,47.85561518370952,C,-8.221502983848227,1
36-50,B,-36.93760780556893,C,-41.67132124997523,C,-211.07948813786578,0
65+,B,-148.65696418723385,C,-146.66674256007147,B,77.01253497741727,0
51-65,D,161.76882428720026,A,25.229515996187104,B,122.54110561179145,0
36-50,A,-19.084732322282765,E,111.13717198441834,B,-91.00703341569488,1
36-50,C,-156.4457153804128,A,59.37881922417859,E,-376.80494263226836,1
18-25,E,155.8701438936032,A,-23.95269223601756,E,-230.85138420222887,1
51-65,C,62.150554518248654,E,-117.2681526704733,C,54.99670023958819,0
18-25,E,196.1471468786593,B,-41.50825849448842,D,51.59846166470279,0
18-25,D,26.38289551797727,C,123.92459655795689,A,-14.124525207522238,1
36-50,A,-37.531689538683366,E,-21.02100174281904,E,-11.79126294915256,0
18-25,B,149.22590516182984,B,-54.675096127901526,E,-19.74498425680736,1
26-35,E,116.36411687567887,A,112.15733941227279,D,86.00410881153479,1
26-35,B,166.47401044380084,C,13.230917551236812,B,-15.557831863945742,1
65+,C,-10.696339093649005,D,-123.23311536730732,B,-113.43397191838791,0
26-35,B,139.63461817190924,E,82.89770924670646,B,121.32441080930765,0
51-65,E,83.53933694719757,E,-125.72835313004971,A,-4.114891087980315,1
18-25,E,11.392106297676555,A,-117.60773185676679,B,-103.84491217694276,0
18-25,C,-194.13371854499687,B,-18.226714016329357,B,-52.613018589864424,1
65+,A,19.9612016428757,A,-117.50104597686888,E,133.70582628892407,0
51-65,D,57.14608651202144,D,-62.616908035127494,C,18.116738335755755,0
18-25,E,-89.06728868715538,A,91.17426678067841,C,-93.93710688944947,1
51-65,E,61.99188514462296,E,-130.7509943382904,E,15.858097230732785,0
65+,B,-108.50321693763883,E,-66.84489345788194,D,8.18340678544098,1
65+,A,43.18616135123536,C,39.84659444578275,A,55.17165993291845,0
36-50,E,104.47787982909966,D,59.50070540698431,C,27.073985698748988,0
65+,B,-164.81159409786278,D,182.12420955266012,C,8.772551299602503,0
51-65,C,-23.81218879888009,D,30.569184888493517,B,13.61994965216778,1
65+,B,7.7205085857863125,D,-132.51024694273787,C,-148.97501858564263,0
18-25,D,59.75417502498003,D,-65.22445243361722,E,57.19875962189958,0
51-65,B,90.95812755667532,D,-88.38558527250183,A,0.6874545480628381,1
65+,A,-17.17314317691748,E,32.68651321206838,B,104.03942643963342,1
26-35,D,-66.85672685967845,B,46.28236826060142,C,14.223583356029199,0
18-25,A,38.857263568969486,E,-3.9289177671980653,B,90.72554972952783,0
65+,E,-157.65075498236115,A,-96.62741114752033,E,163.53482744727103,0
51-65,D,86.34047669655233,C,-371.50458536109346,C,-34.977094384903616,0
18-25,A,23.276838619148037,B,13.200303693547056,D,115.4791632160084,1
65+,B,-45.04169956165545,B,-23.360036156567748,E,-268.72284687702177,1
26-35,D,-102.31027878885548,A,-21.993868961121283,E,109.5625068087493,1
26-35,C,-110.7694512990224,A,-144.31723584561362,C,-2.4248207016234073,0
51-65,B,70.12842445355079,E,-17.659205772835552,E,30.418426639987327,1
65+,C,98.73291713829234,A,-72.24075319485547,D,225.70361148648752,1
36-50,E,-23.00849815640195,A,157.12803784072543,D,-94.73428718519023,0
65+,E,-10.227963555088463,B,-62.580555685463814,E,-124.37725980215274,1
18-25,C,-41.57140484538153,C,-69.29672681253665,B,56.85694198628087,1
18-25,D,144.19944519127162,B,-67.44333700254305,D,-92.40151590248259,0
65+,D,-33.40593477867216,C,-9.530359413285394,C,30.512147764919835,1
18-25,B,-18.889785305413977,B,-0.8128318292473936,A,27.465180263530577,0
51-65,A,18.821733593427837,D,24.66674527175081,D,98.4716705185422,1
18-25,E,70.96478404808576,B,-124.2236634580983,A,22.46464237761839,1
26-35,D,29.76084610142734,D,53.526352188690126,D,94.99249301301013,1
65+,D,-40.038770139086694,A,83.9994113716541,D,-73.22672928853571,1
65+,C,6.64562266424493,D,99.97352503257025,B,-135.04815752465652,0
65+,E,-61.34952877047773,D,-187.41683712466775,A,-195.5178447657599,0
18-25,B,151.1791087915161,D,183.25331854618003,C,100.74420742017757,0
18-25,B,12.770996006771975,D,-43.701875002050066,A,-20.69846092558153,1
65+,A,-39.97336993285417,A,167.53873463005928,A,-139.42831326895168,1
18-25,D,193.40869688753074,E,62.50619433818454,E,160.51510346143255,1
36-50,E,-123.74247621898542,C,-220.44445450454853,B,-66.70013231950927,0
18-25,B,-18.33729960914081,E,180.65363006155647,D,-179.1941534399224,0
36-50,C,-20.101167535685704,E,-8.686047721058987,C,83.34186126041246,0
18-25,C,23.908836314452607,A,-105.03283926938194,B,171.03007834156853,0
26-35,D,6.279274402404438,D,43.83425571679114,B,-48.59781477875064,1
65+,A,129.40852466917215,B,-64.16233803846309,E,-195.23802391112596,1
65+,E,15.896248747773207,E,-0.4803365686814145,C,-49.83187117524422,0
36-50,E,82.27180348690224,C,-41.160600097986745,E,-145.79360734403167,0
36-50,C,41.43139078367573,D,8.729854782353868,A,-114.68112913036774,1
26-35,E,-84.9467426024547,C,200.78194947826336,D,59.13641171118247,0
65+,D,78.90271227802302,E,10.708880234914545,D,-126.53506870810138,1
