age_range,religious_affiliation,military,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
26-35,None,Non-Veteran,Asian,C,E,-116.27031511864338,B,B,D,84.52501814504457,-59.759084803855124,A,-152.30662615002038,E,B,-87.42418742258901,-52.771185344872386,0
36-50,None,Yes,Asian,D,A,3.6662156152206733,C,B,D,60.529953651817195,61.77441344392274,E,-338.38330884913677,C,D,66.350858650228,-72.65020952394671,0
36-50,Other,Non-Veteran,Black,E,E,23.532379510310022,C,D,B,19.123455870314505,103.4703032872637,C,92.88854125495925,D,E,-88.13977407060409,14.373050231694343,0
26-35,Hindu,Veteran,Asian,D,A,32.81388667906889,E,C,B,11.612477548590478,-193.12149945482605,C,-9.733076740958332,E,B,-38.61313939239334,82.30244765182472,0
18-25,Jewish,Non-Veteran,Other,A,D,-53.30862339265057,C,C,C,-68.73407380129689,-139.65276239693677,E,-67.79991660579195,C,A,30.883412248501763,49.84320805466433,0
18-25,Muslim,Non-Veteran,African American,A,C,99.44388327578126,D,A,D,32.73129852924979,-150.7379735945704,A,-31.09094260672735,B,B,87.01891933195779,75.71456144671906,0
26-35,Hindu,Yes,Other,B,C,144.14765181541586,E,C,E,-53.14337588936111,-64.69612418894566,B,71.683813800232,D,A,-14.83469918166068,47.19592350792579,0
26-35,Buddhist,Veteran,Hispanic,C,B,10.566015837420045,C,B,A,41.51702000083348,66.15649411090932,E,137.76985391060973,D,A,-39.266150829441855,162.85450871425888,1
26-35,Other,Yes,Black,A,C,-3.9981158601067532,E,B,D,-236.58177139650056,101.15115862500872,D,95.47716697264352,D,D,32.11964162048231,34.423692831472366,0
65+,Christian,No,White,A,C,42.65527974246543,E,C,A,-150.85004601843968,-105.05704944134354,B,82.48097115752624,A,B,37.03647137224056,-31.692235392352195,0
18-25,Hindu,No,Hispanic,E,D,96.43050200355125,C,A,E,-45.85312151463018,-42.54323146690292,B,-65.805423473532,B,E,-64.70778159677323,47.844952922758324,0
36-50,Hindu,Non-Veteran,Hispanic,C,B,-72.89912142709014,A,D,E,-30.128902338875946,153.39473446168643,D,-46.07589504787381,D,A,121.18051768993709,-71.0654571688392,1
65+,Buddhist,No,Hispanic,D,A,-124.0523633306759,B,E,D,13.534979322182677,-112.76954622737262,C,31.34017329605015,B,D,-96.01124474493432,-81.93622290718203,1
51-65,None,No,Black,C,D,66.1900968528056,A,B,D,-210.26894649038846,23.62993413342093,A,34.082611727306556,D,A,-75.57701827550434,-176.86681596643663,1
18-25,None,Yes,Hispanic,B,D,16.240350837028693,B,B,D,-27.2426814478952,-9.176311398988425,E,3.9836966375658798,A,D,132.71480756647355,-41.06713308927384,0
18-25,Other,Veteran,Other,B,D,60.1165707583419,C,E,B,-51.25206694498561,72.54527357047466,A,69.14325084711218,E,B,128.3745465767984,20.028338162214677,1
36-50,Other,Non-Veteran,African American,B,E,-7.796168754617343,B,B,E,-256.4303555424166,21.238462226475345,D,82.72167956500759,D,C,17.90933587354703,35.88856301659658,0
36-50,Muslim,No,White,D,A,-46.6528777676995,E,D,D,121.09038283275144,112.22013512134481,C,70.71340635230835,B,C,210.93639714336604,74.95143953302149,0
65+,Buddhist,Veteran,African American,A,B,57.15298605070818,C,B,A,128.7414162248615,-170.046954082187,B,197.85197877379701,B,E,-157.0181125202587,-20.43546400801213,0
26-35,Muslim,No,Asian,D,A,302.6617200686526,B,C,D,-3.4178563805156625,-16.983186725893113,A,83.22829705975023,A,A,-71.58890219267646,-55.965004753983685,0
36-50,Muslim,Yes,Asian,E,A,68.61021946198359,A,C,C,-180.2985493549294,13.703176410084215,A,-105.06583451897103,A,A,44.57481613909424,-101.66731512250978,0
26-35,Christian,Yes,Hispanic,A,A,115.27588362892706,A,C,E,93.0655440080694,-67.49420253906919,D,55.08314595150192,A,D,-112.70745798320804,39.601801005173975,0
51-65,Buddhist,Veteran,White,D,B,-97.64652982327412,D,D,D,181.54045096092565,-57.93664637422488,D,-154.8206013805445,C,A,-21.995521167473797,46.210831938047754,0
18-25,Hindu,Non-Veteran,Other,D,C,-4.158985187733891,B,B,B,-229.05605194717555,-108.02529179353124,C,44.05843423736574,A,D,123.90736175407883,-25.223034205273866,0
18-25,Hindu,No,White,C,C,-62.1060591675158,C,D,B,100.61316766111712,-81.5366965685473,C,-58.362969977080134,C,A,-35.79574113441183,104.16137992946936,0
51-65,Buddhist,Non-Veteran,Black,A,D,-4.474149067538047,C,C,C,-77.40442030200983,-77.61122687161107,E,188.061958564097,E,B,85.81695110140392,78.63531349194824,0
26-35,Hindu,No,African American,C,B,-120.76631900866248,E,E,A,78.24431588755003,92.58482558376357,E,69.0647810484689,C,D,26.633690788273412,-59.61609783025994,1
26-35,Buddhist,No,Other,D,B,131.04456768055442,D,A,D,-91.01239415462757,18.277362551574345,A,-30.13764878048711,E,B,41.75358644517841,103.79960611988356,1
51-65,Jewish,No,African American,B,B,143.9422141804929,D,E,E,36.49303034948136,142.11834722221403,D,148.02257345784156,B,B,3.6091733422947034,81.21744835471587,0
26-35,Hindu,Veteran,Asian,C,E,-3.4461326033089925,E,A,E,16.49805497251493,-26.11436940816507,B,-240.4164796633773,B,A,-111.05319673172932,34.811619059909425,0
36-50,Buddhist,Non-Veteran,Asian,E,C,110.71550546397518,B,D,E,-19.426833978429503,-201.29040354583117,E,-33.54251309747702,C,E,9.188445349631408,51.470506548173034,0
