faith,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Muslim,Divorced,C,B,A,A,-182.83702224077888,-0.041912536117850105,27.72446936486314,C,161.23784705438914,-15.882332042728917,C,-22.436107924699304,D,D,E,C,B,B,49.30259310951663,1
None,Widowed,E,A,D,C,-19.410903115071193,-101.33269225766475,164.6281611925971,D,181.54143113465696,26.72496923445277,B,-142.22655841599078,B,B,B,B,D,D,-27.330631826187783,1
None,Divorced,C,E,A,D,137.83476640875372,25.530324056416166,128.09976570552507,B,13.492017973498196,160.40814438978123,E,-50.426541281765516,C,D,B,A,A,E,41.1903969257225,1
None,Widowed,B,E,D,A,-106.8416709738744,-238.4074633592017,41.56078103622891,B,-147.68277439336882,-93.82427371377779,C,-186.60412189510708,E,D,B,B,D,B,-28.229105754632407,0
Other,Widowed,B,B,D,D,-64.4732579824175,17.982534796958127,81.12857492086046,C,213.6448954916764,37.40114544344109,B,-123.86708067533479,D,E,A,C,B,B,-70.562939024143,0
Jewish,Divorced,B,B,D,E,-31.931315374636753,-29.214420088766797,52.64354635005448,D,81.9453794414008,25.05393699095244,E,-87.71283917100295,B,B,C,A,A,B,39.62978582613958,1
Muslim,Married,D,B,E,B,43.91007663769081,37.19267595703801,143.76228979201414,C,36.78738324922297,-17.436704961477574,A,34.22245923128723,C,E,A,A,A,A,-19.639711418483337,0
Jewish,Divorced,D,E,B,C,-82.25035433736791,34.576420974777314,-104.05924967657532,E,6.48250550061249,-5.766958057996834,D,-69.01890802050463,E,C,C,C,B,D,-218.54489354886363,0
Muslim,Widowed,D,E,A,B,-140.59659381437191,-122.2132704632589,265.95648600406554,A,-112.53240944629238,2.9293480907364238,C,187.73345194514667,B,C,B,C,B,A,114.18649468854092,1
Jewish,Married,B,E,A,B,20.411368873886122,-45.90297076510287,262.1488182343978,B,100.83054878591393,79.63244303398868,C,253.40138322744087,C,C,D,B,E,A,-0.7274493224763845,1
Christian,Married,D,D,B,D,115.67715090000668,121.44267204072419,-43.55544623103963,C,32.80008528408439,-97.23388107000231,A,27.760468276419587,A,A,B,E,A,E,-125.72997976973778,1
Muslim,Widowed,D,E,B,B,-60.00693720392846,-56.19850598750672,-174.9063920460491,A,-8.06279527052131,23.70906419403286,A,-4.781610701978989,D,B,A,D,A,D,2.547464416774963,1
Other,Single,E,C,B,D,-6.47796202823797,-46.66754717345936,56.89808025588922,B,-3.906933024544075,-1.0730117162850865,A,89.01046475828687,A,C,D,D,B,E,28.279028259162352,0
None,Widowed,A,D,A,B,26.285443548081417,26.20857585847825,-207.21708924150826,E,50.2607617082106,-164.30003166319716,E,58.99477410304795,A,D,A,A,E,C,71.59350912639849,0
Hindu,Married,D,A,B,A,33.64540170855838,-88.4929647710684,50.42621710878387,B,106.1511568990056,151.03318232439275,C,168.23922950716238,E,D,D,E,A,E,-20.57098441246559,0
