sexual_orientation,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Heterosexual,43,C,E,-89.26516263801206,-198.18605029935955,D,A,C,D,E,28.054584469267517,1
Heterosexual,80,D,A,8.493959747581997,-136.8799279878399,D,C,D,B,B,151.19711550125805,0
Heterosexual,82,E,A,-98.61976410248833,-97.76636094085318,C,B,D,E,B,-159.51394802004003,1
Homosexual,50,D,B,-159.2775988894406,10.263140924111884,B,B,A,D,B,-41.64273664114552,0
Other,80,B,D,17.652606528824215,-159.25469442260373,D,E,E,B,E,183.94962759038452,0
Bisexual,41,A,B,-57.65309373280269,203.55080380172618,A,B,B,D,B,194.65746616838487,0
Other,47,B,C,169.69375777487363,-162.6473615698081,C,B,A,A,E,14.386185752866618,1
Homosexual,73,C,B,55.972076481099485,1.5293966606668798,C,D,E,B,B,-67.20212364650826,0
Other,95,B,B,12.752820130268482,-20.60173437323285,E,E,A,D,C,62.969089943013024,0
Homosexual,39,E,D,-109.65364650369702,55.34232221235759,E,C,D,C,D,200.25952892787885,1
Other,41,A,D,10.758756343304189,123.47603848574784,C,E,D,B,B,-3.6717720429403506,1
Heterosexual,83,B,E,-81.01528630070973,-46.39441360035189,E,D,B,D,D,18.194169135790293,0
Other,97,E,A,4.629017959515644,51.78484925397423,A,A,B,A,A,42.04942460925198,0
Bisexual,56,C,E,120.07599495803095,-3.2654785517309213,E,B,C,D,A,-21.45266190736004,1
Other,34,D,B,-99.05718370668147,4.01699816839776,C,D,C,E,B,33.17460080008405,1
Bisexual,85,E,E,141.5825057199596,-81.72707507790201,C,D,D,C,B,-116.27968515557325,0
Bisexual,86,C,C,26.61751265181908,-57.13195622034101,C,E,A,E,D,-63.9634404838612,0
Heterosexual,82,E,C,-24.60779047978324,-246.9825330185412,A,C,C,E,E,211.2426450788694,0
Homosexual,30,A,D,-126.14960796241972,41.93499993850089,D,C,D,E,D,56.67217662951519,0
Homosexual,63,C,A,119.45715584351203,-160.59345796292044,A,E,E,D,D,-55.51864293978023,1
Heterosexual,75,E,C,8.940565800960583,-8.311780050672855,A,A,A,A,A,-112.04105721758879,0
Heterosexual,63,C,B,116.69352547897999,-104.14338967287674,C,B,E,A,A,-211.42912858869153,1
Heterosexual,53,D,C,222.72576372109398,-103.54488826090495,B,A,A,C,B,53.18220279299345,0
Other,65,D,C,61.673292005326694,104.23431426282438,A,E,A,A,E,1.0010139778026472,0
Other,65,E,C,100.00771378948497,22.95018061672519,C,E,D,A,B,175.23641011324773,1
Other,96,A,D,55.81612362024085,87.9712226810036,B,A,B,E,C,-50.836671676189184,0
Other,62,D,E,-55.40178416808379,-130.3206413862418,D,C,D,D,C,37.83447771306568,0
Other,37,D,D,-112.0958840139945,113.57587524891895,B,E,B,C,A,11.1535081213925,1
Homosexual,52,B,C,-212.34365018388624,12.613744480851686,B,E,A,A,E,-104.77855799079161,1
Bisexual,86,A,A,41.230940900595826,-49.325185376058236,D,E,C,C,C,-4.969007259980953,1
Other,22,A,B,-67.21610642924745,-19.420481716450116,C,D,B,C,E,39.171296819046105,1
Homosexual,45,D,A,24.01940660205712,-68.1233274800964,B,B,D,C,E,86.42833337531545,0
Bisexual,18,E,C,21.02097924175613,-65.9587052573246,E,C,A,D,E,-53.04470535365542,0
Homosexual,77,D,B,32.35657113757372,-15.573744971926354,C,D,E,E,C,8.33592463636024,0
Heterosexual,34,C,C,137.42949348376712,71.22624391304254,E,B,E,E,D,89.00124478181154,0
Bisexual,64,B,E,-3.959504180184041,-77.96433551038109,C,D,B,C,A,-34.52791807370698,0
Heterosexual,46,A,C,12.307132834180253,50.87024842192556,C,E,E,C,B,-7.943183677652474,0
Heterosexual,59,B,D,87.23608838039654,-233.66529655363954,D,C,C,C,C,-105.14348834628493,0
Other,47,E,A,217.24372174654678,-301.22495497442407,D,A,A,B,E,-54.573363104808614,0
Other,91,D,E,104.4526074569069,45.07033933077472,E,E,C,E,D,-172.00726425442167,0
Homosexual,75,D,A,87.33185009770949,94.89968481189119,E,B,C,A,E,-76.86107320324528,0
Homosexual,30,E,E,-10.277812604381925,90.37399287572457,C,B,D,D,A,111.71275387314607,1
Bisexual,26,D,B,-141.2239635690724,48.10583782211156,C,E,B,C,E,-43.7262877629779,0
Bisexual,88,E,E,-32.971995766718734,-60.0743670370255,E,C,C,C,E,-108.13754164651439,1
Bisexual,62,D,C,-63.049208933365755,28.466354928390764,B,C,B,B,D,-17.04319641637414,1
Other,69,A,B,-76.93327708997374,145.42122269836054,B,B,B,D,A,-74.93289248442099,1
Homosexual,38,A,C,-73.44476464925452,-78.58499208302784,A,E,B,A,C,19.74083647542119,0
Homosexual,59,E,A,-60.78836449928542,-93.39515298371794,A,E,A,B,D,100.78906810351987,0
Homosexual,95,E,D,-73.24034210441597,5.219903213025797,B,A,C,A,E,154.2688194641887,1
Homosexual,78,E,B,-1.8801103033211575,98.02233600930528,E,C,C,E,C,99.60331998023638,1
Homosexual,21,A,A,-67.86458968305152,219.64639336998184,A,E,C,A,C,-101.2387831080726,1
Heterosexual,24,B,C,147.9644034048533,-137.50782642938358,D,D,D,E,A,69.52056899868712,1
Other,31,B,D,-40.99481845538206,-38.75920914216135,D,E,D,D,D,278.26706221818245,0
Heterosexual,84,A,C,25.216957944186447,89.54587813918191,C,C,A,B,D,-248.1982545144126,0
Bisexual,34,E,A,-60.491102785273135,96.96206428223374,C,A,B,C,B,74.1176135456668,0
Bisexual,96,B,A,263.41996969116224,199.18860652375682,B,A,B,A,B,-0.33291697751357946,1
Homosexual,27,B,A,-0.19511552360742956,64.67814133873834,B,C,A,B,D,-147.9254629538867,1
Bisexual,19,A,D,26.8027649960544,-52.21830512197682,A,A,D,B,B,-156.02757063384587,0
Heterosexual,47,C,A,26.724520815886542,90.08570312702699,D,A,B,D,C,61.50753771193707,1
Heterosexual,83,D,B,102.17802422183505,161.48194788720107,B,A,C,B,D,-206.83314048248724,1
Other,39,A,E,36.01954500175138,87.16123291493662,E,E,C,C,D,38.196474786917825,1
Bisexual,61,B,C,-70.65080828267669,-0.9760479083587823,A,D,C,A,A,-76.73234061430814,1
Bisexual,42,E,A,-308.32479884962925,136.11794773882383,E,C,B,E,A,59.35261347569519,0
Homosexual,96,A,A,74.42086543433109,-57.140419761203376,E,B,D,E,A,-14.661829243722927,1
Heterosexual,32,C,E,-74.28523034279087,18.666614746376737,C,A,D,A,A,130.59986404836215,0
Homosexual,20,E,C,-155.74722793273037,26.556156547222297,C,B,D,A,E,2.2057539678637843,1
Homosexual,89,B,A,-17.837708145456403,-19.375404024896252,D,A,B,D,B,-231.63670180222152,1
Bisexual,35,C,A,156.1231641410364,-205.00876821155512,C,D,B,B,E,-41.940548323342945,0
Heterosexual,33,C,D,97.62866853569605,-9.989832148665839,D,A,C,B,E,-9.748390234175396,1
Other,56,B,C,12.280393772028853,136.56296557672235,A,A,E,D,B,-190.93332620681252,0
Other,58,E,E,-51.01899189824392,-70.43561469247447,D,D,C,D,E,-37.81944299994973,0
Bisexual,81,B,B,53.10726963879788,-194.9075334149268,D,B,A,D,C,144.97446952716444,1
Other,92,A,E,-73.43146204838422,-134.77958024009618,D,E,C,D,A,-55.717541474273894,1
Homosexual,51,A,B,-14.694803968901333,55.40703668433614,D,B,B,E,B,-18.73145755658174,0
Other,60,A,C,2.9480896735144686,93.36620158057302,B,B,B,A,C,-29.053419537249916,0
Bisexual,58,A,B,32.263586758450465,117.13259888923311,A,D,C,E,C,-3.7322566256556966,0
Homosexual,83,A,B,-68.82364846045839,64.08352539539753,C,D,B,B,E,-256.4046542489447,1
Homosexual,30,C,A,100.12316225241729,-0.028709109716486134,E,E,D,C,B,-72.98035140935552,1
Bisexual,22,E,A,23.603058906888112,-49.08975466647179,C,A,B,E,A,-59.66141073303118,1
Homosexual,99,C,C,5.940988572561277,-12.416620599672811,E,C,D,D,C,-48.49841905710289,0
Bisexual,40,E,B,-90.84696169570836,22.506960635877522,D,C,A,C,B,-77.65468822865503,0
Homosexual,58,A,E,-25.971934513667637,-39.85880206796302,B,E,A,B,D,86.53883755803474,1
Heterosexual,98,D,A,96.71987427739357,16.939870551319054,C,D,C,E,B,-72.29371983640563,0
Other,36,D,B,92.33788536476317,-29.660344289781733,A,A,C,B,C,-232.61750809012796,0
Heterosexual,24,C,B,-10.45109284393075,-177.05100558702335,B,A,C,A,C,96.09549352551518,1
Bisexual,36,B,B,0.5208249706604208,73.69530312271655,E,D,B,D,C,44.66071450010228,1
Bisexual,18,D,C,92.88448784924759,-14.793555390203508,E,C,E,D,B,-116.60372464760135,1
Heterosexual,54,A,C,-107.19947766496054,-80.89772791959298,D,A,E,B,C,27.248229487790983,0
Bisexual,27,C,B,6.714235739366719,41.29226735001495,B,D,E,C,A,147.3704935924846,0
Heterosexual,76,C,C,-57.45980728015906,-22.60628118053605,C,E,A,B,E,-24.2550091262152,0
Homosexual,85,C,B,-1.9256496333375033,97.05945068641063,C,A,A,B,D,74.87945142179204,0
Heterosexual,58,B,C,151.74005245721477,5.778873929059596,A,C,C,E,B,12.845354373470194,1
Heterosexual,77,B,D,-133.41331461264497,-266.0481411221449,B,C,A,C,A,180.92201247474026,1
Heterosexual,49,E,A,-72.18939926943757,84.79737900753707,B,B,A,B,B,110.52403030037661,0
Other,53,C,C,-2.8420532578798823,-21.329533692918275,E,C,A,E,B,-70.10039569129887,1
Bisexual,81,A,B,-68.80858863999948,82.89115691972953,C,D,E,C,D,-81.11011513103121,1
Homosexual,52,A,A,-78.02480310365574,108.06992571806313,D,B,A,D,C,-84.58217062940572,0
Bisexual,50,E,B,-32.184610352662624,5.2085105725564285,D,D,E,B,A,101.4744821957945,0
Other,32,D,A,-119.65503534779029,-164.37461038746153,E,E,B,A,C,-171.503374301482,0
Bisexual,48,D,A,-8.568503613279812,88.0685254401535,B,C,C,C,E,-36.978010839318365,0
Other,22,E,B,3.3772201240489186,100.34973192771315,C,C,A,E,E,30.97996106395684,1
Heterosexual,34,E,D,-81.65207006651323,-86.08008902126001,B,A,E,A,A,-59.85451960148846,0
Bisexual,22,B,A,226.64878984979944,-91.96600364191053,C,C,D,D,A,-57.234661195157166,0
Heterosexual,36,D,C,-60.42423730631694,-20.101831746941947,B,B,A,E,A,29.878307882762616,0
Bisexual,98,A,C,-61.90232470522129,-79.0722153417187,E,E,B,D,E,63.625526955050084,0
Heterosexual,40,B,D,-183.49137545431267,23.051123115064055,C,B,C,D,D,-8.71636369975303,1
Homosexual,36,A,A,-65.91337825385864,-138.0510801084841,D,C,D,B,A,93.42968553452245,1
Heterosexual,70,A,E,140.08560845700305,-4.978693369506648,A,D,C,A,D,240.14119736530301,0
Homosexual,32,E,A,-107.79331896379098,-117.07207254702988,E,A,D,D,D,-67.6002113472138,1
Homosexual,98,A,A,127.27751740837373,71.15329446380971,B,E,E,B,D,87.62699531163578,1
Bisexual,47,D,C,97.38388756387467,-150.40636973435093,C,D,B,E,A,-48.27360269640251,1
Bisexual,68,A,D,24.36300815451822,105.1426407088482,C,B,D,D,E,-15.80040322683281,0
Heterosexual,91,C,E,-185.237533063127,-89.60488438651876,C,C,B,B,A,80.95242486757309,0
Homosexual,78,A,C,-27.207270489190115,154.80534550010273,B,D,B,C,B,-15.548479379270901,0
Homosexual,78,A,B,59.85282569361197,-14.971168831406878,E,D,B,E,E,-149.9899450870597,0
Heterosexual,84,E,A,-94.93371759033604,-52.32233333255266,D,D,B,C,B,47.80152061467894,1
Other,96,C,C,43.310477652076855,-81.87602962636659,D,A,D,E,E,90.38272571218567,1
Other,51,C,C,9.354088345043518,-118.49479237348064,E,D,B,C,C,-74.95412626741754,0
Other,97,A,C,36.94374701093915,-75.00282811330766,A,E,B,E,A,-69.64776257390017,0
Bisexual,58,A,C,-44.02188174431133,26.158391064674074,B,E,D,B,E,68.04876705579277,0
Heterosexual,99,B,B,-32.538076852056264,159.48754034501385,C,D,B,D,C,24.54644810814938,1
Other,81,A,D,-17.995502846814222,73.93159228549463,D,E,D,E,D,64.56259922797165,0
Homosexual,28,E,A,106.7310586825438,-145.44769566705202,E,B,D,B,D,-207.99871598871715,1
Homosexual,55,D,A,-141.81343781905696,76.74733970066221,E,B,A,A,E,-138.10921545526068,0
Heterosexual,67,E,D,-4.22372654369752,-53.174198885409915,C,E,B,A,C,186.72629856206675,0
Other,58,B,D,-128.01936420651194,-24.307651172823302,B,C,E,E,A,15.897213269137708,0
Homosexual,26,A,A,97.45140624477504,-46.96906988549,E,E,B,A,C,-42.59132553417204,0
Homosexual,41,E,E,23.803285530797076,-14.066577619299265,E,D,C,A,D,108.49527920679711,0
