veteran,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Non-Veteran,Physical,52.08065538291897,70.53543969033652,D,147.01954002214197,B,C,-29.867435118467572,A,A,207.61764627218201,E,E,D,D,9.187081899717086,D,-144.85742783393957,-138.10274520690723,0
Yes,Physical,-107.52480276967145,89.10788806458181,D,1.3227155891059719,C,C,33.594563639773334,B,E,4.983844312064759,E,E,B,E,18.86363787697551,E,-165.06298743664004,-98.34158342152269,0
Non-Veteran,Yes,55.36084538344532,9.501137546183317,A,-87.78816662777574,E,C,50.359407674616385,C,A,-114.87035634951152,D,C,C,A,44.630005285693585,C,244.27681985888648,-4.594925752429824,0
No,No,-133.05932204367937,49.69002790052976,B,259.23368321742413,D,A,46.81801015246522,A,C,44.751499483607496,A,A,D,E,-94.10670756488842,E,-20.59683347142506,42.050247036663016,0
Veteran,Physical,140.10903730392624,191.76632407581198,A,102.21447447686269,A,B,68.60451590741918,D,B,7.184443051934237,E,C,E,C,97.66525370695908,A,-43.02819875473474,67.02165116461977,1
Yes,Mental,-14.822450235008136,67.68517180684138,D,79.68017592727062,B,E,-11.903061105371291,A,E,-10.040895072752138,C,A,E,D,68.7060868980285,E,-51.27310344585939,124.18242320308623,1
Non-Veteran,Yes,-60.48738043782296,-202.58438586975265,C,-60.430916642008945,A,B,-111.93348079817609,D,C,-66.11572998519783,B,B,B,A,21.049902553341692,C,33.79319219536814,10.256446049638885,1
Non-Veteran,Physical,-124.4458275452586,-83.74853714031106,D,51.03477337656744,A,D,-64.27980577182723,B,D,-33.996247880459364,A,B,D,C,117.8158461070504,A,-114.64896823443291,-158.08734980157234,0
Veteran,Both,91.33694878104468,29.259256593957634,D,59.01419434460586,E,D,95.10711326669782,A,A,-22.014238342330792,E,E,C,E,-121.62520860518615,E,3.6939112567671106,-77.72555074273613,1
Non-Veteran,Physical,224.68157639841104,-284.420672596926,C,69.77577674906024,E,E,155.90879121187587,E,C,-104.55728709613032,E,B,C,D,218.51494110590087,D,6.9115920402399835,24.80180132703164,0
