Gender,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Non-binary,36-50,None,E,34.64508404239437,D,B,45.98373828038922,97.63769577757517,C,A,E,-111.28746073434198,E,17.42782116060654,1
F,65+,Muslim,B,-26.988861529288656,A,B,-118.77124888273549,-155.27892976395538,B,B,B,-1.5161084031790288,A,-59.05362480839593,0
Female,26-35,Other,B,74.43423512530694,E,D,45.632535813330946,15.835173180476367,D,E,B,-66.37440040811062,B,-36.13734761758835,0
Other,65+,Muslim,B,-85.5863918978239,C,C,-130.30137802793067,19.313817865266728,A,B,D,91.63038452697437,E,27.74066124903817,0
Male,65+,Hindu,E,159.40726536917853,E,E,-24.68489150219112,-52.139460886409395,D,C,E,13.137398159803059,C,96.59456477408945,0
Other,36-50,Hindu,D,30.9557091522474,B,C,-64.1893615483248,-80.90164596971262,C,D,B,-59.61793697443654,B,-38.677696096167466,1
Non-binary,51-65,Muslim,C,-178.6548248335428,E,A,21.29165688270386,-109.44087404592018,C,A,E,102.90647959408581,C,8.069114506886448,1
F,65+,None,A,179.96475399210263,B,A,15.09827035237251,-39.94636451296928,C,C,E,137.1225849527018,E,296.6371979506386,0
Female,18-25,Christian,E,-128.99337304548354,D,A,7.4912326001778915,50.54167146528587,A,B,A,-225.17374398185507,A,155.33520859848926,0
F,65+,Buddhist,D,-36.1849314671509,A,C,115.62839484357032,-105.97466475991457,D,C,A,34.78999751615878,A,56.30420887194904,0
Male,26-35,Hindu,B,-95.52649231895266,B,E,-193.75551139147737,-217.31621229175536,D,C,D,-186.32946051276966,B,-49.80389176800817,1
F,51-65,Hindu,B,-122.46381876681104,A,A,-185.17941819692987,124.61239035159039,B,B,E,-20.462015790198308,D,29.5043758785197,1
Male,18-25,Buddhist,C,13.440419351415326,A,A,128.13431261998102,107.28450976370105,D,D,D,-46.037129079581554,E,117.8787417311434,1
Male,51-65,Christian,A,-34.63890699863172,A,D,170.60316210461463,-26.799942174091363,D,D,A,-87.62995010462177,B,-62.98057300894403,1
F,65+,Hindu,C,52.321555512511964,C,E,30.082537724810614,-102.26726828028416,D,C,A,17.067012157687245,E,-53.22911123232461,0
M,51-65,Jewish,E,-165.9419983790332,B,C,82.3188963350778,90.8742577534534,E,B,A,48.444927521172524,A,-14.264632785609166,0
Other,51-65,Jewish,B,53.75694526457657,E,B,21.964269403186925,93.39244045540534,E,A,C,86.4794017452536,E,-211.8839961987855,0
F,26-35,None,C,-14.359868353488507,A,D,-22.56936632776319,19.222218727414848,A,E,D,-131.62711541064058,E,-1.9983395963856903,0
Non-binary,36-50,Jewish,E,250.96778310290583,C,B,-33.617510959064994,-128.7397820701446,C,C,A,-78.73201388875731,C,-86.25351885849236,1
F,65+,Buddhist,B,-89.06101196172781,B,A,-61.93338414508538,-49.16606974737612,E,C,A,-115.92030930833262,B,46.9464124777837,1
Female,26-35,None,C,-9.50035954793718,C,A,83.22223029448868,64.81159428992761,C,C,C,169.52432794577402,B,121.45803528376031,1
M,36-50,None,E,119.32720688432535,C,C,169.40225020235465,10.777098857359334,A,D,D,145.59864630664228,E,75.1852443063809,1
Female,36-50,Buddhist,D,120.41421950529678,A,C,6.586324023934716,-166.9757341484116,B,B,D,-31.574386663082848,A,175.03540952393834,1
F,36-50,Other,B,-67.4570424246388,B,D,2.9300684431184965,45.21106186379352,D,D,D,164.71721670507236,D,1.9184640697340578,1
M,36-50,Christian,D,16.893411638175337,D,B,-69.0068360266111,52.995875708301284,C,B,E,106.26920557373055,C,37.227779412033776,0
Non-binary,65+,Muslim,D,18.73027409659763,D,C,25.265806719077617,4.234224981828441,B,C,B,-54.59048865381773,E,-22.00944821374823,1
Male,65+,Muslim,C,25.150211270905203,B,A,-16.74934885053883,47.69831687948846,E,E,A,57.246964849258774,E,79.9760921567443,0
Non-binary,18-25,Hindu,E,39.95688615580603,C,E,152.85404736590883,-12.120089408676213,B,E,D,139.13070743775987,C,38.64171345417306,1
M,51-65,None,B,54.09807342567409,B,C,189.29374412254467,-186.18508387673526,A,E,C,-97.44478011362914,C,106.77391319118634,0
Male,65+,Buddhist,B,129.09984181494954,E,C,111.54379448651592,-108.80634669707037,C,C,E,22.87848326432034,E,-10.987616323302062,1
M,51-65,Muslim,D,-215.69693424206486,C,E,-13.095390885014544,50.83371990478499,E,C,C,10.64943371631101,A,165.44779557812592,0
Other,51-65,Christian,B,153.05124996292975,C,B,24.672225102017332,73.84241760229915,E,B,B,57.73286086371186,C,-12.597869460362462,0
