military,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Yes,51-65,A,-73.45603449888549,C,31.118092570676986,C,85.40565777670662,112.5259154267803,-141.5023038220665,-62.41120722441656,280.46940679662646,-149.77300028113913,162.04144822440117,E,-1.195366860218527,50.269934381667866,56.80850757867252,E,C,35.677630063809616,0
Yes,36-50,E,-101.64496643563004,B,45.659626185015014,E,100.82763740247844,-79.66548494981822,-55.40055450795904,60.46128368777446,-3.6290982903054574,-14.982240297044047,44.615720715642404,D,-36.44435982869423,99.96185666791911,-106.38077360475158,D,C,138.79455853938828,0
Non-Veteran,65+,E,-221.4928133868582,B,-40.88857942024198,E,-113.4367689639931,-7.9666486155814855,127.83329484172623,-55.441414038280236,117.56520338504701,-135.61020614853925,132.20647076359822,A,64.6594324341563,-83.65591992913652,2.6576639978525805,E,D,-58.78380635285947,1
Yes,36-50,D,205.17838560235947,D,-98.38097043014736,C,93.01800345346476,-60.222971335309815,89.59699965057094,-74.72570224756639,147.14564758391785,252.21532148548425,64.29141726170747,E,-16.030374841629737,-55.05619200586723,-82.7645661694186,E,C,-12.782738405633118,0
No,18-25,A,81.92882082409263,E,-40.01042214969155,D,32.989514425336885,48.25731331471009,178.2105699690951,21.755505538567288,94.45592499269735,-43.387653171527134,52.27561711813361,A,-88.26241844106086,-31.54003119381843,-20.473168276032812,D,B,43.57919747112096,0
Veteran,18-25,E,-24.941152783839044,A,55.05637417629614,E,-4.450147465259723,-111.36103687459263,-219.93171393142293,170.61492417665494,-43.85339405350295,21.489407389930765,129.28605691543513,A,3.454179268032663,-151.31791869778795,-69.34778912491988,B,D,-104.84989224758546,0
Yes,65+,C,92.06375606382277,E,-49.42609435139744,A,76.2644644906852,-18.464994561139953,67.60295615778554,59.29716221522925,145.16153806198477,-106.46485309653744,61.423501204268604,B,142.34622709638413,110.58901539026506,228.52261097193588,B,B,119.88567541587972,1
Yes,26-35,B,-100.7625736688209,E,33.04370635515219,E,-165.1452764328828,7.954526548735864,154.26834090851187,121.15467373796085,-91.90293582934343,136.88751273113712,189.43686273552234,E,-58.553632749469195,225.46196019431628,186.53354363074337,A,C,128.45855254357227,0
No,18-25,B,6.246262208669126,A,-68.31578010800405,C,52.543034404686495,-49.55472388109078,-67.51028182344461,61.51953896516679,26.28275586531979,-19.185658113958688,95.92723367556508,C,93.40392743580523,-23.74873039235278,9.673543422781727,C,D,96.2532790515281,1
Yes,65+,D,-120.3674068496858,B,233.95794452813016,A,27.073218154471913,11.361463498532594,-60.0469881293721,5.293651239268908,-125.53190892110824,51.673260881931014,-31.52312584991818,C,102.14864116545945,-230.95480852993856,-38.03513034877813,D,A,54.79242871543406,0
Yes,36-50,B,-169.22061625079633,A,111.16889981449016,D,92.8628656114434,-104.66200848257986,-127.38240303339705,28.058003409859435,80.90602209548655,-84.7705761563005,-66.55912343911079,C,-43.39757316425214,-132.43553282680352,-80.91015077856916,A,D,-23.784072311534725,1
Non-Veteran,36-50,D,89.62955732806121,C,-239.32049559018535,C,9.463637711994838,-76.94719684252728,-5.1605066436930205,5.877945991772426,42.454963661204786,-78.97167036548986,-62.74907664536424,C,-64.75387303122892,-153.43483856029644,-74.52981924552168,D,D,-75.05207979318857,0
Veteran,18-25,D,44.610709223469485,A,27.49762427753938,A,84.7358436910836,94.6578081373732,140.06599851570707,9.882529410076907,35.72283880681057,34.251571290964186,123.26130840000911,C,78.22362990184767,-70.43561430785485,79.36741271774255,A,D,-173.94670810588767,1
Yes,51-65,D,-24.311701972467702,B,101.9781169875523,E,113.72102773132357,-118.40200793552833,120.00977853920185,23.583724943221014,-96.44457855243266,199.7630166688997,39.66716795173376,A,38.28373210103092,42.98917358813632,164.5933864405151,C,C,199.50835596693793,1
Yes,36-50,D,-9.98088602765834,B,143.94867651052326,D,-46.828952431753315,-25.7454761855469,-63.11264081110165,-152.46623608626354,-14.485126658607516,90.77320721845783,31.421794380946494,B,105.43291756072601,-180.82152947093996,-151.05595827854407,A,D,30.551965186321173,0
Veteran,26-35,B,65.34970268404594,E,-185.74274334676315,D,-131.20249615067542,204.74321199751665,-18.596984757119785,-256.2960217487356,83.92730857542253,-12.359424865842977,134.03197313576072,D,27.419408031458985,176.23021207210502,68.82805703358146,A,B,39.14920224306375,0
Yes,36-50,E,-75.78043727008,B,-25.365856475247288,B,-83.92092997408285,-55.00876815741418,-250.0463775866282,26.772685469964163,-28.367296225337856,-2.458694208085927,-13.682095571230581,C,9.153029824873798,-52.02088986687161,136.16154804834432,A,D,-102.880886953162,1
