nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Other,B,C,58.76374600214037,A,21.799066600967677,13.579906902220024,17.95259121267727,-76.99612198970863,105.96346044351866,B,-88.8040228804212,82.08994123144691,1
China,B,B,-58.73656812914986,E,107.30728386746597,194.9447254729805,0.3888298396136661,166.2401141734366,67.75382006466808,C,-27.962885722331208,-68.93712326910759,1
Brazil,E,A,-72.0136074670146,D,-63.32308226585811,137.69786907498377,104.61473278289289,15.857017085047143,105.99127355140013,C,31.864692587766847,81.67393668492855,1
UK,D,B,224.33104758770227,E,-106.88152456837585,52.76271767213528,-88.28749223673329,39.08793720825613,87.91166634157207,E,39.434416933756886,39.8342083225565,1
Mexico,B,E,-195.85762486038726,B,-18.082622555721475,-29.763907982218978,-83.78255518401228,73.38216831707794,7.320599571821239,B,-28.497123358238163,199.06599875508616,1
China,D,E,40.46953706638356,D,-64.83728730742904,-143.5548193697835,29.15748246007474,198.005657010315,28.15387335870099,C,-70.24286248619099,-115.74404420489198,0
China,A,C,-87.93630980160532,B,-85.94863254166543,-98.75242711097336,-99.72376877373152,123.0430529627421,1.7341595966886785,D,-121.41070132213363,-9.859000600936895,0
Other,E,A,-97.8007954088783,E,-100.5188634468955,67.84442047500228,-0.9854080382583794,-125.85590617113051,43.30702618443186,E,-203.9818973360902,67.51110567366867,0
India,E,B,94.84487287938018,D,-35.722441739051874,180.3591989921089,54.77757580113837,209.61706700700879,-4.96041700656579,E,-152.56514920258002,16.272397631092055,0
China,C,A,-112.31457265353468,D,135.89622937975196,29.654425038894416,-22.400810634454846,40.32358280433018,-4.527202882198343,D,39.88816747978046,144.2601509780036,1
Other,B,B,-12.507085550507202,B,-83.05191973617586,27.220412248638414,4.6762867836678375,127.34088346450491,167.1231644978157,C,-25.972180448639598,171.3687668531095,0
Mexico,C,E,49.324137642870305,C,-51.50354479623368,94.25443402643255,32.213301074743875,176.97209369329553,-3.1173232202348946,B,-116.00241760980707,-109.98181827851674,1
US,A,A,-134.36254687568425,A,71.65925804154838,-92.03607719186854,-166.5813650747432,35.88738573547808,96.75470594352896,B,-108.69238205571152,-54.83143954817792,0
Mexico,D,E,62.73251456293437,A,163.4973312125735,-223.14010482121117,162.41355406973503,9.10317499461811,-84.1186843413379,E,95.1558461198452,-57.84757952471232,0
Germany,D,A,61.476027742461106,E,-39.12934886635834,118.76248144387786,-126.65257308432807,-121.88789229832149,-85.07348735579808,D,50.178863362182845,-56.62317668550686,1
Mexico,B,A,29.0752765284908,D,42.643484350609654,13.110665965688673,166.9652866543542,-190.13797688015254,175.94883734907322,A,-13.906064698665437,117.11653805568962,0
Germany,E,B,-26.649115410592568,C,-125.3571429076182,48.29174234169071,-133.64462616055192,1.508202349439195,88.29608134423779,E,-67.6748976470198,80.81682806451892,1
India,B,C,-37.50901784572555,C,-75.95947981813909,-93.32578571159571,-117.49300450110162,253.5948268478657,-95.8410647289193,D,103.10872957744306,68.75509176957905,0
India,E,E,143.33720443071167,B,142.7738001499226,173.42163864044596,-47.66447858748659,82.58489568975686,-36.89466827631174,A,-52.50559146787385,-113.42482782818118,1
US,D,C,8.486049423292915,D,-149.0168859109107,-118.99940262229177,-58.12221886909832,98.16843115098986,37.35849199026467,E,-131.86094974123648,112.5336774894246,1
Brazil,B,A,173.81574010506188,B,228.58484655997654,61.71254929299581,-108.33905448437639,29.152504314153727,-101.58801812361938,A,-256.27070862924757,-154.2709278063607,1
Germany,A,C,-66.29387137726951,A,30.84855060662244,48.28079930701311,166.42169805688522,86.35133431957068,-149.2740960045762,A,117.39653398497025,138.4388492857118,1
India,C,C,79.27968779474396,B,54.27003149387147,-33.5329308652119,-101.67730321977703,61.980043699235665,52.332305503370705,A,120.00630237727204,-9.321102476073321,1
Other,E,C,-178.38060977714102,E,151.46778819843237,-123.0505812044846,172.1279478353055,11.865851880754272,-49.048669650413906,D,37.91756729661355,20.932911849884064,1
China,B,D,-92.03402608033504,A,-55.538003514529954,60.40969718273674,-59.2796362329277,73.35265021048404,85.48256190457838,B,-48.16760477378615,-120.85122394628951,0
Other,A,E,-26.045310805410686,E,-11.611951631044292,-59.63596030904943,-106.30249427086338,109.5239805376842,-77.11017282583208,A,-26.46806466061651,279.50905475651354,1
UK,C,B,-44.844664052304786,A,42.06224689404732,-159.34235215971444,-72.8854983573238,38.71648206464212,-16.393349169531863,D,43.34618351258134,1.4641626520231104,1
Germany,A,A,-89.99157337371008,C,-60.89908550154488,30.799726611101175,-148.33051513154734,160.23950879455268,-158.26635462555194,D,102.50411737003928,-59.265679976287004,1
Germany,A,E,-88.64863465634159,C,227.7892156089009,113.676339010262,90.4777514893243,135.279871893022,-84.86630828620928,D,-2.4470879178684637,-86.04782394154665,1
Germany,B,B,-65.7812973359501,D,34.67695746477746,-81.95486226627591,18.13575617110608,122.97439731347222,-130.2030230340465,C,104.31702428860446,-4.25725741295218,0
Germany,D,C,104.74307650840127,B,207.88187484272643,99.68944283373892,-92.62433622285144,-101.56412764740108,-49.60184320860473,E,-132.4675415784802,96.64148923102847,1
China,B,D,33.09907948781945,B,57.04434785496672,-65.47614388872215,72.10780819235487,-27.17993362589936,147.92115339362778,D,-42.513251450083715,67.55573066199938,0
Other,A,B,-23.33754952248496,A,88.51418682866363,-16.957621252476862,59.05130792662383,-163.51201010429784,-14.154602990870229,E,-112.52641457035044,138.75603856644304,0
Germany,B,C,-43.91766248773628,A,118.55516373344201,114.09626842221019,5.240919228978969,113.66756147746524,-55.88400060060194,A,8.725455037913164,-119.85481461810544,1
China,E,E,41.92271613447027,C,38.69398901481135,-55.94320445319112,-115.39151829912345,-81.41532706919257,-60.52174587210977,C,-70.83943918183134,-51.10458940676585,1
UK,A,C,-0.09887248907350411,D,82.89645445657638,-38.15492740179378,67.51332589483383,-128.98538782104723,44.20562781942231,C,-19.68162835529375,-117.02744827240859,0
UK,E,E,-28.492300613805767,E,-22.053716628541473,203.6591430159819,60.46962203807236,35.04460683246122,-9.919969160048698,B,120.86194477880848,116.14808109036107,1
Germany,C,A,53.326162967173396,C,26.238370790011228,-4.01316928603056,179.95919786751008,-82.39777804179357,16.746092454994745,D,95.41860091666965,-40.747486381528105,1
Brazil,E,B,-146.48503928751765,B,75.79930838080455,-37.90413970020289,-1.1525102046981155,24.156329940255873,37.66929076835389,A,-213.55179938946839,22.989985651004194,1
India,B,B,-84.77330078083848,B,-67.71438427920714,17.87087046043972,38.42257613569966,35.90798814979833,-133.1709391969808,A,156.2968440783888,-80.07009999572797,1
US,A,B,72.50596450188434,E,50.62884854845306,-251.49972336837752,192.80106462865226,63.36619940323248,-19.583584287620493,B,23.802241753798747,-58.24225263352846,1
China,C,B,1.6592529664631233,C,-58.34736278068537,-28.646400741161738,-26.200888948479427,166.13827830771874,163.7597361664191,A,180.96985006437174,47.12089038938543,1
Other,D,A,143.52601294719506,E,-106.92215750167857,-37.294692022502765,25.677110287343197,-65.51792194736731,-88.83319522885053,B,32.825352051307846,-28.133364763417408,1
China,E,D,-133.4773958387208,A,20.761184739239777,55.698734783069305,-100.46694108353545,81.89750816613322,35.86134965670711,A,-25.390788304855143,-106.34955499923993,0
