country,sexuality,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Brazil,Homosexual,No,E,E,-15.707076818958901,-98.39533780827739,43.34508445732489,B,102.48521808929638,48.80809077808571,-31.669374992855438,-99.96126915622409,38.615535121262965,B,C,A,C,-79.11143887666472,94.38630747817902,0
US,Homosexual,Veteran,D,B,-29.320271782172913,-75.32500059891653,40.25908850534316,E,-28.891569226160364,-44.90332017305,124.9574675587235,-41.77555417107396,-49.87817817209993,D,A,B,B,14.743885776727186,18.85595167120682,1
Brazil,Homosexual,No,E,A,120.16004842566707,-56.49262550231521,-148.0770123764132,C,-110.05818093796536,34.78763065166055,-77.50959252514816,39.401458627554426,107.19184661775311,E,B,C,B,-8.669992892041577,58.087106509865414,0
India,Other,Yes,E,C,-113.4615983784975,-111.55588077726742,-41.41510995368698,A,-2.7401331321839684,55.73175139952371,1.5717762725317246,31.645249813565123,-82.48492492506536,B,D,D,B,274.50887430486455,54.68456508226767,1
Mexico,Homosexual,No,A,A,-86.18598046218499,-41.27521000251298,-111.41026236372275,D,90.74148639104348,52.53596693612338,-25.460075107456575,123.88713828567663,-102.50865727014555,E,A,A,E,136.97939640670316,137.99495066065444,1
US,Bisexual,Yes,C,B,99.06592299265485,67.04542216029472,177.4405925590518,B,-64.20052359173572,-190.6337138921792,6.9897153058964765,-55.20248777124765,157.78284274045302,C,D,A,C,208.8147607079734,43.560537901894406,0
US,Heterosexual,Non-Veteran,C,A,139.04218271700444,172.15816857827676,53.70923725389628,A,-24.89946972176499,68.82446043064053,124.14174097923241,81.8129055526852,-41.61311045459845,D,A,B,C,-62.93122675044918,-17.034488998896993,0
US,Homosexual,Veteran,E,D,-113.93103111379901,22.565983272476394,102.30138267447624,A,14.490209114682031,97.84442063129737,204.15072787336413,22.37501970756322,-57.1746828972029,A,E,B,B,-31.66345966852414,-30.300194335918658,1
US,Bisexual,Veteran,B,B,-75.57181582151932,143.80389502718808,64.41665332563626,E,106.32149970666529,28.363963914992336,-17.75970126548718,-118.53501892630271,51.16266309388779,C,E,D,A,-141.11841422150016,55.18372942599875,1
US,Other,Yes,B,D,30.549850259152212,-95.83091809655343,198.10213814438802,C,-73.93602237410462,-94.62584446852915,233.400244752363,-19.841191560475007,-104.18748653051554,E,A,D,C,-96.75620595961672,150.28567098629748,0
UK,Heterosexual,Non-Veteran,C,A,83.42095984555876,198.99282080792014,50.157440374781274,A,44.57986091187162,22.661609508393415,67.81890613765678,31.51512237927304,6.631230282998223,A,D,B,D,-62.634985663488685,-187.211568073295,1
India,Heterosexual,Non-Veteran,D,A,-53.339759735565195,-19.02138909294105,-86.6153992343629,C,-42.80320153738149,92.41770782210975,-47.180096361204505,38.60850695865321,-137.54602772523597,E,C,A,B,-38.88692333342568,13.41836730509917,1
Germany,Heterosexual,Veteran,B,D,145.33314064400045,95.21691373932755,-191.03823765512698,B,-32.32494564223387,-127.89422586775581,28.855820180859727,-36.3673858527636,-35.49124027447509,B,D,C,A,-2.2351451296085885,214.92266145185198,0
