ethnicity,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
White,18-25,E,C,96.53801240287191,D,-39.41543455465509,70.88183567342834,39.4523584179953,D,A,-83.09409222750031,95.27675111277735,D,B,D,47.33665760298925,-70.8610133903934,1
Hispanic,65+,A,D,-19.6229012319256,A,-105.58595206756922,196.03805317163287,-156.21726443680942,B,A,23.600021282244892,-22.28620305864966,C,D,B,60.30468284010203,86.50633015878772,0
Asian,65+,D,A,58.455282617816536,A,-50.22948157088256,51.12710386597238,-58.26846813885132,D,D,115.74457285367117,118.19573778969132,D,C,C,-190.651609077739,105.01418284782444,0
Black,36-50,B,D,-54.337876777562066,B,45.043721300971576,109.75368324300383,169.49372152991918,B,C,-3.5600650387749093,133.82354582331203,B,A,D,75.7381194110543,127.85795485428466,0
Black,26-35,B,B,-86.77870163556099,E,24.4753133376643,-281.4718211794192,67.85588258103758,C,C,-139.5625001430589,25.38481036871203,A,D,A,87.91811735239963,57.68175636658764,0
Other,18-25,B,E,117.90129218457344,D,11.160679163006803,343.8126784451756,88.16887443466172,C,B,-98.3467233558059,-78.00632291884718,C,E,B,-11.84785848390092,123.7476148677773,0
Asian,36-50,B,A,140.10859837804279,B,-58.76020458878215,12.008413282167707,-11.55804051220274,E,A,-11.573825368312873,29.805879443223375,E,C,A,-115.0542791777006,46.53301032156962,0
African American,65+,E,E,185.2720568913984,E,117.85986190698523,-57.738306019325705,62.680013257060594,C,B,9.869901882127872,-132.5645014031914,D,E,E,61.26032150900833,6.959460426353957,0
Asian,18-25,D,D,76.85030311048736,B,12.337894071331126,-26.05976449251617,-70.6984058765689,B,A,-91.10828626297138,-93.28626794044922,E,B,D,116.61753213464657,-62.844991763349476,1
African American,18-25,A,C,-18.131843182915397,E,1.215153115441773,47.64533223700683,-101.75524888963909,B,B,3.3816207325121432,-69.26250384716727,B,C,D,-29.587522255658595,-96.95231145589216,1
African American,65+,A,E,-21.8801601147002,E,-31.51187421467556,22.650352152995946,-30.7394461080573,D,E,4.209499049236209,-59.543543815242415,D,A,E,35.64098503658107,15.00742155115744,0
Hispanic,26-35,B,A,-22.15676124561009,E,-179.59494165552326,-55.05261265539947,96.443179508532,A,C,181.97779365689334,145.1993092171646,E,A,E,29.533834530274145,-130.81274907776194,0
Other,26-35,E,C,-33.17763444304516,D,-95.63779198106191,120.77091942864497,77.9863802334079,E,A,36.47997122399671,72.83460743747746,C,C,B,75.52418674574585,-18.201634575595026,0
Hispanic,18-25,A,C,209.94518535587505,D,-28.384391970637296,-36.440455773163485,40.321924753532485,C,D,16.507031274764163,45.68311481866941,B,E,B,-19.09743509174863,28.384460385408723,0
Black,51-65,B,A,-198.00777924905174,A,-29.982692968796105,42.630758361159124,106.50754595481683,A,D,12.230732236736783,144.9436635974707,B,C,A,-87.1378035935933,-53.61530646860909,1
African American,18-25,E,E,112.02526302412875,A,-202.33314091257722,60.62732534249309,-51.155323144196316,D,E,-77.65507647813618,-159.4700968095314,B,D,B,68.30360325831357,1.8181865214985893,1
Black,18-25,A,E,9.721766000591032,B,12.675431461734421,46.18800743589885,0.4934487104009335,B,E,-71.22755111150413,92.10281488467888,A,D,D,102.18801576910278,-82.46012728564651,0
Hispanic,18-25,E,C,-48.52495392652719,E,60.85538509979694,-81.34390215192944,-32.51085005168569,E,A,158.9799788870801,-7.583720748787679,E,E,B,-88.78057698472126,26.813144929914777,1
White,65+,C,C,-22.449220516846893,A,78.64124992637649,-148.46132144649457,-81.38618125776853,E,A,34.5364384649737,91.14302278181408,B,B,D,-109.05823527974528,-158.43980402014506,1
African American,26-35,D,A,-13.760205931125022,C,17.612257001489013,-11.676100302949454,-52.091462143813416,A,E,164.01533232975987,-14.627671186767287,D,D,E,75.40031951635974,31.902135164933178,0
Black,51-65,E,E,42.52477495403725,B,29.420318850990167,-74.5821660859076,-75.06138546912882,D,E,126.83708194478906,25.13944856470811,E,B,D,27.329917132084464,-36.02925350092075,0
Other,26-35,A,B,110.14992002510546,B,31.97893895013653,-118.5642968652385,155.7661739919417,A,E,-51.474252483723696,153.42785899397552,E,D,E,-51.33945723657899,181.35978809586797,1
Asian,51-65,C,D,-88.37524751262971,A,-89.47615895213742,136.0545398155393,-40.67189365292017,C,D,-127.45969170613385,61.5834273154265,C,D,B,57.637343897343115,210.9859340561457,0
White,26-35,D,D,68.81815505439882,C,17.28774351938497,81.11916853077392,-85.41610418220318,A,D,-60.54612245729296,88.17083502172524,D,A,A,6.926738762663017,-87.71051761566076,0
Black,36-50,B,B,-59.057015988455774,C,160.98693535551166,-33.13893210952957,-24.73672805884594,B,D,-71.50650127920109,-113.43414660812687,A,B,A,264.41572161449545,47.34919600032636,1
Black,18-25,B,B,-169.00967598436912,E,-1.090780909687304,-70.7930417053517,38.7113268138507,B,C,-4.058125303751404,-63.51990940311957,C,B,D,126.46630044439813,108.00187468506766,1
White,65+,B,D,-22.03571199145583,B,-26.166270563946103,-25.194315121861177,-83.97522527767694,E,B,141.18181681027036,92.877504594713,C,D,C,69.95639135803445,-97.72756617991345,1
Black,51-65,C,C,21.828828924191274,C,-51.77792541702658,33.64903936491019,-9.000611308924626,A,C,124.39167454254824,-8.005524842554276,D,C,A,109.71872508651659,-57.147262600480495,0
White,36-50,B,C,65.41379957787088,D,-96.32530184210843,-110.49842934815825,44.70074992707189,D,A,118.48672654064491,15.882885651805239,C,C,E,199.93769935550375,-87.62135917243701,1
Asian,26-35,B,B,38.12115773946875,D,51.178143396159726,-16.566159690517164,124.1243574206309,C,D,154.56724544892683,-28.16288317811449,B,A,B,-4.595685165125813,-186.776471784005,1
Hispanic,36-50,A,A,-5.8696500219237935,C,-89.55600710300367,-167.9770235505736,95.02215058527106,A,D,82.96136589815126,-150.0409345895858,C,D,C,-147.01706872314386,-79.92092129953996,1
Other,65+,C,E,-221.11926452015993,B,-13.341682240106584,12.067209062277602,-131.6872084689261,D,D,-83.65146225880936,126.84898644427336,A,C,C,-169.0223281793262,-177.01496652488464,1
Black,26-35,C,D,-121.30787283130229,A,-30.04356442801318,-229.27694745811738,124.55863875706554,D,E,-3.8379337713947996,2.2977490707546426,D,E,B,-199.85274156931865,-64.65534346280809,1
Hispanic,26-35,C,B,-95.64111492192626,D,147.9792477473829,168.4654454385915,96.64942635565798,B,D,-77.40860680298923,114.97617114870297,C,E,D,-49.44207295889926,-104.98644865227213,1
