ethnicity,Nationality,age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
White,India,65+,Jewish,B,-95.81115522678918,E,E,C,-92.22506873815048,B,D,51.57947344227348,E,E,0
Hispanic,India,36-50,Jewish,A,-48.08922351082855,D,B,C,-78.98883393659553,C,C,-103.22896585978674,C,D,1
African American,India,51-65,Buddhist,A,-30.93680696265651,C,E,D,-99.61327463410919,B,E,14.99217969468051,E,D,1
Other,Brazil,65+,Muslim,A,-10.471202218177442,D,E,A,25.471664827555156,A,D,-18.747051639199015,D,E,0
Black,Germany,26-35,Jewish,B,29.907217892648895,D,B,C,-44.56822977857221,A,B,241.58259372653848,D,D,0
White,Germany,51-65,Buddhist,B,15.047761683958557,B,D,B,78.32541276416575,E,C,-1.5335352587402513,A,C,1
White,US,51-65,Muslim,E,88.08195763136648,C,C,C,125.30697527320798,D,D,-0.9601390364009895,B,E,1
Asian,US,18-25,Christian,A,136.10587060048223,C,E,B,86.02258318777639,C,B,-177.698747728123,A,C,1
White,UK,18-25,Muslim,B,136.25616148358378,D,B,E,-90.52676513763559,E,B,-35.48046735660328,B,D,0
White,China,26-35,Christian,A,-13.57275372332341,A,B,D,-38.41491389948996,A,D,-81.88768419534199,B,A,1
Other,UK,51-65,Christian,D,-48.785937362201025,E,E,B,128.74493000055588,E,B,-114.03710750416187,A,A,1
African American,US,51-65,Other,B,-167.47076313775946,B,C,A,56.086313056419876,E,C,76.54241106923828,A,E,1
Black,Mexico,18-25,None,D,38.094581948429585,B,D,B,51.219496639899795,A,C,-33.0414220187049,C,A,0
African American,Other,65+,Christian,B,92.53466804785145,D,B,A,162.49288036933856,D,E,82.35528987329069,E,A,1
Black,Mexico,51-65,Jewish,E,21.423336587019556,E,A,E,34.60031140986714,B,A,55.336857824269956,D,C,0
Asian,UK,65+,Jewish,E,121.63987734703123,A,B,A,12.08716539887146,C,E,-0.32143480313697553,E,E,0
