orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Heterosexual,116.69447218979703,C,E,C,86.96834681242447,A,-20.74466120395405,0
Homosexual,-68.49371558012724,A,E,E,-80.71970348875887,B,96.11192963606547,1
Heterosexual,-58.46349173203495,E,C,B,-27.74481639382432,A,-78.47928862145137,1
Bisexual,136.4555206597992,A,D,A,43.036770351905346,C,45.215205804583455,1
Homosexual,-69.50095663919457,D,A,B,-107.00696414340723,D,-155.14855013712213,0
Other,44.6214966339961,E,E,B,127.63381768555786,B,156.39210383938413,1
Homosexual,116.66023946650601,A,A,A,-39.12923029481432,E,7.486346479813983,1
Bisexual,55.92495401576887,C,A,B,194.23596941424165,A,172.30806868806744,0
Homosexual,-232.71297312741436,B,D,B,138.89160908057593,D,-55.670074262406324,1
Heterosexual,45.80581524215948,C,C,D,-20.855290964878083,E,-3.824745513549218,0
Heterosexual,54.19502562938323,B,D,C,-35.373103365160155,B,-34.19613112734532,0
Other,53.37899114473792,A,C,C,109.36251137584807,E,-57.978190914239946,1
Heterosexual,103.41637036137735,C,D,B,79.24986800689273,D,169.04368983614663,0
Homosexual,57.026455269778445,D,B,B,-149.48467287743472,D,31.00290573332346,0
Heterosexual,-161.6853975953019,B,E,D,-7.230308513888302,A,94.27497634929325,0
Homosexual,43.7960168573311,A,E,D,-57.477783721306594,E,-69.724439668064,1
Other,151.12963324420494,A,C,A,113.32864270425169,C,-23.84087802824364,0
Bisexual,78.0127012892067,A,E,E,47.638742428342276,E,-70.14841414903441,1
Homosexual,168.1537909556292,E,E,A,32.698259234381766,D,18.417745503080365,1
Other,-47.13422079226882,B,D,D,-136.0381226517389,C,-76.59358001049551,0
Bisexual,-9.696445337482587,E,C,E,-212.06563780359892,C,-176.16220985255205,0
Homosexual,-94.99306435375762,C,E,A,88.30293586591453,E,79.39628642859063,0
Homosexual,73.99170580366504,E,D,B,144.15337501646167,D,201.52215385243787,1
Other,22.7583524608,D,D,D,60.47454837681886,C,-26.954490059409665,1
Homosexual,42.490371101659385,A,E,D,181.48173920772018,A,-24.11876427177897,0
Other,138.33352783201184,B,C,E,-152.01019268970967,E,122.75965342414923,0
Heterosexual,-65.15285411533596,E,A,E,-105.86195761163881,D,55.5648464200186,1
Homosexual,43.5426403195949,D,E,C,23.681723730768763,A,6.480042039098189,1
Bisexual,1.7557710477449275,A,E,C,26.748775797805447,C,18.29248652227429,0
Other,168.47947434214353,D,C,D,-26.365741980367456,D,65.31050381939725,1
Heterosexual,6.653011493617655,C,C,C,-13.706457888224385,C,-120.21009787529835,1
Homosexual,9.188318465697504,C,A,E,-138.53911170207175,A,213.819701137025,1
Homosexual,78.99564249351334,A,A,D,-140.46689758468003,E,150.78954974906821,1
Bisexual,-67.57741110776936,B,D,E,5.187806475653228,D,152.6313120192704,1
Other,66.91222899638659,A,A,E,-129.0029287703765,E,-214.63438733198913,0
Homosexual,-92.6643452871359,E,C,B,23.22831519965008,A,146.7785459464621,1
Heterosexual,78.1064250468721,A,C,C,95.38572309604986,D,-4.65392823629784,0
Other,-19.974847851210438,C,E,D,181.49156238611516,B,-137.63926076420248,0
Other,106.07270115052845,E,D,E,135.7489920255307,C,-75.56606398613341,0
