Disability,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Yes,Muslim,D,-0.7810328888457659,A,A,C,E,E,B,E,E,-122.19963737526047,63.2095357827405,-204.35563891780623,1
Both,Buddhist,D,88.22238923719759,D,E,E,D,A,D,E,D,-27.646529020976168,69.56410405510802,31.070800238606317,1
Yes,Other,D,-63.260454397455,D,C,D,C,D,E,A,C,-49.0929918428759,-88.77085511150496,-58.39245352636845,1
No,Buddhist,E,-75.17718543942998,A,D,B,D,D,A,C,B,-23.27568095075692,44.39814557529222,1.6901792994962954,1
Yes,None,A,25.536463473247363,B,E,E,D,B,C,D,C,-19.159604776211555,-124.58274978566463,46.597466618347916,1
No,Jewish,A,-140.60248013957798,C,A,C,C,E,A,B,A,-46.74019795893377,163.98019301476714,131.832192945626,1
Mental,Buddhist,B,-126.74671792446178,E,C,D,A,A,B,C,B,48.27185011884152,-239.48473743050153,-21.779505985386482,0
Mental,Muslim,B,-8.739140709237684,E,A,A,E,E,D,D,A,-126.1984300980761,67.0687566025601,74.30512307916719,0
Yes,Jewish,D,-105.9668927528742,D,B,B,B,B,B,C,D,243.04713901686745,42.461238757662194,-152.8514475987065,0
Yes,None,C,-25.330038508948544,A,E,E,B,E,A,D,B,-87.12632725689264,13.766264140253421,33.454466385182734,1
Both,Hindu,A,-158.79200279830087,E,E,B,E,C,A,D,A,-37.089896961669844,-184.71614981650893,-32.93851253052026,1
Mental,Buddhist,A,136.86569250252953,E,E,B,C,D,A,A,E,237.37039462699943,272.99106884712666,175.93531943838747,1
Physical,Christian,A,26.652477364410803,A,D,B,A,E,E,D,D,50.12202684584117,-27.456043211691156,-61.823378476281455,0
Mental,Other,C,-28.84349376440607,C,C,A,B,B,D,E,D,-30.293290128027916,57.65646095563793,49.95877028339167,1
Yes,Muslim,A,67.9353121806228,C,D,D,C,B,A,E,C,121.76729241906294,-79.87434198865272,57.263426863447044,1
None,Christian,B,-52.35699493305444,B,D,A,E,C,A,D,B,22.136318420697503,-44.03854455718216,83.74703593211001,0
Mental,Christian,D,-115.69034043912745,E,B,B,A,A,B,E,D,44.849664218086836,-175.00351330536645,49.24725168856706,1
No,Jewish,B,122.57963870994078,A,D,E,E,B,A,C,E,71.62682697076359,70.48406438271927,103.01029061769276,1
Mental,None,B,-19.063977541808207,B,A,B,D,A,D,C,D,146.64724885199126,6.042606360974691,21.055744907153233,0
No,Other,C,48.937178073289736,B,C,B,A,C,B,A,B,5.463770239258349,106.7000601528503,-37.354966581179504,1
Mental,Hindu,D,-91.26782500083566,E,B,D,D,C,D,E,E,134.99605182668773,49.69000049476245,-121.89960479518365,0
None,None,A,-201.8449136059561,D,E,C,E,B,B,B,E,-12.823507853754675,-96.60186331025467,59.75073998540659,0
Both,Buddhist,B,-219.56281442358002,D,C,D,E,E,B,D,A,-6.091138457612404,57.29762890093166,-88.8068996151726,0
None,None,B,-51.30270744716432,B,C,B,E,A,E,B,C,-215.17035824010415,117.97232266343273,31.655601228363732,1
Yes,Muslim,A,-67.55396436489252,A,C,E,D,D,B,E,E,-44.423895032942454,-40.97138853279624,109.31223136973807,1
None,Buddhist,B,-30.359998969287645,D,B,D,D,E,A,A,E,123.3670797329714,-88.4902734951111,-141.98205216205366,0
None,Christian,E,258.48811673527103,C,E,A,E,E,D,B,E,96.93830802991631,22.717556793343586,-17.84724285920621,1
None,Muslim,C,-130.57621386806463,D,B,B,E,B,B,A,D,15.947540488036344,-82.9063553878889,-277.9176499837548,1
Both,None,A,43.91489183739873,A,C,D,E,B,C,E,D,-65.4640352177426,-81.67349447665552,-44.35617691353604,0
Yes,Hindu,E,-146.33763195015698,C,B,D,B,C,E,D,B,-30.921086566568366,-20.894984959200027,164.84415460682163,1
None,Jewish,D,80.43726645877891,C,D,A,E,B,B,D,C,16.89241641351024,-31.855084215998826,129.275741060992,0
No,Other,B,-37.10597650151614,D,A,B,E,E,E,E,C,-185.52255866868396,-21.16518778615579,68.77013847651266,1
No,Jewish,D,-12.382034549217057,E,B,D,D,A,C,E,D,57.40003542739333,-132.59108460400518,-46.66313037145521,1
Yes,Muslim,D,45.42041382576227,A,D,C,B,B,C,B,E,58.49695615298261,-116.10263863837191,-27.122700127764382,0
Yes,None,E,-15.622239225677431,C,B,B,A,C,D,B,A,154.17788154676225,-97.75801783256102,39.077049524080806,1
Yes,Other,E,156.9037145564212,C,D,C,D,E,A,E,C,116.50033579782304,-66.60476941124135,31.735219208868195,0
Physical,None,D,60.04351957451733,D,E,B,C,E,D,A,C,125.3633760121954,-90.15242359997046,34.335717176540356,0
Mental,None,A,99.90912802885154,A,B,E,B,E,C,B,E,25.731272487710683,-35.08094212257728,-2.4263993202443093,1
None,Buddhist,D,-19.588106871834672,E,D,E,A,D,A,C,D,-124.61770098811597,-14.463476013521786,148.465308270513,1
No,Buddhist,E,73.13228659934362,B,E,E,E,A,B,E,B,-176.34160710170164,-17.50141169678104,-235.82215537222444,0
No,Muslim,C,19.017678931372135,E,E,B,A,A,E,E,A,17.285785533284777,-54.00776478158909,-4.060225345931174,1
Physical,None,B,-126.22980020623946,C,B,C,D,C,C,E,A,167.20075875682028,221.069825363067,-276.66517966952057,1
No,Hindu,D,76.07978859924714,D,B,E,D,D,C,B,A,1.8702054294339996,-92.8283973844473,-84.77569097908705,1
Both,Muslim,C,-110.65816168824925,A,E,B,B,E,A,D,D,50.80056188943086,209.53949669249047,-178.66595851884642,0
Both,Other,B,37.17228980308151,C,D,B,A,B,E,B,D,-4.8496327023446755,246.78674526952094,-107.71626472200322,0
None,Hindu,A,-216.86229718493,A,C,A,C,D,A,C,D,42.507899083301304,90.70249284041769,-17.401848372948727,0
Physical,Muslim,A,-23.18278820031908,A,A,C,C,E,E,A,A,-104.19903321305846,75.12072389676182,-35.30707261107507,0
Physical,Buddhist,E,182.90906583064339,E,C,C,A,A,C,E,A,20.185488891269937,89.00028327954665,-159.60575237023264,1
Mental,Jewish,B,77.75110623215653,E,E,B,A,B,D,B,C,-54.10489070432214,-182.70226074096485,-59.22984244742594,1
Mental,None,C,-126.05666954381876,C,B,C,C,C,D,D,A,-69.3966577419829,77.3373511103545,-47.15334418776458,0
Mental,Buddhist,B,87.07245501782097,C,C,B,E,D,D,B,E,-12.276862032596348,21.507979650968615,-15.273012476040831,1
Both,Buddhist,C,-5.552474965712701,B,D,C,A,D,C,C,D,-108.07804095812389,-24.4298735293264,-59.55707152386069,1
Mental,Buddhist,E,-148.76527050414006,D,A,D,A,A,E,D,A,8.315908549450754,-85.70554602973584,96.65332795603578,0
Mental,Hindu,C,-2.5893743229900554,E,A,A,A,C,A,B,C,-75.41310459400879,69.97821405342727,-82.66538061060662,0
Both,None,A,-244.61261018978558,B,B,B,E,B,C,A,C,111.62223343090669,65.51724114105812,3.166193157424452,0
Yes,Jewish,D,93.97198329926275,D,E,C,C,A,E,B,D,133.4831306095413,-24.17560727468084,-46.348883167149516,1
Both,Other,D,-158.65753942836938,D,B,A,A,D,B,B,A,62.08657816124658,-34.284075161391,98.98643809121589,0
Both,Christian,A,7.688190202524635,A,A,A,A,D,E,A,D,16.453289598909233,148.2702816100115,53.020844210005315,0
Yes,Jewish,A,-163.44621341760183,B,B,C,A,C,B,D,D,-83.17552514844186,-64.57123192433359,-61.632503582587674,1
No,Other,A,76.61140676360012,B,A,E,C,C,D,B,C,234.2986683075333,56.31973323966296,117.73267510986321,0
Physical,Jewish,C,22.020668719720074,C,C,E,E,E,D,B,D,-118.27468915006224,-66.78788008253544,78.47658468651984,0
Physical,Hindu,D,-103.76421403031281,A,E,D,B,A,C,D,A,186.48398000104177,161.43619568785834,232.37313829538877,0
Yes,None,E,38.64816713199247,C,A,E,A,C,D,C,A,-60.94964416334666,-99.60588527945912,50.6369288427946,1
Physical,None,A,-355.9729598372852,D,C,C,B,C,A,B,D,66.74212334883116,-59.04100892648195,-103.41206671543968,1
Yes,Muslim,E,-124.83554899665688,E,C,B,D,B,B,E,B,-179.29254744946803,-55.99124967489353,-44.28301598455822,1
None,Other,B,41.43059523603125,A,B,C,C,E,B,B,A,-93.819107522901,161.14958131985327,-51.633989969587724,1
Physical,Hindu,E,182.17732550929563,A,B,B,C,C,A,A,A,22.0476640174189,-78.56967697583845,29.344980194774926,1
Physical,None,A,-2.50127244342774,A,C,C,B,A,C,E,B,-11.464968628723666,77.58147185609614,-74.1953977928496,1
Physical,Christian,D,-136.58007918094742,C,B,E,C,E,A,A,A,262.7609654518213,10.46615077626713,149.05548416751918,1
Yes,Buddhist,C,-128.96862971808056,C,A,E,B,A,B,A,D,-30.957350513773736,-160.94276910619317,46.010195931178714,1
Mental,Muslim,B,-72.929191536932,D,B,C,D,A,C,B,C,-39.74229773804987,-124.45913492628982,-37.25497240271595,0
Mental,Muslim,E,-149.34289267250887,B,A,D,D,B,B,B,B,39.34588419942148,-67.60692952922342,-153.61603682452804,0
Yes,Other,B,115.29672114873206,C,A,E,C,E,A,B,B,-10.981543721776731,3.7588270347080046,47.79251943164542,1
Mental,Christian,D,-179.3560601953266,D,C,C,D,E,E,D,B,-62.60487325702062,-212.22324671830881,-84.46989911659266,1
Both,None,B,-109.53120437040562,D,D,A,E,B,B,E,B,-3.81295681038008,-0.9483223175887248,-20.405132233911218,1
Mental,Jewish,A,-65.93257419624439,B,A,A,A,D,B,C,A,7.2968604538452455,128.67571723056847,123.11714436232266,0
Physical,Buddhist,D,161.46068822530856,D,E,C,E,A,D,A,B,-53.24161188874235,39.961619189340034,-58.83506945451398,0
Yes,None,D,-203.1908053931597,E,D,E,A,C,C,D,E,18.169462393586965,-104.55536510852473,-60.094809515970525,1
Mental,Jewish,E,-65.48451300351763,C,B,C,D,C,C,A,A,-156.24467768998335,54.772984202114664,-178.709408059468,0
No,Other,C,128.78541199940733,A,E,E,B,B,B,C,D,-47.754598552266515,209.6766896177166,-185.4169584597075,0
Physical,None,D,-19.94433379964932,B,B,B,D,D,D,D,C,-25.87661645398106,57.30689798989337,44.65335457664255,1
