RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Other,E,C,-96.60213550770095,-24.253958783185663,-50.06717101836319,55.90437367476038,94.92033703137491,-101.449932995359,A,C,B,0
Hispanic,B,D,-38.64996833456543,-14.060811887478742,-98.25466786370872,-176.19175684846155,-107.0770462183445,112.22138141291431,D,D,D,0
Asian,B,A,-58.766576694627645,-137.58837305307597,-72.43170446085936,403.9331671787477,-142.59342195775585,118.3335527242668,C,D,E,1
Asian,C,A,-60.98881256372128,47.627944190302536,68.48947668193627,199.63379542356506,-123.50013597363645,71.73397216808928,C,C,D,1
White,B,A,69.01484442449019,133.5662987050996,-1.2053177580706662,-73.30189558090228,-10.405339320891732,66.59952659015327,B,C,B,1
Other,D,D,-86.14894078129046,26.365371875799497,-232.34767734676743,-48.283590876496156,-162.5580959688618,-4.424226504200842,A,E,B,0
Black,C,A,-107.38291529659546,-17.999919371452496,103.31353725282159,-58.76721370747365,-210.82226188547807,50.763407470828106,B,C,D,0
Hispanic,D,B,-112.6061993962328,-89.36518950535367,-102.24982340507331,-173.51625109915477,138.0886940320361,-45.18029595055739,C,D,E,1
Hispanic,D,D,7.2807522971625485,-18.61961117404042,17.983195444779156,10.814671384346969,33.86953694484636,7.8507500711042315,C,A,C,0
Black,B,C,-85.02066377225839,24.904434361621686,128.1965186755172,-14.688107553581181,134.0007230092074,-54.97386820075597,B,A,D,0
Hispanic,C,E,54.98859849584642,-55.21679899540087,49.52123960050968,119.25727369611212,28.35585125626322,219.9515776350194,A,C,A,0
Black,E,D,21.478373022604615,13.416770304856032,-66.86421665599963,143.92193153042538,-29.25483110054603,-110.54149958816781,D,E,A,0
Asian,D,A,24.593020138849152,-20.501686748107673,104.17262005541666,41.48429921255746,-171.68501305260864,-100.38240802203127,C,A,D,1
African American,D,E,-12.76159556865065,218.2700841295703,77.29256268097492,51.571940253350526,113.85321320621354,-36.97845413894403,D,B,E,0
Black,E,B,62.55199656811505,-40.78088441197973,36.493323951105864,-26.21216828408912,-6.641006489460125,-206.86214164210685,E,E,D,0
African American,C,C,121.95414536188731,73.47675668738283,13.177529882083642,4.218255386082177,-119.35907938403044,245.21590694831906,E,D,E,0
Hispanic,C,D,152.2122413603235,-125.79837670441701,-97.16817882977844,3.8678540072513266,-57.57056465617424,-21.859444813454466,D,C,D,1
White,A,B,-191.3312061816179,-13.073880670518918,38.36767826265061,88.24953016605882,-6.379113961672464,114.38653458896107,D,A,C,0
Black,B,B,-65.95762826503724,26.260416435209024,45.23170649971283,-26.65767258732509,30.000381597549424,-3.28125645559856,E,A,D,1
Asian,E,D,98.35467100815328,77.62086922969786,136.7398373483589,65.21814037059866,116.49949819403199,-82.09481566055672,B,C,D,0
White,A,B,87.20582697169725,5.23553804161531,-5.118121918330527,9.040417726325673,32.0792804695552,219.03771149624328,C,E,B,0
White,D,C,-29.54980558879355,70.53639345978422,-81.08755543220457,74.5096431220436,-47.92927776065549,8.100226225260855,A,C,B,1
