AgeGroup,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
26-35,Veteran,146.58476630512328,C,D,11.844258165868734,C,20.822878925028746,100.95381238623496,150.84424751589322,155.1410378410844,D,62.323221081823334,1
65+,Yes,53.48963422973591,E,B,-13.098377009859592,B,131.62040306956376,-23.754474173144057,96.18006372577631,66.03457287490845,B,71.41360272472392,1
51-65,No,-97.35247250719978,E,A,97.69200297474387,B,-11.968926021350626,-38.73547378793474,35.690153905631696,-23.524973114362858,C,149.2330445351686,1
18-25,No,94.70458774533837,E,E,-150.7373634641708,A,83.46143562654784,58.28191813900374,-139.98610866691263,41.30674385659195,B,-42.77483154765612,1
65+,Non-Veteran,129.49856847070367,D,A,98.3313011644962,B,-110.91905853873799,-7.013146485407165,180.36327115479676,13.565432179997009,D,145.50424997945095,0
18-25,Non-Veteran,31.106603331278343,E,D,67.71297369675011,C,108.62298782693543,-15.324773670268119,14.296000895022093,-3.241171355095758,B,-25.747638811496014,1
51-65,Veteran,-149.03818777803724,E,E,-61.39221699278197,B,-6.494161789286935,-7.532742674538068,35.635774175291914,245.8135800371859,E,-30.751137704509585,1
36-50,No,-161.7072366486703,E,D,2.298834277346325,A,-130.20307899634517,-4.39584595368765,-189.6228835696759,19.225511848772513,C,-7.557762116758639,0
36-50,Non-Veteran,-16.289604748175883,A,A,-10.649163398166063,E,29.230968909579264,-50.328520375891905,-207.01825150233765,-133.4155186421869,B,-26.896458848955824,0
26-35,No,66.66533355104808,C,C,10.573366298009853,B,26.550905696460152,83.24467938384271,-39.27715554985306,11.219667578062195,A,-139.69764705297442,0
36-50,Veteran,18.53234091587464,B,D,136.2630177678119,A,110.57161513784312,10.089738817718992,-112.31585473539253,28.932467121298984,E,128.36707236302226,0
36-50,Yes,-37.17764738697025,C,B,-48.41699208966379,D,97.8120912626777,118.8007184663468,-69.13815261779598,-12.12637456332713,E,-116.23117046012791,0
65+,Non-Veteran,-37.00869275729052,B,B,-37.352187812112334,D,-41.63642507618193,-146.15259585530706,-36.7253699959554,-111.1067204660791,C,1.8426889113653284,0
26-35,Yes,-12.008358972677737,C,B,-70.49268975264494,A,-56.843389051247314,116.99340047173088,45.77717233599976,114.37497802451549,D,33.78531533049132,0
26-35,No,-200.35906755347722,D,C,192.09601236787623,E,-80.05744929647993,-49.46406170672759,-63.968430042314274,-37.70445811138762,A,98.78357422403839,1
36-50,Non-Veteran,-183.873939846593,A,D,42.95450742656183,B,152.23098800413277,-60.03027992840846,117.34921756663717,-39.72580946698107,D,-40.67271063969653,1
18-25,Veteran,126.7216038742632,C,D,101.18109102063919,D,13.714649757632,28.627568906424784,-8.848397190006766,24.43384138298495,B,-52.01059287106221,1
18-25,Yes,34.23385854186521,E,B,214.3067337709036,E,-161.9345042318877,-35.64641607698093,28.98683471574485,-363.38169132845326,A,-118.16456584804355,1
18-25,No,12.506628949383474,D,D,25.295633031141968,C,84.27041615558386,103.21545994349322,-23.254238748975865,5.882377467979234,D,-45.31727649856854,1
26-35,Non-Veteran,164.14391186360703,A,E,118.88905622951742,A,-38.22664932323017,6.070148733425252,-58.943518821251615,-66.97944191828769,A,-7.941840460662353,0
18-25,Yes,-68.5559141454487,E,B,-68.4775186164626,C,81.05611694736645,46.58881419798445,124.64939111174547,-8.981310721473502,E,-175.91998445170677,0
26-35,Veteran,-3.0508687863294757,A,C,46.77318168759727,C,24.163427674335903,-181.17661889314667,9.230625519859613,34.78588800394648,E,60.699939477685916,1
65+,Non-Veteran,-145.94844494548255,E,E,-0.48515320652068533,E,-31.539331751330156,-130.22437536203384,-128.15078484119113,233.18149174396657,E,-63.780364136509995,0
26-35,No,146.25268959864013,A,D,-46.741622388278905,C,22.578365327688466,36.00392384980029,58.645745044108864,-45.96742665752184,A,68.46382217523981,0
36-50,No,-49.46974569574359,B,A,125.34739345194888,B,-39.245841167715916,-5.366306758236231,61.147305519660165,103.24332557113142,D,-24.55695517809968,1
51-65,Veteran,-207.2043307612336,B,D,33.360853261225394,E,150.2444834678841,-64.38727470549935,80.92963155389744,127.8116421502161,C,98.79486675145205,1
51-65,No,59.70971313904523,C,A,-200.3597530002938,E,32.54101062799665,40.267093676964855,17.682145410136737,53.81935059549263,D,-59.48076281268171,0
51-65,Yes,19.122177721997897,B,B,84.64674664556155,B,-45.79820297029739,142.8036864060967,44.36702632076685,21.29963016685818,C,110.56606317275612,0
26-35,Yes,-43.33709966646835,E,A,-87.77247614421131,D,-31.221588943524203,-56.515918578453416,-149.00306548429674,117.1706625768731,B,15.24657187475894,1
18-25,Veteran,130.5914768113126,C,C,-17.428897547721935,D,16.458318449238586,169.8194336357719,105.62769220682287,-10.911399200451477,B,105.71658691734986,0
36-50,Yes,-3.8595713027805942,A,C,-22.331798500069638,E,114.30168212672184,22.07720650033747,-147.1672838533525,154.32136843568767,A,-96.03713739622549,0
65+,Veteran,16.33813077719737,A,C,44.96520536174404,A,7.943949197029203,-115.49992552763528,-17.422869564616157,-36.11561943181694,D,-9.764156977731203,1
18-25,Non-Veteran,39.84823850003595,D,C,-37.56233539129881,B,-169.063387902717,-95.42227864605624,-19.011154003628786,-35.80174221906758,B,-39.89466649648604,0
26-35,Veteran,-0.931895498037751,D,E,60.31120538392314,A,196.62012611413027,-70.41798827847965,159.46452866006118,108.10122399900351,D,-162.97258463589733,1
26-35,No,-37.43025270720909,B,B,-8.240733588135473,E,96.83722011548193,-2.3104472954194337,-108.8919584200514,-9.18940767967716,E,162.10675270045832,1
26-35,Non-Veteran,-4.1979840521312575,E,B,159.75483712806874,C,-9.343184480698765,-17.276461944239767,-74.79883927276106,27.357233481106064,A,28.686863551459176,1
65+,Non-Veteran,-140.18302412616865,E,B,65.31459636141842,D,5.560919756306826,-152.41629135469066,90.91903988513191,104.09412134603413,A,-115.31834723419168,1
18-25,Yes,-164.42733128606142,D,B,-57.50791954315345,B,-31.303987558021607,-107.47269817615519,-85.7499173106705,4.401825286342807,B,150.1578873940443,1
51-65,Non-Veteran,-88.55680551924088,A,D,57.19118321802924,A,-47.182068605726954,-18.93505121787991,139.1566399636251,-26.390286579402606,D,-6.038805715677855,0
18-25,No,106.0148213507016,B,B,144.95947924578564,D,62.74432758367718,-22.315135545620276,39.509551033901374,114.30298445504484,A,-110.4528114809104,1
65+,Non-Veteran,12.63018709609987,B,D,162.5411630590738,B,7.925026803432729,55.13177348956253,61.73263604027822,-9.715658540804489,B,-145.25166237917625,0
36-50,Veteran,11.222507732593607,B,A,77.89025893046781,D,52.025935787252486,90.67687897326267,86.11946412190504,-98.10458412114826,B,91.79004589057847,1
36-50,No,-193.86592471502263,B,C,142.3539881608882,E,-28.992396902352148,109.73272826976337,40.494137445883645,93.3379421511317,B,-111.16569944530748,1
36-50,Veteran,12.903170219627953,B,A,-22.026806144179098,C,-56.544218767812204,46.66958619797798,-193.8250606999366,15.775196858700555,D,159.47893358893114,1
65+,No,82.82025984650471,E,C,72.60493001031365,C,-123.3124581292482,-104.0911692700562,-122.90041452688769,98.01737492601812,D,-32.18465329538357,1
36-50,Veteran,33.829903120513194,A,A,79.43456694350427,D,15.28188715197244,-65.05907133168394,112.00277159814729,86.09223371084641,B,126.41848485701699,1
65+,Veteran,-37.36596728770294,D,A,-169.66689238977543,E,-51.691504950777286,126.34382253368103,44.85923443887812,146.03284030719064,B,61.23179015475713,1
36-50,Non-Veteran,45.09277225666446,D,D,49.21983331077809,C,-36.72171262365778,-28.602243811711965,125.1923640079383,100.73037699841419,E,140.07368659403156,1
65+,Yes,-24.34677785844572,B,A,-50.39222131968329,D,-51.378257882697106,25.552835132381862,-53.18890543659215,-36.054610683818204,E,-259.20091629459927,1
65+,No,-83.30896080573072,E,A,-142.3336043680043,B,158.09965953005923,-71.9326108936414,-189.5580404214127,2.239462266750656,E,-17.901409150189462,1
65+,Yes,-10.479471055464948,C,E,-39.86983813641963,E,79.9971215636897,-43.81691299807265,96.55960179530697,-46.65009098314015,E,-104.20494411232741,0
36-50,Non-Veteran,219.96231315918791,A,D,-25.7628400032512,E,-89.74089923044701,174.89170285920054,104.97172466179896,50.99768089917145,B,18.312684751368817,1
65+,Veteran,9.547901660584385,B,C,127.43913847036173,A,-82.43800891016166,-82.2718031939181,-2.6285462580767955,52.33472339482796,B,-56.66301670258322,0
51-65,Non-Veteran,-74.54600437545115,D,E,53.28599450112562,C,118.81217251915534,-43.62028978686281,-35.795474447528655,56.35662390764631,A,-63.81825706341715,0
26-35,Veteran,-126.58733186955551,A,C,-65.21070301473165,D,15.511264190273447,-62.44609063279136,48.11373486991146,142.08416693227787,D,117.56084905416186,1
36-50,No,-103.85390647460233,E,D,-53.70251190032646,B,85.71169827688404,-106.79423122048757,121.43167500791657,-18.119803091457666,A,211.79493322689612,0
65+,No,-116.36375840902437,C,E,-34.042195716636336,E,17.047099591955607,91.13776669387491,8.31947177837298,131.38551248962779,C,-99.70621946845928,1
