faith,Veteran,married,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Hindu,Veteran,Single,M,D,103.88667728461043,C,B,B,E,A,-49.29336551086185,52.99621663082601,A,D,-73.09881377954153,0
Muslim,No,Single,Female,A,214.68976878930675,D,D,D,C,C,94.48982304122647,-22.594522952415407,A,E,0.20817720083559538,0
Other,Yes,Married,Other,D,178.67460376855306,A,B,D,A,D,71.56332700903492,21.155600021180543,E,A,-6.980810700946706,0
Other,Yes,Widowed,Male,E,-64.90097563402338,B,A,E,A,C,114.38038199965752,51.30624370618191,A,D,138.22807992717975,1
None,Yes,Widowed,M,E,-240.50315743916252,D,D,D,B,C,-24.46514716468005,-91.70794931419711,D,C,21.45176342117628,1
Other,Non-Veteran,Single,Male,D,-108.72791520751414,B,E,A,D,D,142.78109321642245,69.24825138183333,D,B,-262.24682916019464,0
Jewish,Veteran,Married,Other,D,-89.25219175903763,E,B,C,A,B,-152.70840617308838,-26.449661076227848,E,E,118.53678259428493,1
Buddhist,Yes,Married,M,C,-137.01523171102448,C,C,C,B,D,-2.285626997460432,4.535203905718047,E,B,107.3717326371023,1
None,Veteran,Married,F,A,35.00328010943726,E,E,B,E,B,40.406738852536215,46.867602203635656,D,B,-83.58756233510837,0
Muslim,Non-Veteran,Married,Other,A,-20.757840624000465,B,C,B,C,E,-252.90203165896403,27.550618464573066,D,E,-2.2515730236950553,1
None,No,Divorced,M,E,-49.02242489605004,D,E,B,B,D,-2.9253730079564977,27.661538741144557,A,B,53.79374233231864,1
Other,Non-Veteran,Divorced,Non-binary,C,-94.66189047540443,C,B,D,E,E,17.90724942324795,-6.290278540692046,D,B,76.13847169334423,1
None,No,Married,Male,A,132.22932526996325,C,D,A,E,C,61.032867349184,96.98434323045737,B,B,-0.5491654891460042,1
Jewish,Veteran,Married,Non-binary,E,103.49347556297211,E,B,B,E,E,125.76704093869957,65.59256196491685,E,E,-18.35289095420791,0
Hindu,Yes,Married,F,D,76.43252526883768,E,A,E,D,D,157.4848095221624,57.31103010529552,A,A,-7.878923866439494,1
Hindu,Non-Veteran,Widowed,Male,E,-117.81957884498692,E,E,D,C,D,76.46720346175451,-13.460237781443704,C,B,-81.06929448147567,0
None,Yes,Married,Male,E,60.29718068728969,A,D,C,E,B,-47.555647218841486,112.18860864803328,C,E,-55.9882010952619,0
Hindu,Yes,Divorced,M,B,17.073811460046826,C,C,B,B,D,146.8125774705484,-2.346683854382296,D,A,10.071643705372226,0
None,Yes,Single,Female,B,-27.26506252855745,C,B,D,E,E,-62.71162570731374,-7.027026579670287,A,C,160.27579521273697,0
Jewish,No,Widowed,M,E,-69.53008756585449,C,A,D,A,E,-82.25793122443307,-131.68075722287367,D,A,96.26178529817518,0
Muslim,Veteran,Married,F,C,160.78391115458246,B,B,C,D,C,169.50475183349053,-162.93761757989498,D,D,-179.94608357255854,1
Other,Veteran,Single,Female,A,-58.741942576413805,D,A,E,A,C,-19.893584037299355,-224.2968791378963,A,B,-57.64969796950224,1
Hindu,Yes,Widowed,Female,E,45.13250967726048,E,B,A,B,A,-6.374322175982589,-85.12841728899335,C,C,15.444459568208751,0
Jewish,No,Widowed,Female,E,-84.74869908550903,E,C,B,D,A,-51.347056056512585,18.907098898857733,E,E,-97.08486208960817,0
Jewish,Non-Veteran,Married,F,C,53.15758709787871,E,D,E,B,D,136.9067546353917,36.61077223785862,D,E,-132.59842695256285,1
Hindu,Yes,Divorced,F,A,23.830793873024056,B,C,A,C,E,-12.889124142827638,226.73883840764654,D,E,104.91557333572325,1
Buddhist,Non-Veteran,Single,Other,E,8.316914409507751,D,C,E,E,B,-138.66550662114912,-213.3572493929221,A,E,98.66422748782891,1
Christian,Yes,Married,M,B,45.28755402436303,B,B,C,D,D,92.95114129948946,56.208264157813495,E,A,-64.39459698482214,0
Christian,Non-Veteran,Married,F,C,-43.24557936805456,D,E,A,E,D,41.69509171388961,65.97464898408721,A,A,7.986457662609553,1
Christian,No,Single,Female,C,-172.44008296625643,A,B,C,C,C,154.03742410143545,42.03428203973111,B,C,-48.74190805976983,1
Hindu,Non-Veteran,Single,Other,A,103.91071028524446,E,A,C,D,D,-44.995390064195824,30.402705247325695,A,C,-111.38997484867232,0
Christian,Veteran,Divorced,M,A,39.2578314401123,C,E,A,D,C,279.78348861899514,-64.52121657692643,A,D,-152.79378778518642,0
Hindu,Yes,Widowed,Other,D,-108.38208125751783,E,A,E,C,A,-44.6566296256445,78.0843604408361,C,C,-195.60124031910667,1
Muslim,Yes,Single,Female,D,187.1077858933005,D,E,A,D,D,-24.592409609648968,-80.44613598007993,D,D,12.412557633378093,1
Jewish,Veteran,Single,Non-binary,E,-56.24345014944843,B,E,A,E,D,-99.9708850460315,30.618793370300747,D,A,87.33894676538787,1
None,Non-Veteran,Married,Non-binary,B,70.59924830881755,D,C,A,C,E,-4.043697829358553,-59.389300180006884,E,D,-46.94794978867744,1
Hindu,Veteran,Divorced,Non-binary,C,-231.855962921377,A,D,C,A,B,63.061603348933644,32.09683015456744,A,E,-180.96163820652745,0
Christian,Non-Veteran,Single,M,D,72.0601273328936,B,A,E,C,D,-127.89829483750627,-176.20292327518786,C,E,-102.06411577202239,0
None,Yes,Divorced,M,B,-23.153593685605443,D,C,A,D,E,36.38710066422461,-108.39962929306878,D,A,-131.24572252358695,1
Buddhist,Veteran,Widowed,Other,D,-16.366578356505464,E,A,C,C,E,-37.606462146127576,-1.678502283517321,C,D,-42.5021121985107,0
Hindu,No,Widowed,M,E,35.09672105535536,C,D,A,A,A,-118.3483011519551,6.211849509370407,D,A,0.15483916179513446,1
Christian,Non-Veteran,Single,Male,C,-25.909855031715352,E,E,A,B,B,-49.04568603568289,-37.552614334956466,A,A,-27.136970938596722,1
Jewish,Veteran,Divorced,Female,A,-144.37052081621425,D,D,C,A,D,158.0213003473205,-155.24152656959745,D,B,45.713699634831016,1
None,Non-Veteran,Married,M,D,156.5867001251557,E,B,E,D,A,-40.39795507245117,-40.574803016560054,A,A,-88.32409679686822,1
Christian,Yes,Widowed,Other,D,74.23505867567255,C,E,B,D,B,28.437420181547314,-89.83915683253606,D,B,67.95927967579881,1
Muslim,Non-Veteran,Widowed,Non-binary,D,41.30080507913693,B,B,A,B,B,-28.327859548639555,115.36431917236627,C,E,-73.64353657356585,1
None,Veteran,Divorced,Non-binary,D,-65.63344223955357,B,E,E,E,B,87.99795352968734,91.53910546054924,B,B,104.56908578279635,1
Hindu,Non-Veteran,Widowed,F,D,143.29374577050854,B,B,C,E,E,-10.763084878828852,-55.07749945401017,B,E,66.0281273230949,0
Muslim,Non-Veteran,Single,Male,C,41.474315664930074,E,D,E,A,A,37.316037259183815,117.57294590538017,D,A,104.12872219155045,1
Hindu,No,Single,M,A,242.66118167918629,C,D,A,D,D,-107.60546335824708,-7.536568997879107,E,C,23.228246391644138,1
None,Veteran,Married,Other,C,-24.867701791455573,B,B,E,E,D,-12.216012970005822,8.612395539062211,D,B,-52.380478230972905,0
Christian,Non-Veteran,Widowed,Male,E,-107.06223221184348,B,B,E,B,B,-179.74059155725104,31.78632095320884,B,B,-59.04991035543359,0
Christian,Non-Veteran,Divorced,Non-binary,C,54.772126409988594,E,B,D,C,A,78.86156541982088,-32.852552730860964,B,E,168.88132100502315,1
Buddhist,Non-Veteran,Widowed,M,E,-80.71307743918469,E,D,C,A,C,6.913549180202827,-26.268390578250933,D,E,152.97397448012683,1
Buddhist,Veteran,Married,Male,E,-7.484961064672745,D,A,E,B,C,-54.49860414879687,101.72595253662502,D,C,-51.81365101152089,1
Buddhist,No,Married,Other,A,-37.90533873229213,A,C,B,B,C,18.054362686631446,-4.777821365274464,A,D,-46.59302807945011,0
Buddhist,Yes,Married,Male,E,-24.31536770619044,A,A,D,D,D,125.31010878639826,-103.54364957570692,B,B,-129.69160327166202,0
Christian,No,Divorced,F,B,95.39203140649307,E,D,E,B,D,47.03574156181548,-51.378253409259585,D,E,-96.7047858434924,0
None,Yes,Married,F,B,-3.785210721265031,B,E,B,A,E,-169.28417218796798,141.37521784208386,C,C,101.01441782964503,1
Jewish,No,Divorced,M,E,177.25986212484753,E,D,E,D,D,-13.28219742578985,-64.39751541402107,D,E,20.58692384125224,0
Jewish,Yes,Widowed,Other,D,-178.9061342141962,B,A,A,D,A,-105.91383760823032,3.4340441414764507,C,C,61.504777754723925,1
Other,Veteran,Married,M,A,147.7821208822019,B,D,C,B,C,74.18036988875775,-4.826936541537127,E,C,41.64156936799049,1
Jewish,Yes,Widowed,M,B,37.943249119113915,D,B,E,C,D,-71.56828540072779,-90.16036156786524,A,E,14.459271270990614,0
None,Veteran,Widowed,Non-binary,B,-126.29577358250998,A,A,C,A,E,9.789870870393006,-49.03811315197264,D,A,88.2425821267406,1
Buddhist,Veteran,Single,M,E,140.57857408183924,D,E,D,B,C,197.80203040530154,177.78646104304698,B,B,40.93817315980307,0
Hindu,Non-Veteran,Single,M,D,-160.45147121397235,B,C,A,B,A,-31.55796473525705,-16.55586850269251,C,C,-51.896611863609564,1
Buddhist,Yes,Married,Non-binary,B,-19.316777944181702,C,B,A,C,E,266.2436554552094,248.84774691360866,E,A,196.0351925573686,1
Muslim,Veteran,Single,Other,D,30.10961867481746,D,C,C,A,C,26.247448557206642,136.36381227686257,C,B,36.55496486235133,0
Buddhist,No,Married,Male,E,58.90370914294842,C,A,C,D,E,-155.7735785942721,94.90312662179258,D,C,29.391855934863987,1
Jewish,No,Divorced,Male,A,-42.97488555793827,A,B,B,D,D,24.506501320367082,-23.50746349772288,B,A,107.13594889427472,1
Jewish,Veteran,Divorced,F,A,-23.762422241253997,A,B,A,B,A,-119.36351516552908,156.2279476343762,E,D,209.65382860451865,0
Jewish,No,Single,Male,D,138.151084378701,E,C,E,C,D,-5.924562761227368,72.60417134075271,C,C,21.639317102857085,0
Hindu,Veteran,Single,Other,D,120.91150116454837,C,A,E,E,D,-10.641917192219724,242.73316955842742,B,A,-15.855058170920847,0
None,Yes,Single,M,E,65.35944210776763,E,A,A,C,E,-131.94821361702876,-63.29329093584198,D,E,-23.466256756171692,0
Hindu,Veteran,Single,F,D,-87.00880515105702,E,E,D,E,C,95.81853082057197,58.616533943389,A,A,-79.13205714794753,1
Buddhist,Veteran,Widowed,Female,C,36.84394598216768,A,E,C,A,C,-106.91188456706206,-39.4772861380102,C,B,-0.23551363163749825,1
Other,No,Divorced,F,A,125.679382041581,C,B,B,B,D,-50.66152730565092,111.88946822096368,D,B,39.34756883112792,0
