sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,A,-104.1106107551526,D,-111.82678369703358,A,E,1
Other,C,128.88767961850792,D,-101.1316185670215,E,E,0
Bisexual,C,-61.714015574710714,B,117.6482986935195,A,C,1
Homosexual,D,40.85877196303993,E,-163.51995391815032,B,C,0
Bisexual,E,-29.360746074376365,C,69.19983603423888,C,A,1
Other,A,-23.90671905206926,D,107.97599930005583,E,C,0
Heterosexual,D,-13.42340989746729,B,121.9241772525437,B,E,1
Homosexual,C,139.34019100497343,D,-126.99725292185404,C,C,0
Bisexual,B,81.5965479359233,A,16.552653714434438,B,E,0
Bisexual,C,-43.07269006244712,B,-140.79093729753365,C,E,1
Bisexual,C,-2.4600495192599396,A,-24.423562075094416,E,A,0
Homosexual,B,-99.64497438103322,E,276.8143781220264,E,B,1
Heterosexual,C,44.78657451037415,A,8.438363083711874,E,D,1
Bisexual,B,-110.6245566270821,E,59.110062770110304,A,E,1
Bisexual,B,-29.42157714206707,C,-15.134037675796485,B,D,1
Homosexual,A,-93.99262089499257,D,-25.00150651964442,A,E,1
Other,C,64.29798351763277,D,65.72702327866646,E,A,1
Other,B,67.17227990649354,D,-95.01413261040425,E,B,1
Bisexual,A,-11.695364053923592,C,-0.7428077353140492,A,B,0
Homosexual,E,277.54358227419476,A,-22.24142841368306,E,C,0
Bisexual,D,32.16115261227996,E,-49.243032657107335,D,E,0
Other,E,143.93705904546496,C,120.77390829511259,C,B,0
Heterosexual,D,-73.53024489441367,C,-29.432878161202186,E,C,0
Bisexual,B,132.86065577244568,D,160.43050291961765,B,D,1
Heterosexual,C,82.07765260405904,D,26.281228012734108,D,B,0
Bisexual,A,-143.0134477669034,E,-178.83989833254992,C,C,1
Homosexual,D,-59.192411913948796,C,77.46166332523433,C,C,1
Homosexual,B,-122.74045178869034,B,-138.5358936934687,A,B,1
Heterosexual,A,26.61651975986365,A,203.59924756048176,D,B,0
Heterosexual,C,-93.4284560723471,B,-36.137282773027835,A,E,0
Bisexual,D,12.933816653943856,E,-33.19334744874338,C,A,0
Other,A,222.79471355247367,B,69.99895638176714,E,B,1
Bisexual,C,-104.53815249861044,B,-113.4212899601932,B,B,1
Other,E,-94.89665069758676,B,-66.59457213827199,A,C,1
Bisexual,A,-95.71978830648999,B,12.871806466968144,B,B,0
Bisexual,E,-124.20382116460476,D,62.98920226902401,E,C,0
Homosexual,B,-170.74521047319558,D,84.80157997955816,A,A,1
Heterosexual,A,255.719864298836,D,10.698990694028462,E,B,1
Other,A,-37.91752795537316,A,-22.97210161887804,C,B,1
Other,E,40.99809295667193,B,-119.52287735810523,E,E,1
Homosexual,B,43.59097536249804,E,151.43413621484888,C,B,1
Bisexual,D,-7.475454105862132,D,-72.055994016759,B,D,0
Homosexual,C,-92.10279534795393,B,70.8976592206336,C,C,0
Homosexual,E,96.17170552733765,A,-54.3213943838263,C,A,1
Homosexual,B,-37.64590513717827,C,-4.824442153355316,E,A,1
Homosexual,A,118.06564469810203,B,-21.144539499536673,A,B,1
Homosexual,E,156.26479277362776,A,-48.9139788964214,B,A,0
Other,A,-95.29484379464428,E,-218.65894162702565,D,A,1
Heterosexual,A,68.26681361691571,D,188.24730112614213,A,E,1
Homosexual,A,4.592779510081495,C,-93.53536455420335,B,A,0
Heterosexual,E,-62.035499552474406,D,-113.71565105819332,B,B,0
Homosexual,C,-101.16684170045369,E,-120.43779673908821,C,A,1
Homosexual,B,91.5076948272417,A,42.29031744325176,D,C,1
Heterosexual,C,-227.72352099294517,E,-39.4417795693201,C,B,0
Homosexual,D,41.96988241405196,C,30.057450212607705,B,E,1
Homosexual,D,-63.37518537540129,C,88.90468163829681,A,C,0
Homosexual,A,172.84718576635544,D,32.22409005777515,A,A,0
Homosexual,A,159.1734362135762,E,72.03919854920721,C,C,0
Bisexual,C,189.11698058573774,E,-9.810160913185968,A,B,0
Bisexual,D,155.15252682795412,A,-11.759088959753871,A,B,0
Homosexual,A,-95.84231838030828,A,-132.3205060392897,B,A,1
Homosexual,B,190.0363187204751,D,66.3660325666336,E,D,0
Bisexual,B,-98.27628204352187,A,13.679550470858349,D,A,1
Heterosexual,E,159.7374776618245,C,-75.80372838094705,D,D,0
Heterosexual,C,95.27167103605065,E,179.9984830087611,C,D,1
Bisexual,C,89.78807826106812,E,53.847070327152935,C,B,1
Other,D,-162.14700742479388,D,-52.7875893258935,C,D,0
Bisexual,D,13.063990798744005,A,-29.367088137195204,B,E,1
Other,B,-59.52852765395189,D,-42.13692820674461,C,D,1
Other,A,26.296655470856646,B,147.45109518487686,B,D,1
Other,D,-190.58732643756335,C,-135.84261848678963,C,D,1
