military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Yes,C,D,-29.3117478809706,-8.145329233805215,A,-65.59420661520622,E,D,E,A,103.04630951959344,0
No,E,E,-6.694950699533394,86.94093940623534,E,6.504524983458658,A,C,E,B,4.127361933698188,0
Non-Veteran,E,E,108.51312658481184,124.02905521535364,D,-173.56855317427983,B,D,A,E,-131.88747026282275,1
Yes,B,B,-57.96780384667976,52.52063557626406,E,19.588661741686188,D,C,D,E,104.99149128016163,1
Non-Veteran,A,B,171.65278837499136,-29.30993882820311,B,-50.10350456722037,D,C,C,E,-80.38996196467896,1
Yes,E,B,10.527761780702386,-78.6617933343865,B,-186.52759480736205,D,C,D,C,-151.3904172781466,0
No,D,E,-79.32602579778008,-21.680998539166453,C,-11.492839540792009,D,A,C,D,95.77041004658571,1
No,B,A,-163.15414560213276,-78.61903062955274,D,31.646688112213557,A,D,A,D,-70.01224530095625,0
Yes,E,C,-3.6249736056481288,88.83104772012189,E,-100.25724391706777,B,B,B,C,64.02044604946589,1
No,C,B,-7.371412390488459,-49.6979485883635,E,118.47113766437887,E,B,D,B,-157.2848531707183,0
No,E,E,167.49753259663086,102.50640414150196,A,191.35472061329392,D,C,E,A,-15.889268214534644,0
Veteran,D,A,-117.7842843716387,168.1583355222933,C,-122.01682855957962,C,B,E,D,196.92038852451756,1
Veteran,E,B,-7.26329457425641,103.82608236532734,A,228.18335565319668,B,B,D,B,-236.6800275529132,1
Non-Veteran,E,E,5.426707394045636,85.19757875003717,E,33.72140380093208,A,B,C,B,-100.1291370382845,0
Veteran,B,D,-20.30483824742101,-16.596191464445926,D,-6.880881668533815,A,B,C,C,-70.24637327846126,1
No,B,B,14.306582158686517,-137.06993780718676,A,-61.623874951881696,E,B,A,A,13.692216699298177,1
No,A,A,-101.24606998053895,-121.06118426427042,D,-46.26647176892559,D,C,B,D,-124.7773430343076,0
Non-Veteran,D,B,-60.132613242106046,-42.05236854746149,A,-35.34702344935326,C,D,C,B,-12.310056331348223,0
Yes,C,A,120.0546260007414,-4.562868602861789,B,160.20701717207265,A,C,B,D,155.91545759050695,1
No,B,E,-286.4881384843789,30.099952276948756,D,-34.61507516861542,A,B,B,A,-77.0212101956531,1
Yes,E,C,-102.85466449184482,-20.379023410771506,C,-29.453833460120826,B,B,A,A,25.70620754903199,1
Yes,B,B,191.0161106831878,12.963108673579699,A,-85.6417168812177,C,E,B,E,91.6428998831581,0
Veteran,D,B,-49.730182487088136,90.36749900203151,E,-53.215733108305976,C,E,C,B,-21.25751300959476,0
No,D,C,-65.91009833665157,-9.083031901065144,D,-236.69818615994177,D,E,C,E,164.3867552826663,1
Veteran,C,D,-89.55390983215575,-130.9501288516334,E,94.90738108356105,E,A,E,E,-24.296466727461763,0
Yes,C,B,65.55865044589527,95.56300925415692,B,-124.8538747287286,D,E,C,C,42.06148135796093,0
No,C,C,-212.09258558160408,67.28530889234314,B,54.880508213162294,A,B,E,A,72.94816829677976,0
Veteran,D,D,86.90344398254403,40.99334473883231,B,72.84607181473052,B,A,D,C,45.725555502099986,1
No,A,C,-65.70845860974093,-2.297670866603891,A,-84.29617871470825,D,D,D,A,88.4198708066468,1
Non-Veteran,A,C,-119.14884255026661,64.08487881691043,D,-22.271787564970875,B,A,D,B,-10.079280689480335,1
No,A,E,-50.36774341094464,81.2767832623595,D,110.16654175440743,E,E,B,B,34.604573073596654,1
No,B,A,-77.3669705693332,135.51251727681128,D,-10.20898047740886,B,B,B,D,86.89898817821683,1
Yes,D,B,-85.63310303279792,0.5096452368171396,B,-54.47855565109669,B,C,A,C,-6.207484302059677,0
Yes,C,A,195.58470421245624,67.16491608554118,C,-146.37781660678215,C,A,B,A,176.21844098115187,1
Yes,E,E,-117.06762362665475,-152.9910274283909,A,-159.59349378538138,D,D,D,A,45.0756552520525,1
Yes,D,C,58.28161078627152,7.621150142538936,D,112.13830361823666,D,A,C,B,15.058811396200591,1
Non-Veteran,A,C,-37.2936042922691,-156.6602004210545,B,168.25041289280068,E,C,E,D,-47.89193451611939,1
Veteran,E,D,97.27597344482831,67.37539632431418,C,-154.50261114075906,B,B,C,E,13.786960091587924,0
No,E,A,-217.89008207987402,2.8486156166980843,D,-16.08172939326478,C,C,C,E,33.690132278835414,0
Non-Veteran,C,E,144.38812941039077,-14.160016981611994,E,30.17248623397542,A,D,A,C,62.37704825219647,0
No,E,C,22.088057007186126,57.97401571310813,C,8.582722959362787,B,D,C,A,134.52985418611772,0
Yes,D,E,48.687223559616555,65.75891605007065,A,188.58969273427186,B,B,B,A,116.23933167712033,1
Yes,D,B,75.99182161724598,49.50212613498891,B,-15.921153596047208,C,C,C,E,-92.05569530269234,0
No,B,E,-149.3962008087134,-56.447630895407094,B,6.913645490170859,C,C,A,D,-40.57030243808376,1
Non-Veteran,E,E,41.67248015866263,-54.63409500661732,E,126.79168921336705,C,C,C,A,156.68173609296713,1
Veteran,E,D,22.206030958281016,21.014679998326248,D,-75.86512649225807,D,B,C,C,53.08288498424769,1
No,A,B,92.215419985691,189.970940775371,B,-90.28732504549399,E,E,D,E,98.37270790779182,0
Veteran,D,D,43.14789363748694,-35.65992889784221,B,-70.15221163448653,C,E,C,C,-12.687555159919564,0
Non-Veteran,E,E,24.758773406555196,14.29602451501138,E,-81.46707335447313,A,A,A,A,17.903604310599512,1
Yes,C,E,42.641878373755034,-1.3231230784591497,B,96.12991859835647,D,B,B,B,-199.14963984046148,0
Non-Veteran,C,E,64.72611746891394,1.9546962053086512,B,101.13397018870252,D,C,B,D,44.75524240121999,0
No,D,A,66.37536363628132,39.387295218542164,C,-37.49031148918126,D,B,D,D,128.64949481273496,1
No,E,A,-60.89085850840701,100.7834448289793,B,-153.82204725710412,B,C,D,E,124.11853993841288,1
Non-Veteran,E,B,-51.422062181267314,-126.71106095148039,C,-125.48149306481902,A,E,C,A,156.5484389190219,0
Non-Veteran,D,E,24.02419749648458,-9.67273983556903,C,27.212045509376594,B,B,B,C,-86.04785125811226,1
Veteran,B,A,-11.549223850663878,44.08066295644252,B,-26.496846602324673,E,D,D,D,-214.03746019244306,0
Non-Veteran,D,C,131.4210342696201,87.09216105676234,E,-14.374619742839014,A,A,B,C,-18.572639631481294,1
Yes,C,E,19.09516647527836,-9.21496129474601,E,-78.75867989419677,A,B,E,B,127.11822467192026,1
No,B,D,-68.68519954985479,9.262900236113698,E,98.64709548927037,A,B,E,E,-12.448690859292979,0
No,C,C,276.5257782920239,-67.89369064084076,D,69.66540072218856,E,B,A,E,-102.54762769066666,0
Non-Veteran,C,E,-159.07272310466732,15.09804646034999,E,-49.9650191232367,C,E,B,E,-105.90443170121773,0
Yes,B,A,-119.22317704062233,-23.640297446673145,A,133.62726063039884,A,D,D,D,27.40547599567255,0
Yes,A,A,-54.3840996603186,33.952703280168556,C,-102.08342284286562,E,E,C,D,-22.369642724911206,0
No,C,C,-33.312923375108745,37.58465539541163,D,40.88787642690663,B,B,A,D,81.00497572683378,0
Non-Veteran,B,E,127.29349228660216,23.5929162336544,E,104.81778644794547,C,C,D,C,35.87806282909327,0
Yes,C,B,-9.50121203024123,185.01759276524464,A,175.37598036390295,D,B,D,A,15.980489637171596,1
Non-Veteran,D,C,-31.97071950987643,-37.80197296886635,A,-109.29459594911121,D,C,B,C,25.967444651406186,0
Non-Veteran,B,E,145.4362886693453,-118.38479701249457,D,-2.4632535615485893,B,E,D,D,-55.933276054331735,0
Yes,C,E,-131.0352314533104,68.88299263971157,A,123.09686524886165,D,D,B,C,186.61622478379547,0
Veteran,C,D,-26.876111056518187,2.9453714479130153,A,-216.96560031743394,C,D,B,B,-88.88836841787608,1
Yes,C,D,-14.737011252117965,121.57278456152578,E,24.52940127636399,A,A,A,D,138.83074619348073,1
No,C,A,158.95097355472555,23.452181317315098,B,37.88559419349102,C,C,D,D,138.90944951483993,0
Yes,B,B,126.6273290565673,-65.94049425609516,A,-180.0722086799538,C,E,C,C,154.1102619161135,0
Yes,A,C,117.12772285461952,43.10073968120334,A,-192.4058564317594,C,A,A,D,-95.38541642770414,0
Yes,E,E,-16.2494257897908,277.96174503009723,C,-55.61812726938036,A,B,A,B,93.30260161522574,1
Non-Veteran,B,E,3.55290345897723,21.89485246086601,A,35.500778209305025,D,A,B,E,-61.535663008207166,0
Yes,B,E,44.401645972519596,37.70441166449886,C,30.97046861759894,E,B,C,D,59.223301053078494,1
Veteran,C,C,81.97980046191415,31.275882623622252,B,-19.65578534379227,A,E,D,C,56.042317581102644,0
No,E,E,-143.1185051411671,65.65883481268328,C,52.57878377198909,A,A,B,D,-99.71551089112762,1
Yes,B,E,-240.7923312689066,91.88462579075467,D,109.94354200392937,E,D,B,A,-1.9763612665100565,1
Non-Veteran,E,C,-137.0443548436299,-4.628326987232135,C,99.15195875961665,D,D,B,E,-88.78029390776496,1
Non-Veteran,B,B,120.57720909818823,49.35056630997625,A,32.88183547214194,C,C,C,C,-266.6676732614511,1
Yes,C,B,-50.1033529184115,87.91119960542419,A,43.30504386639864,D,A,C,A,-86.63849387206042,1
Yes,C,B,-256.21999362839165,190.8549339468776,C,-38.49998419252339,C,A,B,A,-200.76231380919302,1
Non-Veteran,E,C,-105.07158857607453,281.67961649057924,A,-49.30625210131151,A,D,D,C,-62.25421996628133,0
Yes,C,A,71.77592625750391,-55.4924579473809,E,-87.38972103165868,D,D,D,A,-202.63999044046722,0
Veteran,A,B,26.259853317380934,80.36380159127697,B,8.380565102430086,B,D,A,E,29.763487659829774,1
Non-Veteran,B,D,59.64687285572564,-12.470744324518249,D,55.85667634764641,C,D,C,A,128.607981727314,0
Veteran,B,E,57.20065557580901,188.18163725994134,D,115.38383549953028,E,A,C,C,-148.89260272171873,1
