Nationality,sexuality,Religion,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,Homosexual,None,Both,C,-2.424953581676636,-49.785613853561195,44.212682306577925,C,A,0
Mexico,Homosexual,Hindu,Both,C,-52.08247932797286,-20.90070451808802,101.55865583838073,B,A,0
UK,Heterosexual,Muslim,Yes,A,2.784298444649437,29.27559523270874,75.76568316935615,A,E,1
US,Homosexual,Jewish,Mental,E,106.99847075560751,-98.62451680436722,174.7584169060951,B,C,0
Mexico,Other,Jewish,Physical,E,-163.99319301833032,-97.11256928877276,-1.8440301893894733,C,B,0
US,Heterosexual,None,None,C,-102.95722912666747,-74.5418964728091,-128.07276700257714,C,C,1
Brazil,Heterosexual,Muslim,Mental,D,-189.79280995457535,-36.58665505718356,1.6336470826922165,E,B,1
China,Other,Hindu,Physical,C,25.97427241151285,-15.04608329579978,-3.8873523111185206,A,E,1
Other,Bisexual,Jewish,Mental,D,-28.589635240691653,49.490023881782804,60.04884043479357,D,D,1
UK,Other,Christian,No,B,41.86932789934186,-73.33798940682938,-14.49407318315497,B,D,0
Germany,Homosexual,Hindu,No,E,-35.36224106027562,69.70304993449471,120.15127220833024,C,D,1
US,Heterosexual,Buddhist,Physical,E,6.978140721714565,22.347142821742466,157.99961644777866,E,E,0
China,Other,Muslim,Yes,E,69.6840787933105,9.217536643742575,31.87113501164752,B,E,0
India,Bisexual,Christian,Both,E,-61.59073242158259,41.708125944562696,171.7986287856676,B,D,0
China,Other,Christian,Physical,C,168.30256359005037,9.640577613310931,-1.5845674162369692,B,C,1
India,Bisexual,None,Mental,B,46.044821535111964,27.717484065787513,129.52383950689378,D,E,1
India,Other,Jewish,Physical,D,-29.066560478786784,-6.963270317004828,109.64420188818525,B,E,1
US,Homosexual,Other,No,C,-6.628862648385285,73.98857760045003,-44.827045605014796,C,C,0
India,Other,Christian,Physical,C,-19.363473999368246,-93.7270594747002,256.3711287025885,C,E,1
India,Bisexual,Jewish,Both,C,108.06815039518867,-39.52994602933467,-8.783009085413065,C,B,0
Germany,Bisexual,Christian,Both,B,-32.00018493640977,-66.99230929040706,-46.59555794619205,E,D,1
India,Heterosexual,Christian,Both,D,29.426243374431138,-93.71925839031677,16.12439679489593,E,A,0
Other,Other,Christian,None,C,-33.56891710641043,117.94588782154412,-4.674350289268894,C,A,1
Brazil,Bisexual,Other,Mental,A,126.64180896164869,32.54258189838388,-69.95605612595939,A,B,0
Brazil,Homosexual,Other,Both,D,-189.15199717203586,-59.517138592527544,163.70443235314184,A,B,0
China,Bisexual,None,No,D,28.162204931190043,-38.93321281789661,-73.45987319861518,B,D,0
China,Bisexual,Buddhist,Physical,A,14.797236847725689,-67.21209493319093,197.82448905806757,D,B,0
Brazil,Heterosexual,None,Physical,D,-48.26736006752512,-7.131992202900328,149.9336735832987,D,C,0
Mexico,Other,Other,None,C,-24.17477146845562,146.3370333464905,67.78219664779503,D,D,0
Brazil,Bisexual,Muslim,Mental,C,255.92202250546637,-136.84309633606648,110.38797972460559,E,B,0
Germany,Homosexual,Muslim,Mental,C,-121.30211737666359,-76.136496331273,48.71581690441236,A,C,1
China,Bisexual,None,Mental,D,-53.536208071981136,64.41560944836402,-138.03919929525128,E,C,0
