age,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
53,18-25,B,15.243908853755736,E,A,27.115830597240738,D,35.08981895239333,E,1
19,51-65,A,-129.2276352058685,C,A,100.9061867093152,C,48.40520628450006,B,1
93,65+,A,47.2935665588282,C,D,-62.55413309292338,B,107.39502314669052,E,1
27,26-35,B,46.12818827227624,A,E,-109.68635004243129,A,23.927693009065187,A,1
38,65+,A,62.99487986572424,C,B,6.724266672095363,A,35.38433475017749,C,0
94,65+,E,83.0393837296747,E,E,-20.911613237398488,A,54.547725555457006,D,1
75,51-65,C,112.01549538436177,E,A,-47.75051193448663,C,-172.00286060785288,D,0
41,18-25,A,-11.803720341196001,E,D,199.4941261069385,C,29.42957497261713,B,0
25,26-35,C,-57.703234074389655,B,C,-114.39050449453543,A,6.223970873694794,D,0
22,51-65,E,-46.78025020303848,E,A,52.814646150567334,E,-5.774768197540364,B,1
62,36-50,D,153.39142224197505,B,B,-81.67554734570318,C,-336.0820950956079,A,1
27,65+,D,-145.66121862524054,A,C,-53.3669842483,E,20.13532282939063,D,0
30,65+,C,-110.71326287612602,D,B,-52.96796644947057,C,0.45368710737441503,B,0
82,65+,E,3.4113827873828098,E,A,-176.35009227150334,D,-75.99510358341846,D,0
99,65+,D,-70.78330915642206,A,E,-86.58806007450487,E,-27.71639701573711,E,1
60,26-35,E,65.31398306739545,B,E,95.49994523856238,C,-38.47664564893451,C,0
72,65+,E,22.30358626130192,E,C,131.96846523599555,B,159.7666706320322,A,1
61,51-65,A,109.77088708850205,E,C,29.56991004219722,A,-82.0391823014559,D,1
29,65+,E,-220.83791149001257,B,B,78.04126837334103,D,-49.77284784858594,B,1
58,51-65,A,-79.43761715090423,B,C,-198.00332524854042,C,-76.37474233909643,B,0
97,36-50,C,27.513876519732484,E,C,168.52937228397687,D,68.68726746733572,A,0
94,51-65,E,162.13358454304378,A,A,51.8361353198001,A,-62.083504949945464,C,0
33,36-50,C,-105.48007134897833,D,E,1.8832183054885094,A,-19.200945071602863,E,1
81,51-65,C,39.67798011825957,E,E,-44.52912787912345,C,135.45236435349926,A,1
75,18-25,D,-39.15957201660236,A,A,156.64597311377625,C,-130.9600143605746,C,0
20,18-25,A,85.80062261821219,E,D,88.82639041402058,A,-48.477870108985535,A,1
20,18-25,B,88.80861005399247,B,C,-91.06100455252812,C,-15.81528534861119,C,0
94,26-35,B,-93.25970535960943,C,C,-45.41015050004774,B,70.25198906232467,E,1
18,18-25,E,6.962298614749598,A,E,0.7352445397898237,E,-40.61377052820976,B,0
48,51-65,A,-2.8744649042528585,D,C,-86.80874579348512,E,94.17560889787767,A,0
72,36-50,C,-67.3163068068331,E,D,-44.51416576387891,B,171.87617837445802,D,0
83,26-35,B,28.293744588331293,A,C,-69.04883294143906,C,-126.1711041742734,A,0
82,26-35,A,-74.5004780904795,D,E,-45.38893610796204,B,-0.21890865666131099,D,0
69,36-50,E,-24.159890795182307,E,A,29.337948938178844,C,-40.419175277571675,B,1
96,51-65,E,83.03248654833192,B,A,166.09852706874995,B,-80.61262662993252,E,1
97,36-50,D,236.2959092946653,A,D,7.793858108955143,D,-103.78857036211879,E,1
79,18-25,B,107.43043754517099,E,D,-221.42837071532196,E,161.64482753324984,A,0
36,51-65,A,-79.2691590928784,D,B,-57.218499655293634,A,38.94491959908977,D,1
81,18-25,B,-237.9275495987139,B,C,63.512648598504526,A,-93.56600005508619,B,1
32,36-50,A,91.10286556888572,A,B,-34.33944631234104,C,-232.9611816359717,E,1
52,18-25,D,-8.757616262340893,B,C,-116.13386933368837,C,-57.80767424311583,E,1
89,51-65,A,278.069919046116,C,D,149.91191997688213,E,-3.086752796752696,D,1
93,51-65,B,57.4579006573203,D,A,-77.40912009486874,B,-223.7092741590437,A,1
84,36-50,B,35.16146666960695,C,D,-138.90354480435218,B,-1.5276178530866273,E,0
88,65+,E,-23.802473297858366,B,C,134.75498327041,D,21.02095408343931,A,0
64,51-65,D,21.791948051224235,C,E,55.24898315595046,C,81.30915089573386,C,0
79,51-65,A,-164.8005197551583,E,E,-29.961880296339572,A,-37.771621910965074,B,1
79,51-65,C,-114.64896675202228,D,A,99.68882128201525,A,-82.59109067146927,C,1
25,36-50,B,114.37814632596344,C,D,14.74277813198863,E,31.84423587631197,A,1
40,18-25,E,-108.16747840143807,C,A,168.05683887240127,A,83.61433522402079,A,1
31,18-25,D,27.54768866243817,C,A,14.111260813677125,A,124.9829484051154,C,1
98,51-65,B,158.10321187730779,B,B,-120.21414851611232,B,68.86935476666645,E,1
27,36-50,A,-46.65231679863556,A,C,-140.681841388911,A,-121.61603132500305,B,0
