disability,birth_year,religious_affiliation,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
None,94,Hindu,Non-Veteran,-42.88515720132708,-48.292008004645616,D,-131.9606166280813,B,56.57942541001522,A,B,104.28548812186366,-64.33274046133064,-117.66350570641686,B,0
Both,78,Other,No,-33.524083856106806,2.0388626501526224,B,-18.485276688850703,A,-90.04855440597493,C,D,-174.94402438957738,3.520963986735465,-142.96120891225092,A,1
Physical,46,Muslim,Yes,152.39987420950203,-78.05018357431032,A,62.91390081431585,D,-15.814422694568567,D,A,-6.979737474764692,79.06895104363022,-25.46094320236071,A,0
Physical,29,Other,Veteran,-38.59454532338733,-113.00902971767526,D,95.35589158895412,E,-76.53643152459006,B,A,-3.840311060479325,-121.64320116258011,50.448165128252676,D,0
Mental,37,Christian,Yes,47.24004784398113,27.004040431387054,D,25.480894203608706,C,4.8508783463473515,C,B,-68.54917972977299,54.26760665710027,-85.7178858172592,D,1
Physical,62,Other,Non-Veteran,56.69187998590225,15.297252553438497,A,76.4155582061824,A,-2.5247680213143235,C,B,143.12861634446904,-62.28906297599796,-6.0264487635208885,E,0
Yes,68,Christian,Yes,135.06649419923963,-165.95582564612266,A,-88.69156849260332,C,-100.29274562893771,A,D,30.294161618043518,-102.17989847537187,-282.0769088507527,E,1
Yes,78,Christian,Non-Veteran,-123.46016508026688,74.89751515559622,D,-166.3480120871606,E,101.85121761834833,D,A,-141.42209790428566,118.69249455345836,-36.036429781075675,C,0
Yes,62,Jewish,Yes,13.487053648873434,102.73541585661788,B,119.98972754716189,B,-167.4354934922006,E,B,62.402681286573014,61.087827705036915,38.36947760544534,B,0
Both,86,None,Veteran,-15.02844999596773,108.86460374194826,A,104.04576379117478,D,95.00799912581373,D,A,-147.23626613670652,108.13860458423466,-57.54415211875771,E,0
Both,82,Jewish,Veteran,-27.84652945224324,-26.21741627218661,E,-39.3698753250661,B,-133.6428368612529,E,A,69.87287041591686,67.95589125509167,-19.384539511587395,D,1
Mental,80,Christian,Yes,-2.245293849560404,-206.8416194806336,E,6.111796674661588,D,225.5381177757053,A,C,86.87113456359002,52.0046966567599,-84.0862830891339,A,1
Both,62,Christian,Veteran,-63.921850963475016,30.85831977792869,E,96.13174935645522,C,48.968586257434154,B,B,-103.80536184718059,-66.49160829381742,167.68972700305275,C,0
Yes,73,Christian,Yes,89.04342040880509,150.3475185529141,D,-188.0144696953474,D,-16.213301534194944,A,A,-76.74966467520538,-7.771884140832606,-72.1660625981147,B,0
Mental,29,Other,Non-Veteran,136.64198188664875,11.048805186850716,D,-100.61391867431087,D,-37.33444089909279,A,E,-83.14722333385026,-50.7599552935879,77.30367622740518,C,0
None,58,Other,Non-Veteran,182.82652568050747,94.36236648613553,B,135.06252893544965,D,8.667414475131158,C,B,93.81562449125754,-123.60562374359154,-125.47400121241523,A,1
None,86,Jewish,Veteran,-25.915483642990832,101.26322980135336,C,64.5215718698031,C,-41.969434425894725,A,D,-184.293098751963,32.61939487148324,-6.982761879388988,B,0
