age_group,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
26-35,Male,A,A,D,-121.91043421308613,E,B,-92.47096250923211,91.03391677180028,D,1
18-25,M,D,E,C,9.683804292595033,A,E,-24.874991627579888,-36.84839860272789,C,0
18-25,F,E,C,D,-53.643708158067824,E,B,46.790457336622794,74.28601581551982,E,0
65+,F,A,E,A,44.69654001214127,D,B,96.16530644859694,-64.26481942058818,D,0
36-50,F,E,A,A,244.56893939714442,A,E,-100.34544153187683,-25.49115220192975,D,1
65+,Other,A,E,C,-46.531937425352424,E,E,-92.81742026856583,-160.19964964277364,A,1
65+,Female,C,D,C,41.32574362142765,A,A,138.32257630589524,-139.79916415106536,D,1
36-50,Other,A,D,C,-114.13952845588278,B,B,89.45651735091755,96.07003125754677,B,0
26-35,Other,B,B,D,55.01888828400917,B,E,-95.28347064131557,-162.06603763444224,D,1
36-50,M,D,D,A,199.22630823274403,D,B,17.65266945005015,-55.19202386261202,E,0
51-65,Male,D,D,E,-59.45356907417595,E,C,57.27342572139907,-26.84942940977902,E,1
51-65,Male,B,C,B,28.262549405086578,A,E,79.94418175358213,-27.849162484223054,E,1
26-35,F,A,E,C,-40.301037711940126,A,A,-67.25177117561155,105.28210787913675,E,1
65+,M,A,D,E,-21.404566201067475,A,C,-181.70081100969432,86.28881153336154,E,1
65+,Female,B,D,D,51.64449070070734,B,A,-147.8037435855233,128.9680095537231,A,0
18-25,F,C,C,D,-57.50806259825144,C,C,-166.6610966278228,-124.75940636114511,E,1
18-25,F,D,B,E,261.4518108818548,B,D,-109.26871931261218,21.49995573539016,A,0
36-50,Female,A,B,E,67.02001439626075,C,C,-27.401747730964836,185.1999669505729,A,0
65+,M,B,C,C,17.96480788505364,D,D,-134.54285916605903,-85.88919407250594,C,0
65+,M,C,E,D,198.32347468006083,C,B,125.73201376137699,-87.60973591961168,B,1
36-50,M,B,D,E,-102.50455320596589,A,E,-24.92999701754925,14.467875066138507,C,1
26-35,Other,B,D,E,193.96951043668062,D,B,139.83180743362925,-19.492428536775318,B,0
18-25,M,C,A,A,83.25218471470973,E,C,143.06401663337593,2.4395168954128144,D,0
18-25,Female,B,B,E,-163.77045488497544,D,E,-47.769799481482046,-14.392928910031856,E,1
65+,Female,C,A,B,-66.01898652985618,E,D,-59.73007281054296,-16.008096911465266,B,1
18-25,Non-binary,A,C,C,72.22568012833037,D,C,37.98464567004121,67.00856791972606,D,1
65+,Other,B,A,B,80.39361072494322,B,B,53.83349873925034,83.9775776600501,B,1
26-35,F,E,C,C,69.92008233238167,A,E,-4.907281120850511,-52.85381531713125,C,1
65+,F,A,D,C,124.52295387506089,A,D,169.26122643225088,1.9858980334430378,B,0
51-65,Male,C,A,D,-175.08784945447852,E,A,7.414081422390575,-22.27544922448962,D,1
