SEX,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
M,Bisexual,-41.16207753859544,-130.80258157505148,E,D,E,53.03223810989136,12.881744546522683,C,101.78559387545134,26.96113049784239,18.89805025214977,-22.049644969526327,-118.8724238330138,C,C,C,-36.28491608127417,D,0
Female,Other,5.806285318081959,-105.72332931849766,E,B,C,13.834015267393326,105.60482349638755,C,60.17804530833089,122.25121997776259,-130.1263311656245,235.16399012673097,70.14998650397818,E,A,A,31.219154205152773,E,0
M,Other,102.06640134482183,-14.75996113905092,D,A,B,-32.98171420161744,-40.38355932331773,E,-18.602517199971324,-141.05427990779557,-44.02449763497132,-81.96116543680213,68.20939650589668,A,E,B,-7.369366409638577,A,0
M,Bisexual,66.78304296898114,-145.3449501420759,A,D,D,-49.247181288320775,144.80571085047058,E,15.027538425417179,-236.30282851201213,-0.4812912301169008,-152.16976135516876,73.78289054142952,E,C,B,-67.76931567804505,D,0
Female,Other,-146.19015408063868,-62.07673595712963,D,B,A,44.50996067426503,12.820522857057941,D,77.98034338644136,-5.454159712535294,237.14776956936507,25.428217454711177,-24.918088882536114,E,A,D,96.83640680038896,A,0
Other,Other,102.42334120228287,3.126489558964614,C,B,A,-82.11448058367877,-11.58669274755947,C,257.7629883036319,-37.85995403720561,98.09508967641662,-69.6046643032269,-58.28507209592936,B,E,C,-100.0023362745334,A,1
Non-binary,Heterosexual,59.65153616429978,31.782888465971066,C,A,C,27.820154241471933,123.51109860277509,D,17.298244871129008,104.73630178267021,36.951122353236286,-119.35522069942847,41.8714198091174,B,A,C,8.98478717950178,E,0
Female,Bisexual,-36.354040429066245,-126.26156887364968,B,D,D,-88.81185564286157,22.745345529187144,C,58.16553268823278,29.991087203936583,34.4821475030481,81.47536710961555,-25.582401314869742,B,C,C,139.5898136570495,D,1
F,Homosexual,114.91202933761515,25.556006601958302,E,D,E,69.81608598893138,36.2428974628213,D,46.80819420510213,-79.56638334541084,104.36457368813493,2.088276705899633,-177.4170654607667,E,E,B,-180.77199172238517,D,0
Female,Bisexual,-96.96622351290583,72.10159709389697,D,D,C,-159.6657392485188,34.844236638450575,B,-199.2352493800735,138.1376021314085,-21.73377084689585,46.8751688276621,-158.61631632523674,C,A,E,210.98774047134046,E,0
Other,Homosexual,94.25080327421306,-81.42598830734109,C,C,B,29.005379518315006,101.53105611460558,D,26.59299453351766,-184.6065236462941,-2.2264146432771503,22.470467230635816,-83.98693709793842,D,A,C,17.066366781760408,B,1
Male,Heterosexual,-80.77322601560233,-10.864733811730506,D,A,E,53.33925519742929,-26.096735646633878,D,94.4655657528091,-65.4971552338776,50.75588303886143,149.954174649616,145.4844851731055,E,B,E,170.51383048252623,D,0
M,Homosexual,-37.517515875473045,-96.80696186229304,D,D,B,41.402621603686626,-39.32564845384615,E,102.64588379311999,-18.84431930982748,76.58616097293336,-149.83283692056483,-25.249091006799272,E,C,B,-194.59892441294764,D,0
Female,Other,-39.20328889736697,-273.7469296964505,A,A,E,72.78807628929601,-7.818577356409186,B,-84.4462074970222,-110.6194432731006,-48.1837316019097,98.80841490025665,-47.64796616024731,C,E,E,-1.3728081049604115,B,1
M,Homosexual,-62.704039675159564,162.05496266139045,B,E,D,-19.915912458588437,119.56935822799146,E,107.62307750916402,118.33760773085464,36.379444943910045,133.84238580972936,-120.90776752089585,C,A,C,-62.04952991623164,C,0
