AGE,race,religious_affiliation,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
26,White,Muslim,Mexico,112.47326538128223,-260.20752071277275,E,E,E,C,B,D,1
61,Asian,Christian,China,49.82854341195682,30.273846270690107,D,A,C,E,E,E,0
75,Asian,Christian,Mexico,147.37987902053933,-140.19298276010647,C,C,A,D,E,C,0
29,White,Christian,Brazil,93.33766589066084,59.48508023327701,D,E,C,B,D,A,1
40,White,Jewish,UK,17.989762876462912,-34.83137643158097,A,D,C,C,B,C,0
71,White,Other,Germany,-34.7168972253949,-84.79267925978613,A,B,A,C,A,D,1
18,Other,Christian,India,-2.869901985110716,-91.89421508913924,C,C,B,D,B,A,1
75,White,None,Germany,77.19305821561687,-83.34213224743273,E,E,A,B,E,E,1
72,Asian,Other,Mexico,124.7136109837281,-27.314423749524746,B,B,C,E,B,A,1
37,Asian,Buddhist,Other,-45.612644577943705,-68.74407885332569,E,D,D,C,B,A,0
27,African American,Muslim,Mexico,-27.68502921405564,-141.20761418216995,D,B,B,B,A,A,1
30,Hispanic,Muslim,UK,54.23034713519832,30.09199892514871,B,C,D,E,D,C,1
47,White,Other,India,74.36264485399434,85.15444344917928,D,E,E,E,B,B,1
29,Other,Hindu,Brazil,-34.254109584420476,-39.89935896710037,D,E,D,B,B,A,1
51,White,Muslim,India,-110.11791887924234,30.130716887526454,C,C,B,E,E,B,0
47,Hispanic,Muslim,Brazil,72.70420749655514,24.39570412533037,B,D,A,A,B,D,1
74,African American,Christian,UK,9.41991081660389,135.58082564860922,A,D,B,C,C,B,1
35,Other,Buddhist,Germany,-234.74857600842057,58.71936973051739,D,B,A,A,E,D,1
67,Black,None,Germany,3.086891388852354,-40.17540048868581,B,C,E,D,E,B,0
35,White,Christian,Other,-329.40594231918124,-57.36001745525938,E,D,E,C,A,A,1
38,White,Hindu,UK,77.77339918267279,-74.53193395922341,E,C,A,C,B,B,1
26,Other,Jewish,India,11.823886226049337,132.5213738907142,B,E,E,E,D,B,1
29,Hispanic,Hindu,US,80.15740921083638,-218.75946582827805,E,A,A,A,D,A,1
25,Black,Hindu,Mexico,118.67826902672644,-86.46640157253346,E,B,C,C,D,B,1
59,Hispanic,Muslim,US,-54.27904085626587,-103.53240775982069,A,D,E,E,B,B,1
20,African American,None,UK,-138.6663551289832,39.50212791963794,A,A,B,A,E,C,1
59,Black,Other,UK,205.92530860094104,-15.636155227913676,B,B,D,D,E,C,1
59,White,Buddhist,US,-126.700366829508,55.631788360807946,A,E,D,C,D,C,0
37,Hispanic,Muslim,UK,75.79716820050167,-77.53585702911714,C,C,D,A,D,C,1
30,Hispanic,Other,Other,93.7482708124748,-16.810914960172806,A,E,E,E,A,C,0
67,Other,Other,Germany,-71.80706530316895,-11.448742504999935,A,E,C,A,C,C,1
57,White,Other,India,-17.071109464135287,-104.24942470607314,D,A,C,D,B,A,1
36,Other,Muslim,Mexico,-9.21102485858153,115.97241618301013,C,D,B,A,A,B,1
79,Asian,Jewish,UK,-73.06448085168967,50.89011940514141,B,C,E,A,E,B,0
62,Black,None,Mexico,-23.863136159106983,-52.83827548788451,B,D,E,E,E,D,1
52,Hispanic,Christian,US,-36.10848459331994,-1.068806974128709,A,D,E,C,D,D,1
47,White,None,Germany,-55.71977746721437,-23.41533843179998,A,A,D,A,B,B,1
78,White,Muslim,Germany,-96.89004352369854,0.789807804496048,C,D,B,D,A,E,1
77,White,Muslim,Other,-3.4603569446564446,-175.56909405042708,D,B,D,E,E,B,0
27,White,None,Other,111.90144871153205,-103.34888486528442,E,E,B,B,A,A,0
56,White,Muslim,India,130.80471529989327,95.3120026231489,A,A,C,D,A,B,0
27,African American,Other,China,-82.97310786574666,-94.31998064627028,C,A,A,D,C,C,1
71,Other,Buddhist,US,87.11555529911872,-35.97217004941106,A,B,B,D,E,C,1
20,Black,Other,UK,142.06339587887064,-116.89900950254683,C,B,A,C,C,C,0
57,Other,Muslim,India,-31.076254727007896,-93.98721743943304,D,D,C,E,D,A,0
59,African American,Muslim,Other,-254.3891533437173,106.95208953109659,E,A,D,D,D,E,1
23,Other,Jewish,UK,82.29388894021643,156.41842952469506,C,E,A,C,D,B,1
59,African American,Hindu,UK,-79.20300840165535,-36.06875868553875,D,D,E,A,B,D,0
33,White,Hindu,China,203.56157427900587,-83.15635640194276,B,C,A,D,A,D,1
19,White,Hindu,Other,41.14539665747204,-51.57531926768137,A,A,C,D,D,C,0
55,Hispanic,None,Mexico,-10.725045974874151,238.058191078304,D,E,A,D,D,B,1
23,African American,Hindu,US,-47.836472533702846,-52.297904828196366,C,D,C,B,D,C,1
55,White,None,China,203.37344082829185,-100.48640985714748,E,D,C,B,D,A,0
42,White,Buddhist,Mexico,28.806314194169165,104.82896119504575,A,A,D,E,D,A,0
51,Other,Christian,US,-44.777157361036906,133.18919512540612,C,D,B,C,E,A,0
42,Other,Jewish,UK,19.482102465213124,172.11346914823363,B,D,E,B,D,A,0
44,Hispanic,Jewish,Brazil,-58.739316931151095,-105.71256047104237,B,B,D,E,D,C,0
63,African American,Buddhist,India,65.2494172296174,-129.61237380757584,E,A,E,A,D,C,1
67,White,None,Germany,-34.42249711765385,122.37831444523735,A,A,D,C,B,D,1
73,Hispanic,Jewish,Other,-33.02768542428102,-53.37236505080206,E,C,B,B,B,C,0
52,White,None,US,-15.962454157430466,-53.80427344919865,B,E,B,D,D,E,1
31,African American,Hindu,Germany,62.04048368654065,44.289629269676354,C,E,B,D,A,C,0
45,White,Christian,Germany,-66.32730136374687,-13.693621362516561,C,E,E,D,A,A,1
61,Other,Buddhist,China,122.96418785812446,81.0067330050112,A,A,A,C,D,A,1
54,Hispanic,None,Mexico,-89.84619002937035,216.1995941426067,D,C,C,A,A,C,0
62,African American,Buddhist,Mexico,-141.61165740794888,176.93970318115888,D,C,B,D,E,E,1
41,Black,Buddhist,Other,106.34136822667519,132.8759905222084,C,A,C,E,D,D,0
45,Other,Hindu,Germany,-226.51745587472493,-73.58112485752186,E,D,E,A,C,B,1
21,Black,Christian,US,86.77152518068907,-166.88044302077617,C,C,E,E,C,D,0
37,African American,Jewish,UK,137.10746771313063,-95.60969466799533,D,B,B,C,E,D,0
58,Black,Christian,India,121.0400691350745,29.467324334554583,A,A,C,C,C,A,0
29,Black,Hindu,Mexico,-38.2804909471213,-126.8399070817369,A,E,D,E,D,A,0
22,Asian,None,US,-12.211777958572357,-10.289326413538411,E,C,D,C,D,E,1
23,Asian,Muslim,Brazil,79.51109524050585,8.530780997084076,D,E,C,D,A,A,1
74,Black,Muslim,US,122.42096331067347,85.84877058971918,D,E,A,D,B,B,0
69,Asian,Jewish,Germany,-106.3081588663231,-3.1176482993482484,D,A,E,E,C,E,0
26,Hispanic,Muslim,UK,-56.30693105844171,-59.172506376917525,D,E,A,E,A,E,1
67,Black,Christian,US,64.96886660120748,190.59974936159853,E,D,D,B,A,E,1
18,Hispanic,Christian,Germany,43.915982323893786,91.10122643948445,E,C,B,D,A,B,1
68,Other,Buddhist,UK,113.08888235107652,60.08299665568233,C,C,A,B,B,C,1
77,White,None,UK,134.4300305365069,90.7316058258021,D,C,C,A,B,E,1
57,Hispanic,Muslim,China,96.1918579308904,20.519967839174488,E,A,D,C,B,C,1
78,Black,Jewish,Germany,-60.61901515120359,41.284284192694926,A,E,A,B,B,B,0
26,Black,None,Brazil,-53.55129501970851,-60.23479134277652,C,C,B,B,B,C,1
46,African American,Hindu,UK,-119.19504649003625,146.4214867489971,B,B,E,A,A,C,1
57,Other,Muslim,Germany,-237.38839703922105,40.18191369440222,A,B,C,C,D,A,0
64,Hispanic,Jewish,Mexico,-71.53956022416479,-11.077128068434055,A,C,C,B,E,E,0
58,Other,Jewish,Other,-34.74625672897557,-151.62091012625584,C,C,C,D,B,C,0
64,African American,Muslim,US,80.88630497636349,-25.02519462772781,A,C,D,B,B,C,1
77,White,Jewish,Mexico,111.22798695600508,-26.818043641191945,C,D,E,C,A,A,0
24,Hispanic,Jewish,UK,-68.6219298204207,88.19611933118343,C,C,E,E,A,A,0
71,African American,None,US,154.25264388620283,52.333455163054545,B,B,E,D,E,B,0
31,Other,Muslim,US,-63.41176260630132,-113.76128991883918,E,E,D,C,E,D,0
21,White,Christian,UK,-4.04318400442989,114.09465094874274,E,B,B,D,B,D,0
78,Hispanic,Muslim,Germany,83.47859830628536,-49.71524526188334,D,A,B,D,A,D,1
36,Hispanic,Christian,Brazil,-70.10033525527665,-142.6574357183072,A,A,A,A,B,B,1
56,African American,Jewish,Germany,11.923208381045718,2.2259828686075394,B,B,A,A,D,E,1
62,Other,Muslim,Germany,-119.4263342912715,150.51730667361778,D,B,E,B,C,B,0
68,Hispanic,Buddhist,India,-54.080854669146504,115.30314445171173,A,C,B,C,B,A,1
48,Asian,None,Germany,20.360996683587334,-165.25784565527434,C,B,D,E,B,E,0
58,Black,None,US,8.43382507034082,-38.76366540010915,C,C,D,D,E,B,0
57,Other,Muslim,US,-76.29147003563192,110.88736990607563,B,C,A,E,A,C,1
30,African American,Christian,UK,-18.439584261388642,48.822296757344965,B,E,E,C,D,D,1
76,Other,Jewish,China,117.8178803331825,-37.931732908200146,D,D,C,C,D,C,0
59,Other,Buddhist,Brazil,68.6899572593942,-29.27700209177015,B,C,A,C,D,E,0
60,White,Buddhist,US,-56.89097368397228,-202.85594500586245,E,B,D,A,C,A,1
31,White,Buddhist,Other,101.89606955795037,9.957398647496218,B,D,E,D,A,E,1
67,African American,Hindu,US,108.56998324520058,-106.94734586329358,E,C,A,B,B,E,1
25,Other,Christian,India,33.78034561751741,-22.80345423499862,E,D,B,D,E,C,0
36,White,Jewish,Mexico,26.98970223119208,2.311825484661798,B,C,E,C,B,C,0
68,Black,Jewish,Mexico,18.690843308816458,-82.45952727387949,E,B,D,B,C,E,1
54,Asian,Hindu,China,-21.584962159657515,66.85679553959994,E,D,C,A,E,E,1
45,Hispanic,Jewish,US,-37.69278411194936,20.044194235087456,B,C,C,D,C,A,0
78,African American,None,Mexico,-127.03786681919225,29.621998180524123,E,E,B,E,D,A,0
51,Other,Hindu,UK,-103.63805039129397,-83.42771352365023,C,E,A,E,B,B,1
60,Asian,Buddhist,Brazil,168.91744253084465,64.03693572705946,B,C,D,B,B,D,0
56,African American,Hindu,Other,-261.418137853189,-7.065047033808772,D,E,E,C,C,B,0
68,Other,Muslim,China,-27.585171177749267,-101.34961899483395,C,E,D,D,C,D,0
55,African American,Buddhist,India,-13.272130145624681,29.188265958984754,C,D,D,E,D,E,1
34,White,None,Germany,49.61998382745162,-88.72610388913976,D,D,D,B,D,B,1
37,White,None,China,-36.52085261794293,30.858179381525936,C,A,B,B,E,A,1
21,Hispanic,Jewish,Other,19.975127051498976,-129.55924308859483,D,A,B,A,E,A,1
29,Other,Christian,China,-108.30065597904218,-60.608992925288284,C,A,A,A,C,A,1
32,Hispanic,Christian,US,35.466572743665935,115.7334868880038,D,C,A,E,A,C,0
62,Asian,None,Germany,-122.37782819221196,-61.51464629209067,D,E,E,B,E,A,0
49,African American,Other,US,1.426457439888634,-206.06577654088701,E,C,E,B,D,A,0
61,Other,Other,UK,-56.833060065937325,47.27087154966848,C,C,E,E,B,B,0
34,Asian,Buddhist,Germany,-221.09715661494215,-201.7751938743218,E,E,D,C,C,D,0
66,Asian,None,India,68.8702479939693,-250.7179244364741,A,D,C,B,C,A,1
52,White,Christian,Mexico,105.95060367543712,28.66202641601378,E,C,B,A,D,E,0
49,Hispanic,Buddhist,Brazil,-157.04533831227332,-97.18955081222006,D,D,B,C,D,E,0
27,Other,Christian,Germany,46.64095624928441,-110.6624512768702,E,B,B,C,D,A,1
79,Asian,Buddhist,UK,-124.37721097592211,-130.76567153127212,B,B,D,C,E,A,0
45,Hispanic,Christian,Germany,-15.535170763216241,53.097545513973444,B,D,B,B,D,B,0
40,Other,Other,India,-111.18325241336768,26.96560997163206,C,A,C,A,E,A,1
30,African American,Muslim,US,104.75128421875543,-11.432138080605018,D,A,C,C,E,D,0
47,African American,Jewish,Brazil,-113.66040734275478,129.47156749605566,C,E,C,E,E,A,0
38,African American,None,India,-59.46787464578147,-14.624034932669968,B,D,D,E,B,C,1
50,Asian,Buddhist,Other,62.603203423103814,-149.02367288389337,E,E,D,B,D,C,0
79,Black,Christian,US,-95.3807107942853,51.34573848676015,E,C,E,A,C,A,1
32,Other,None,India,222.79191188104218,-113.197471823689,D,A,A,D,C,A,0
62,Asian,Hindu,Other,35.502280973991155,2.1831133864320087,E,D,A,A,B,B,0
69,White,Hindu,China,-128.87760928649558,-113.13840521663943,A,A,A,D,A,D,1
30,Black,Other,US,-96.10149542624293,116.91230231924214,B,D,B,C,D,D,1
31,White,Other,Other,109.43547159799354,-23.638888065852495,B,B,B,C,A,D,1
56,Other,Muslim,India,26.852310749076512,-39.117745811918034,C,A,A,A,C,D,1
54,Hispanic,Other,China,253.82668865740592,26.498319466495367,C,E,A,B,C,D,1
67,White,Muslim,Mexico,37.10885184290789,163.4326187848473,C,E,C,A,A,A,0
28,White,Other,Brazil,67.06169032126853,72.75364712388644,E,B,A,B,A,C,0
42,Hispanic,Other,UK,123.97948616744594,130.8058424714087,E,A,E,C,A,C,1
37,Hispanic,None,China,67.01739753201404,172.90247252072115,B,A,B,C,D,D,1
60,White,Muslim,Germany,-40.64640694184292,-44.52763478642892,E,D,B,A,B,D,0
26,Other,Christian,India,13.66593706931857,-141.6777373327143,E,B,E,E,D,E,0
65,African American,Hindu,Other,-79.23433324612485,-234.0921023690277,E,B,C,D,B,C,1
37,Hispanic,Hindu,Germany,150.14607855236181,-75.85454966532889,A,E,D,B,D,C,1
71,African American,Buddhist,India,17.9699245147927,-233.89106576925863,D,D,E,C,D,E,1
32,Hispanic,None,UK,-24.133727366918894,42.40824749373085,B,B,C,B,E,D,0
56,Hispanic,Buddhist,Germany,-154.88028637579728,46.85074268563458,D,E,E,B,C,B,0
35,African American,Christian,Other,107.17745361166833,189.54456805610428,A,C,E,B,E,C,1
33,Black,Jewish,Other,-39.82351473006816,92.87797584369272,E,C,B,E,D,E,1
48,African American,Muslim,US,-89.2441837205774,-60.43271663387594,A,C,D,D,C,B,0
32,Other,None,Other,70.31780264064638,165.02732158671034,D,E,D,A,B,C,1
67,Black,Buddhist,US,17.51976845077805,-70.83601696547642,E,B,E,A,B,C,0
65,Other,Buddhist,Germany,-32.76108211899042,-7.534974594895372,C,E,A,C,B,C,1
23,Asian,Christian,UK,268.7649145810875,65.27017923132749,C,D,A,E,A,E,1
24,Other,Jewish,Brazil,-37.82445511467159,38.7363891927573,C,B,B,B,E,C,1
54,Asian,Christian,Brazil,-219.51848843872637,-67.85006199368846,E,B,E,E,A,D,0
35,Other,Buddhist,UK,132.4822477060909,297.6796387489368,D,E,D,A,E,A,1
72,Asian,Jewish,India,115.39991268745591,-114.03718553457642,C,B,C,C,C,A,1
52,Hispanic,None,India,84.68692083911866,30.960615662969126,D,C,E,B,E,C,1
43,African American,Buddhist,China,-180.69013463929596,99.05650190635866,A,D,E,E,A,E,0
25,African American,Jewish,Brazil,-35.60330679734952,82.80101921607469,A,E,A,C,E,E,0
67,Asian,Muslim,Mexico,-81.94782312928486,79.95189559514432,A,D,A,A,C,C,0
42,Asian,None,US,-188.22145167185346,-63.37513106032616,C,D,C,E,C,C,0
30,Hispanic,Jewish,Other,54.93950538337943,138.33588219835167,D,B,B,D,A,B,1
26,Asian,Hindu,US,-164.83356783890014,-85.70127752914783,A,E,A,D,B,B,1
22,Asian,Other,China,15.1346854223072,77.51232003294743,C,D,E,D,C,B,1
75,Hispanic,Other,US,9.339692785772451,-1.449636743345486,A,C,E,D,C,C,1
65,Other,Buddhist,Brazil,98.23815475806231,140.8586256057574,C,A,A,A,E,A,1
50,African American,Muslim,Germany,-23.083606326413648,-272.8668444569013,D,D,A,A,E,A,0
51,Asian,Christian,India,-63.98211213141071,-14.146350545167932,A,C,A,D,D,C,1
