disability,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Mental,74,-14.993156207781558,-46.63432079375268,59.33118820607145,D,C,C,0
Physical,77,-72.50570871326077,10.158610722537437,-12.182846855985657,B,A,E,0
None,27,7.557772252312161,39.87196687185349,97.61940207324558,B,A,A,1
None,24,119.89278293202783,-137.4914998258173,-116.2923123445067,E,A,E,0
No,86,-167.56711835697024,52.24465669358703,-14.971156090448423,A,E,B,1
Mental,57,-195.4933292017004,-64.75868120187353,-24.65548724441887,C,E,C,1
Mental,33,209.95184873835035,88.5827505657513,-67.27818498408674,C,A,A,0
Mental,33,17.448729860755343,143.69508246802894,-93.16367351188511,B,A,D,1
Mental,41,45.562000873954474,116.30068228150627,-29.271756771823465,D,D,C,1
Both,83,49.464969653522836,7.590686713818403,28.002559957650284,D,B,A,1
None,30,8.42471080409548,7.967152010056641,-102.13813223069077,C,D,D,1
None,66,71.33429703044514,-61.77842475210513,72.39488379914746,E,E,B,0
Physical,65,-46.63994157500251,91.15040772809098,162.85125730985536,E,D,B,1
Yes,34,-286.0115989393523,87.78991261807259,-93.55342435663519,D,B,B,1
Yes,69,-50.066745010731296,-55.50847297929763,-31.804946636265534,E,D,A,0
Yes,22,-135.0057912258864,-107.09119062100467,-86.81082771904181,E,E,E,1
Physical,41,-156.28808159719384,-41.84844569063109,-127.87589758881641,E,B,E,0
None,80,76.79003270936474,196.6254058242081,-107.55819540429674,C,A,A,1
Both,42,-56.106762138053924,148.29927550416787,-103.51070923476273,E,D,B,1
Physical,89,63.12392116024772,-100.89391250614817,-85.61786864691224,A,A,B,1
No,53,-96.35132652845843,-90.53531025103052,97.33096162838909,B,B,B,1
Physical,26,-113.69980442598948,-223.07736746963135,-39.49141024146574,B,D,E,0
Physical,82,-39.27516511435872,133.5484976389613,55.016275471828166,B,C,E,1
Physical,93,122.16562035551306,12.227080285112269,21.852960629947336,E,E,C,0
Yes,98,-26.861274283420578,-120.17517515285516,-7.94402898954997,C,C,D,1
No,51,52.045588428714055,174.73218752594738,113.21571636454067,E,C,E,1
Both,48,-36.1277710689113,124.74258738006401,41.773372381655896,D,B,C,0
Mental,47,7.109915310427177,70.56926576800883,-176.06408280007565,A,C,A,1
Mental,40,-21.18810981949443,41.8161513354021,-66.37654714267524,B,E,E,0
Mental,97,60.823107154639,-32.974940336602096,-151.83543519345295,C,B,B,1
Physical,37,77.55225203973825,-143.6552512658778,-29.81258262797311,A,B,B,1
Both,46,-11.588447812317652,-63.66288251276144,-68.12332736764864,B,A,A,1
Mental,79,34.39123593435671,-113.87462033589541,-129.49972942672255,D,A,E,1
Physical,31,66.95798913397608,9.547433069070035,-129.19704286710797,C,E,D,0
No,77,-23.92867443722497,-5.356857047579497,-42.3428692012415,B,E,E,0
No,41,28.611535694065264,-12.880619471232707,-265.0643081846906,C,D,A,0
Yes,99,-75.49899595206196,31.716660771368417,-55.23145597210951,B,C,A,0
Yes,69,-4.536869090289974,-150.4256673398992,-85.75778042935687,A,B,B,0
No,97,-104.11072260321524,142.0439087532169,-125.05174502153488,C,C,C,0
Yes,68,-18.14974491698406,83.64786828272145,-25.92773052318107,B,A,E,1
Physical,28,-110.60813342955483,5.991348364775503,1.490366848578994,C,B,B,1
Yes,20,-71.87378180295642,-112.03877132066053,4.589139059757939,A,C,D,1
No,76,-92.94811031354826,-89.83613464876909,144.82049128153258,E,A,C,1
Physical,80,-19.75431050785611,134.26304230732427,27.004142381140827,E,D,C,0
Mental,38,195.85585096081587,-6.372049162420949,-36.93484598003294,D,A,E,0
Yes,98,-120.50619737170265,-109.32630607491399,67.74236398995535,C,A,D,1
Yes,44,-69.35925862497379,-116.27551623076569,-35.9884538542312,A,A,B,1
No,21,-156.01900172356466,62.65625623773644,85.38864868697948,C,B,E,0
Mental,30,-190.500348881259,-135.37609605109586,8.656352522717604,B,C,D,0
Yes,54,126.95096244371776,230.602392722275,-202.34867674836656,C,A,E,0
Both,46,126.74892326917124,142.06551720544988,-28.394799685268147,C,A,C,1
Yes,51,175.74065525020245,-145.36114194284085,99.20596308368775,C,D,A,1
Both,25,17.857439095771728,-130.09313496571886,62.96087178647445,E,B,B,0
