military,age_range,nation,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
No,26-35,US,Other,-148.70313518188283,-33.919430752530694,97.05680149100165,C,81.32887296683204,A,A,-40.5222172058404,E,133.24903951535927,1
No,26-35,China,Other,-7.802309340092452,168.69169341144533,13.842725945394879,A,-12.181532905711602,E,A,-21.524845546790495,E,85.33205265214424,1
No,36-50,China,F,117.3346146325097,-19.79181695639172,-101.55862468184822,C,108.40430398346605,A,D,2.5101798220739027,C,-187.65779535446404,1
Veteran,51-65,Germany,Other,-54.35055732627547,-54.64910144631657,80.75415739619774,A,-166.60884619361318,D,B,147.24293747308994,C,-11.211508666076234,1
Non-Veteran,65+,UK,M,-9.178209058130811,-86.92001345812724,29.28910964582524,C,5.200733844479753,C,A,92.16810135572732,B,21.11851672742891,1
Non-Veteran,36-50,Germany,Non-binary,185.06730845720833,-48.16373991230128,-54.05512383552929,B,-57.9192281487351,D,D,62.71484618380237,C,144.94735308056613,0
Veteran,18-25,Other,Female,-75.2669140149317,-103.03134284612948,-49.31522095451034,D,279.16614335037985,D,B,104.02923376292124,B,147.49374538354454,0
No,18-25,China,Non-binary,163.67000015968773,-139.94307786212303,-19.933426913915753,B,-19.02493119300122,A,D,3.968309437082594,C,-60.37602536412865,1
Non-Veteran,36-50,China,F,-113.6512944326401,-16.447267435171153,-175.55531771179182,A,-38.50514288957785,D,E,-67.52696157831464,A,115.16575595865557,0
Veteran,26-35,Germany,Male,29.340622135947967,-165.46737993088323,-35.00260386259576,D,-43.69244251113251,E,A,13.39464247580329,E,16.71428251206763,1
No,51-65,Mexico,Non-binary,-73.72650990328552,-104.7452359749158,-118.26622618100802,E,-80.11233656381978,B,E,-33.849562696643325,A,33.89541311996157,0
Non-Veteran,65+,Brazil,Female,57.028848996920885,5.428391919927275,-57.141252289827804,C,23.60473359077771,C,E,103.5134197751452,E,-37.99060429272871,0
Non-Veteran,18-25,Brazil,M,149.81373829649814,-30.315986003810075,49.145621175813176,C,121.45783222311799,E,D,-74.53498024776015,C,117.97594377668779,1
No,18-25,US,M,26.98044562151868,66.38484425732007,90.4357402594171,E,153.30920198330676,A,C,-192.71752029255063,A,-196.2311782266615,0
Veteran,18-25,Other,Non-binary,-102.8213917101725,-164.01000739965107,118.06483924416673,E,-85.39094065510515,C,C,-50.29656788771947,C,84.25108099169756,1
Veteran,18-25,India,Female,-21.5018818807162,-165.83832589563104,-99.45095644194285,B,150.5479647704781,C,D,39.84948458442519,B,-21.693080488721474,1
Yes,18-25,Other,F,-144.62406755306202,-157.89668181048592,-54.41849199411919,C,182.64358472882438,B,A,-165.17113028025756,A,26.666040735132157,0
Non-Veteran,65+,China,Male,110.3961483459751,-12.504008798317912,191.46081154577627,D,13.727343273518747,D,D,27.161673491904775,B,-7.5185943730291775,1
No,65+,Germany,Female,54.28561997463579,-54.86052792269892,-193.03240906098307,D,-179.2806880233438,C,E,-224.09478374939476,C,103.01785051981788,1
Non-Veteran,18-25,US,M,-120.78440577017903,22.925490159984914,-255.45726852009216,A,-253.91417614927167,C,D,241.7543977607677,B,33.436409889547946,0
Veteran,18-25,Mexico,Non-binary,-43.061120767937204,-115.6076871622125,94.34908570728093,B,-41.724733423377145,A,E,-90.97436213215843,A,43.015639132586195,1
Yes,26-35,India,F,155.69175224810328,54.22947000933087,15.28580831104589,C,-60.34318636358168,B,D,17.459421036004308,D,18.742914480251763,1
No,36-50,Other,F,-117.51673558598148,36.48380760368141,88.38392605410819,B,113.79938710366673,B,A,22.594507382029057,B,9.689193665571514,0
Veteran,65+,India,M,-9.638041031949644,167.0888585264317,95.82004246624945,C,34.05304997634836,B,A,91.21004206456595,D,46.061532238504256,0
Yes,51-65,Mexico,F,-28.2778636551674,152.28770462252177,101.43262862256512,C,36.46114261038996,A,C,104.63568173444567,D,-45.91838429075317,1
Veteran,65+,India,Other,-37.36528230634734,132.82308711323694,-83.75480039290431,A,-102.80181461068013,C,E,12.77691211358268,E,118.70172376391581,0
No,51-65,UK,M,-127.61434953868829,101.09399920804536,51.7479039617258,D,117.07924006993089,A,C,24.616607623631335,E,91.8472449916585,0
Non-Veteran,36-50,Other,Male,-32.49928445561041,110.78875289876227,49.38014567801857,E,76.29786799935066,E,C,-54.91953101561926,E,97.92992137218937,0
Non-Veteran,65+,UK,Male,-43.25930000068319,-0.030396261186638684,-43.93316121232205,B,63.57171151962616,C,C,135.41905787221745,A,-61.999224440968895,1
No,36-50,Mexico,Other,-104.00950115324206,-10.631285262149259,-36.226179783520756,D,88.50272237684152,A,D,-90.86410964425298,B,-43.96428913426237,1
Yes,26-35,US,Other,-27.052920387386763,146.57800506733054,-0.19112891143293548,B,108.50008842777498,B,D,122.83214036073893,A,-97.54908215678255,0
Non-Veteran,36-50,India,Female,201.25333593960394,43.04418167901108,-49.60444684252849,B,2.2413095994997785,E,E,131.40224060585507,D,-83.02645745288267,1
No,65+,Brazil,F,-140.74370326174574,43.389028292040834,-87.55595284103414,E,72.04478710636553,A,D,3.7968509525836374,C,17.47321452533821,1
Non-Veteran,65+,US,Non-binary,127.9655540052914,151.92052973308375,124.97415534886503,A,43.96648470498909,D,E,158.45288817098543,A,-62.65622750381458,1
Veteran,18-25,UK,Female,27.735674053482096,8.675415436621133,113.27005740765294,E,-66.15467669727055,D,B,-223.21649246444463,C,57.08837348537802,1
Yes,26-35,Other,M,110.23068270136298,-67.96849303027697,-132.4197489240978,B,61.834941970476464,C,A,-59.21022672716616,A,-109.48291744133422,0
