nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
UK,45,51-65,Male,B,E,A,239.15216867048682,61.047104428389595,A,A,C,-109.9646142434054,-83.91817466075697,D,-147.68256742587815,1
Other,28,18-25,Non-binary,D,E,A,66.44290885025437,80.57244875285792,B,C,B,-52.077902634519745,-54.451589637039675,C,-12.930414694079087,1
Mexico,69,51-65,Female,C,E,C,-267.8936662478203,-113.51784410302909,D,E,E,-71.29875383969693,-29.44894214059392,C,35.51454042851818,1
Mexico,33,65+,Non-binary,D,D,E,10.730081413150547,54.20185849901856,A,E,B,-34.47597499423492,115.40811873136623,D,-150.1583918916007,0
India,56,18-25,Non-binary,C,D,E,-95.76001667458223,-8.563223729324292,E,A,B,49.318345849044604,56.703026713288885,C,-15.217768446932226,1
China,19,51-65,Male,D,E,C,-76.59238268916745,-194.61947535908848,E,D,B,10.969699964639817,13.16397608737479,C,-86.33161896355136,0
India,41,65+,F,D,E,D,249.2153588170293,83.57629313259224,D,A,E,34.01691436834498,19.2457763628328,C,100.11846621036757,0
Other,74,26-35,Other,B,B,C,126.89852062619957,56.304561561362775,E,B,D,1.6262011215631658,-113.05345131551748,E,6.717715331719621,0
Germany,71,65+,Male,A,E,D,43.04323905078833,-119.53652166034558,A,E,C,-67.21672585711957,104.43439380979001,A,86.3257094783221,0
China,69,51-65,Other,E,C,A,83.23136357414836,-100.0277518385613,A,A,D,195.15925406415067,33.06680088866244,E,27.139616460787174,1
Germany,24,51-65,F,D,D,E,12.830561461740702,-105.71040303713505,D,B,D,44.40978860081323,-145.03290256632962,B,-102.19492515079432,0
UK,41,51-65,Male,C,C,E,-29.468932167702576,-61.663239075987875,C,D,D,24.266872361495018,-19.67175299965011,C,-167.79825581155296,1
China,33,36-50,M,A,E,E,-10.281715330621028,-128.24241005895271,C,E,D,90.07259574167837,-32.927143606862316,C,169.48070179750292,1
Brazil,74,36-50,Male,E,E,C,-103.97670950315063,-72.04034253017448,C,A,D,134.5781035119959,69.9113960667301,E,160.95449678880792,0
Mexico,76,26-35,F,E,A,C,12.137102541593109,54.96261929646886,D,D,D,-78.62272329743038,-20.239412681460102,E,159.32312732294193,1
China,33,36-50,F,B,C,B,125.14022717004056,-235.12294064383678,E,E,E,34.76586307948983,97.18846620353888,A,-58.20534501422573,0
Germany,22,36-50,F,C,B,E,-37.6985353122175,-75.20919572122257,C,E,B,-25.38156158897083,-41.754799135653755,E,-66.00763423193,0
Germany,53,65+,F,A,B,C,-7.032231334417932,-34.32132068118378,B,C,C,36.15612119695047,-77.02650237185415,E,-194.39807034367692,0
Other,73,51-65,Male,B,B,E,168.88531299646644,-72.12363503542286,A,A,B,-84.16825940550214,-226.84611142503672,E,28.92136132601262,0
