married,military,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Widowed,No,Female,E,-44.58883840106688,4.33853778729782,C,-85.02174821885805,-80.76743685710365,11.628533383659295,162.54250621434835,-125.87872006898142,1
Widowed,No,Male,C,-156.16231996720552,-101.64899919677066,E,-83.71269956236718,5.484901515890057,69.89582054743761,23.16919068399027,63.1126374054365,1
Single,Non-Veteran,M,A,-40.45840894882363,-133.50678940770345,B,20.634620321656435,-140.1282487236583,65.6507824386385,-50.61086723186341,128.85806810374362,1
Single,No,F,B,201.50601479559964,-16.38945585817942,B,94.3972389182783,-13.448415390517109,-75.12692522664891,155.25913593536035,-244.000621964897,0
Single,Non-Veteran,Other,C,39.18069930044973,-133.2410307358414,A,205.2316924102734,-73.27838326474763,320.0663234190887,146.773991427102,209.7090083818978,1
Married,Yes,Other,D,127.25405726616077,82.06452514663333,E,121.38787314202759,-131.2991309663522,-122.12043396846659,4.554878970890622,-105.76537608143693,1
Widowed,Yes,Male,C,122.49587197590839,-87.48778845606735,D,-142.88520424783087,49.41861119515363,86.0782219681478,-20.44979495486657,22.17993273522707,0
Widowed,Non-Veteran,Non-binary,A,86.52548984103854,54.58437804575674,C,-24.145445825961975,-141.57628840311685,-113.5948206995192,56.24004278703825,109.04249728003333,0
Married,Veteran,Non-binary,E,-122.46833847307686,-113.86261603149828,E,-19.577489812187952,54.073158570990756,-130.30665977898656,29.8566636145059,-38.35636057858089,1
Widowed,Non-Veteran,M,C,101.20436080279205,-146.2554327532177,B,99.5333021529274,77.8399615456197,28.095892708201102,171.10053486493715,-112.22586802874976,0
Married,Yes,M,B,-85.67234402007286,-3.899786429131509,B,21.062278102886793,-121.07766060135357,82.04677875187687,-3.6706562945741177,68.3482654688656,0
Divorced,Yes,Male,B,-11.41773460970876,33.4331319132966,C,-89.32647569820661,13.633626330253618,94.67156263610367,90.97577014844217,91.98491494415528,0
Divorced,Veteran,Non-binary,D,-40.74643433870476,85.97098503593725,D,-143.24957856951622,-138.21192852258997,84.82289591742051,5.1719868741558574,-207.62094304330657,0
Widowed,Yes,F,A,10.32584907188425,1.8374161384618781,B,200.87562488883273,6.246047786084928,137.72354140309335,-223.6458123118859,-198.57610134438676,1
Married,Non-Veteran,Male,A,-132.26918221960645,59.3548880353776,A,-177.15975407706927,-8.874499953659843,-157.18152908625063,49.5748964260137,27.944508143770612,1
Widowed,Non-Veteran,Non-binary,C,-31.776338681938395,19.680969260658514,E,-47.98378380003242,-153.8278336465148,-148.4973771535852,-19.16143564467539,82.34858144010929,1
Widowed,Non-Veteran,M,C,-17.64534550967662,87.04592822031636,A,199.04450269916575,126.99850251885508,-74.43299450712917,-56.18415803309116,-196.79631762503732,1
Single,Yes,Non-binary,C,220.10549018087713,-37.396935854017954,C,199.3749689008946,19.780409716749705,-5.322012585872704,122.31141695566474,-34.80648102411685,0
Widowed,Yes,Female,A,172.9630644459292,-179.81471662441388,B,-13.868660097014352,-164.98381760670986,-2.9396368979526235,32.27852356369695,82.75348322962199,1
Single,No,Other,A,-171.54186745402183,-196.6579226635883,E,2.19159605330464,-23.776595930729012,18.76627882245015,55.72382835291284,26.74647719457158,1
Widowed,No,Non-binary,D,216.21587654095583,98.18906552714857,E,19.816426758600024,-5.216022554155575,21.38716572017519,-56.996754160792605,-38.068460963046455,0
Divorced,Yes,Other,E,101.24403054297582,19.54085593288002,B,86.00769440182508,-37.324491889137704,35.192230220825714,139.01726903938078,-7.384220129990404,1
Single,No,Non-binary,A,48.09384979248662,-76.87377038380365,C,49.27872487532076,-57.77423685163237,40.040914481482595,75.5567450109545,-227.27437439652155,1
Divorced,Veteran,Non-binary,B,-18.71275039108573,48.739974572583606,D,13.568806256054383,-63.20735311960649,-9.45660338427237,-44.660095960673225,77.16258677695649,1
Single,Yes,Male,E,-310.32532896768055,19.580275236703223,A,161.2187966513091,-69.52620975916618,27.008290722398176,-114.68374403886989,102.95892228407888,1
