race,religion,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Asian,None,None,B,9.436069427941627,C,A,D,-26.223436816577035,-149.63510563886805,194.26404815342173,D,-79.44167418870784,A,E,-124.65929152298332,C,16.926641749229223,-57.54553338007735,0
Other,None,None,E,30.017849966268795,D,A,E,28.86463560848634,87.57579259245209,-5.5663595305127345,B,-32.03161255790497,C,B,178.48193703877232,A,-29.722545495062242,107.8780630267612,1
African American,Hindu,No,E,87.20184386664391,B,D,A,53.28182248053779,96.53814243584637,160.16224939754102,B,-83.35713883453727,D,E,-82.24494758959263,E,79.55277201407374,-71.80064910558025,0
African American,None,None,C,-19.249419135292886,C,D,C,58.15756065088406,76.50937116108427,5.084729347530081,D,-35.313479224737385,A,B,134.24775627512514,B,113.55159030313125,20.60648521986071,1
Black,Muslim,Both,E,66.9859769733378,A,B,A,-15.676484106822238,2.9776338479720144,21.368372536721512,C,16.68043056836081,E,C,43.642572950032196,E,214.88152528598766,-37.33169198625262,0
Other,Buddhist,Physical,E,-116.0397582155961,C,C,D,-19.518399169524667,12.155081149553187,-95.14798868630385,D,96.10367150772842,E,A,125.72182609933779,B,-32.79530095348359,-21.370249750028727,1
African American,None,None,A,148.23048789978344,C,E,C,-44.66415812495004,-87.07527065249236,-108.86567052998592,D,-29.1662467803784,D,E,56.72079877772605,E,48.01975397213204,6.777117634751006,1
African American,Muslim,Yes,D,-54.85100786682998,D,D,C,-54.907284463421426,189.92544698320026,-161.8330606651503,C,178.1586163009402,E,C,-23.41500033747041,B,-113.45305218130457,-75.64703253162507,1
Other,Jewish,No,D,-201.19036377521894,D,B,A,-11.645217153757342,7.4566414393789415,13.850638597273731,B,-23.276689582255578,E,A,-99.94737865535681,C,-16.5775921350731,-174.06317244910156,0
Asian,Other,None,A,149.1430882011681,C,B,A,158.19564065680234,17.727051285053836,111.33859414909158,D,-246.24956350441272,E,B,138.11100285700567,D,-5.903025963826393,14.61152619287676,0
Asian,None,None,E,-103.57079301965268,E,C,C,-37.38186592182295,-40.51789614529548,-26.15865511889866,D,17.744044053534097,B,D,135.1606574437598,D,98.38442952877848,6.399741892659473,0
Other,Buddhist,None,C,-41.71196217841264,B,B,D,-105.2955701707065,126.6860023629013,6.203417026308699,B,103.15010308505302,E,B,145.02088742071578,A,6.5565801037209726,97.08915415042503,0
White,Other,None,C,41.97073997638838,E,B,A,140.01053891458258,168.87280011566097,232.20829078606272,D,121.55607948727145,B,E,28.01389608714514,E,-312.5749813233233,6.974047469086643,0
Hispanic,Jewish,Mental,C,-32.1069887126939,D,A,B,144.88331914163146,6.900108461652099,-10.269449330115034,D,-207.60203780879246,B,A,-5.264365820314301,C,25.13678008905995,-15.199274536288232,1
African American,Muslim,None,C,7.15957720144967,B,B,E,60.33893932546519,-184.5724002580597,-30.638524395144934,A,85.48749843528987,C,D,-4.938544693473689,B,65.59701677196233,-154.12054331854588,1
Other,None,Mental,C,-18.334405646164413,D,C,E,87.94787865117091,50.50377031859392,-150.95019396483795,C,-166.91630196026892,E,C,-162.92689431237633,A,-20.712760756085935,-171.68927251753058,1
Black,Buddhist,None,B,-197.17165248629357,B,B,E,13.945029263405464,-148.70439294003737,-48.86116108066267,D,-90.99259254947468,C,B,62.737185500310744,C,-107.38446005455782,-50.11412645013912,0
African American,Hindu,Mental,A,60.955181901307455,C,E,D,15.600246162652953,120.38289239881321,-123.41030503865404,D,-106.8820778394584,A,C,-115.43730521410794,D,7.265136366913402,-127.58553634724944,0
Hispanic,Hindu,Mental,A,-14.387960639080896,B,D,A,60.775466813166915,-31.47195500200987,20.959558703884724,E,65.01373459303376,E,B,2.074645290969904,D,73.87943984245538,129.89807344764304,1
African American,Muslim,Physical,B,122.39570594974671,C,B,D,183.37083629654143,-62.9368381508707,54.61967589994692,D,-76.6719270937769,B,C,-34.889223934701754,A,-139.66058355309113,-49.76136895330951,1
White,Buddhist,Both,C,77.70054455844964,A,E,E,83.85588447561317,4.6342983631741115,155.6598040764023,B,-0.07242670507987699,D,A,-30.001613361689888,C,-5.4046384708745645,-96.75290295407211,0
Black,Hindu,Physical,D,148.10942845577256,A,B,B,-15.843612979977376,-106.91719360600078,89.20863529554182,B,-35.355566468745444,A,E,19.762806610147894,C,37.07630804034492,196.4100162286087,0
Asian,Christian,Physical,E,68.37703451865694,C,E,A,24.474263987266493,10.357910750593007,-66.35314398520788,A,-81.62791594691319,C,A,-53.21580416190801,E,-32.884959162178404,18.013985151692705,1
Black,Christian,Physical,E,-97.49257147793305,C,E,D,-90.76717440463547,-198.1233665744112,60.721484317897236,C,43.23652601588135,A,D,-106.67680039719325,A,151.44110167714138,73.9860283158706,1
African American,Other,Mental,E,-105.65110524386463,E,E,E,113.09460092853247,70.70079890509949,22.401754697090162,C,11.290650140643907,E,E,-43.58180031755972,B,11.697708764980492,132.71321588830747,1
Black,Muslim,Physical,E,112.65499695051633,E,D,C,-98.84379674915988,87.76330222226477,45.0581328539456,D,43.92426337877385,D,D,12.89243777266279,C,-24.906747119641516,-69.22581555853147,0
