sex,Age,nationality,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Male,39,India,Heterosexual,71.67802549422304,-55.16008436956339,D,102.30181291635066,42.845639614045744,140.3506555719428,-2.7683379085866977,B,54.651972736279,A,D,B,C,D,1
F,77,UK,Other,16.848324358345586,-5.760398177589562,C,113.48425056606344,126.34306144443457,-163.35207062736373,8.703638331364594,D,-41.54791202008608,E,A,B,A,D,0
M,30,Germany,Bisexual,-16.41170497731181,102.32401082856227,D,-230.36173114976543,-34.977489504757145,144.8188083116362,-104.88789889113501,B,-53.9231568802284,D,B,B,C,D,1
Non-binary,23,China,Homosexual,-15.411875089173616,-173.61616723314185,C,226.86060761642756,-71.48407890322547,23.131496845652354,-17.827977490215403,A,40.05949852297232,C,A,B,E,D,1
Other,44,Mexico,Other,-37.99735654113828,82.40140500054578,A,-59.15165669960659,-22.265299844325202,-163.23304276849987,-135.148104414363,B,87.74600781693202,B,C,E,E,C,0
Male,77,US,Other,62.57983125461881,-180.5511710176475,C,-64.07426229176457,105.5207000507133,348.1832276629933,63.730764280762685,B,-112.65450966313311,B,A,E,C,B,0
Female,62,Germany,Homosexual,235.28264788611497,194.4107789757599,B,81.31553882567071,-23.308327866782115,9.666296715071088,117.80662010759917,C,136.71336244415514,B,E,A,B,A,1
Female,36,India,Heterosexual,14.9973997832877,-194.78420863945456,B,151.81589660127125,152.9005218574563,-59.75363245009683,172.22097907290222,C,31.46823266658988,A,E,A,B,E,1
Non-binary,65,Mexico,Bisexual,29.70536450604734,110.72068942695172,C,-109.25861814409166,-29.377200828749782,-89.75490745785328,-52.70842503424428,D,108.3961007536778,D,B,E,E,C,1
M,72,Other,Bisexual,-56.585194109317946,-2.0335432194714747,B,-81.09108392283093,139.5940201908739,27.868686588671,14.486412308623065,D,-68.05848018938593,A,B,B,C,A,0
Other,68,India,Homosexual,17.725819623898897,-69.4091654574731,D,-77.5082725681583,-21.62635451185491,112.16661539804203,-30.655999626820673,A,-80.6003145723895,A,D,B,E,D,1
Female,23,US,Bisexual,30.56837400413461,123.41021261081835,D,46.86589366710332,-128.31488686568161,34.41615053995373,47.52632992788746,A,6.313150828697993,C,A,D,A,D,0
M,78,India,Homosexual,-52.821208082980874,-91.12630606017017,A,105.57574014903786,181.05505033901895,79.0753112633088,32.94911937817558,B,96.846977653375,A,B,B,D,C,0
Other,79,Mexico,Heterosexual,58.14332101424383,10.715902525708959,B,125.05299431761185,74.61374954658822,-40.519816322871236,-161.540866892256,C,34.64662247413598,C,A,E,A,C,1
Other,22,India,Homosexual,-181.42918424735873,-11.445826018873047,B,108.51671027311352,-49.346390139605305,55.78735453087218,100.40782752339526,C,-50.55934883408497,C,A,D,B,D,1
Female,55,Brazil,Homosexual,38.28302007952592,-87.65268081701144,C,-65.80683383947824,-121.25096979209098,7.022445626272377,60.21297353894387,B,38.553802894748905,D,E,C,C,E,1
Other,51,UK,Bisexual,77.98579787288203,39.296555342140785,A,-12.352564931474994,-9.230536478628759,-122.96273333883765,30.628650919955184,C,1.9530233386453748,A,E,B,C,E,1
Female,25,China,Heterosexual,-68.40169244022223,-14.249591460990946,B,-106.51472488791778,52.034687222378984,-117.74996692022441,73.07782106982107,B,10.267101027452428,D,B,A,E,B,0
F,30,Mexico,Bisexual,-91.78781123237145,121.57733852059793,D,-16.431495964988653,-27.15802622473678,65.34605053333983,19.65161953059499,A,123.07488307176399,B,B,A,B,B,0
Non-binary,65,China,Homosexual,50.2529111962259,57.52479509058199,E,43.009421352857125,-104.74962160020789,184.4799143536973,-27.542328796688786,D,-87.28649269657252,A,B,C,C,E,0
Female,69,Other,Bisexual,-90.61210770901106,-67.82172047096836,C,174.21947550866028,110.53734711124272,-5.921642189099208,-106.60714876708255,B,111.3084538182019,D,A,D,B,C,1
Non-binary,74,Germany,Other,78.45617441928778,-1.6952006456160993,C,18.231763261843998,-99.39465237570018,-42.92338466236099,-48.18175401862882,B,-10.77458794455201,C,A,B,A,E,1
F,73,India,Heterosexual,-46.09213944096559,-29.93902633009319,B,26.410494421069536,27.14718971465313,-19.4561906853037,45.163403927626035,E,59.26352980736068,B,C,C,A,A,1
Non-binary,54,Mexico,Homosexual,-183.92552253672423,-155.98012263766827,B,56.9154428973708,-13.95263102311953,-6.545790560768723,-84.90414910880726,B,-92.60357122528934,B,B,A,D,A,0
