Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
50,A,A,-155.8729188526064,C,10.907958609752992,D,-20.07780224702101,58.56955908777592,A,D,-81.29930355402298,-209.50597802256308,-93.63221637246265,-12.534590210842566,A,B,B,254.6731201101719,105.16275082908169,1
73,E,E,37.02763938954255,E,-12.14957971081074,A,59.685945223536955,-169.2111904784825,B,D,-19.235184431379686,-27.27715275223993,-29.316886501165857,23.578810780477088,B,B,A,-42.80700247261691,129.88695080384508,0
36,C,A,-14.499791843302681,B,-56.44844999873179,D,10.693614793294556,24.581245454557145,E,D,-77.08816774530284,13.92076730917345,86.39220544557381,52.7944678731198,C,D,C,111.47390516239054,19.748114891997574,0
41,D,A,-143.95537831269644,A,-38.633284293432276,C,53.264665857005824,53.6817828011125,D,D,34.01750882713667,-56.599170015666786,-39.82685463815111,9.694800443731372,C,C,B,-82.94855734499072,119.68437585551108,0
36,C,D,-82.79706022233896,E,75.20118023834009,B,45.9225333534573,-83.01128118695482,B,E,-48.08622545367231,-31.374991001927377,45.16907718674492,-41.977698148765356,C,C,B,-31.603807842104853,-132.02793565841938,0
20,E,D,142.71384816697864,A,56.36687456810792,B,-14.408562691334135,0.8739137751214215,C,A,-16.64476322297766,102.07718118168745,36.21308962119175,-119.02223445450882,C,E,C,88.25214705385899,-74.09269576783389,0
27,A,D,-76.77331836904047,C,-105.80141685535749,E,11.601781245643295,-36.34655770237962,D,E,-24.686107589301532,-85.58176579179514,-101.8791999460757,-165.26045387548143,B,C,B,18.374496636075357,6.885757276190732,1
50,D,A,-106.61922822971066,B,-50.03546531241945,D,115.83386317905624,-70.28531958222378,E,D,-166.1604874968339,15.316928610577026,-68.23355635741196,-76.21013830350579,C,D,A,-101.67674656752715,81.86307026062543,1
36,D,C,-199.37428317845553,C,22.307553857504665,E,-185.52375917626242,62.39862439359462,B,E,-25.399652192288762,89.2383423165123,-150.67765652650218,1.6481742822185532,C,B,D,-55.7891388176431,9.259518934861926,0
51,E,B,-106.17700179565222,A,288.3605483264224,D,115.6632169142581,43.494330434766674,B,B,115.1608053225865,-52.72647848469912,-40.25799614738696,-163.95116924030307,E,E,D,-102.9507201236124,104.64632901566179,0
29,A,E,73.04081865742157,D,154.26868834037967,B,33.49354108200842,-182.4177950842196,B,E,119.69819340419143,78.52541726000834,-182.3109350632629,-188.60845655729378,D,B,D,53.57684347520957,-76.57013135229026,1
45,B,C,68.79318609896117,D,-35.42730194436239,C,-17.981297976542436,13.49077550352471,E,C,-50.39302632616626,69.00881099632929,43.22613892451259,85.82230697163709,A,D,A,133.8231643511516,61.19262287264892,0
58,E,D,99.55769064766824,A,45.20524255420259,E,111.03331123801397,73.2345747658989,C,B,-136.57116142041528,-44.236635121064374,124.85889534392274,40.27879307481677,C,B,D,78.68398528100487,60.1763292574016,0
18,B,E,-202.8277487606026,C,112.800339739068,B,87.01473277623238,3.140366390173668,A,E,78.43949241592664,28.388435055570383,-89.9430714789156,60.96266618565256,B,E,D,-94.34658930274125,-58.104989753925075,0
21,B,B,-103.5596671164041,A,171.72474775063102,C,-39.20942468356103,46.01456874251336,D,E,59.30600114861528,90.75162072357142,68.38088966554749,-224.19041603003072,E,A,A,-28.49114398391222,-64.40438078856874,0
22,A,C,-30.12921277949856,A,-2.3939750899928924,E,-119.89316343804568,-102.8511067488993,A,C,-169.83033502734014,74.10162937097914,62.9784501077555,41.70839506710488,D,B,E,108.50098294426367,-136.81462493374343,1
