age_group,sex,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
36-50,F,No,B,C,-65.91003808592346,55.35553557426939,187.75245384101015,-152.03247268706093,C,138.52104072683454,-45.90849572315948,C,A,0
51-65,F,No,D,C,0.4378008851055519,45.342102553517876,32.43064179372283,-176.4971474920751,E,125.42468993759839,11.23893803432406,B,D,1
36-50,Male,Yes,D,E,-36.628167354213105,-2.696902988458157,70.91429013889385,147.50389575465798,B,39.22224613378626,-78.57097921373256,E,D,0
51-65,F,Non-Veteran,B,D,-8.899478881457194,12.407513926519009,107.20444800413836,3.704519577427126,D,-11.423004007971885,121.37203476440193,B,B,0
51-65,Other,Yes,E,A,47.897870459363354,22.122322817583925,-73.74883908142493,140.50795682809502,D,110.59945261729148,-193.71075658351322,D,C,0
18-25,F,Yes,D,B,-4.088931508950146,-116.3688286893255,-161.23593222429497,-65.8096443231837,C,120.55012069897897,-12.33021485543156,A,A,1
26-35,Non-binary,Veteran,D,A,-24.21934148425189,-44.73096089347045,-39.02487246986369,-2.937702931664825,A,15.344917705641183,-1.9168226201344645,C,E,1
26-35,Male,No,D,C,93.61963959355207,26.59290869965096,98.84697118591907,-9.234835037095905,C,156.94003836076942,-86.32882247495075,D,C,1
18-25,Male,Non-Veteran,E,C,-90.02090050228875,123.42007149411695,24.626021285127393,163.11723719835328,A,-13.544184130330017,-114.528837928965,E,D,1
18-25,Non-binary,Veteran,C,B,-95.59248606736358,87.26684717371887,58.99697999616977,131.6086422871801,D,2.0822978863563266,-176.54115960805075,E,E,1
36-50,Non-binary,No,E,D,24.784115016002193,-97.02122066541077,48.01523824424319,-159.39833512094688,A,25.992468422735833,-63.3109935599604,C,B,0
18-25,Female,Non-Veteran,E,C,19.732655458012626,65.05832487968604,20.282771662700455,-61.19717767823636,C,-88.96730064471272,103.77723807560054,A,A,1
36-50,Male,Veteran,E,B,-87.230273096427,-15.131806115935403,45.265829605203365,120.69250169673167,D,-228.43543399052152,-107.94500035280315,E,A,0
