RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
White,B,-72.07210081101688,-71.14538453706164,D,C,E,B,66.23447619653227,A,98.83345869735274,-55.292701864610635,A,B,B,A,E,E,A,0
Hispanic,A,-136.29771027189156,-67.03729820967746,C,B,A,C,-164.5584691124907,A,132.32401961494114,-85.69731977813123,D,E,C,D,A,D,C,0
Other,B,10.17126340240868,8.217136659892672,D,A,B,A,-8.194516758583307,D,108.43587665520909,17.21056106764723,B,A,C,C,E,D,E,0
Hispanic,C,-75.39346670606318,220.33207068761925,C,D,D,B,-27.92814314554982,C,-51.70729795489697,31.87511309379379,A,C,C,B,C,C,E,0
African American,A,-52.756140377349105,-59.63348250756425,B,D,E,E,105.55086606435023,B,119.60676525277172,63.500472443697596,C,A,C,D,B,C,E,0
African American,E,130.11637679822582,3.641757898009678,C,D,C,E,93.61904205725207,B,-33.57889848663962,-83.50531024725646,C,B,D,B,D,E,E,1
Black,E,-159.09099887008404,2.8369908224607157,C,A,C,E,63.85993074826663,A,10.181111278390444,155.63428826415992,E,B,E,D,E,B,D,1
African American,D,-4.593144005721453,112.55259884157415,A,D,C,D,-78.09686823760173,A,27.735949700317587,18.413738173421322,A,E,B,C,C,A,E,0
Other,C,-39.85440655495391,-102.24096800365203,E,E,E,E,-73.12813884614576,D,42.900821915812706,53.845013014266044,C,A,B,D,A,E,D,1
Hispanic,D,-61.38586268292793,-101.92730018751077,D,D,B,B,-37.517020896526454,A,-237.71213626967568,84.79752205494508,D,E,E,B,A,A,D,0
Other,E,187.0519450418475,-2.3950213796244046,A,B,A,D,37.98063237363849,E,-49.51879219304264,-12.614882801905294,A,E,B,D,B,D,A,0
African American,E,86.48881088781482,18.900863655025812,D,A,B,E,107.62078652275267,D,-34.24336952416863,65.9613430102577,E,E,D,B,A,D,B,1
White,C,-31.536930171026707,-32.301964520993614,D,D,A,A,26.40564139448823,B,139.87300836503846,-163.50391629048127,B,B,E,D,E,E,A,1
African American,B,-172.57947997465396,-33.0285491081055,C,B,E,A,-193.431041682978,C,76.42620739609792,55.51982534024804,C,D,A,C,D,B,E,1
Asian,A,-40.65201771565162,6.674136377184807,A,A,C,E,85.00850186420608,B,-33.13308472458575,102.86779373790904,A,D,E,E,D,B,E,1
Other,C,-127.22571435895182,11.831856751973737,B,C,B,E,38.25152207340176,E,-51.67512745957992,77.5621973432242,D,C,B,B,E,D,E,1
Hispanic,B,-29.39294484180774,77.0235598324571,D,C,A,C,38.64645385643634,C,-161.50616973334465,-69.90287827558696,A,D,A,E,B,B,A,1
Asian,D,87.06004288806982,-11.984730099818968,E,C,B,A,-122.58078285738621,E,-198.03387004611488,3.1651582040027724,B,D,A,A,A,D,D,1
White,A,-13.614505595050705,111.8609972204714,A,D,C,B,-53.75304169606976,A,-271.5324439199215,-79.78963066638343,B,C,B,A,E,B,B,1
African American,B,-8.33328783472007,-138.32928406591836,D,E,B,C,-22.74296924729529,A,17.393010206080866,-212.40980486267688,A,D,A,B,A,B,E,1
