sex,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
F,39,-178.43656157482943,73.61915535347741,B,B,B,A,D,C,C,104.41584351780038,B,A,E,E,1
Non-binary,83,-92.45921401183557,-22.291730134634825,B,C,E,C,C,B,B,55.76508502874532,A,C,C,E,1
Other,70,143.67462322284464,160.4727048570287,C,A,B,C,C,B,D,3.332057186125363,A,E,A,E,0
Other,33,-86.19147654915716,114.20457588407156,C,C,A,D,B,D,C,-76.13583413298987,A,D,D,B,1
Other,74,-6.808012302646375,-137.755128034777,E,D,B,B,D,C,B,127.71934240501382,D,D,A,D,0
F,90,15.44032249098809,-36.63788162022399,E,B,E,C,B,E,D,77.17405839967431,A,B,A,B,1
M,26,95.50945174552157,63.19776760068486,D,C,E,C,E,B,C,-57.2145007900802,C,C,C,B,0
M,83,139.3257018254165,-46.171800659935684,E,C,C,C,E,C,D,72.9180322096384,D,D,E,D,1
Non-binary,89,172.85326553555709,-58.38994814817276,A,B,E,A,C,B,C,200.33357072963778,C,A,E,E,0
Non-binary,27,80.004313763682,70.55951052067661,A,E,B,D,E,A,E,-81.52196611231588,C,D,E,C,0
Male,83,187.9587120156191,-75.20015041339127,C,B,C,D,B,A,A,140.05494561053672,C,B,C,B,1
M,20,-21.436532179259256,-83.42264053261903,E,D,C,D,D,A,E,33.22485786559381,A,B,D,C,1
M,37,73.93166898991373,47.581991303461216,D,B,A,E,D,A,A,-46.973437233485,E,A,B,B,0
Other,68,54.45642375928179,-16.57231501134238,A,B,E,A,E,A,D,298.3547902825449,A,E,A,C,1
F,95,15.438381485214098,107.87102898863105,C,B,C,A,B,A,A,-88.16146726342502,D,D,A,A,1
M,74,-5.612675266678697,114.45384708546527,A,E,D,D,E,D,C,-24.280507452713984,D,A,A,C,0
Other,38,-197.75572387702906,-50.40662398543324,B,E,E,A,A,E,E,-88.71243703780387,A,A,D,B,1
Non-binary,67,8.233772165266656,99.09647630689201,E,E,E,A,E,D,D,-19.61083108503531,D,D,D,D,0
Male,39,-21.573881034391068,-112.12041275889175,E,C,D,A,D,A,A,136.9789698260552,D,B,B,E,1
Male,79,59.591593587649015,143.90955561345544,D,B,B,B,D,B,C,-41.969758992571236,C,A,D,B,0
Non-binary,40,146.57936935324614,-133.19102204418698,E,C,A,B,A,D,E,-140.0084162589963,C,D,D,D,0
M,55,-45.55542374172005,-100.77906029259589,E,E,C,B,B,B,C,3.184164099741043,D,C,E,E,1
Female,57,-131.4746515104028,10.926456898859174,E,B,B,A,E,D,E,39.85726381523148,B,D,B,E,1
Non-binary,57,120.71265105634461,-195.21059847283698,E,E,D,C,C,A,C,-25.807678988906087,A,D,B,A,1
F,72,22.33455416049678,-58.669056052991344,C,E,C,B,E,D,A,-49.51113151724341,A,B,B,B,0
Non-binary,45,-131.05151245639146,124.15258886685638,B,B,B,E,A,C,A,12.720221223221175,A,B,D,C,0
Female,81,153.54171147058747,31.513322850775044,E,D,E,D,D,E,B,-41.45680880531431,D,A,E,E,0
F,76,32.79701872352614,55.28143138144876,B,A,C,A,B,E,B,79.45424545631403,D,E,B,D,0
Other,54,81.25631492818914,74.79015062107038,B,B,D,C,E,A,B,67.75486194095274,A,B,C,E,0
Other,24,192.95978706635228,-93.12047658521242,B,A,D,C,E,D,B,110.61146332171994,C,D,A,A,1
M,27,-160.0899374360282,31.216003973436802,E,E,A,A,B,D,E,24.373007189651016,A,C,D,D,0
Male,37,-45.07385299317262,-167.62891298667284,A,E,E,D,D,D,A,-19.48250843426471,C,E,C,C,1
M,51,-28.02210934672244,-62.22958455493532,E,B,C,C,B,D,E,80.97777448715854,A,B,C,C,0
Male,32,-116.1994126629293,-130.039786576273,C,E,E,E,A,C,D,188.91426408782647,E,A,A,C,0
Non-binary,18,-40.562643492109046,-85.86565324060092,E,C,A,B,E,E,A,-138.19590438434736,E,A,A,E,1
Male,75,-8.348006966979916,-65.99758785382772,D,E,D,A,C,A,C,-7.085627598565155,D,B,B,B,0
Non-binary,72,-0.9552016768750825,-189.9460788771515,E,C,C,A,A,A,D,-54.446058070138484,D,B,C,E,0
Non-binary,92,66.78608850487633,72.91739406203186,D,C,A,B,D,B,B,29.40891261381107,D,D,A,C,1
Male,85,-85.53793524909278,-71.69422309235033,A,E,E,C,D,B,E,-29.70183760461454,A,B,C,A,1
Non-binary,91,-133.03788435776073,0.7806480422815302,C,A,C,D,B,C,D,88.42900666263482,B,D,E,B,1
F,85,-142.7120838165931,111.58154877784318,E,D,B,D,B,C,A,55.2222504893376,C,B,C,E,1
M,72,-69.57219683570388,153.2245797188572,E,C,B,D,D,A,A,-110.04002495820151,C,D,C,A,1
M,55,-138.3782132181556,146.38990779426751,C,A,E,B,E,D,A,-153.5194297915356,B,C,E,A,0
Male,29,-49.867382787236366,71.27256825997293,A,C,E,B,B,A,A,-27.317898971848916,A,B,A,C,0
Male,49,89.59413747861335,90.15295425911609,A,A,E,A,C,E,B,158.69242051636468,C,A,E,A,0
F,87,104.65512344799046,53.61449265870281,E,A,B,D,B,B,A,78.76998906546498,C,E,D,B,1
Non-binary,55,-70.23207201104451,-223.15327467069008,B,D,D,C,C,D,C,37.264700306414234,B,D,A,B,1
F,29,13.27154844162311,198.95446731143988,D,B,C,A,D,E,B,-110.3396885986387,B,B,D,B,1
Other,82,-14.567330411287616,52.584929265756706,E,C,D,B,B,C,A,-112.12635454381086,E,B,B,A,1
Other,83,-65.94561415502423,-78.64017341926443,D,D,C,D,C,D,D,34.54309225827705,D,E,D,E,0
Other,99,-14.031012158269812,21.895803820300088,C,C,D,A,C,E,B,-5.401245176394253,A,E,D,D,0
Male,52,25.721942099230006,-6.716685977588879,E,C,C,B,C,C,C,117.3197641592739,E,E,D,E,0
Non-binary,93,-104.32887018899493,-58.615715407382474,B,E,B,C,C,D,B,159.55249441693488,A,B,C,E,1
Male,60,-56.65660935560023,2.547501087297805,B,C,D,B,D,E,E,18.250497169472805,B,D,E,C,1
Male,48,66.65182476953056,-34.59456851463585,B,E,A,E,D,A,B,-2.5361313716735774,D,E,C,A,1
