age_range,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
18-25,Widowed,Both,-39.52890564120432,A,D,B,B,-80.32413153373447,C,B,C,B,A,E,B,-75.54750310787409,-50.71382038342055,1
36-50,Married,No,62.14117520878837,B,C,D,B,-4.92837270985962,C,D,D,A,B,E,B,0.8773942083124441,60.70513031838375,0
65+,Divorced,Physical,37.40419062234829,A,D,B,C,-155.3838280072152,C,A,E,A,A,D,E,-177.25670562942344,99.5313291255279,1
36-50,Widowed,Both,176.14626227223073,C,E,C,B,0.8044393655485017,D,C,B,A,A,C,A,0.8288443635141696,24.527631168058814,1
36-50,Married,None,-73.55416755874793,E,B,B,B,128.53222766193204,D,D,B,A,E,A,C,-14.18781490943655,-91.62241118518621,1
18-25,Divorced,Physical,5.46306283147843,A,B,E,B,39.72956262328687,E,C,D,A,C,B,B,-70.95065160710243,-48.105308849127475,1
18-25,Single,Both,-189.63819950975036,E,B,B,E,-75.48657476947311,B,A,C,B,C,E,D,-38.83278313498356,-77.1903907824903,0
51-65,Widowed,Both,-135.057870466122,D,A,E,D,8.858831770109541,E,C,B,A,B,E,E,-24.09913616621231,-115.12478285673693,1
51-65,Divorced,Physical,138.3750536259872,A,E,D,A,191.71946768433122,D,C,A,B,E,C,B,72.13843015608198,176.36222339789938,1
51-65,Widowed,Mental,2.032165573094452,A,D,C,B,28.758713919544533,B,E,D,B,A,E,B,-15.916149235065506,-56.707096747924915,0
18-25,Married,Both,51.386968234835315,E,B,C,C,-97.03182881119776,A,E,E,A,B,D,D,-75.54578209352447,-77.51784064329415,1
65+,Married,No,139.2714172965229,E,B,D,E,130.59533082118512,E,D,B,B,E,E,E,-84.34795868295365,111.04422311625501,1
18-25,Single,Yes,159.40241160392213,D,B,A,C,-75.26354217566738,A,A,C,B,A,C,D,-43.88996287734609,85.86044598375794,0
18-25,Divorced,Both,-69.25778697867617,E,A,B,D,21.98532526722789,D,D,D,E,C,A,A,-56.397808670071946,177.30497846201263,1
26-35,Widowed,Physical,54.58662170337275,C,A,B,B,-57.70783353572112,D,C,B,B,A,C,A,-48.28883503039463,118.40411454595964,1
18-25,Single,No,-130.90642734546063,E,B,D,D,120.59250854415713,B,E,A,E,E,C,B,-21.30895965576282,-30.405951367432234,1
18-25,Married,None,-25.77898464496092,A,B,C,B,-29.764156093974574,E,C,B,E,B,C,C,-8.374418423331162,17.758008329204596,1
51-65,Widowed,None,17.075300572288864,B,B,A,B,26.16091904927324,A,C,B,E,D,D,A,114.17365671541684,-98.77707410598924,1
26-35,Widowed,Both,127.83988163341007,E,E,A,B,-6.860620035958827,B,A,B,E,A,A,E,-7.377290840619039,-102.79828813206382,1
36-50,Single,Physical,291.3544792180465,A,E,A,B,36.344001078561355,A,B,C,D,E,D,E,34.789864568694824,42.00640240223849,1
18-25,Widowed,Both,76.0100469608597,B,B,E,A,110.66059269363151,B,D,D,D,B,D,A,157.83294836548401,-56.23012929474535,1
36-50,Single,Mental,-28.145213823010952,A,D,A,C,239.83842695317978,B,A,D,C,C,B,A,-7.240910078985865,-41.11888063628208,1
36-50,Single,None,-108.31040667200658,C,D,B,C,90.15880203904739,A,D,D,E,E,B,C,-89.72550588972558,-54.43046755294429,0
51-65,Married,Mental,104.24843310485159,A,A,A,E,-25.616792019213104,E,A,D,B,E,E,B,83.90941395125068,102.23792555185327,1
51-65,Married,Mental,84.01810591579705,A,A,C,C,-169.29367099132958,C,A,C,C,E,C,D,126.58695903233357,-66.74925856049015,0
26-35,Single,Yes,36.857955724774705,A,B,D,E,96.5944501178443,B,C,D,D,D,E,E,51.86864732250363,-172.9635501662587,1
26-35,Single,No,71.271966303184,D,E,E,C,68.76141054224175,B,A,B,D,C,A,D,-34.201887087610814,112.64466413259981,0
51-65,Widowed,Both,-109.79943440272793,C,D,E,E,7.19687817285759,C,E,D,E,C,E,E,-42.84101365517145,151.83375107543588,1
18-25,Divorced,Both,-134.28746448584693,D,C,C,E,-36.44951959350101,A,A,A,A,A,D,C,22.449056589331228,-97.21332224912811,1
65+,Married,No,157.26876258158296,E,C,B,D,-66.20405690374027,B,E,D,C,A,B,E,-76.6135425357811,231.81911050375638,0
26-35,Divorced,Mental,-129.018929781603,B,E,B,D,31.769425532571166,C,E,A,D,D,E,D,36.86706160504196,-53.185269219274645,0
36-50,Divorced,Mental,-316.5866379566641,C,B,A,B,-67.763672303394,C,E,B,A,E,C,B,28.61908998653539,-78.83621175741992,0
65+,Single,Both,127.36172285400738,A,E,B,E,90.57817657504124,D,A,E,B,D,C,D,15.372601138809486,-61.08214916770272,0
18-25,Widowed,Physical,-105.68523707670681,C,A,B,D,28.72686929828999,B,C,C,E,D,E,A,-28.898846802231287,-71.89213178277691,0
51-65,Married,Yes,12.978956916290974,A,C,D,E,20.286369011358108,D,E,C,E,C,D,A,182.89884154793324,-107.54049184345888,0
36-50,Single,Mental,31.049669793317076,A,C,C,E,50.87432395393974,E,C,B,E,E,B,E,31.4049508697893,-89.84467875377979,1
65+,Married,Mental,-126.17543130354754,C,A,D,B,35.14367447371735,A,E,E,B,D,D,C,-106.84111512418437,188.7263730948736,1
51-65,Single,Physical,-23.141479005643976,E,C,D,C,-238.4360068948401,B,D,E,D,B,D,A,123.45977263324211,-115.93119617478578,1
18-25,Widowed,None,148.25210153447205,E,B,A,E,128.0608760231339,B,B,B,E,A,D,E,44.76508697512071,-88.68034719297955,0
26-35,Divorced,Both,186.69079574373922,C,D,B,E,-203.09757395512253,B,C,C,A,A,E,C,127.61073094937797,-3.3053817638108614,0
26-35,Divorced,None,-54.33145989682738,B,D,D,A,148.78055276717473,C,A,D,E,E,C,D,-8.141790487321101,-165.2277891348245,0
26-35,Widowed,No,91.14324728440717,E,B,A,A,32.598232000587906,E,D,B,C,A,E,D,-11.941719850455684,41.370299585352946,0
36-50,Widowed,Physical,113.18681108989969,E,D,B,E,56.6928446997584,A,B,B,A,C,B,E,-62.010608180488035,-60.3460039217447,0
18-25,Single,Physical,79.86072446526012,C,B,A,C,-20.89520381838004,D,C,C,E,C,C,E,6.392732765350797,-191.80232047774282,0
65+,Single,No,-67.54859344351117,D,B,B,E,27.580336431525016,A,E,E,A,B,D,D,113.58452538937371,51.607037498124754,0
65+,Divorced,Yes,-18.16021808140586,B,D,D,B,68.01116559173107,A,B,D,B,A,A,C,-22.596678264154058,-61.7672477701397,0
36-50,Married,Both,-45.969043634546885,A,D,D,A,-72.54493463887786,E,B,B,D,E,C,D,-129.8463218661998,-84.02084323492251,0
51-65,Single,Yes,-104.13657799627725,B,B,B,A,-97.06859022347524,A,A,C,A,E,D,C,7.6465140829722476,28.70302884334753,1
26-35,Single,None,-38.48567920709478,A,C,E,B,89.3531823632234,D,B,A,E,E,B,B,15.04563857534512,129.45791568643344,0
65+,Married,None,-75.68303148283239,D,B,E,E,-188.50576555624733,D,D,D,D,E,B,A,-151.09984124943531,-103.86480505870037,1
65+,Single,Both,2.0520330401029088,C,E,B,C,-114.17182166301951,C,A,D,E,D,B,C,182.99950355302545,-22.377768697274696,1
51-65,Single,Physical,-37.2364268837879,B,C,A,B,75.68726979788474,B,B,C,B,A,D,D,213.6460488183225,48.74466716070614,1
36-50,Divorced,Physical,-22.18114953689632,A,A,A,A,26.564167157767578,A,C,B,A,D,A,E,-14.51047536033245,-47.71510878328672,1
18-25,Divorced,Physical,24.38777723888776,A,A,D,C,126.7602541313706,E,E,D,E,E,C,B,-4.840723036746959,106.6590645288161,1
26-35,Widowed,None,-28.987278020031752,A,A,C,D,-93.64256700017053,A,E,B,B,A,B,E,-160.09221826595743,-14.808079824984807,0
51-65,Married,Both,61.16382035955872,D,A,B,E,-160.2764244070164,B,C,D,C,A,A,E,21.136126747375474,172.0440023373419,0
