AGE,RACE,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
43,Black,26-35,-248.05049543232616,C,6.895497314952133,D,D,-118.72156265781557,-96.75148178959738,B,B,B,E,201.2231108806346,C,104.56594077696376,B,A,B,-56.09286667327379,1
61,Black,65+,31.12359684037866,E,-45.500177670579696,B,D,146.38917180366482,-135.9713166068819,B,E,B,D,100.16643094299344,E,-177.37700639141218,C,C,C,-5.965106324395935,1
93,Other,36-50,53.1818333363273,A,25.871331904970233,B,D,-43.8498405336812,-113.46878949076411,B,C,E,E,-30.51977359830722,B,-32.10349804132571,A,B,A,-156.2929066534825,0
52,Asian,26-35,4.854181102143385,A,85.6018153176977,A,E,82.56872565413373,-5.021130867407616,A,C,A,E,-84.32170747432406,A,-8.68566633924262,B,E,A,-52.75776791952703,1
96,Black,51-65,-73.73650437549476,D,-172.4708051688741,E,E,131.82960755004422,14.731956749304711,D,E,D,A,3.77902144299423,B,-53.57836697478935,D,C,C,36.228821945317776,1
64,Asian,51-65,-103.36053958050908,C,-106.7356547734601,A,A,-38.583743431916986,126.39766835988766,A,C,B,D,139.50831742230915,D,54.31629883981176,A,B,A,-79.17270970231155,1
55,Asian,36-50,114.3920817995301,D,-94.69358856480522,C,B,139.4557064133541,-107.76648389033822,A,A,E,D,2.737958628407341,B,-87.01379273169829,C,E,B,61.923808633761766,0
30,Black,65+,-58.375247493615966,E,6.437245644049766,E,C,-29.117806062591505,131.83773650881218,D,E,B,A,-222.35572243093853,C,-16.724657400800723,E,B,B,38.08286101075956,0
34,Other,51-65,-75.19153171744905,E,146.49358095371613,E,E,32.89915824855677,-84.9983891548853,D,B,A,A,-129.08601538619052,E,31.313202847261113,E,B,D,87.26346126554095,1
20,Other,65+,-79.1288620672645,A,59.51490732585191,D,B,208.0435813026772,-74.67597876180582,C,D,A,D,-57.43638564508503,D,67.28815289830844,A,A,B,37.99284757066736,0
73,Other,36-50,71.91301042862524,A,-25.47349626539534,C,A,-4.321431865870435,118.4531315050493,B,B,B,B,-68.1081105545053,C,-163.94337710630123,B,A,C,245.60139820213857,1
48,White,26-35,-112.10393806944614,C,122.87608756377972,A,D,154.85194904667864,-69.29238409138013,B,C,D,D,131.70625710558676,A,-1.2201648257352742,B,B,E,140.94599489369094,0
74,Black,18-25,-3.391465237299903,C,-41.17676274138067,C,D,-37.98551438734088,61.42662817392517,C,A,E,C,-216.3151721614271,B,83.76802521755278,E,B,B,-245.1460758521128,1
98,Other,51-65,116.97942356665368,D,60.12276649627524,E,D,11.453819787195917,-86.73868506402017,C,C,D,D,15.4451788755532,D,32.85256979911066,E,E,A,-226.6540939455546,1
41,White,18-25,-76.79619814685444,C,-13.990601431825539,A,E,-47.71567902675095,-61.86658633183602,B,A,E,C,-13.859624003377998,A,-61.11813619324411,D,E,C,-52.64366211359156,0
27,Hispanic,65+,19.30169681057398,C,35.89233156599639,C,E,61.62099806798649,-103.45188945672676,E,E,C,A,-180.7402046828694,A,-65.89021721761775,E,E,D,21.76281896874423,0
64,Other,51-65,41.235801531139,E,-115.93351455146102,E,E,-96.94482590663732,-61.51395775013351,C,D,B,A,-41.67352051091699,B,53.74538933480135,A,D,B,-39.0645505028252,1
58,Black,51-65,-68.06884931270231,E,-113.63017234910897,E,C,-12.739269768870507,-100.29395200468527,D,E,B,A,-8.101266660498634,E,-82.68265869203111,C,C,D,153.87744650839684,0
83,Black,51-65,129.43442750264663,A,61.752255988912474,A,D,46.670221169503634,-1.3856956659806046,B,E,B,E,49.41779718923327,D,-108.42479907596795,B,C,B,67.00699603786404,0
36,African American,65+,164.4609964767002,A,-40.43944382393712,C,B,-14.483814420458085,193.34776046307192,C,C,E,E,-139.74297401713213,B,140.277493293799,A,C,D,-75.8762005069484,1
25,Asian,51-65,130.8963233080848,B,-2.583913781474327,C,A,17.94680295349248,-70.89736958698258,B,D,C,C,-142.28825812234473,E,87.88496416527755,D,E,A,-158.92288847578342,1
