civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Single,-33.88513969236267,A,C,-77.91865263266499,215.0225677848673,D,-145.48427256859554,-128.39809312782376,124.62434664673947,C,113.27571481385368,7.632941369528518,B,B,E,1
Divorced,23.75625109793857,C,E,-126.23851474322532,44.4617320796344,B,-25.709741269367953,-52.31440857110968,-34.88460161226316,E,19.728583515092613,39.58606810053435,D,A,B,1
Single,168.58890078987235,B,E,-85.25133513303535,-54.40937380541444,E,-71.65562654232815,65.27497055561024,-45.819275662886994,B,-44.27333877975901,-54.320721740409326,E,B,E,1
Married,7.0837295616766065,E,C,63.76373735684117,33.79532487427975,C,37.44989326248306,45.53504562012967,-124.42901295897306,B,58.84660694958147,-77.74366150193165,B,B,D,0
Married,49.69502332634686,A,D,-15.78929222621406,-84.50058393533608,D,108.4987632859439,-10.227857408369392,95.50067766173332,C,126.86096711856192,57.623281284599294,D,B,C,0
Widowed,117.28121320295872,D,A,85.50620311408363,49.357538148711676,C,-39.10142490810147,-216.85498087162478,-113.39680194495392,E,-104.3888478438164,14.243711081821765,D,B,D,1
Married,10.203855510558736,A,A,-81.49147301283799,-90.94534340431134,B,40.344185388028166,-98.27234191908936,-107.58819082005348,B,66.71821806738934,-103.75761832324146,D,B,C,1
Single,-30.97046732691921,A,B,98.13558023328928,128.09027224127743,A,102.65315170790414,-89.44088827444614,-19.88737943801131,E,13.092182301874141,-8.510188032753293,A,B,D,1
Widowed,-97.02530368486822,D,C,-13.913075634930708,74.36228624468905,A,-104.04838436294612,88.31894302264641,-50.931772928412414,B,64.62277043436328,-85.47972014254613,E,E,C,0
Widowed,-65.00031021454015,E,D,88.88537004704719,254.3786557185741,E,63.96300946426645,-24.551655696466614,-335.38403245137295,E,-92.16270410856592,95.41207727234834,B,A,B,1
Married,152.27675700415512,D,B,-2.4402185563338787,-14.25908967424807,A,-74.66863941750574,3.0596938662445043,-155.24529444493533,A,-171.4532414056769,119.71894793722538,C,D,E,1
Married,33.18925323047079,E,A,-69.18437752134643,87.2790223812984,B,98.36788255712949,105.6706961489976,4.476895881139379,B,-28.438888527462453,142.43721035704743,B,B,D,1
Widowed,-12.956040211765044,A,A,11.90387046713235,126.2988051260959,D,-130.65779061747565,-131.30354556239,12.034723608609186,C,-21.095072051316922,34.5733129581231,D,D,D,0
Married,2.767683143710614,B,A,-257.5442203525779,-46.947185578450934,A,-103.33348823247341,47.340056573092035,-211.00408614095508,A,12.276698733986144,88.85536244438022,B,A,D,1
