nation,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,Christian,9.527182360633917,-159.84640342994624,144.27592050880952,-123.04719375941293,C,60.59863857314042,D,C,C,192.51795450183548,-90.29413493432492,21.45191845348483,151.16330690560912,D,0
Brazil,None,-82.37150384564919,52.21720831569815,132.892685321544,-122.91919547368325,D,-107.64741413966487,B,C,E,-179.50190490618957,29.259570402111105,42.48298646865695,32.68308132048333,C,0
US,Hindu,-120.53482678250676,-98.15319980553897,-2.255133232312146,81.75052112185425,B,-118.58601049791275,E,B,C,-122.99985428731517,117.55200874588787,-157.32603211476842,-118.80091159246872,C,0
India,Christian,-131.61110731585873,83.9599335853004,-55.39885751220369,11.05619873429512,B,67.88571226933962,C,B,D,-169.9710489241925,-116.49933292757375,99.01286976679535,53.92439722597688,B,0
China,None,23.751655457583556,-156.7485102003271,-2.6333102129541897,-111.60886706878901,D,-53.22517349864584,B,A,A,110.94129627639744,132.01755085506048,-164.2781188562657,-96.7027279036058,B,1
China,Hindu,103.77698849029373,-64.0113248793333,108.47488045705573,-35.03337927205681,E,32.66945909778808,C,C,A,-56.75374856604355,58.69128031225548,-91.59003125766586,37.66393452433781,A,0
UK,Buddhist,43.62079430412379,-49.814418009655654,73.08918263094974,208.34169343772118,D,-100.99312649552597,E,E,A,-187.3069227585204,-87.37590654269367,-39.022382806701884,49.318453421424245,E,0
Other,Jewish,32.66228022688073,65.20206955616831,-173.52157267324057,90.26061016040825,A,190.49637264483567,B,A,E,-15.53847632665875,-80.07175724703687,114.64339428830041,-99.47023422969139,B,0
US,Buddhist,2.1243060936133666,115.59359420688821,-32.40294280318331,-7.147852399687886,A,11.639902464100855,D,B,E,-94.60945719823991,276.4549457687252,87.62706190971802,-57.756842684902274,E,1
US,Buddhist,-35.21233035581783,41.841908287306275,76.29604685710963,132.91443036423695,B,-75.34379111308705,E,D,B,14.047245239500535,-159.53684827898323,119.05023832960168,27.907334927401063,C,1
China,Jewish,120.06095115202018,-2.858566934236268,-80.2611281297646,-137.73695904993264,E,-212.52277466444878,C,C,E,65.3885810457966,-107.04591954598695,32.348393115613696,1.7050791715746756,C,0
Germany,Hindu,46.19802188063921,-99.85262284882317,1.8341506718043556,63.36441042348283,B,-13.498341876108977,A,D,D,-37.48151479667116,-77.11170754249139,-217.61228712473707,-16.02864038159677,E,0
Germany,Hindu,-69.5372131497503,-47.44510346083134,-84.59677110110025,171.45741103881355,A,227.94059018284335,B,C,C,35.96775141790475,-45.231823830808196,49.948703766102156,70.92172308740423,D,1
Other,Muslim,-57.054095060002794,98.81621250064805,-76.40722835312972,70.13413158326193,E,122.86174560332957,C,D,E,35.67120214150289,-187.8782448480575,-49.13305731752449,-7.108066839314789,A,1
Other,Other,58.88716437362693,95.87997661690383,39.370539119311076,183.86745779621603,E,64.954808357879,A,A,A,-38.48568860630875,-119.10668963043764,-153.93783588438112,-37.26184200015265,A,0
India,Buddhist,-117.69862512682667,147.70129460788917,-56.183717794061835,17.30278288011215,A,183.33261438962404,E,D,B,-65.60106340322388,70.75565040844229,-3.701127170868864,109.94700933318882,E,1
Brazil,Muslim,-8.256588831884432,159.81644732669713,67.00588187044758,-119.61753774776302,B,76.43039923280044,C,B,B,-82.90638753247408,92.31162728783285,63.588611583639995,-140.15839887666166,E,1
UK,Jewish,-35.95183029667617,60.032660436185694,59.811094516147975,-69.19709387266583,E,67.47985091820567,D,B,E,-34.774981260483315,-54.30442074867631,-70.74398656550507,146.03199902483587,D,1
Germany,Buddhist,3.5811354757280087,-60.07439332106218,-8.21913770294344,273.4910084924113,B,168.5201917864663,A,A,C,24.733492533630372,-18.22927258594825,-51.044358116097364,-39.24626283464121,A,0
Brazil,Buddhist,-37.769938059555095,-89.15086595126512,41.0947860491517,110.80842405106135,E,43.063158268511394,A,D,E,94.21277689532624,25.95836551285624,6.027698436535185,-6.639556220193903,A,0
Brazil,Christian,9.393710400469537,-11.183982957123543,-77.43738534049757,74.33622439786073,E,-44.79857524560457,A,E,B,-16.83270425140829,-174.57421737767328,14.63190190763513,-155.95700272617668,B,1
Other,Christian,116.87862109460363,-47.5310014050844,71.98956840264282,71.50041475152263,C,37.17201616671481,C,D,C,5.383968392105712,-72.84989644722548,147.1168116862229,-106.2849499613382,C,1
Mexico,Hindu,140.89750164582708,-159.18030928456113,-20.527447108014794,19.09862667302278,A,83.76812575813932,A,A,A,79.38986555686807,-52.41610550824281,-175.7552672773234,-11.666091639555205,C,1
Other,Other,-66.33637254851163,-110.82917859364957,3.669502721395946,32.57273636120449,D,122.47098966493932,A,D,A,148.15774985999963,86.8406453516373,43.37424459020455,53.67252265568035,D,0
Brazil,Other,42.27307264032189,-29.202032492105424,-52.628961691279805,114.24007218131116,C,29.177537957011022,A,C,C,-81.42632729556848,132.55249240841314,27.474712182257903,-187.4317550026188,E,0
US,Jewish,-107.24927472528314,-28.724169160895812,-172.45855789313364,-71.29948725082578,E,164.2164513483631,B,B,A,-20.009923386382887,-105.20673115660043,62.50647478296142,-17.574563194840525,B,1
China,Jewish,-117.8441503625482,-61.69131044681524,63.097705120004086,16.995722095914843,D,22.058640592226485,E,B,A,86.92747152961032,59.34429221813862,-98.92757643309213,66.24260251484063,A,1
Germany,Other,105.47202751878528,-86.40989571794053,191.6207670661023,-106.69574402360425,C,120.39747010502246,A,C,E,202.26262161327062,-155.9062058925547,160.28209469827445,30.783322544925753,E,0
Mexico,Muslim,48.27485580862658,-33.40265797373242,158.68209507672776,-112.01879239550634,C,252.55765035070516,D,A,D,5.606887104001624,-55.23091982920831,-4.468506032222396,62.81078576401623,B,0
