nationality,AgeGroup,orientation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Other,36-50,Heterosexual,Yes,C,C,C,E,B,-91.18591438995381,89.79904783025627,-53.872654370021046,-21.344259265955234,199.74834636400402,27.431148589823444,0
India,26-35,Bisexual,Veteran,C,D,D,C,D,-46.24391067820479,-215.07924246357183,6.492152837256879,-45.040288146568436,-74.13950699572072,-45.176924486220884,0
US,51-65,Heterosexual,Yes,C,A,D,B,D,-3.5820605264738132,-57.98319006109713,-176.15741699269748,-98.71684871574273,69.60406828279437,54.667146670500465,0
Brazil,36-50,Bisexual,No,E,A,C,D,C,50.08712193975852,-47.31890907510831,-46.69236810650576,-270.5441229803428,-19.496682707272146,-78.15522427779123,0
US,65+,Heterosexual,Non-Veteran,C,E,A,A,D,10.083979392176385,69.59594631922216,98.82144659537066,-123.44339957579855,-47.64311125892152,-30.913583743829825,1
UK,36-50,Homosexual,Non-Veteran,C,A,A,A,B,17.836616632885967,-31.047521347287326,-113.99686644561042,86.311011385055,-30.103980030922887,-13.479322972132268,0
Germany,51-65,Heterosexual,Non-Veteran,D,E,D,A,E,33.05834799540974,-56.49749451268704,133.90778416733272,-159.43395104363648,124.23421439226729,-34.74081280226138,1
US,51-65,Bisexual,No,E,D,E,A,E,50.15035672062466,88.75217189981588,24.39841929865848,-92.25420013418938,-19.69155408353292,-41.08023633386409,1
Brazil,65+,Homosexual,Veteran,B,B,C,B,B,-52.38410384051011,-38.00687415324754,-58.21155215032453,-14.22610612951027,-158.10784130079395,-73.05508494398676,1
Brazil,51-65,Heterosexual,Yes,C,A,C,A,C,-72.64127357131869,-82.24380719963904,-23.2694139312523,217.657587561557,99.53025644073023,84.29650248882534,1
Mexico,51-65,Heterosexual,Veteran,E,B,E,C,D,19.32628351367201,-140.98641364272407,278.4998689304381,-3.1214871540710614,-27.032306721996846,-10.306507584494135,1
US,26-35,Other,No,A,A,A,C,B,195.2624187805827,-126.2413207552056,-102.59607407193928,-76.32464437884533,4.030782226484072,-20.963052009610408,0
China,26-35,Heterosexual,No,B,D,A,D,B,130.7197979366752,180.41709743859434,-25.40356015960897,-21.6984558119318,109.14231761056337,1.072934880581691,1
China,65+,Heterosexual,No,C,A,E,A,C,22.11597975670032,38.39233907066731,-122.7495554621631,89.97671200354041,-68.20995866851943,-222.54625870974257,0
US,65+,Heterosexual,No,A,C,E,C,D,1.8253958270329707,-16.436227048143433,94.71909824388973,-58.626842485936635,-7.961288220051298,114.86466202287704,0
UK,36-50,Homosexual,Non-Veteran,D,A,C,E,B,-34.02966470646632,-55.33531044411583,3.6631081595479955,34.464458610670874,-24.303789481192084,-46.56113477387897,0
UK,65+,Heterosexual,Yes,A,D,B,D,A,194.19210291425975,-59.22686559426187,-150.36153479612798,52.527172517392984,37.586824003247905,33.47393771989008,0
UK,65+,Heterosexual,No,A,D,E,E,D,109.13099043763559,-158.08320118664446,135.87793413139863,-116.97137493422105,4.701019946093343,43.20561297489303,1
Germany,36-50,Homosexual,Non-Veteran,A,C,D,E,D,-7.013119571413691,50.93917103072619,167.13931321026055,10.596052238176469,-14.962883021208132,207.6493992095175,1
Other,51-65,Homosexual,Non-Veteran,D,C,B,A,E,-0.5039919084284871,19.017053112031835,201.89752926119633,55.41259224305469,97.85475290249,8.207669745675448,0
Brazil,18-25,Other,Non-Veteran,A,C,D,E,D,-22.42847884206088,-64.21427337494706,50.5642355618386,-62.77185914968398,80.75182306657051,2.8798328687111288,1
US,51-65,Other,No,D,D,E,C,B,35.58982952207253,-80.18723782286625,-11.2689263322235,-268.61594256352925,11.565795009118416,-52.190547674797,0
UK,36-50,Other,Yes,B,A,E,A,A,-13.069970041210393,-59.006081890523376,-46.731521083995794,77.91088675476072,-114.30596406277749,-89.72691081765004,0
Germany,65+,Bisexual,No,E,D,E,B,D,95.44229971070138,131.03655094048742,-81.7493479468637,163.02379355234382,67.56539336584369,108.54785146575342,0
India,36-50,Bisexual,Veteran,D,C,D,C,E,25.861076000033755,49.78303464748288,-32.40486111648692,22.56373597669275,98.19631235660415,-233.43582506438315,0
Mexico,51-65,Heterosexual,No,C,B,A,B,B,150.5018429287559,-25.224365852832527,34.7457815710203,-66.7170182776937,200.9747579975834,255.76487270285435,0
US,26-35,Other,Non-Veteran,B,D,A,E,A,-15.149685360498857,31.423395143623384,-100.39008311969242,73.75194855874237,2.104451436758388,41.63914395923868,1
Other,36-50,Bisexual,Non-Veteran,D,A,B,B,C,89.0219103791836,11.272189428176723,167.526480664334,42.94219260243812,12.832713988003396,-52.92766015237266,0
Brazil,36-50,Bisexual,Veteran,B,A,D,A,C,34.35268550998817,-20.969285247819336,-61.23984436663014,-5.0978624269349115,17.303910577678433,96.83253117209077,1
China,18-25,Homosexual,No,D,A,D,B,A,25.80458246868505,42.335443516549724,-23.034456914649518,158.2929294164604,-187.43305176863532,-208.32711575566876,0
Other,18-25,Heterosexual,No,E,E,C,E,B,187.83213943203728,109.54005888937009,-57.32337432746706,-75.37057302473484,181.85498648723765,-103.35395667657517,0
UK,26-35,Other,Yes,D,B,E,C,D,-10.098810367278302,73.97325748628039,103.92192711135422,83.03112429950532,-147.44091966887078,101.60082158460139,0
