handicap,race,sexual_orientation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Mental,Black,Homosexual,18-25,C,E,-19.5665216943746,C,171.36120198393726,B,E,A,-29.768974188277024,-35.624267164638475,-65.15517719666668,B,-34.982519385349256,-63.772646473846564,-98.65230703624668,81.79570804088196,8.551928932752704,-61.33640233168761,0
Mental,White,Heterosexual,36-50,E,D,-103.65088562784881,B,41.498286722387824,B,B,C,26.944350671591156,84.31430183445656,78.96026774811868,C,50.850738199481604,89.24800598069194,74.35145169762498,147.08409725936338,146.83290050296657,-51.65996218147046,0
Physical,African American,Heterosexual,18-25,B,A,32.90987294507752,E,-53.66260051321014,C,C,D,-51.07326851708153,95.97767407905097,172.86807683249356,A,152.47875926182766,90.3878960482465,-43.98362712647559,-31.713755925171455,80.62898177808873,31.216970191899335,0
No,Black,Bisexual,26-35,E,C,-58.636197460419545,E,192.60296673160596,D,C,D,-141.43318180528595,51.188530229024856,-74.93989278283986,D,-62.259419390523675,-24.675635411540036,-115.46703935164766,26.003819542888124,91.88127219820915,-9.666181215382649,0
Physical,Asian,Bisexual,18-25,A,B,99.35437282983794,B,-138.88483604716174,C,C,D,70.44503769391216,113.26609645941672,-68.72888247964809,B,23.5467798213758,-53.82901330481177,30.17850386887328,20.947301773138495,200.98424095415774,33.034385693737974,1
Yes,Hispanic,Heterosexual,51-65,C,E,17.799273547116048,A,183.47180199042165,E,D,C,-118.84298961737136,-39.15870155643461,-0.39336787447183774,D,56.50111637049542,-54.1666216945187,87.1293772160491,-94.12403285802372,21.39751866664918,246.21414146380673,0
Physical,Other,Homosexual,65+,A,D,-164.84175009311505,E,-139.9872156175652,B,C,E,97.66235821640497,-19.77126828682824,-32.991862882900556,D,122.43800025289804,-20.496856187375833,-21.84094522710965,113.72451563296464,-55.532925657844345,-103.96376202406645,0
Yes,Asian,Heterosexual,36-50,B,E,-158.6727948409895,A,-137.9305264686818,E,A,C,-80.72985259651976,-89.59592240929459,68.20099672093379,B,-191.8872820149197,29.615916835584688,-53.77041942368631,34.96793093928353,-89.10681221470526,-7.492692545299738,1
Both,Hispanic,Bisexual,51-65,A,B,-110.15535279939002,D,-64.40278919180108,C,E,E,-32.12653160830763,9.438447851927112,-80.30078196475651,E,-11.48933791190086,-65.2430547488437,-33.84464811283759,3.1819204775296837,-79.43245898427834,11.087215677384016,1
No,African American,Other,36-50,C,A,-57.96096148452477,A,-16.071404830962752,D,D,A,58.4038281273373,-25.15497369678951,136.791876618951,E,4.949019986817926,-140.78550030570872,103.90511167904765,46.60900453392968,4.23831112744021,32.14979483988995,0
Both,Black,Other,36-50,B,A,141.18674131704668,C,109.914208116442,D,D,B,1.3871806802522635,-29.854294443312796,-33.07783912806368,B,-29.089031319670315,-126.98815841782289,-140.8966855476076,99.12784379427964,39.53950700531899,-16.99308113679551,1
Physical,Hispanic,Bisexual,18-25,A,E,-117.9868929882109,C,-182.36707330167988,C,D,C,135.02921425946454,39.934467910810255,136.5452546813255,C,-13.419899472297711,-41.14112073987639,51.1024989048791,120.24364271765107,-164.00767541530521,-88.04621818522736,0
Physical,Hispanic,Heterosexual,65+,A,C,-25.029787914916373,B,14.932968217319461,E,B,B,-265.1143964335839,169.61297967233057,1.1831930014443948,D,108.14639705795142,341.5049807689206,-19.566723655568513,0.39939940890225306,169.54900193329115,-76.6075525995793,1
Yes,Asian,Heterosexual,26-35,A,B,-54.67688889536094,C,-37.99911228558785,C,D,D,25.80968551934427,53.73775599867246,-33.92389611188153,D,-84.20484758988583,69.75820022771913,26.298212106874892,87.49563515299472,149.7269345941375,-98.98045979418713,1
Mental,White,Homosexual,36-50,E,A,-152.23964484476951,C,38.23085564471646,A,D,D,3.5749098916852255,-58.14147759624832,0.9054181886214143,B,-140.78168789198077,-50.13208618378342,-52.81126379287174,-139.72602886777977,-8.794699891824088,-56.73541065804953,1
None,Asian,Homosexual,18-25,D,C,-63.024641239616756,A,93.21505776135177,A,B,A,9.144289620870802,133.58134404206154,-7.527848337517732,A,-29.43896865816486,43.302823396921994,195.39103604695148,87.04137214991316,-54.76175602761626,113.64096352191801,0
Yes,Black,Heterosexual,18-25,D,E,4.09544777197972,E,103.06144024376876,A,D,C,-11.613009925373898,93.06469335917544,-7.9700538747864975,D,-140.1576965409814,72.23818678264729,80.58518867817448,16.287081481808503,59.36058719891396,18.069406488312858,0
Yes,Other,Other,51-65,A,A,176.90886335967235,B,-8.735291003348564,C,E,B,-11.544875020738191,-18.90758683459587,60.00967713986694,A,156.4570251648191,47.15492700547923,-11.472011498759924,-59.77597058597583,-22.48631881745418,-129.68002408752665,1
Physical,White,Homosexual,65+,C,E,-75.52914232621582,C,230.70171940282043,C,D,C,-31.354268066697095,71.90268610987876,87.02727680321391,D,-57.66888586281353,131.83059746039788,51.39936667862644,41.18938651274539,-5.600081026378543,107.09930599447792,1
Physical,White,Bisexual,36-50,A,E,29.107610006003444,E,118.15386012827493,D,E,D,85.53482921209599,96.29648478442489,-15.028212893467586,D,81.65001626378051,-126.84906380752194,-1.4479649752842088,-62.462035939019486,-81.57623509999871,-153.34640658667197,1
Mental,African American,Other,65+,E,A,45.72668562718107,C,39.68982001757368,E,D,D,2.636454960995852,-24.868575953349197,15.18646680497913,B,8.77847458089615,26.048311636604748,193.0797456946347,-90.32406998939972,-66.87831646697529,63.80390064802546,1
Physical,African American,Other,51-65,D,E,98.03054861949843,E,-165.99089572632923,D,D,D,125.49825277164759,48.98865094372532,7.659869649967141,D,220.07711079099636,-51.269689834547336,-151.02819748797648,-232.61275638043787,41.93772710541655,40.76163845855555,0
None,African American,Bisexual,51-65,E,E,-41.94377231146794,C,42.76440676751469,C,C,D,-95.50098029744291,-47.81203935453901,22.916982730378272,D,-113.01413005879463,-31.708813510717558,120.84249805025158,150.94435574319243,211.17155735657542,-195.51514876759697,0
