military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Veteran,C,4.341036021416462,-38.38056567405706,-40.90211354264009,-181.88202026225767,96.9854755221995,-140.74885119540872,1
Yes,D,136.18634171592737,145.10536300847062,-122.55024515734601,-63.9116046734893,-3.5522056288417323,159.23245621614785,0
Yes,E,-73.29915594192039,-32.16975449603009,81.71330079872548,4.055227914690204,67.70516024094847,109.40197088125964,0
Veteran,A,97.3090015541858,103.18534151659532,-66.60355150054399,77.97729383757512,18.462445760770674,-45.77144417675101,0
Non-Veteran,A,-72.83827500874597,-55.608056312151646,-125.11532321395632,35.96337112743046,151.7865192929194,-101.88691585148872,1
Veteran,A,91.70011772069365,6.914314618776617,-55.44780990662643,72.5739681426892,-21.003068736162952,6.329893804832043,0
Veteran,C,98.27977003340919,157.84783505521364,16.62155599359149,80.8655249841837,-79.99781827504049,-105.7435270062414,0
Non-Veteran,B,-63.57427716805765,-70.94462288533532,-87.09327208906433,-34.38817221377353,76.88362181323613,-95.32047055107168,0
Yes,E,59.330769954774084,146.33516429367177,111.7759258279677,30.062593683536925,-56.20503753904414,-65.49337206762992,1
No,B,-146.7688366637344,-40.98939866591717,-6.186631998702601,86.92199790639839,44.31786114723924,139.76130557829634,0
Yes,D,-42.222652145244915,41.23082141358655,138.16891463477222,46.285155144962935,-23.358592036536276,-144.20003623430387,0
Veteran,B,139.16662401606231,9.012124376901513,82.98302716958624,-81.17906158994751,23.51693072604417,189.35267867116724,1
Veteran,C,-40.63973444550915,109.60383035488017,-72.12143997477088,76.25420159051605,144.16715414461956,109.30161995950074,0
Veteran,E,-2.264827417468181,89.88518664351984,-13.86955069026308,93.87765383179246,-17.520957394618204,-19.15528187501497,0
Yes,C,-101.32995696018337,55.955862346241325,-159.62154388174727,147.54113743518232,142.43178038727115,95.9648448940159,0
Veteran,D,39.22776923362809,-27.44162589969077,171.6913428472856,78.73767806320878,-48.84923695239116,-45.423792261951576,1
Non-Veteran,B,92.66218594295206,-127.29214095612478,-73.82909380730788,-49.77177771030736,-271.2481410260731,-79.8156430368885,0
Veteran,A,1.0603601248148016,19.368689709491,-28.009517551766823,33.260307570188594,-52.642328090680714,25.16756398715122,1
Veteran,D,-121.78490957608857,6.4460846320297875,-54.916962061516564,-52.87232413988626,260.96808384981244,-131.62575291064255,0
Yes,D,91.72863795928899,193.74956607617122,77.13999575280562,-169.48501177941617,92.87509396864696,69.73551219570327,0
No,B,77.40626305032396,77.06578970350448,83.57025471004728,104.71078448737876,-142.15401893726306,-0.05608500691915526,1
No,B,-16.91290041333753,-52.76143898624647,144.64115309695734,-6.974040136170813,-197.38537233612197,41.2695321833436,0
Yes,D,112.71102632068943,14.653831294459332,-40.24989097305438,67.2509502915891,81.566824458788,-159.1354970543673,1
Yes,A,58.96909473707491,-39.58201938823373,-61.233295923115946,155.68632608823106,22.778305125530853,173.6977220141125,0
Veteran,A,45.3663776889082,-118.92552689707898,108.89568516439738,-8.549626199617224,214.74489291603166,-84.11979933885269,1
Non-Veteran,C,-25.579168815819482,-87.0436964996198,13.580249153351135,-29.905577862255562,-117.55734672041733,-150.26875347834024,1
Non-Veteran,D,-34.646280880842674,28.199739667613017,-116.93078684442129,-103.44711643224744,60.330860920983056,-31.764971040692185,0
No,C,61.773244619273214,2.98345742199153,-168.72733196441973,-37.761354991932414,113.14193994278912,17.32385799922901,0
No,E,-2.37054022697193,238.86045969563781,-38.50238422068683,-39.6401365311252,194.87397305697712,55.0159879087129,0
Non-Veteran,E,-118.97001718403604,-142.12120436024378,5.433789493121826,-58.338384191885226,-23.756063639953947,-248.9836537506642,1
No,A,76.44221125414406,20.055843074216252,-66.22877065034358,59.86042832895191,24.306680427761236,-32.4266562464554,1
Yes,A,27.192510725779734,-102.86913934306705,24.303756247322504,-24.72064399039442,14.83040732860658,227.97004879209277,0
Veteran,D,130.28826617193047,60.58470557029786,-7.727469015252635,47.551382978118504,-168.17455265489184,43.199250564013184,1
Veteran,C,15.401655095004351,-9.55077893361161,123.68420210630111,149.10149374026554,34.131703341801646,83.43913228510324,0
Veteran,A,41.476341021742606,104.9895401298506,2.5583782461031044,7.539068807001491,145.19969966609438,-119.98443107748342,1
Yes,C,170.9975166765456,1.6750251168853123,80.13205957959676,-202.92516472389602,52.354748695465716,88.55519496268677,0
Yes,E,74.18550619822241,-186.17825473406126,174.55488792627864,13.191012455629336,44.9646569032428,-122.76304295955454,0
Non-Veteran,B,-91.38373024240137,87.77109169122211,35.032843093438665,-36.49089387614378,8.025246470198564,-77.63484683829947,1
