disability,feature_0,feature_1,feature_2,feature_3,feature_4,target
Both,-51.79858558652959,-34.68176046407814,152.00990369314687,-111.62785500740202,A,0
Yes,147.2837706805257,150.87851494505477,-236.54522297227237,21.929310247150067,C,1
None,-149.31636219214687,-224.4249374249663,76.23726290378382,79.96943883582534,D,1
Mental,94.18275759212526,-89.31185866498824,-167.53425556071315,48.062748759698714,A,0
Yes,138.35815377360183,48.93712507039002,6.740414315305642,-66.37630536789096,A,1
Mental,-8.881698187105043,-49.6823183561669,129.85448384234843,-16.417771989801498,A,1
Physical,-2.97298460035765,17.73049191867852,-152.9219811278838,1.5056567959940856,B,1
No,-143.11659739273114,-103.77783804976542,46.534414171214834,-46.19501288144269,A,0
Mental,123.6487572021501,-16.805343093130926,-67.91746780786269,-34.4159471868992,E,1
Both,-227.25596463651962,-118.63012499604886,101.74906255488321,40.90243055652678,B,1
Physical,-42.268951332735405,-143.87258744724593,-76.23998022720954,71.4929001180925,C,1
Physical,-92.0891317676915,-59.21258751754461,-5.17374782108168,79.39079906313708,B,0
Both,52.99834325063437,-67.38833476901067,71.85898732912958,-71.15946065505176,D,1
Both,161.76602013131424,77.382372126945,-129.5869078343387,-120.28155955928304,E,0
Both,-113.0050036832363,-18.889067402689996,5.096227150953227,204.96501573581475,A,1
Both,-36.72261658724809,-137.7898535484494,-88.59994315566935,-124.57210529348811,E,0
None,107.22966531393155,295.0722111309396,50.087673354551285,-106.05616777801484,A,1
Physical,-134.0256495124993,-4.585911713237328,-53.748286904521756,-22.282146961962123,B,0
Physical,114.54719054044607,78.44555528818466,89.01702868105689,4.648477693345104,E,1
No,-128.9692348799812,2.200167893288633,13.372568739996222,-13.113824282827702,E,1
Both,130.95439962110345,27.780813073165856,36.47574285503345,-2.9642901945234943,A,0
Both,24.491751559998477,97.18476539109717,43.65227965982356,97.78498182178886,E,0
Physical,46.05191301282166,148.69014763392013,-38.53855615041438,19.706449918244708,E,1
No,-5.341166796835928,28.620501702298334,103.80166704627611,-60.31998470186287,A,1
Yes,-25.000481815189264,47.0542393586549,-106.92794272469017,3.7586054263752215,E,1
Both,-0.5387872216719267,61.51054727287081,3.1465540649621495,65.20846798880356,C,0
Mental,-11.731431058195135,-55.32145608227628,-60.41463882040895,396.9386281617648,C,0
Both,-84.99953630825566,-93.42606911046816,36.26410285236484,-60.07526416675281,B,1
None,-57.175081078301126,-67.75356983446962,45.57204840767211,-167.02443194864136,E,1
Both,-26.36015875367182,-38.61787982674516,-37.330812862492266,-236.3361079710756,C,0
Yes,222.9683315058014,-64.45546501874792,-82.14584005636169,-143.76845261407612,C,0
Physical,-98.34408529086684,36.36323915724001,20.383535091755903,115.95611640124727,D,1
Mental,117.5322561055278,111.65457152775593,-69.3226051166623,54.16262935154072,A,0
No,-36.9622432135777,134.5518749268995,-30.46749461011405,17.561421988454555,D,0
No,-6.737843721308785,138.55357148635693,84.24778042536337,-34.105862774108736,B,0
Physical,157.58083409354387,-11.676361302586807,41.833826704989605,-168.0812161014087,B,1
Mental,-138.9652735697095,59.10726202108327,47.82657138008612,-79.83071104793392,C,1
Yes,82.22932909537323,245.00154079235793,-149.47858341612022,11.099176228265755,C,0
Both,-78.13693884500962,-113.38760740219136,58.432435368545185,-168.3041077392718,A,0
Physical,-92.06171878165941,36.5678843879633,-43.464763784333066,4.273881733246878,E,0
Physical,-59.42676475705706,-6.880035539700935,-32.611606293648805,-43.62980319939977,C,0
Yes,195.45742690818665,-43.02648607607388,20.640589429212692,-20.530077366013437,A,1
Yes,-38.84718473682892,114.49162382546685,46.91997850732827,-74.93837618686177,A,1
Both,24.765342782682318,-146.61103578737928,23.429572466477843,-105.7155946979439,A,1
None,-110.09284107136641,101.29460704590598,29.454428318611097,-25.16798987665706,A,1
Both,37.58775549092187,-9.777429398353704,71.93452653351363,-35.12344650373608,E,1
Physical,6.668615993999742,164.06267137310311,51.49155602621869,48.554590070012296,C,1
No,217.72461823516437,6.31008874156117,-189.8387891065584,-4.809486615783873,B,0
None,-24.739532084550373,-42.077240305371376,21.094862496367224,55.95627969373491,B,1
Both,227.17145900681234,-143.7747593342018,-96.8743433565167,61.148847104136586,A,0
None,-54.86851288578053,153.0190198709626,-95.15182530043033,-0.1387048995467096,C,0
Mental,-138.189876390186,147.27024240403634,-51.718453322853684,45.683305982628006,A,0
No,-43.38774471977388,-102.78056658585682,69.99833434217959,-51.50696095706828,C,1
Yes,146.18779778962477,148.44817814972046,31.151699868166116,-292.0429529801006,E,0
Yes,115.24144958044509,-23.36114073376315,27.124155438526078,0.43420214845911204,D,0
No,-42.418227146980946,11.375014050784541,-214.42803730900485,72.20595801480201,A,1
Physical,39.981162849969884,-21.962877943549824,-148.16615356311445,41.06727854246119,B,0
Both,90.960520375586,13.279944535584937,150.88241862056023,-21.956038218154703,A,1
No,-15.078403526632533,-71.94906851720523,-0.8859784397964042,-78.36738658189097,C,1
No,64.53668956247226,-18.946052847360168,-187.6929928864823,-30.39543894737425,B,0
Both,-156.14193757416282,-24.320209589829904,-215.32502942738873,-165.63363078512367,E,1
Both,13.894459601034443,84.0908395388227,39.801536646772526,89.21762301274158,D,0
No,37.186100210099156,138.92292564864246,73.12090944869529,-131.10251724043255,A,1
Both,13.166428181061887,113.71186307795458,200.44027602447025,-72.89510818880116,E,1
No,-27.9447016452523,26.288927639249103,14.122006213232371,86.98816672134765,C,0
No,-179.9861664485602,-111.79548845521394,200.44277634573663,-16.028282746891172,C,0
None,91.42989380978807,40.050895003155944,20.837252519671935,-60.3250321868169,A,0
No,135.38849246006959,-48.91075729930816,107.96806589396495,119.74571997769175,C,1
Mental,-37.610809413548864,60.1449472912068,-55.18970873917737,-114.80990471124493,E,0
Mental,186.14222904098733,-12.645385548716062,72.30879021536755,-73.53055820736573,B,1
No,140.70787684312535,-10.74848795133475,-215.65820406161657,-161.2890510930078,B,1
Mental,40.681977426562455,-136.57644792796367,-26.921061748297358,9.570692720288301,B,1
None,36.2568573317411,97.0885650094995,-76.21040966084229,-38.94168020379152,C,1
Mental,-116.56890178404105,-72.92378286913127,104.66966523849777,-54.34882428257912,C,0
No,-18.748702722499594,116.15818529163103,-38.43083625998682,-45.45894282840946,E,0
Mental,-10.127113862930063,-114.87661739266042,86.29328400462254,134.30361643459142,A,1
Physical,-119.52089707211604,-17.719529156035158,-112.45979166467515,-32.21045604456979,E,1
Both,-26.83189161319781,22.508406834746253,-19.615116661868882,46.398581108173076,E,1
Both,-43.44305941636356,74.58612691887976,-247.45207706626832,24.47002379454156,E,0
Mental,-62.12985127977492,108.02364608612712,-72.97752162510463,-60.85552744495646,D,1
Both,38.45098164491959,-103.74979427828424,25.415192513141733,-9.032923211453353,C,1
None,-127.21059507841865,55.71449454108651,-110.37850107516863,-160.24500893226818,D,1
Physical,10.491166259982093,4.486083585916041,76.14955966494031,5.578342481134933,A,0
No,164.21982221406734,-139.80676145349264,-110.67692167035584,182.3692478708684,A,1
Mental,-17.18372808923671,84.14060169735984,-27.936101918161082,60.092687637695064,D,0
Yes,-119.63816758230237,85.84533303791649,-115.28218126436445,16.261617986024774,C,0
Physical,-34.98615939590004,175.00851628350034,-50.31246941387888,124.89141990721436,D,1
No,-133.00350045019815,-0.9589956850393818,89.55197469113901,-12.68658492711738,D,1
Physical,-44.27971561147249,217.94496028709247,112.02086039953744,-6.363091356838522,B,0
Both,127.77892747179726,-39.741157324751136,49.17269232692582,-227.7820785954515,B,0
Both,178.20068192923728,26.78711021124876,41.154004064481626,-72.87360265471678,B,1
Yes,50.636878256748005,25.60079638679455,-68.70988382593785,-88.2923929713719,E,0
Yes,-82.32102330317275,72.59680420114975,91.16065998166091,-300.60561722367174,B,1
Mental,-102.97606969075377,31.185148713295398,47.017009492534044,57.77981305330179,B,1
No,69.75670293311543,-178.54092297229877,64.88101157841604,85.13276386316446,D,0
