disability,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Physical,Brazil,-118.32571215762191,D,E,78.07803187568018,-238.85378262875042,-93.55095704158992,D,C,D,1
Mental,UK,-273.08030929722025,A,D,-82.88863877949821,-49.360167933825934,68.0387588974836,A,D,A,0
No,Germany,-12.756282874249697,A,D,72.47878055661066,217.22263501922944,9.643370753039324,A,B,E,1
None,UK,142.47032440484054,E,C,-151.81556090060374,16.564581093206108,-67.93752613861078,B,C,A,1
Both,UK,72.28573534152775,B,B,-44.32716867958083,-7.373500475294878,-43.42352582206356,E,B,C,1
No,US,-88.579993186847,D,C,224.61188926558697,84.96002519824559,-73.83191835656599,B,C,A,1
Yes,Germany,92.87761244359838,C,E,-48.31815264506802,-20.80713223997838,84.20127711566205,D,D,D,1
None,China,-113.25935570808178,E,A,-8.469275238172317,-19.71156948997126,-103.42325842447822,B,C,C,1
None,Other,-1.9607853960055266,D,E,32.95672134050694,-24.731662831378546,-108.52832059974729,E,D,D,1
Yes,China,-176.69688202455208,E,A,102.011893258481,19.62989207724695,-129.41587911346946,A,A,C,0
Mental,UK,-19.621450482574087,A,C,-146.11270582324724,233.74831829345433,-85.67817047079332,E,D,D,0
Physical,Germany,79.82786784348227,D,E,-40.95792425134526,-93.30606501597532,88.01189150524013,A,E,D,0
Yes,Germany,-146.70448561080343,C,C,-1.048479567312644,38.39132736746922,-89.73663595639623,C,B,D,0
Both,US,-21.657735150408776,E,B,33.33847304945938,124.81084301927572,53.56062275309063,D,B,D,1
None,Brazil,138.44428766224692,D,E,22.209100794740724,-77.73267743007256,-34.14282617549737,C,E,E,0
Both,Brazil,-43.57129526831704,C,B,36.4056714005157,101.21150510076657,-63.67127844088291,A,C,E,0
Mental,India,58.61343919493498,B,C,183.5925653017496,-180.46366340877364,-47.102515694651146,D,C,A,0
Yes,Brazil,-132.37973968441702,C,B,-234.7330122980106,-18.422775443526415,27.151721013851297,A,E,A,0
Mental,Other,-162.45352483450708,B,C,-79.29215916698516,-33.494762418113744,-139.09052427628015,E,E,C,1
Mental,UK,102.17465409572621,C,E,-43.98142050746732,37.3663338955687,243.40340023202498,A,B,C,1
Mental,Mexico,38.533721506011744,E,A,1.8324263943103405,-45.13141555379791,-77.69891525566318,E,C,D,0
Mental,Brazil,47.556639109868485,C,A,-15.929702653436681,-188.22914039095525,60.03422371281366,A,E,C,1
No,UK,33.59881776929876,D,B,34.650399449593976,-36.47861995379519,-144.90555175090154,B,C,E,0
Mental,Other,-0.9469421603714265,C,A,24.567515880696035,37.53903096313995,35.868675990969066,B,C,B,1
Physical,Brazil,-68.91503888739072,A,B,-30.3379417020442,70.26697469886042,278.9503189895781,B,A,A,1
None,Mexico,-37.44175915821074,C,A,-2.7095185559028367,-23.51782420367618,-241.20450487230002,A,B,C,0
Physical,Germany,29.510822430280076,D,A,37.12616782489007,127.4562219505737,198.6741941592544,A,C,E,0
Both,China,135.32541486756259,A,A,-99.751206235251,-129.47763180635152,-46.19980978701603,D,B,A,0
None,Mexico,-50.61618429684377,E,A,160.4049724495788,57.576674657259495,120.2865960850678,A,D,C,0
