military,SEX,Race,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Non-Veteran,Male,Asian,Other,-249.68001161770337,C,-58.37201836278042,D,D,1
Veteran,Other,White,Homosexual,44.00622590682436,C,-158.9730503558051,D,A,1
No,F,Asian,Homosexual,-47.43467746412702,C,104.96832855136691,B,D,1
Veteran,Female,Black,Other,-183.238636980811,B,-29.789659974939863,C,A,1
No,Female,Hispanic,Bisexual,255.48739337165097,E,-17.11085823035652,C,D,0
No,F,Asian,Heterosexual,-25.518785792203857,A,-54.27916864231881,C,D,0
Non-Veteran,Female,Other,Homosexual,40.18308005139376,E,-34.403321577175824,C,B,1
No,Female,Asian,Other,64.50433887624185,D,60.23708186059263,D,D,1
Veteran,Male,Hispanic,Homosexual,122.32582333034641,D,-12.960855943628783,C,E,0
Non-Veteran,Male,Other,Bisexual,63.32895566355221,A,124.26074550444189,C,B,0
Yes,Male,Other,Heterosexual,66.50536301313291,E,111.5950453044336,C,C,1
Non-Veteran,Female,Hispanic,Heterosexual,94.20355777953917,A,28.256182751254272,A,A,0
Veteran,Male,Other,Bisexual,-133.189806982135,D,-28.53956835205014,C,B,0
Non-Veteran,M,White,Other,86.26860568743272,A,-157.8258743368405,E,D,0
Non-Veteran,Other,Black,Other,-77.24003392462488,A,-166.8218882536096,B,D,0
Yes,Male,Other,Homosexual,-135.50244221853217,E,46.2323624563057,D,B,1
No,Female,Hispanic,Other,120.81378045229734,D,91.91820700205756,E,D,0
Yes,Female,Asian,Bisexual,62.021328387636444,D,-223.9611640173842,E,D,1
Veteran,F,Asian,Heterosexual,1.1898763048152379,C,-138.1211859463329,B,C,1
Veteran,Male,Asian,Heterosexual,82.56066890099652,A,-128.99399935469742,C,E,0
Non-Veteran,Male,African American,Homosexual,-2.7374933822782466,A,-47.06916670730158,D,D,1
Veteran,Other,Black,Other,46.01188476182523,C,-252.48530924411406,C,C,0
Yes,Female,Hispanic,Homosexual,-149.25401370406627,C,4.2339144722237325,E,D,1
No,Male,Hispanic,Homosexual,12.813173044734688,E,-104.22427121907955,B,D,1
Yes,M,African American,Other,-93.10801007152621,A,-31.658420921095853,B,A,0
Yes,M,Black,Homosexual,208.7687133066856,B,-18.934814100338485,A,A,1
Non-Veteran,F,White,Homosexual,97.69252416629232,A,-69.65714496152373,D,E,1
Non-Veteran,M,White,Heterosexual,-126.37009466237743,B,170.6350090678854,D,C,0
Non-Veteran,Female,Other,Other,91.12601117226288,B,6.168473242685281,D,D,0
Yes,F,Other,Heterosexual,-16.556588063155285,D,-87.50558453712584,C,C,0
Non-Veteran,Male,Other,Heterosexual,109.96882971159454,D,-105.96693797784089,E,A,1
No,Female,Other,Heterosexual,7.78274446708994,D,-108.19443141026375,C,A,1
No,Non-binary,White,Heterosexual,162.15893162514823,C,-78.97426938262797,B,B,0
Yes,M,African American,Homosexual,-35.96399078158268,A,-131.4077158991549,A,A,1
Veteran,F,Other,Heterosexual,174.5495541990313,A,22.286417261237297,C,E,0
Yes,Other,Hispanic,Bisexual,109.1518652376023,D,88.25516886137177,E,D,0
Veteran,Female,Other,Bisexual,141.4139504121254,E,-87.65636004780654,B,E,1
Non-Veteran,Non-binary,African American,Heterosexual,186.05740616057642,D,-95.37859371006759,E,D,0
Yes,F,White,Heterosexual,101.71727521621384,A,-107.04452549916238,D,B,1
Yes,M,White,Bisexual,73.58560838504272,C,-71.53386172778812,A,A,1
Non-Veteran,M,Hispanic,Bisexual,1.1443925403553776,A,161.91410658207522,E,C,1
Yes,Female,White,Bisexual,-13.812974443000508,A,-35.373574498458815,A,B,0
Veteran,M,African American,Other,90.30809411370008,C,-53.61667155629948,A,C,0
Yes,M,Hispanic,Other,-44.06024984888693,B,-46.21269858612461,D,D,0
Non-Veteran,F,White,Homosexual,-47.48596166843663,C,17.425302565154315,C,D,1
Non-Veteran,Other,Black,Other,21.538487522739423,D,-147.84138793510738,E,A,1
Veteran,M,Hispanic,Bisexual,-35.88308524424681,B,-159.89608245595574,B,D,1
Non-Veteran,Non-binary,Hispanic,Bisexual,-194.05563548178506,D,111.45159942188204,E,B,1
No,Male,Black,Bisexual,178.83808983384924,D,150.53514158730738,A,E,1
Non-Veteran,Non-binary,Hispanic,Other,-110.42246329870875,B,123.47082323240757,D,E,1
Non-Veteran,Non-binary,Asian,Heterosexual,-37.43769507433852,E,145.354656074288,A,C,1
Veteran,M,Other,Homosexual,-121.27125446763232,B,-46.98060568604455,B,E,1
No,Non-binary,Asian,Heterosexual,-32.28126790662946,C,-7.705503825244871,D,B,1
Non-Veteran,Female,Black,Homosexual,24.83708718964582,D,-104.66787665730908,C,B,0
Yes,F,African American,Bisexual,130.84262550667881,A,134.5783003648001,A,E,1
Non-Veteran,Other,Hispanic,Heterosexual,-126.42712055985233,B,-258.2060288177461,B,B,0
Non-Veteran,Male,White,Homosexual,6.317547666394871,A,157.5300410966892,A,E,1
Yes,M,Hispanic,Other,-25.748474989454433,A,40.53083693652956,E,A,0
Non-Veteran,Non-binary,Hispanic,Heterosexual,-154.99199373091952,A,64.52745557082356,D,C,0
No,Other,White,Homosexual,-18.17670498251839,D,-54.70131374200822,B,D,1
