AgeGroup,genero,sexuality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
65+,F,Homosexual,Veteran,B,96.59662200979254,A,-49.24712489293843,B,A,E,29.57328120906963,-81.80344472399787,C,-70.48956865574307,B,1
36-50,Female,Heterosexual,Veteran,B,-65.98219035319156,D,-110.11364501154017,B,A,A,-76.7020278815165,238.9545462035176,B,47.098561335473114,A,0
51-65,Female,Bisexual,No,D,-94.0363560186341,E,109.29715806199137,C,E,D,-106.53899029215692,-36.30725200484148,C,123.62509842012346,A,0
18-25,Non-binary,Bisexual,Yes,B,-27.003700678354388,D,-98.56906028271588,D,E,B,18.257283518090468,108.06366532171113,D,-32.84658695884664,D,0
65+,Other,Heterosexual,Veteran,C,-28.043078063248096,D,116.16838637465318,E,D,E,-43.10334299448336,-29.749625907170813,C,61.647193020432375,C,0
65+,Other,Other,Non-Veteran,E,10.454959409050154,D,145.8853101470079,E,E,A,-106.56531255252229,30.45800568760756,E,4.5007220814472095,B,0
18-25,Male,Homosexual,Veteran,E,105.26697618375313,D,-80.67930606674855,E,A,A,57.96150641444867,74.14458685150444,D,-289.398504518465,C,0
36-50,Other,Bisexual,Veteran,B,-26.90827777057059,A,68.04548968773551,E,B,D,-4.247279225380492,-135.55296141211784,E,87.22384639543633,E,1
65+,Other,Heterosexual,No,B,98.78817765693303,E,-101.35897869395669,B,E,B,172.25061004998423,82.13970606692965,C,108.73493694472927,E,1
36-50,Male,Other,Yes,B,-208.20771790221534,A,-25.003677574358928,B,B,C,182.11900738604473,40.31177204818817,D,53.5108979874152,D,1
36-50,Male,Bisexual,No,E,-95.213670867093,B,64.03424567439824,A,D,D,-85.39433197375578,25.546468306210574,E,57.91434000171388,D,1
65+,Non-binary,Heterosexual,Non-Veteran,A,17.77854025714287,C,-154.5936222307864,A,B,D,52.494526187647296,-53.44020593148052,B,2.234466549963671,D,1
51-65,Female,Other,Veteran,A,-205.3340301287496,C,10.683869985229828,E,A,D,80.25773647243403,63.326920542344055,C,48.7280346190129,E,0
51-65,M,Bisexual,Yes,A,93.4854079077858,D,7.7646544841792995,E,A,E,24.928903995978345,31.52399330594885,C,-133.48348050626385,B,0
26-35,Male,Bisexual,No,B,50.96789791653045,D,-108.66302946409503,B,A,C,-75.87182377878892,-172.97397289807932,C,179.30459931423442,E,1
51-65,Male,Homosexual,Yes,E,89.87156719929409,A,-156.77149883966803,D,A,E,-80.9079534995367,-173.4999656091584,D,-160.36694684706092,B,1
26-35,Other,Bisexual,Non-Veteran,A,140.51607611691972,D,119.29648993221187,C,C,B,83.30550599118311,184.7226951406149,E,-153.25310940402332,B,0
18-25,Female,Bisexual,Yes,C,-93.88217703858994,D,-135.71955083977969,B,C,E,32.25164381528228,141.22083800948363,C,121.98507136707212,E,1
51-65,M,Bisexual,No,B,-70.87888885091907,E,-152.3703991046271,A,B,A,166.26758234395794,-41.02791442646844,A,45.196419583098404,E,0
26-35,M,Other,Yes,D,96.89561262627606,A,15.247088251074418,E,B,B,-71.99133125252104,-31.25492190010515,B,-162.14604675769291,B,0
36-50,Non-binary,Homosexual,Yes,D,-166.36225656573149,C,-51.33629803897885,B,E,A,31.41376810075005,86.7546527842763,A,-119.8717908592834,B,1
51-65,M,Heterosexual,Veteran,E,30.944331954032034,A,-23.876311352776618,E,B,D,-22.268931229419138,135.49215571865426,A,-117.2603149876687,C,0
36-50,Male,Other,No,B,-25.710372944727254,C,64.9665387716701,B,E,A,-38.14907260248137,68.04680151525868,C,22.990173941736654,D,1
36-50,F,Other,Yes,C,-72.95090964455795,B,-126.42958280512772,D,D,B,144.6064806112475,-79.24645673532937,E,-10.842631621366982,B,0
51-65,F,Other,No,A,-61.20836918815959,B,65.89369458759164,D,A,B,-17.274656626422946,20.772577488896573,A,-68.30652060299727,D,0
65+,M,Bisexual,Veteran,B,276.59013110014416,C,131.19479666760296,E,D,E,287.23036544545704,59.90408884698877,B,60.125552730883506,B,1
51-65,Non-binary,Heterosexual,Non-Veteran,A,61.120366394828416,B,-8.067866458648233,D,B,E,215.7485346027018,138.21583386170985,B,39.41386283048745,D,1
26-35,F,Other,Yes,C,-65.5570537591566,B,95.79593192786848,C,D,B,105.14335239063408,-12.79188127299047,A,-205.9431269436268,B,1
51-65,Male,Bisexual,Yes,D,-101.17865130826047,B,47.904693109068305,C,C,C,56.53310394339367,205.38519180933622,D,-67.61902511661539,E,1
65+,Female,Bisexual,Yes,C,-45.274185322780184,A,32.54457270509615,B,B,B,-164.95773235857456,12.065786161928589,B,29.730972768845664,B,0
18-25,Non-binary,Homosexual,Veteran,E,-248.81025452009104,B,13.439958035462002,E,D,B,-20.60923568396575,128.00207559049448,A,25.66078628761248,C,0
18-25,M,Bisexual,Veteran,C,-115.3337311635097,D,-90.95359712725953,D,E,C,93.00516397906935,-44.871554793224576,B,70.5881687900504,D,0
65+,M,Other,No,B,-82.01604856709702,A,25.160521895338622,B,E,E,-20.05410313779598,171.49419427825802,C,18.68489742586058,B,1
51-65,M,Other,No,E,-46.55742760713373,A,-118.078746348844,B,C,B,120.15127265123165,-49.53156300093975,C,74.19590925500192,C,0
18-25,M,Bisexual,Yes,A,-152.3448460886264,A,-94.63299793756123,D,A,E,-156.31514147906591,70.67404158615662,D,-62.03123006227381,B,1
26-35,F,Bisexual,Non-Veteran,D,-63.63072729899761,D,97.172255460748,A,A,E,-32.89646158309112,-182.80184532801727,B,223.3688635030405,C,0
51-65,Non-binary,Homosexual,Veteran,D,76.16400526715377,C,56.77462987808869,A,C,D,182.00275575922564,9.95746433709311,E,177.49800330781434,E,0
65+,F,Homosexual,Veteran,B,37.48087762162703,E,-22.959101886945394,E,E,E,-118.08729340110126,139.83498710314456,D,-56.59847818381243,B,1
18-25,F,Homosexual,No,D,265.7654818441376,C,-26.106069634800143,A,E,C,72.77964864441199,-112.56441420049468,A,76.06503342551498,E,0
51-65,Non-binary,Heterosexual,No,D,-177.44558811455119,E,132.46239733632535,A,B,B,-23.470037550633105,73.84732207390955,A,-31.78434618364112,A,1
26-35,Non-binary,Homosexual,Veteran,D,105.60514240548035,E,24.574134313510132,A,E,C,37.10650566533538,82.20364211870341,D,-11.566163904248134,B,0
36-50,Other,Homosexual,Yes,D,-132.0301833452243,D,187.7761046330516,A,D,D,65.72292790291093,-1.3544462762088787,D,-38.18611009377484,C,0
36-50,Male,Other,Non-Veteran,C,38.4786537464328,D,53.39212188442458,C,A,A,-48.84386583073944,32.36457516754476,C,-157.65277709969888,B,1
26-35,M,Heterosexual,Yes,E,11.303212436871265,E,135.08662048773868,C,D,B,132.73162203626518,16.711937741793818,E,41.48133673729115,B,0
18-25,Non-binary,Bisexual,Yes,B,-4.960115613442466,B,-18.858140365787655,E,B,E,-74.38053392198111,-65.32771903743854,B,130.36370221692727,A,0
65+,F,Heterosexual,Yes,A,26.466816697183944,C,38.196862385742484,D,C,B,143.8685076233381,-125.60058320653151,D,44.665559313624534,E,0
18-25,Female,Homosexual,Non-Veteran,A,-24.533050724410185,C,111.14971478688132,A,E,A,77.33997543389108,-47.36872764644134,E,-61.38542976380551,C,0
26-35,F,Heterosexual,Veteran,E,59.22989096918121,A,188.51461195669148,E,A,B,65.2439921450748,13.109065558398278,B,-164.73023330082293,B,0
