country,disability,veteran,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Mental,No,Hispanic,D,A,58.60019449267867,E,-161.767481047382,2.829507448973944,-132.35568973393015,-75.74564499445313,E,E,-20.579320526408317,B,89.15972157983362,D,C,E,B,1
Brazil,Mental,Non-Veteran,Hispanic,E,A,-58.89753311640399,D,79.89926245054181,-29.156227644970162,23.675608761853656,-48.68117676289845,E,B,-88.3206476746031,C,-78.65422816245463,A,B,E,A,0
Germany,Both,No,African American,E,C,-115.64219308421232,C,22.982372195648466,-132.3741390839265,2.4558286669777862,137.23103417105773,A,E,-78.91518351054123,E,-4.205070827725558,B,D,A,C,0
Germany,None,Yes,Asian,E,C,52.54979680611378,E,-1.2514653186413338,72.57409055796514,-139.05627801007796,150.67824157240972,E,D,130.1131754131342,B,-95.8713578825119,E,E,C,C,0
US,Both,No,Other,A,E,63.40271748236334,A,118.40792808023104,101.21695323083483,-58.001343288117404,109.20223334970605,C,D,13.5758009542544,A,127.93763599392452,C,A,C,D,0
China,No,Yes,Hispanic,E,D,28.79418100410272,A,13.642950503084789,-54.37903569875387,-196.90543407834193,184.22065393248604,A,D,55.18252498657772,E,-111.86103649045083,B,E,B,B,1
China,Mental,Yes,Other,D,D,74.41124037221027,C,0.9893817465776276,-154.27320085403613,9.181997723708806,-158.8880948820457,E,C,-15.092307702814677,B,-80.36264135314376,E,A,D,E,1
UK,Physical,Non-Veteran,Asian,C,E,-23.85640866001567,E,10.47187698440803,-164.85269731917737,-12.843539701633983,-124.29166707151784,B,B,75.44534979113489,E,91.26662994828303,D,D,B,C,1
China,No,Non-Veteran,Black,B,A,-98.68406111341886,E,196.6220696643975,-61.10218981511568,52.551784003527146,-42.17485384345849,A,D,9.029335026742112,E,20.565377389747255,D,C,A,C,1
Mexico,Yes,Non-Veteran,Other,E,D,47.264872603424536,E,-144.86381174759063,184.58667932088025,84.766035766055,-26.08613733126103,C,C,-47.55119290262717,B,67.14035806505142,A,B,C,D,1
India,None,Yes,Hispanic,E,A,12.142397888731088,C,26.161470379201603,-93.5786888835861,-53.092789829244715,-31.805878711460444,E,C,30.177109175081885,E,44.187392585357856,A,E,A,C,0
UK,Both,Non-Veteran,Asian,B,B,66.7556880487019,B,-52.55774301556554,28.544362141550312,24.201418377422286,66.66521337091753,D,C,-43.88418808086609,B,-59.2612388641791,D,B,A,B,1
US,Physical,Veteran,Black,D,E,193.24394390131138,E,-31.694433263328232,64.53865021619166,-29.581729469523722,80.28139514690349,C,A,60.86052803401829,E,-52.65651733252441,B,C,C,C,0
Mexico,No,Veteran,White,A,B,-76.6521102733152,C,51.33194918932536,-51.220755592761726,165.71494656250826,-10.312119827603587,C,B,68.67565520212976,B,-97.21833112122754,C,D,B,B,0
Brazil,Physical,Veteran,Black,D,B,73.61158810422246,A,139.92313746979048,58.17572352750563,-135.10518009936357,35.526507798103005,B,A,-34.88928254645289,B,-10.22670528054527,A,D,B,B,0
India,None,Yes,White,D,D,-18.905128703124063,B,-17.644118316462563,74.06678335839399,86.77777750373062,44.202484334888126,C,E,73.5263412257455,B,54.22877638067578,D,D,C,C,0
Other,Both,Veteran,Asian,A,E,-206.6749268394697,B,-54.270993732401685,-52.67509780863767,-23.67448961204409,-27.03006544118198,C,E,98.55890196216595,C,38.27593946114869,D,D,C,A,1
Other,None,Veteran,African American,C,C,-150.0808654302475,A,79.91399658022718,-27.599468016648476,108.95888806486091,-64.51803713368449,A,E,-8.99929077983566,D,73.46531929923867,A,E,C,D,1
India,No,Non-Veteran,Other,D,C,-35.28133296490583,C,-52.192286758833504,39.869791791191005,-142.50726034365962,-119.92923026963899,C,C,-10.29942893673543,A,-41.74608156175596,A,B,A,E,1
Mexico,Physical,Yes,Other,C,D,-149.68895934779835,C,-22.10242107993986,-75.16167759226046,210.9818954732777,-15.782741453628047,D,D,-138.68089403668142,B,-103.1610271425012,E,D,E,A,0
UK,Yes,Non-Veteran,Black,B,D,25.468662410631516,D,37.93693203594017,-154.23668335557852,-44.970898351232464,-41.608455003235576,C,D,88.95634805294648,D,-62.28693851289041,D,B,B,C,0
Mexico,Yes,Veteran,Asian,D,D,-93.33500667250163,B,-68.88774346930215,13.229332017633965,-125.19058993441699,210.19533514338926,D,E,56.18812163859332,D,23.851738210354995,E,A,B,B,1
Germany,Mental,Yes,Hispanic,B,E,-71.85953843049919,D,-3.0352422767716547,-114.22587626946792,1.442930382990475,65.3569606125869,B,B,-23.371215220109992,E,45.520494888496074,E,D,E,B,0
UK,None,Non-Veteran,Asian,A,B,-178.32087841841286,B,73.71876639174134,-9.205129156249798,-29.01690683827587,-13.190427836256479,E,B,24.171133275859226,A,-98.37464448072278,A,E,D,C,1
US,No,Veteran,Hispanic,D,D,-13.100413600584087,A,-19.037003432416256,36.32291461099196,-17.871720267637304,-47.77925220640143,E,A,52.05149099157034,A,-156.94127107777672,E,D,A,B,1
Germany,Yes,Yes,Other,B,A,-90.23020498717193,E,-175.20063724778302,88.34551699988403,37.63909204787558,-18.420740629944483,C,B,6.347647004229627,E,-0.5443024016243158,C,E,E,A,1
Brazil,No,No,White,E,B,-94.30062425122729,E,85.78948732783994,-78.00408255825305,118.4624900670818,-16.363252234495608,C,C,33.011276957302314,B,99.66196184205818,A,C,D,D,1
Other,No,No,Other,B,D,19.67247223909616,E,136.40791548892835,65.75482787900113,35.44280693177023,189.52890091590857,D,C,-213.55957233614254,D,-80.07947599128173,A,D,C,D,0
Other,Both,Non-Veteran,African American,E,E,127.22217593725011,C,119.81436448090561,-113.16949005002976,61.61752588258946,-31.547122881744695,D,C,19.83471291259007,B,197.37090536819758,A,E,E,D,1
Brazil,None,Non-Veteran,African American,B,D,-216.94611783057417,D,-208.34635051223322,21.331315226718807,-66.43997528608058,-159.13004080018285,A,D,-198.810695260944,D,-56.70035939725431,C,B,C,A,1
Mexico,None,Veteran,Hispanic,C,B,56.30705262806713,D,-33.07475648060695,-57.40471931264355,85.11575598092978,34.54217315103123,E,C,122.7369952905671,A,-185.32098453364506,D,D,B,E,0
US,Physical,No,Black,A,A,-153.39593891104897,A,28.030116977444692,22.895226790454913,72.44729033207892,158.89099951131783,C,D,-204.21576588167994,B,88.7596288758917,D,C,C,E,0
UK,Both,Yes,Asian,D,D,-144.35361517913876,D,-59.27892586660146,132.94032412237937,-78.55027948102519,-3.0914982818381946,E,B,111.56662879135575,D,-142.89256768442482,D,D,B,D,0
UK,Both,Non-Veteran,Black,E,B,18.84707785960302,E,-67.39118249413305,55.51724323466137,-14.455264111521107,138.84189773492105,B,B,56.820859061699046,B,142.80455442915513,B,E,B,D,1
Mexico,None,Yes,White,E,A,-33.58730792980571,A,-122.57133144245442,187.9400261167406,55.31280546026187,-173.47284553521294,B,B,-35.56283418069343,C,5.9293669145885595,A,B,E,D,1
India,None,No,Other,D,E,127.50805129854315,B,-104.22865234634659,1.900213670312513,81.1145522282667,175.4436717597126,A,E,21.15119633001149,B,-125.65209022131685,C,B,D,D,1
China,Mental,Yes,Hispanic,C,B,53.19684389775604,C,-92.33395930119913,-49.955719556180036,-215.12631246259147,-35.72226145395032,D,C,41.98687951074008,E,-105.05886827036433,C,C,B,A,1
US,No,Yes,Hispanic,A,A,141.76477307487446,E,7.496065345269767,26.111419170200794,54.18113210466697,4.560642136448769,B,B,-48.25906153145331,A,-8.391394837036547,B,D,A,A,0
Germany,No,Non-Veteran,African American,A,B,-41.28272991818722,A,45.3378225939457,23.010368942836102,12.561996419753449,117.82459680114157,B,E,67.76790103336883,E,-26.313388111933055,C,E,D,B,0
UK,No,Veteran,Hispanic,C,E,-47.33030188340322,E,7.569089708676521,120.59524320164545,120.80679774335603,122.69706865335938,C,E,-69.90142222954272,D,-222.92001535125632,E,B,A,A,1
Brazil,Yes,Yes,Other,B,A,-33.633358850524786,C,-57.94734080123255,58.62103460214678,139.8755230351702,-103.6359587950863,D,C,-56.656034222437924,E,-22.232734982247322,C,B,A,E,0
Brazil,Both,Yes,Black,D,A,126.08878372040024,C,69.8300697442022,-54.657116955706186,60.578580176674265,-50.778115309798636,D,B,-72.01550740442643,A,-17.72121542630191,D,B,C,C,0
US,None,Veteran,White,A,D,-42.177190167801065,A,-79.76779435717599,190.43640149398928,-85.76850324494454,76.51550728550491,A,E,-83.47797470403904,C,-63.180627804484324,B,C,B,A,1
US,Both,Veteran,Black,B,A,253.82474415774647,C,-156.78596660664502,15.558291781148615,157.9503030136928,11.777256995399442,D,A,53.22521382149837,D,208.5733816582346,A,D,D,C,1
Other,Mental,Non-Veteran,White,B,E,118.68188585394084,C,53.6589500996807,155.95574194578478,90.79399745027732,123.56966824576638,E,B,20.1647531819647,A,47.48109196142693,C,A,C,A,1
Germany,Physical,Non-Veteran,Black,E,E,11.803761172679126,A,-107.73439579920236,17.121111678687566,-99.69884225672175,76.69871097243417,C,C,27.31929063393239,A,-71.26924055732957,E,C,A,E,0
UK,Physical,Non-Veteran,Black,C,A,55.372708220265196,C,63.47111689820958,44.594876017742976,185.06170858236788,-66.6474801801793,D,D,80.94761741723559,E,119.54652241584915,B,D,C,D,0
India,Physical,Non-Veteran,Asian,A,C,-85.47235110464395,D,15.147827324142355,156.5567982260569,-184.53036864389108,123.93424809086409,B,B,-38.882692745899874,D,253.73239678951234,D,D,C,D,0
India,Mental,No,Other,B,B,-56.251888739409836,A,-39.588737508645764,-0.873440869959995,119.58516186824465,249.56750273916302,C,B,-152.94175222807138,C,-73.35325566572607,C,D,E,A,0
Mexico,Yes,Veteran,White,D,C,49.971237705220986,A,-100.32265549555824,-67.46280004910528,8.017308967783098,-62.488819449849764,D,A,49.47666044873733,A,51.02503131338051,E,B,E,C,0
Other,No,No,Other,E,D,149.48503542762975,B,73.9627610936259,-79.34783870630932,-125.65375033990482,-68.73550881106203,E,D,-1.5923723384581885,E,11.258989149197157,C,C,A,E,1
Mexico,None,Yes,Other,E,E,135.70619854741398,A,-43.697615750130566,187.47610803549875,-93.44783265257455,-155.66924260909298,E,B,142.3402497790392,D,130.87240157931996,A,A,C,B,0
US,None,Veteran,Hispanic,B,D,-86.55943153239974,C,-18.615569960630395,167.53345413600732,62.96522814192949,-245.87580346064084,C,A,-117.22895488449667,A,118.07002263674345,A,C,C,C,1
US,Yes,Veteran,White,C,D,-92.1507327884503,E,-67.72553610891622,-53.88886319457535,9.130752584365109,-14.145189099916847,D,C,-19.07102817445437,A,102.11208923071165,C,D,A,D,0
India,None,Non-Veteran,White,A,C,16.20871911654672,A,43.1982810012528,9.93069586796554,-204.10916369412396,31.217737694299696,C,E,-65.41277688765878,A,74.42365401853432,C,B,E,C,0
Germany,None,Non-Veteran,Other,A,E,-63.09255135879337,E,12.023346756695815,71.14358186728043,-107.96965014880094,-182.7998416839603,C,A,-58.50569266480977,D,-105.05390576325023,B,E,E,B,0
UK,Both,Yes,Asian,B,C,-228.99228927348156,B,41.49498312793595,60.70204419791734,-66.26472136332995,123.98299859074481,E,A,-111.42219078767168,C,12.924072527774552,E,B,C,D,1
UK,No,Veteran,Other,E,C,-133.8615406759977,E,55.04634561801674,-154.41721224542218,107.77637820137622,-57.19995142611223,A,B,-94.24832908326732,B,173.20659028570782,D,E,D,E,1
China,Mental,Non-Veteran,Hispanic,B,D,-58.782336440861386,E,81.33005573465694,271.8699896643906,4.670708886930014,107.65565374343839,D,B,61.610070468558305,C,-124.05347960762876,B,E,C,E,1
Brazil,Both,Veteran,White,A,A,5.39945571448104,C,-93.10371076585987,114.50988207846211,-189.803443621215,-46.965942352237995,C,B,-137.68147776044927,D,134.19415607201225,A,C,C,C,1
Brazil,No,Non-Veteran,White,B,A,15.173429795528538,A,-6.5702927941562335,-15.84697917240887,-65.12526577227132,84.78224577549412,A,E,-75.38825058642385,A,-14.359811936317357,B,B,A,B,0
India,No,Veteran,Other,D,B,-85.6680073900913,C,79.48823160670702,80.8696142774784,148.69080180379416,18.076967441708074,D,D,-16.399283688484722,B,-199.25662857913375,A,C,B,D,0
Brazil,Physical,No,Hispanic,B,E,13.559599836150127,D,132.6745752194627,123.63869953477753,10.975739019296018,104.36338019899438,A,B,86.10558361490554,B,-62.595064805139614,D,B,A,E,1
China,Both,Veteran,Hispanic,C,D,109.44251447395195,D,-61.53969281635162,79.03238098903228,-1.5294161771508112,112.63308472010355,D,E,134.6647666478676,B,-40.271165580142885,D,A,C,A,0
China,Yes,Veteran,African American,B,A,28.594565365153684,D,-84.46142990703679,-16.331686081893288,-43.96067255257922,-45.34729433522789,C,C,-81.52771822494226,A,142.67429473871616,D,A,C,A,0
Brazil,Physical,Veteran,Hispanic,E,B,134.5604564408761,A,-83.58225831846947,70.41559332845347,128.96189691009715,83.12788474619535,E,E,8.996448286822375,A,127.60505551586765,A,A,C,E,0
US,Mental,Veteran,White,B,D,32.34700772105455,A,-4.199753331730872,57.74815466066637,-129.61789672467702,50.64691138239472,B,A,73.57201054799397,B,-43.2551669193378,B,A,E,B,0
India,Both,No,Other,D,C,-24.081685431064958,C,-94.21951012113928,8.363317590597024,34.240442004047964,75.09752273633481,E,C,-74.38918974338709,E,131.95388795297796,C,A,C,D,0
China,Yes,Yes,African American,E,E,-81.5975364818058,C,56.94061701747215,71.85711583794853,141.57128206498479,-70.6263722267047,D,C,152.3440292929268,B,71.14719944073781,C,C,B,B,1
India,Both,Non-Veteran,Black,D,C,166.78844072638856,B,70.87023181484203,-27.29463367545636,13.48411525698775,-43.82440187634563,D,D,-63.63143358615388,D,-163.61689912891015,A,C,D,D,0
Other,None,Non-Veteran,Black,A,D,14.506471109071967,E,-131.035918695609,57.77862646300472,90.4847214888065,-3.9828663792349484,E,D,91.47417850510006,B,-63.16764249407548,B,B,D,D,1
Mexico,None,Yes,Hispanic,A,A,25.777724516106943,B,-121.1962048076322,-90.2792225883146,-77.23911450257701,85.69955995263079,C,C,23.044628602454047,A,-163.70757281835674,B,E,A,E,1
India,Both,Veteran,Other,B,A,-23.500915923473446,C,-130.89071530076325,-24.386539730053165,-19.982181910323302,-99.39657331073747,E,C,-46.17694673117182,B,-78.6174712548927,C,C,E,B,0
India,Both,Non-Veteran,Asian,E,A,131.38093637921818,C,-112.39601682479528,-42.19908695941606,166.6247968992204,18.710429121997713,E,C,-62.753459817388915,D,224.4464826736327,A,D,D,D,1
Brazil,None,Non-Veteran,Black,C,D,-72.10853790773959,C,-58.23170705575181,31.923658363861286,-57.34021260551305,-16.791103239582498,B,B,212.26973465088278,B,-79.03690010987714,B,C,C,A,1
Brazil,No,Yes,Black,E,B,-164.6834273045065,C,-35.96069966485371,-110.87715512046923,-98.90722632059547,5.620529247883598,A,D,43.83944114894767,C,-10.419132350809186,B,D,E,B,1
Mexico,Yes,No,Hispanic,D,D,119.14463427180098,B,-60.511538031942116,-52.02890962665903,104.81539463790033,-65.11773703062912,E,D,124.28955942932618,C,-110.30634456854469,C,C,C,A,0
India,No,No,Asian,B,C,70.76433005335386,B,70.58986829843434,0.1623795954883228,-106.38486132078526,-155.58399804956375,A,C,0.6326094007919225,E,63.08257455819164,E,E,C,C,0
Brazil,Physical,Non-Veteran,Asian,E,A,-163.97853874595802,B,-143.45479204961597,121.5908039649465,-33.61467282400507,59.16323200851945,D,D,-102.53121428667329,C,116.79343956874027,A,A,D,C,0
UK,Yes,Non-Veteran,Other,C,D,61.19145656304467,E,157.40900702545858,-70.61900479839794,-30.47675851810854,82.79396503772715,E,A,7.831902943238969,B,33.64091001951981,A,A,B,A,0
India,None,Yes,Black,A,C,-4.751389606817817,C,55.16722233555777,-23.23917562706383,-56.02265809288058,24.84387677384506,C,B,-48.14128957042816,A,26.062498831124014,A,B,C,C,1
US,Both,Veteran,Black,E,A,-111.31895450180014,C,-131.51453602154191,75.88168643672816,121.1796691221657,84.13068606517325,B,E,53.468390673795085,E,20.200359278791204,E,C,E,D,1
UK,Mental,Non-Veteran,White,B,B,-146.08367350905712,A,-113.59683871122337,-3.1819450236983036,-49.01900370331225,197.44346249774404,B,E,-100.89190333992258,E,30.472546904311958,D,A,E,C,0
Germany,Yes,Yes,Black,E,D,17.857773358691478,B,-11.075953104797913,15.748757213010059,-59.51942639640709,43.378946087293876,C,A,-129.76040194215184,A,83.72671991949007,B,E,B,E,0
