Veteran,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Veteran,Heterosexual,B,A,-54.22917098357794,A,D,E,-50.11579135862747,C,-155.48160302144825,110.35401841890757,E,-27.374634278876968,0
Veteran,Heterosexual,A,C,130.75402428463428,A,D,B,-126.96848234369769,E,212.22513806088097,118.7147482150625,A,-84.30016310220104,1
Non-Veteran,Other,A,D,108.78095251167545,D,E,E,-96.31729137382494,B,90.25219389675547,-109.16798028652653,A,45.69375359212546,1
Yes,Bisexual,B,E,-1.2835278873816736,E,C,D,-0.17281223572958943,E,-72.61787349043774,-154.77628052330033,D,-53.94247954963261,0
No,Homosexual,D,B,-137.40058166026296,E,A,A,-125.22694642527111,C,33.595346492668824,-53.53531339356038,B,176.74276324472567,1
No,Other,E,B,207.5355115320521,D,C,A,-268.8424141752604,E,3.884841187304965,-91.17159929622694,B,-93.28597909070058,1
No,Heterosexual,B,D,13.08634219619515,B,D,C,128.78783719760952,C,45.60899059658855,44.201978519927856,D,168.96978835370922,0
Non-Veteran,Other,C,E,-4.795421631963646,C,C,D,-30.72358382189459,E,90.33384080534107,7.943279681314943,B,77.82731988758307,1
Veteran,Other,A,B,245.72170770674845,D,D,E,111.11242154403627,E,73.86188192265001,247.75991676168996,E,47.242687494896785,0
No,Other,C,B,27.46491731658699,D,B,C,59.73099337403639,C,-4.83878480663813,83.70151261183814,A,-24.889027503014695,1
Non-Veteran,Bisexual,E,E,103.48013333337562,C,D,C,-1.0050844341506988,B,-10.597378001390569,-53.286266972154586,C,10.501349746249444,0
Veteran,Bisexual,C,A,133.15346254318044,B,D,D,-182.09942061308715,C,179.96598706351588,-1.2730107172547314,D,-47.23397224828631,0
Non-Veteran,Other,C,C,-12.31602913045898,E,A,C,58.96748246142276,C,54.29516940568598,152.244172863495,E,109.61840906916555,0
Non-Veteran,Bisexual,D,D,-57.1498397439217,E,E,D,10.622051739812365,B,-29.884252997395755,-6.436504076424307,D,-51.30286149626785,0
No,Other,A,B,-19.133128160208145,D,A,C,-54.47695451376548,E,246.99294629547447,272.4768596176251,D,144.2521467463093,1
No,Other,E,C,-76.12764125316508,B,C,B,-178.80877709148373,D,-204.55422347957307,-70.94848707806256,E,-150.48579369267281,0
No,Heterosexual,A,D,45.13335710739309,A,B,C,88.54772279573002,B,89.33739461010752,-99.44429827833476,C,-43.475213810462435,0
Non-Veteran,Homosexual,D,B,48.592660899962446,E,A,D,-123.73095094093465,E,-145.58370446604232,91.07795908681447,E,-55.94764628244262,0
Veteran,Other,E,C,-6.661535891017975,D,D,C,112.69610104675876,D,148.33795604851508,79.176249216801,C,-131.6913073644994,1
No,Homosexual,E,C,22.988651562399447,E,A,D,12.32311197467688,E,-114.50763604364727,-9.877241675210712,D,108.32076726213211,0
Yes,Heterosexual,E,A,-35.344849867117645,C,A,D,40.47303436696386,A,75.04294749329031,-41.24704642307721,A,-113.35094338417673,0
Veteran,Bisexual,D,C,-95.5145436244904,B,E,D,-178.58853457919056,D,24.48043986442521,111.6704009470598,B,6.763698510495924,0
Non-Veteran,Other,D,C,53.75316759007494,C,D,D,39.01822251676726,D,206.78440121847137,-36.04174648220657,C,-64.60694331842453,1
No,Other,B,E,65.01247100508147,A,D,A,108.0237141153805,C,11.508910301562834,-5.352271958676566,C,9.524461824738433,0
Non-Veteran,Other,B,E,-75.5999489990192,E,D,D,162.68020152052938,C,-124.7967698554725,290.88133214312967,E,26.014026700174036,0
No,Heterosexual,B,B,60.52285335971904,B,A,E,-10.109474757556292,C,-116.39266203906959,108.9629385032955,B,87.21290784037629,1
No,Heterosexual,E,E,33.61814389132438,A,E,D,108.90064269424444,C,-3.7843457652744292,164.65073958644035,E,-30.00094388933463,1
Yes,Bisexual,E,E,153.91036775819688,D,A,C,77.7933112577206,B,17.561621637258597,96.17248883195111,B,53.26032094903578,0
Veteran,Homosexual,C,B,-268.4285596857286,E,A,E,-5.955892776120046,D,-55.820277900775686,-249.37811320839654,C,-40.69890944130595,1
Non-Veteran,Bisexual,D,E,-1.3712441242598805,C,D,B,-156.27970341178786,E,-37.085604356208066,123.96058069600913,D,18.088091492081602,1
Yes,Homosexual,D,E,300.48016354549213,A,D,D,72.04493452539488,D,-5.235393879299675,154.8151358845251,A,97.57511301341326,1
Veteran,Homosexual,C,C,-129.6484011614428,B,D,E,-62.40960307349851,C,-109.38316415149991,-45.91233083021567,C,36.639310369330786,0
Veteran,Other,C,C,-23.800067268995914,C,A,D,56.531286801151516,C,-113.43262165155446,-20.40813982063905,B,53.30505176028666,0
Veteran,Bisexual,A,C,24.332847191096942,D,B,C,-44.56769787398522,D,-71.35695323024737,-199.61224741579474,A,31.929777121866604,1
Yes,Bisexual,D,A,-55.02270163446929,C,E,B,-58.24740217571963,C,220.11384294719375,-10.130259117234813,A,31.6596068279421,1
Yes,Other,C,B,41.224375189620574,A,D,E,37.06332393633108,A,-68.86422339860216,-2.7978319838710513,B,-82.38926365467893,0
No,Heterosexual,B,E,38.40805784579925,D,C,C,-101.60430217946244,A,97.74595648329787,-29.319019539738893,A,-212.37596379912299,1
Yes,Heterosexual,D,B,122.65037054958441,D,E,D,-43.154829754589116,E,-27.84916131582657,28.55810266154461,D,131.1589831826101,1
Veteran,Other,C,B,-85.36455888343737,B,B,C,-39.23284253408726,D,-150.2911259230369,88.28321646916979,E,-41.957969071291586,1
Non-Veteran,Bisexual,D,A,-96.29431853313375,C,C,C,-9.557883633387648,C,-117.69752164007743,1.8534556677666802,E,14.948511458416865,1
Non-Veteran,Heterosexual,B,E,-80.68971877221058,A,D,D,34.308427022500545,B,-9.374910528467915,-68.13676932685652,A,-4.494951700598966,1
No,Other,B,E,-50.72039773303797,C,A,B,1.0674577610566938,D,112.24201938713705,-88.76235567697037,A,93.56647391549284,0
No,Homosexual,E,C,-121.96587498466624,E,E,E,83.69373214390133,E,14.806670308995493,-46.24095792715661,E,-151.1677455966417,1
Veteran,Bisexual,E,B,129.50936903403328,A,D,B,75.02015631294027,B,37.819167128367845,-18.069055556263798,B,-143.84046011492276,1
Yes,Bisexual,B,B,-11.53015411002766,E,D,E,21.56139868169904,B,-149.0447380185221,49.985938150798084,E,3.2873550843883375,0
No,Heterosexual,C,D,-128.30190273791754,B,D,B,-12.318538241272433,B,116.80613892395661,-132.34021319561307,B,-22.52777414426857,0
Yes,Other,D,E,117.15744522048676,C,E,E,-6.694322427231623,B,16.747560446885636,47.03825553810239,D,126.81646284065631,1
Yes,Bisexual,D,A,-36.00214513910575,E,C,C,-103.51873357266557,D,32.16443098741078,165.52155945413165,B,106.24254886836898,1
Yes,Homosexual,D,E,-64.36367797496003,C,B,C,-2.914178951351115,B,56.66082686476809,-149.8672227056134,B,14.791203176607418,0
Yes,Heterosexual,E,B,-116.79349396202561,E,B,E,-146.17436841428656,C,-52.25096649663401,-153.63869559263694,B,-145.49674872022223,0
Veteran,Bisexual,A,E,145.94687120118599,D,D,E,121.58594304079028,A,156.0043402099612,-25.050105216444653,A,-185.32724129815043,1
Veteran,Other,E,D,-130.2818555030276,E,D,C,-151.20193137156062,B,-1.9370732738784548,-31.2104231497565,E,-2.1211066705098225,0
Veteran,Other,C,C,-144.99469059329647,B,E,E,91.86675560778271,B,-0.7653216382678082,-128.66437425218,E,-1.2878133580451454,1
Yes,Homosexual,E,D,100.59424548271127,A,D,C,-131.17309199318902,B,-28.547091085100952,61.9412734232477,D,-9.107077467095596,1
Yes,Other,C,B,-21.522255367013695,B,C,C,130.06702962781173,E,-28.636373008416623,-112.05945098176366,C,-169.6670738533291,1
Yes,Heterosexual,A,D,55.08979231218044,B,E,E,180.38698499365637,E,-59.44565812364006,114.19454279049455,A,167.5955154972437,1
Yes,Homosexual,D,A,-174.58546204077717,A,C,A,-140.32200399967232,B,59.54516223128971,-167.51651841840064,B,116.22998854025101,0
