religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
None,E,B,65.69696623511926,52.53828205830817,18.753213451529465,-150.42249616841164,-133.79064752092177,117.86064136524588,E,B,28.280962753670064,0
Hindu,E,E,-118.66605368186912,33.23797508988287,177.47561584854418,102.45335979637625,-14.053739225985051,-31.764559343931243,D,B,-42.07251564172093,0
Christian,D,D,70.69875953579232,41.12234435922479,81.41102043225702,-63.58774078294245,113.60572172627566,4.519614718476764,C,D,10.975029772019425,0
Other,C,A,-17.305245635992843,-80.77447325380251,-34.017653781853326,-121.29608882793646,136.97777187919303,-36.85050812231297,C,B,-40.133236345535465,1
Christian,B,E,-163.82406996189496,79.4496934541484,55.75985739253767,15.386144742569893,97.26629748163171,-92.69983726026608,C,B,-10.59736092864984,1
None,C,C,77.84559449977218,-16.816534323564884,-67.25349373981095,-27.331489704031636,22.58380527142698,-170.93965948756536,E,E,-24.256689791509125,0
Buddhist,E,A,-34.21786817247692,-28.934043833816325,119.97684676878366,155.9396115063015,50.7058291640909,13.627269110355947,B,A,83.62475094007664,1
Hindu,C,E,-173.73097815225427,-226.96483815458026,351.40424952579724,126.25037548269466,-127.36825439397192,127.77264006623483,B,E,-18.800429244701473,1
Christian,C,A,74.47505318501423,-52.364820513232914,54.33305408971157,-15.799947948734996,-32.586887898054854,5.278807478894438,B,E,43.658646625250256,1
Christian,C,C,27.675900073652297,5.218663539903283,-28.500888638317683,17.68702636907974,-101.49372295636678,-166.32690132088484,A,B,-299.75430385783415,1
Hindu,A,E,93.18437604160334,71.56664709650614,-181.303210021328,-89.99353064686687,-96.11963187552143,-109.1478360613179,B,C,26.959221959203223,0
Buddhist,C,E,-135.33371714535468,-143.210047779491,23.000606044387247,-189.4837232348404,-47.81523408803699,113.68424819138257,A,D,-48.651874068787876,1
Buddhist,D,B,128.53203473411708,108.3278438130308,-33.034273742343565,84.78354660026952,-148.46130971466744,68.74526971619385,E,E,-27.394315400426155,0
Muslim,A,B,-163.68859582825198,150.43188623782316,154.6734273832266,27.707267862242585,-30.034736464867184,133.98097284835904,D,A,-191.9979319336272,1
Jewish,B,B,129.6806645323495,1.2031646779176075,-9.968513873594109,95.74079432184826,-11.857419023355673,181.59439111723756,D,C,111.75554327838013,0
Buddhist,C,C,-71.6802897720748,50.7636630887578,-38.21410692805689,90.6635553213571,-156.699715607392,-141.78540912077366,C,E,-134.40555976469238,1
Other,C,E,-109.47002714832294,-86.26377888934346,-50.404325245188794,-60.34369551054999,81.67736085395066,-216.1940298831829,C,A,-19.9609993249373,1
Muslim,D,B,8.425410739701917,-32.66732332055391,50.283889508042776,-185.56010511006923,97.91886206778733,65.38599962954119,D,A,11.34450260760635,1
Other,D,A,-87.60042272344064,-13.616026842360988,-122.74880647884146,152.73272215133377,27.71608429111911,-35.93502986335585,B,B,101.13222625194483,1
Jewish,A,A,-151.27084983863568,-52.43191421063609,267.72083191534097,-93.67721850370592,-63.13687561676411,139.91627467298076,D,E,-79.8439891698462,0
Hindu,E,B,-4.721454376802694,-39.294398567346875,66.94518304302024,-34.01579918976388,-47.545215948458534,19.67846591552561,A,D,97.09811106159762,1
Jewish,C,C,166.064007827696,103.23125102837373,-30.80160974940608,-6.392711537731278,29.468904077919174,54.59149067515102,D,B,-1.314840666635068,0
Jewish,C,E,67.71305932022682,14.01637185487501,20.3521036085224,94.96907644998646,-102.37832862082111,2.1497203150196476,C,E,98.42002196497401,1
Other,E,A,26.74375013377418,82.9795494782862,-148.4058999592064,74.7102818235709,-2.0349611182960574,-100.60037453745736,C,A,25.874759024536566,0
Other,D,A,-131.78651251128397,193.51805650135364,115.75103643035531,-99.62548824092514,-23.256745839020656,-29.720337607244986,D,D,-94.65563360852751,1
Other,A,D,-50.412265793529876,-92.52662999564185,-237.5362295448915,88.52495775395214,113.4621892112128,-45.13855590657607,C,E,-1.9252948917298613,1
Muslim,B,B,-34.8761127662341,-132.0086418812215,187.2286048363051,-24.516258286681687,-72.4921050477504,-126.91991467425268,A,C,-31.30656472888515,0
Buddhist,B,A,-67.93981852095995,108.7649637907918,-80.19638929065952,17.551529553712584,108.13019784930648,21.6108589593672,B,D,79.62771279771313,1
Other,E,E,77.57339256471545,155.10816209425343,-17.616289925942947,-121.47376642303871,-17.34593547533356,280.31969779203445,C,E,17.813995506773306,0
Buddhist,C,A,-122.3089061756171,162.28708567618727,-159.7660060851085,16.30978238748515,-34.50478980627704,-44.03328217358808,C,E,95.87291686128417,0
Hindu,A,A,-93.0275034050515,-127.35420238271553,-55.1245552187694,42.51008277586528,58.11314148343928,-116.36420433132118,B,C,159.67955799588566,0
Hindu,C,A,254.37199528638791,-76.57585348204502,76.40041190196385,-57.740273545549655,-112.1389230436476,129.12817115699303,A,D,-48.40367753153021,0
Buddhist,D,D,34.943481990492124,38.2880939030624,-31.378964561610417,12.549091963770842,27.968411861575817,-83.97208897947714,A,B,47.47728606380351,0
