civil_status,race,nationality,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Widowed,Hispanic,India,None,-153.18962113177267,C,139.8687173018706,D,D,A,B,A,118.4329056065616,D,A,38.02312850434936,-32.116446506896125,E,D,-19.850805294476256,1
Married,African American,UK,Physical,99.59391191121884,C,-33.16509048034246,B,E,A,D,D,-26.131183576748324,C,E,107.2828614395981,71.65928599911177,D,D,-16.098292825232594,0
Divorced,Asian,US,Both,-122.3831618224325,C,82.85369299674716,E,B,A,A,C,215.21838904049048,A,B,55.01281926381708,30.092494750875076,B,A,174.3277383986617,0
Divorced,Other,UK,Mental,99.71680528644676,E,-129.3351142129383,D,A,A,A,C,43.28166086349945,D,C,19.92222171063931,122.7499626445998,A,A,116.6018535533649,0
Divorced,African American,India,None,72.63664425696717,B,44.16506132012094,B,C,B,D,D,-115.85070393908168,C,D,123.29643669201889,79.5336198075208,A,B,-7.319023057414414,1
Divorced,Black,India,Yes,2.71995763931,B,-67.02683100360424,A,E,C,E,B,-60.674440521503605,E,D,79.34657392271896,122.8575154282743,C,C,-36.91063001105782,1
Married,Hispanic,UK,Both,-193.89114420319103,B,-154.28539769648287,B,B,E,E,C,-93.10428715973964,A,B,-95.41701764027212,47.480008517564904,C,D,1.7109908057651155,1
Single,Hispanic,Mexico,Physical,-154.46941140817373,E,64.16377175206459,A,B,D,D,A,60.44026693973945,E,B,-150.69681294074292,-104.9784383387224,A,D,-43.092647169095585,1
Widowed,Other,China,No,-8.221032362826938,A,-61.398428968154526,E,B,E,C,B,90.89756543111862,B,A,8.045270418956953,66.96202593102313,E,B,47.985599378380265,0
Divorced,Black,Other,None,6.051147074973784,B,-108.66966799089946,B,E,C,C,D,69.0559118838532,C,D,-60.25220916448934,-83.30930043528323,C,B,-175.99573810967271,1
Married,White,Mexico,Both,46.965173286332,A,36.83812428543656,C,C,E,A,E,44.441573459400274,E,D,-67.63136839208313,103.98633749748811,E,B,76.92023033914145,0
Widowed,African American,US,Both,-12.135698493856971,A,59.552291056215076,C,D,D,B,B,182.53532649313215,A,E,129.13244751699577,10.160225886189385,B,A,150.9894356609724,1
Divorced,Black,US,Yes,-15.443033062722074,C,88.57630669494009,E,A,D,C,C,10.052540364996904,E,B,35.95573018106141,109.92666754876555,C,C,-64.11346342861403,1
Widowed,African American,Brazil,Physical,-0.8092852162499461,A,41.65181674592067,D,E,B,A,E,-68.34235915216557,D,C,-22.709752619621145,-34.1339617201318,E,B,10.573586102066708,0
Single,Asian,Brazil,Yes,8.896162355240161,C,181.77040282747836,C,E,B,D,C,-167.35588393960688,D,A,-2.094925688485428,98.54845558643392,E,A,-68.19947297469385,1
