AGE,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
76,African American,D,96.40806727282771,C,31.635908907724964,26.714521356436205,B,86.62365388444509,D,A,163.90334073644166,E,-9.644844017200418,107.6662515789496,E,D,D,B,E,A,1
41,White,B,-11.103338408211759,D,-70.70340484604529,22.148573543017697,D,9.584705273176123,A,A,167.47026397568865,A,232.8284781334724,356.3375988563823,E,A,E,A,B,E,1
66,White,D,-252.7207611494045,D,-133.13336279716083,-130.6838578303955,D,-207.16612020198951,C,E,-114.68956645351707,C,50.026708892244244,129.26436566194653,C,E,D,E,C,D,0
31,White,C,151.88488406323546,B,-142.4772933228754,-58.63683398305459,D,83.79125938768912,D,D,-39.788064799123795,E,-0.2951153592553888,-100.53398303494046,C,B,A,C,E,B,1
70,White,C,-190.09961783836127,E,5.811591997927024,84.83552892170742,D,-72.0588109931129,D,C,131.73863288693636,C,11.790777394072206,-16.41622436760591,C,C,D,E,C,A,1
29,Other,C,-20.0665546377849,B,-60.272334547549434,48.48917072385817,B,-52.38701028393828,C,B,-68.66672929528073,A,40.32324782231995,-105.613371249428,C,E,B,B,B,C,0
24,White,E,-24.57223300924564,A,-14.159250564253295,-205.1029716936902,E,29.218010417901468,A,D,1.2713785083675462,E,159.18476976269926,111.929174879577,D,B,B,E,D,D,1
43,White,A,23.315978297383758,D,-132.15523782694657,-56.32359967892341,B,37.03957461627802,C,D,-6.4443514106597295,D,72.33567906805263,123.75809794758392,D,E,A,A,A,B,0
55,Black,C,2.3057159897945145,D,-27.659841895341504,42.24701463144602,E,36.69443951348059,E,C,68.16887055911334,B,-4.154652683579062,58.08863412256009,C,E,C,E,A,A,0
77,Hispanic,E,107.93069624376699,B,15.93901810897911,-12.105996605215415,D,122.32832297252408,E,C,26.3259138406778,E,98.22864727037475,12.581748809746927,A,A,C,C,A,E,0
30,Black,A,104.69986282248091,A,139.51463006393152,-29.647465311137594,C,-67.56495182017447,C,A,-75.6622737875903,A,51.16611629157817,-28.405778034834363,C,D,B,E,C,B,0
39,Black,E,29.677317162256962,A,8.465976065547402,-80.57462437097058,C,-12.955475041283337,D,D,-76.2979372512547,A,0.7118607768856317,93.26291189836348,B,C,C,B,C,C,0
53,Other,C,96.02247636687434,D,-48.98142399819196,115.33674328766767,D,-5.462534406473545,D,D,-18.21594642585643,D,-77.80827130681158,73.81009249672064,D,A,D,E,D,E,0
21,Hispanic,D,110.16848656447848,D,183.82695734557498,-8.860771535272367,B,-82.78187188570605,E,B,-110.41346780223284,D,20.824833007511387,15.737133824936503,A,C,E,C,C,C,1
72,White,D,-12.597650602872429,A,95.77010938287287,43.30757178116371,C,-69.9848952786734,A,D,95.5901239035527,C,-9.415384656726932,148.29128129116168,C,D,E,A,B,A,1
42,Asian,B,14.800336593930224,D,-66.44382682286377,80.15700525541078,E,63.3842783710987,C,D,90.53411911870433,D,214.93297773849656,-95.27425879547476,E,C,B,B,D,D,1
43,Black,A,-25.834738965468908,D,123.65903507938798,-28.73762924141765,C,-76.34011040345679,C,E,-23.85260858069548,A,-235.61994454607566,-4.390134417156348,B,C,A,D,A,D,1
50,Black,A,-7.851325230916248,A,206.03624277766124,163.51669300044975,C,-155.36056278555714,B,B,181.13868684956554,A,-230.51239108030455,9.486758302721494,D,A,C,D,A,E,0
33,Black,D,-2.952633762898628,D,4.298441475993901,96.91856774148802,C,-90.98503939200668,E,D,117.02390329589993,B,-43.21461727697265,100.25618784592234,D,D,E,A,D,C,0
28,White,D,-131.5849248058154,D,89.06310364294696,-64.81289445976519,C,-91.12774972247013,A,C,23.8134316939561,B,-24.238959431740355,-95.72218701779633,C,C,E,E,A,E,1
30,African American,D,-63.45256307003242,A,-21.197671191040904,148.71650786109106,B,-32.19775359895436,E,E,176.6727892630609,D,-86.32328158358352,59.64378179201445,C,D,D,E,B,C,1
62,White,C,100.676547292835,E,-0.7066942688981831,-3.1325600123076836,E,-131.24648807110216,E,C,147.43433248305493,E,-82.04623004045521,53.405509219451616,D,A,C,B,B,C,1
70,Asian,B,-38.26751776210287,B,-90.91444998537779,98.73950106879727,E,-68.65351604385226,C,A,-49.51369327877968,D,-65.91487549547954,77.42672160041299,E,B,B,E,E,C,0
37,Hispanic,D,-175.88459375578486,E,-9.885229559908712,-136.11334345371694,D,-64.06992411085888,A,C,-78.87461723869923,E,-11.410126516049926,93.47163915398895,D,D,E,B,E,B,1
24,Hispanic,A,43.75334021922999,B,45.67723508456596,-97.22244081451223,E,57.20347691948935,D,E,84.47216481837884,B,18.884849192106792,55.52853266784141,B,A,C,E,E,C,1
59,Asian,B,87.97322768232655,B,63.63240307260752,-3.625868442827449,E,97.41922814374689,B,B,-42.11834772844694,B,65.56583514376273,-37.68200844898853,D,B,D,A,B,D,0
57,African American,C,128.9691415374734,E,-38.383880451042415,104.61136485062259,E,72.22128886296838,C,A,9.611669975781762,A,109.750539561896,-37.23658778508156,A,B,A,B,C,D,0
51,White,B,-81.53793171973523,B,-17.00231346006337,21.98283749805496,C,28.921169668697456,D,D,123.2188925826867,B,-43.35143862881123,-17.837021620832004,B,C,A,E,D,C,1
25,Hispanic,B,49.6162103612324,E,14.169809700221375,42.15112118555472,B,25.808863237038132,E,B,28.07053693419988,D,101.66033708964679,74.04047805908789,A,A,A,E,A,A,1
53,White,C,-14.601092847623622,B,61.72260021637961,145.1327697017073,D,-144.323473430706,D,B,18.780509208737314,C,-113.07942197215424,46.12891727009105,E,C,B,C,A,B,0
67,Black,B,-72.13747396149196,D,125.51094220605302,-88.56086216160578,A,-158.27868585018874,D,A,184.28347843759917,E,-122.5257611722185,-94.9021775027176,C,D,A,D,D,E,0
24,Other,E,100.58347015176301,B,-43.128689187074116,99.83004518981791,C,49.025179416655455,E,C,98.67175777950511,D,51.73533228968219,-87.3022432459723,C,C,C,C,B,B,0
61,Other,B,75.36719418937233,D,58.421367502581354,-82.13072778906384,E,87.63660416464108,D,B,-8.672523232475767,E,22.66729383547279,63.303963313699285,B,B,B,C,B,A,0
21,Black,D,160.6451360970595,B,-6.8866570677183905,-106.47648965656896,E,-70.62051347490339,B,D,-56.33888394576066,D,98.52009448314652,18.5375543098769,C,D,E,C,E,C,1
58,White,A,-35.405161942815624,C,306.06250014304425,193.8111238301767,D,32.54427680047986,A,D,20.018022365325987,D,61.737571795674796,-138.0067059249683,A,B,E,E,A,E,1
25,Other,B,-2.8403124100268267,C,111.04490859973875,-55.74218293601606,B,-11.390885357905182,E,A,-123.07360121870082,D,-41.44094426623299,-86.5377246490748,E,E,B,B,E,D,0
51,White,D,50.90838647432429,D,21.487841967716196,78.75648766722749,B,42.03833856080868,D,E,81.17271032453701,D,-84.79905807127692,-24.088499305782424,B,C,A,E,D,A,0
37,White,E,30.672807636657517,A,-34.41628866055968,-183.79760489604757,E,-23.467206599506053,B,B,-109.56308442472059,B,148.4178852865258,8.215131692312463,A,A,D,A,D,B,1
74,White,C,-28.79091655281413,C,79.40291210971945,1.6225249862313602,A,-73.49843365171911,C,A,33.326078021032565,A,-52.48871289531063,5.533488754044036,A,D,B,A,A,D,0
30,Asian,E,-19.55548267660236,D,-53.70505664433537,-208.95343049309955,E,101.24512930361975,C,A,-23.20153791404215,D,-75.49551362710353,154.08152838490423,D,A,D,E,B,B,1
39,Asian,B,55.6081361254921,A,-136.21315940116102,132.67095078531753,E,49.68360003318361,B,D,-223.55868417773675,D,32.78777333501869,-18.141446871624606,D,D,B,C,B,E,0
30,Hispanic,B,266.6094330808188,A,36.63557392876169,-100.30312456852992,E,10.285311912464461,E,B,84.93549302179504,E,109.29898179681061,18.623327032468307,B,D,E,D,B,D,0
39,African American,B,-75.75770683719448,C,71.78483192601736,-58.345043968555,D,59.69407260234796,A,B,-81.1130680035416,D,-136.04259442142197,185.1013454925874,A,E,D,E,D,A,1
58,White,B,4.168512166223174,D,-30.60836037741563,23.282525612251213,C,48.67407813714735,C,E,58.50004872726428,D,-94.32979943115105,-71.91824947607475,D,E,A,A,D,B,1
49,Asian,C,76.91674677729256,C,12.454015481690096,35.1256989381631,C,-65.20134068967423,A,A,-79.55009378801118,A,-150.35195394913634,-17.492219184810676,E,D,D,B,B,B,1
34,Hispanic,A,158.9535670414473,C,127.24076833684681,81.37481845603314,A,12.004744759146114,A,B,-40.93659477761598,A,-146.95013369586474,-53.266683873699186,A,D,E,D,A,E,1
63,Hispanic,B,-59.223584946706595,B,154.59856731531897,-29.687845755918147,E,-102.6743395875273,B,B,49.16493941345193,B,-52.72898856070564,5.744400366827456,B,E,C,E,A,B,0
35,African American,D,21.948780142494925,C,80.88828911014136,-10.051424233378079,A,-123.52539495739524,C,C,-60.98233529046795,D,-83.26582887035634,9.434581576990976,D,B,C,B,B,C,1
