Veteran,married,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Non-Veteran,Widowed,62,D,-41.399052413000994,D,-138.12330049389263,-234.20945425309213,169.3771670222499,A,189.77886089449407,137.81378584661223,E,-39.48713049283016,113.86853799828415,63.17906092485476,53.153273309894274,B,47.164391693428584,-142.47806593143238,-70.84718321168145,1
No,Widowed,86,A,125.868116009653,E,65.90363089124467,-67.40140081611268,52.91572559253703,E,-17.360461536743944,84.3761510573923,D,-74.54248773768126,-36.56332318061447,65.2171794289954,179.29226239511019,D,122.02053330206037,-26.333035459938742,44.35263121461993,0
Veteran,Divorced,99,B,-81.68276112725124,E,-67.61275226245273,-24.90086927351576,86.74250307285557,E,-176.87142118592914,34.73764357339304,C,5.9781541534119675,-6.322939406623604,-143.98552742226863,119.78589262233284,D,-38.99643123425378,-56.79915207343913,110.17060861545515,1
No,Widowed,42,E,-82.82673106271017,C,55.27820153260002,-122.44607856307302,31.74952133191125,D,12.471396793288948,-121.75355355365384,C,-95.78350972935615,-78.63961246414628,252.7702597133898,64.91746822587125,A,4.709543141868404,-105.64437926164052,-4.477402368885118,0
Yes,Widowed,29,C,118.45758277344017,D,13.709918824709261,-79.34247956433612,-253.81503034257085,A,-80.00899234320384,-70.27351648347054,A,75.7851071433127,-4.17747170392415,90.47167724986626,88.35108187865423,B,-122.18800251111033,-17.883498405669148,83.36499163560737,0
No,Single,60,D,-54.79903987556545,C,-66.350819869418,62.614738746617405,109.92952252484807,E,-147.61315074026973,18.366912708351656,E,-239.745158579216,8.982915345322724,-144.0721292164435,-143.77867495790522,C,-4.553268879238551,97.24941952653562,39.89305013484865,1
No,Widowed,45,D,176.12545392934877,E,121.60262351354685,-49.59342735615766,37.377187369732056,D,-44.03489498712697,-24.19381469307894,A,-28.214973489518673,66.69717157634108,-100.95323312765763,54.40257914249541,B,53.49772130551989,12.709976086221877,-82.82684159278037,0
Non-Veteran,Divorced,90,A,-31.242517198147212,A,27.618044834425298,-94.77096767772535,13.752344022204607,D,10.208842154768409,46.02403405251706,E,-90.01549484677672,22.69374067724825,74.39738490723158,-9.944191559805784,B,-77.62744370032945,-120.98748885639563,77.10371340864361,0
Veteran,Divorced,84,B,203.2960197017832,E,7.169957340581686,163.41263504728627,112.20069246458473,B,-22.331172109925433,203.45109311152072,B,-79.1686112910038,-47.52547020156558,-142.01280716952127,35.976210052095894,E,59.674263742716875,-161.26441153400086,-86.3389987281721,0
Yes,Widowed,91,B,55.414560879409855,B,30.887101151347657,94.75650177747318,-8.795706235116315,B,25.682571907960057,-2.7841221243878405,C,208.28586855831702,64.87154359107123,116.39106462430733,-195.31873461322488,E,-86.07377487137595,-107.31315936229832,-128.44339833523688,1
Yes,Divorced,18,D,-33.14384402690221,E,-194.56713079870832,56.93965876783085,-11.339544348138679,C,-62.33381460403987,-19.864824729015908,C,-25.85729029105432,17.93385051547593,-44.57959796280594,-115.84180703286002,C,-122.27647378402477,25.78141136854614,35.39304999642439,1
Yes,Married,77,C,46.96215019391017,C,56.482124493320796,-73.83150545511162,-328.752641393695,C,15.387318462832003,-122.70704022208385,E,71.66881289904488,193.0255787214025,-9.167192504370417,-152.82635670918359,E,84.57883042695875,143.56130903084224,74.11657358126764,0
Non-Veteran,Married,79,C,5.012000243031156,B,-18.216143362456744,61.516966765109615,54.22869318655717,C,201.02043396605046,-108.25737100303479,D,-3.5860594482578008,-64.33151859850909,-138.02387053307658,65.1421613650094,C,24.770971674918812,85.56036073710904,-21.419000793240656,0
No,Single,75,D,-86.17476873812376,A,84.19471385591275,64.01687981441937,113.9747387146238,C,-164.79114853239705,255.5835037241108,E,-4.215331169124497,-54.87909070281095,-35.49967293179861,165.5810260120232,A,6.8168171347683995,164.16053866628238,-35.88313958331729,1
No,Married,38,E,-4.415596154776393,B,146.44549561434448,127.71890786908855,-103.20245312890086,D,-67.95304085925746,35.50374550327848,C,-38.369558862317675,-162.97002299915528,33.22230955769999,36.36859048122421,D,-132.79954209998235,-65.83414034983961,-41.49280351836442,1
Yes,Widowed,65,A,-165.67668676486457,B,36.551217705329606,32.146091283855114,-11.093482678386257,E,-150.45306935716954,58.83624097145124,C,30.444671766366362,37.733969458204385,37.91691530925069,-26.51998947112017,C,12.636611113496683,36.65061035081313,-79.50056625209338,0
Non-Veteran,Widowed,41,C,-118.76269369362136,C,84.62736471696526,44.23488292518568,63.050621876981126,D,-53.50574688212305,-12.62847860196371,A,2.439600209157076,-37.661099893032684,122.69567945123865,-88.32746533721041,C,-137.54082074134806,-11.68976825979254,-35.53309317065383,1
No,Divorced,91,E,-9.49699832532513,B,228.47284178344816,41.2400035422169,216.8883369609485,A,-31.352188836114614,76.72928807138707,A,34.42686373839444,80.69210478636796,-95.25659033690658,-19.076021398827397,B,-55.23376489064058,158.79451660769467,-42.82132471394567,1
Veteran,Divorced,79,D,0.9871384384993964,A,85.20409280508821,158.09537799375852,-58.055329065111714,B,-8.597617188592197,-28.769648275099986,C,-3.2674211414189887,-143.13723464188308,125.63973491979606,18.949855662630846,D,36.81087137073637,-98.51781049035085,12.499090213534814,0
Non-Veteran,Married,85,C,6.788374978228133,A,73.90005305362648,-146.43907552627945,-12.463047703913462,A,126.94046860336326,-46.82216056681273,A,-96.45768457771736,-125.05837796126633,196.84317644972745,-88.1242078896171,D,-50.1249184947037,83.29405060826754,205.6421064837457,0
Yes,Widowed,26,A,-94.73362217631227,B,283.7651942074469,-21.587350208873225,-20.940991560769444,E,199.2604759898446,-89.91577481537958,A,-18.13391251825922,89.22951463995607,-140.39726019457203,99.63745712283651,A,30.464313400349262,-172.55818450184233,-12.955371900837099,1
Yes,Divorced,26,C,-20.35371102019891,C,6.322335999971989,-61.772339928270306,53.874873258991705,A,-91.85918301902672,267.9260838384241,C,-16.71385454607133,251.0912220927227,-216.71971727987435,-76.10338818938604,D,-153.1644673742213,-28.220228260071718,55.28776120480685,0
Non-Veteran,Widowed,90,D,34.43056531829592,A,-57.55043278943973,-163.96801446730058,151.65360490988326,D,16.200362099633033,-314.4520848255204,D,2.0848564175143873,104.10908246600046,-151.02882953979798,-57.04636903089234,B,26.752409409323345,-53.36049426649942,-176.81223575351424,0
Veteran,Divorced,74,C,55.81742314931197,E,-22.91170815809519,-35.62627201592253,-130.616917159951,D,56.09118413942803,-238.25011701154764,D,74.24428181866507,2.1534768327451883,63.80329296862429,50.837808638985706,A,-54.07032101761959,-17.886617813900692,25.696726719533714,1
Yes,Married,34,A,-19.466971030997613,D,57.386286641759995,-58.11366599144465,-117.40956305409729,E,-71.36443219659402,-122.08307787065169,D,113.50706515097527,-62.51588372577203,-25.592620741759685,27.7122188819321,D,79.34266780025895,-51.11201847179028,106.71386227490328,1
Yes,Single,55,B,-30.088655839491736,E,141.37563876785663,-18.13063055790554,171.85989155126606,D,103.49431418111004,-31.783374784262154,D,11.795335154216929,96.03341100933531,-146.5185791212285,46.9322048275477,D,88.51250763515337,90.19285481595396,182.68443620011675,0
Veteran,Widowed,65,D,-30.76551311566996,C,-118.55689259089756,12.150811532273355,23.771217336032883,C,-174.37969361427744,-137.52181738069498,D,-80.25610918723575,-61.98199583697344,1.2589956530025304,-141.15861018168815,A,34.39441348771039,55.8131326263288,-117.14603923802605,0
Veteran,Married,99,B,-150.9097038724249,C,31.34855104756603,254.07714780707576,-52.953584287131164,E,-93.460630997412,-9.496498217881909,B,67.53410275394087,170.33070636816637,-128.87208375397066,113.21992321353737,C,6.132882287443022,55.342974122047565,-163.3172784904266,0
Yes,Divorced,68,C,37.15702289845338,A,-113.64729915565952,-93.69925571969821,114.34311356043337,A,-29.51995157346678,-229.59120140542973,E,-219.51872985287042,-142.2805023273464,-212.77890738877056,59.25483369876369,B,-147.67686308468527,-19.181393781255945,-40.76950408799784,1
No,Married,92,A,21.697672133974123,D,-72.59853381075739,-97.7282322332545,-35.688496990592235,D,-6.280706786638862,-49.24141294931285,E,65.86660543086785,6.1988436134924845,40.85013623191391,39.08834675735391,B,13.63068488091424,-45.66380449009737,40.61115452470154,0
Yes,Married,99,B,189.5235859135147,B,-11.942948818208952,125.9645811782072,-30.747740112792055,B,9.115481600441974,-164.16897477365973,D,-181.23722214157897,-103.71564750277442,-93.59982422461096,-119.14505822445524,A,-10.924909385430196,-24.201604217801457,-92.76008931837998,1
Non-Veteran,Widowed,53,A,119.85337563634582,E,93.63139188616687,-38.565638223888485,37.54865499647002,D,-32.0697785801861,67.25859579757963,A,11.855890334911543,29.497723152295556,95.50964147630478,-42.20018526481538,E,165.23145323489803,56.95999036998693,30.066971154884214,1
Yes,Divorced,92,A,60.524212965071065,C,81.30409273188887,54.12163766284912,36.09395544425594,B,20.949509810833476,193.16207689846127,B,-14.447745619265435,70.74719360949533,142.40793777718307,-28.322206238963822,B,93.55561641372856,-62.055558382152284,143.66267353700016,0
No,Divorced,60,B,-72.04807161617086,E,-81.02918451069293,14.999413873215994,52.640191851979836,A,-76.32112808563501,224.7026205640816,B,-31.410128068488408,-1.3524245913302246,22.540236394403813,-26.253679744949622,B,-197.0003305806535,-163.31602791111678,85.56207965480245,1
Yes,Single,77,B,85.37197904291196,B,33.51193520009954,-112.44585393882949,-102.86449393431465,D,120.49450342752183,15.515397601108315,C,47.61640981346865,191.27078885141043,92.410400658056,-31.85476680787977,B,156.9273270980479,-30.195049037815057,18.17905849162904,1
Yes,Single,96,B,56.58448862422338,C,12.223068680532021,-1.9673564326461515,56.16285318802235,C,14.944248377584243,-69.31883463237695,D,37.45172610618929,44.30050884155849,118.40258793153737,-74.6756250011476,E,111.89749037386076,58.85407853951333,52.20720494123664,0
Non-Veteran,Single,37,A,-156.059948551452,E,-6.229809070418704,-50.75778936082175,141.89293796771315,E,126.2636381100909,123.6803064127625,E,40.65711514637864,-28.431216624158367,-94.13852498034252,9.668471136373652,D,-46.81238160337159,25.888206106094902,67.72407659596922,0
