Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Male,B,B,122.62286427556393,153.45959727226114,E,A,-79.68500211566291,C,125.20985120017973,-262.6919340604944,D,40.5564388996308,D,132.19999632405424,-10.267286994572277,D,D,1
Male,A,A,-11.010351689651007,198.11575891721165,B,E,-133.26017609599546,A,6.119539492119572,-47.98492595783219,E,76.25262039458474,A,-78.01407311106765,129.60698344738256,A,A,1
Other,D,B,135.9502594031064,-131.16350182428127,B,C,39.70217958449677,D,229.52857056654662,-33.0191171884404,A,141.11194651885276,E,66.16632979277028,177.0874878986221,D,B,0
Non-binary,A,A,175.05722371034537,-62.74305873731261,C,A,308.9204433034833,E,27.689593841887056,65.66385748656988,D,153.12957407252492,D,-66.52063599464003,-156.8637527235334,D,E,0
Male,A,A,70.46911856845003,-16.98748306264092,C,A,-167.9938573361907,D,-110.44008040514512,-35.53933929418549,D,183.5181102065303,B,192.22920072544335,-192.85780578057967,A,A,1
Non-binary,E,C,188.07288288564132,58.092675218617416,C,D,-150.88492345837253,B,150.30871255380654,-104.02866871146168,E,52.60808683760008,E,122.9963105559571,38.05553653429561,C,B,1
Female,E,A,193.4711450054615,114.0643906893158,B,A,135.6745979118697,A,68.29338946061172,-103.83202063358435,B,47.3733042085401,C,33.778597149319026,-44.55298446170254,D,C,0
Other,E,E,133.83591129994764,-45.04548335630839,D,B,-61.44694520916326,E,15.765416723263995,29.567570281064636,B,-102.94882604522115,D,-19.05487833272497,69.97978901146908,B,E,1
M,C,E,102.11310171626455,-64.84689362466102,D,C,99.45134959424523,B,-44.286928197671664,57.13408565217699,D,48.945902416328686,C,-91.07722733869888,-97.62496865807589,E,C,0
Non-binary,E,C,-145.51706780078527,-78.16820875354912,E,C,46.06858593736572,A,39.09691688646061,3.6504494805482275,E,196.13042332696833,B,61.84712245050636,119.52398073593808,E,B,0
Male,C,B,-123.8626276287178,-58.01214764798311,D,A,-133.5788948218736,D,137.89197218904346,140.935202032318,C,21.001314259077173,C,35.187834547711596,-47.45360158079667,A,D,1
Female,A,A,-37.231399014155656,-99.83933105649484,B,D,20.688848664001895,D,-87.76253992607812,25.962433254668227,D,-57.19964304371544,A,43.520023699529816,-132.95162570746874,D,E,1
Female,D,E,55.23540623284301,133.96434445117455,B,E,62.71618604534349,B,123.52555686285389,-162.43191724170777,B,114.22013886830217,C,111.31994349502877,54.892848818661854,E,B,1
Non-binary,E,A,-38.86989459169774,-22.692770828221892,A,A,32.71877207172578,C,-98.62155648422772,9.83656568374616,A,-34.375643926922365,C,95.11026413017501,232.17802995255173,A,B,0
M,C,B,61.54596448532187,159.99523531307523,C,B,196.97086179248265,A,196.58341838731604,13.890898419333919,B,270.738567642788,D,-77.11049294365013,163.43336273722934,D,E,0
Male,C,C,-33.755743067914,12.858375013201833,A,D,-16.240699020447266,C,21.28674456768983,86.20802667292267,C,-42.4185281322529,D,105.22699664801635,67.40314889204598,E,B,1
M,C,E,-70.76015713213349,-16.34930648524097,E,D,96.72228327365242,C,-4.20972980791753,-30.981841495414052,A,28.953852098823162,E,-23.00260374528983,69.95870131335536,E,E,0
Non-binary,A,E,-98.43784058765779,-375.38328462877945,C,E,-5.631604867342898,E,-30.99870251484188,172.00719676305002,E,-67.13400699523463,A,-107.57291603390682,-8.213072994359894,A,D,0
Male,E,C,-92.67952424966947,-67.04655673412793,D,D,51.13264681669655,C,152.64619451264062,-7.807064743607282,A,-115.48300847552278,A,-13.577584313921614,-170.54893519442652,A,B,1
Male,B,D,90.82333307450462,13.57393996358392,A,B,-105.3553570723337,E,44.86210010190517,-22.689449766845442,C,107.68155661273656,A,206.79425570571715,55.17330317996875,A,E,0
F,B,A,19.720207376216752,-12.431505841905313,C,B,38.51981934307038,C,48.94485917833944,-117.68255636230668,D,104.06919564484612,B,-7.189280963540081,131.16099984020303,B,C,0
Non-binary,C,C,192.06033655004393,-134.5756402991892,E,E,-32.30698205098238,D,-39.984692263232866,-5.143690196008932,A,-112.89863812766913,A,-133.8588425890139,51.29885160391032,E,A,1
Female,C,B,-18.734711816614887,105.07613102739182,E,C,79.12206480048529,B,-231.1368882173057,-60.5115653719171,B,-13.381604409549333,A,44.84832039935306,0.6961323531355353,D,C,1
Other,E,D,163.426990914867,26.233252908485245,D,A,-107.13182687919993,B,-3.2729812089258887,-11.293807956545326,C,141.50997484993837,E,88.85136666118882,191.56504708463567,A,B,0
Non-binary,D,A,127.80306893100743,-59.93581052299225,B,A,-23.907750498169005,B,265.9833288828502,-173.0467740944618,E,-13.066531015849915,A,120.07942879427091,137.55764209500242,D,D,0
M,D,B,-84.45853919137943,-29.783954345661712,E,C,-65.44916046109701,A,53.520098756362856,33.58092855104754,A,-19.91955490291532,E,-22.408592715010055,-39.65965485041642,B,C,1
F,B,B,-129.9126570509215,13.150431950664053,A,D,56.38888920291175,D,-179.16836507550187,124.2481374697648,E,161.25198629794218,D,-72.07724480758415,32.38694975870901,D,D,0
Male,A,E,-3.83718599272874,-20.56365239501152,C,D,-114.50576530105998,B,-6.098610915165568,-40.176520165581906,C,49.578259150415995,C,73.06718441915207,-12.573216123608558,A,E,1
Female,B,E,-23.449380359487634,-21.337527506308252,C,D,-45.719145168488204,B,36.62604113151858,-30.350494320625977,B,13.8515740276349,C,-88.4034335771021,138.50502595455035,B,D,0
Male,E,A,-15.417608889631623,10.733937914981663,A,D,-25.090460069250003,D,214.3694388000491,11.679238775377357,A,-160.97266693263347,E,-152.28922101410328,-106.60647439606737,C,B,0
F,D,A,87.43409851916071,-53.41237888148906,B,A,-111.15071874156432,D,68.1756207556277,62.48708307368882,D,131.31253089385396,A,260.09079409300205,-28.571942018562137,E,A,1
M,D,B,23.396355670599295,-28.74725544479062,E,A,-56.84262104225291,C,-101.32149290207522,-16.284644855849137,C,-13.472507905591268,C,99.91537602038275,-96.56046404657641,D,E,1
Non-binary,A,E,-32.8122012307182,-14.95507029049857,D,B,-143.61124681959956,D,58.83738117063999,-85.18434028442921,C,22.672096082908368,C,5.2277482193460685,-126.4504981023968,C,C,0
Female,C,E,-172.9924396189947,220.80961482700937,D,E,40.68866442384771,A,126.6690423764796,-24.15340557229005,C,233.16828311116473,E,-43.610539547961096,181.0707067179387,E,D,1
Male,B,D,101.91385338959248,68.91033341396121,B,C,-155.00326701565967,C,-117.2475013741402,34.99992970626609,E,-118.32092133453132,A,-36.386092452282796,-74.8243885968611,B,B,1
Male,E,B,182.33400157303993,36.379565380986875,D,C,-121.49231016187609,B,36.83984298676048,-114.09018255241772,C,108.32025864902252,E,-117.60375038865209,19.944675557487844,C,A,0
Female,D,C,-62.69183008483912,27.73175461326321,A,D,-177.10407572846384,D,122.16040254886653,-106.5138378008397,B,-37.282853416132426,D,7.756239354282092,-43.32982188487393,D,E,1
Male,D,B,-14.511513197603284,-48.32472176939424,D,C,226.42383063330075,A,-42.75195164033514,-49.604674173783216,D,-43.20551145868724,B,-68.51472283088727,-40.71869464707441,C,B,0
Male,E,D,99.8970938568298,-141.12300021587566,A,E,-9.695244514589373,A,60.574513936794226,43.38786578826212,B,-81.02753398203232,A,183.28157385876938,18.597506609915605,A,B,1
Non-binary,D,D,-24.664256750743608,72.2922936334186,C,D,-130.22554658961423,D,179.50898133891224,-126.90927239684777,D,-119.26016305001342,A,-96.29399297840735,58.99597947989288,C,A,0
M,D,E,56.22003934331421,-211.86188088607082,E,A,-85.30486005025162,D,-6.85218335607398,113.07445970709608,A,14.674721411377512,C,-29.93652476161476,-140.32225704373607,E,A,0
F,E,C,-134.74374157759374,-39.12425788278465,E,D,44.18093741971408,B,-10.826469611422434,116.57182307669875,B,34.50590230941381,B,63.037037741771314,59.969199434969056,B,E,1
Other,E,B,-153.15563250312005,-31.791195821526664,D,A,74.76130624071904,B,127.5918917908159,48.095522108783264,D,5.729339534428591,D,42.2438452814459,43.47367432223657,C,C,0
M,D,C,-132.23807193627007,24.425430388014817,D,E,152.3510183719775,C,-46.4919395449848,-36.171303935472636,D,-1.416976505612713,C,-46.32889204090651,129.07788361843237,E,B,0
M,D,E,-240.14109229754715,124.73920056140241,C,E,74.96516132112806,B,-39.82629816608468,-61.74566195761376,D,-20.895326194815766,C,53.11484728695741,91.79829123635537,A,A,1
Female,D,A,-234.04253942378625,-115.3687339276148,C,C,-65.45696884986752,A,-181.78203547551502,109.70232738696086,A,-42.24844009798494,D,259.02378262215973,127.47114396873734,D,B,0
Other,D,E,54.3840657661633,82.54051672832362,B,A,16.22234704975417,E,28.988568843246586,-126.10120529879643,E,0.39776736379283134,B,-52.25160854398108,24.51824543388877,A,D,0
Non-binary,B,E,-6.709174757182866,243.06727322238513,C,B,-1.2318103386335695,D,61.5603749340989,-60.25297995357358,D,-80.84642945116654,B,-58.393294401768124,49.78065556092797,C,E,0
F,C,E,-1.2825719095812982,-7.475196076836131,A,D,62.158467515075124,B,-105.95025670214311,-4.020874844555459,E,33.208996059443066,C,-44.27852394026485,-20.521455231368112,A,B,0
F,E,C,64.33760894042373,76.10080512958933,B,E,-86.15789578436764,C,-7.2979260053740544,51.18514835496596,D,56.07345943895423,C,-39.254190239445194,-30.74291271908226,D,C,0
F,A,C,-165.1475164390259,-94.70386893759488,E,E,-45.86171003333133,E,-58.467264473918156,23.95328805511187,C,2.169257449766797,D,-26.51304472002337,-125.76389874465129,A,C,0
Male,B,D,-49.35571945569704,31.917352107878312,E,B,-4.434964066713671,D,-25.540501696817703,95.84829847271799,A,-64.91925903991557,D,172.06732334453255,-217.75397051200903,E,C,0
Female,C,B,-127.17821377259581,29.60525124786388,E,B,38.142178389108366,D,-213.6191576086008,-101.83238693959981,C,-107.13203428092196,B,93.62777967720142,31.918702694127184,E,E,0
Non-binary,B,C,-126.60104030416872,41.705344269400676,D,B,43.1463389992657,E,179.81685169115246,-71.3922092669593,B,15.576201773481927,E,-29.001946449597483,-6.826784244070019,E,B,0
Male,D,C,181.0346605518221,62.94093928076414,B,D,15.524768053760237,E,-6.115515832616815,196.65650325922687,C,31.894097810420824,D,15.02449469829278,107.19471415991464,C,C,0
Non-binary,D,B,-137.36274598459426,-46.255661683259035,C,D,-66.45246371397775,B,72.57184492088437,-23.701631042106655,C,-33.30453389078203,C,77.18221615810441,117.92844825061096,A,B,0
F,D,E,-115.19582708059734,-13.993901118678496,B,D,-127.30986148590202,A,122.19701449139053,-89.15061943707609,A,-39.98020016392805,E,124.06402675753137,115.97290646669451,B,E,0
M,A,E,40.1397891705089,61.188303289064585,C,A,-123.00007142102001,A,-121.55250852954043,-118.35392935546638,E,-184.14379345595083,E,-148.74337855409195,-25.761234965355186,B,B,0
Other,A,C,-59.7607925291751,16.08610340584952,A,B,52.6747638451547,A,-86.34522550259638,-110.4646437649573,C,195.66140878936628,E,31.682644537995326,125.81122760629123,E,A,1
F,C,B,-7.180627762193602,-0.17167458719208448,E,A,-87.748509143546,D,5.287434244123914,67.37641867973657,E,31.847669635683708,A,37.049367885083356,132.606328274802,E,B,0
Female,B,E,-117.94626179551544,14.912723818954946,D,B,-25.042060794587506,B,149.21262677568456,-116.8218757371894,E,-25.242701748802155,C,-133.79518704315657,23.057187933281064,B,D,1
Female,D,C,-81.68065325298248,33.262620959892644,E,B,-66.36041831042398,B,103.7416625770635,29.6424436126962,B,27.998934142671022,A,-19.48480459191335,-131.20994912802243,C,A,0
F,D,C,35.5232901792535,-120.9914196088399,C,E,99.49075631803854,B,79.74887092456623,-21.877250342379895,E,-46.60188670270722,B,45.81693389889015,-83.7779187897264,A,B,0
Non-binary,B,A,166.86973995101928,0.4247778149996475,B,E,-62.218044435669164,A,-50.10344800481717,-165.70214245429779,D,93.78850377184091,C,157.2746053146976,-17.574092697365604,B,D,1
M,D,A,-115.3856414437207,208.4388208021138,D,E,-179.69733969933685,E,129.31096412654358,-35.431544985272865,A,-77.31592481219253,D,-88.35222840831358,-143.04017066899743,A,C,1
Male,A,B,-229.51171000838008,61.29017280238048,D,C,-167.35798097438362,D,-10.09129965087826,65.84755992474601,E,101.43451716104886,A,134.63548920375536,18.701664452413596,A,C,1
Other,A,A,-398.43038727948056,-119.09664145316918,E,D,-52.83629574582193,D,-45.624914210013976,-212.87833453861592,D,-74.49233347215612,D,-116.46263994453288,86.63279633512745,E,C,0
Female,B,B,115.31413842695153,19.542330964631407,B,B,-25.81811739739697,B,19.775758899853088,-42.12509156327818,B,-65.17586583738267,A,-69.64946321873391,2.425566314833287,E,B,0
Male,A,A,-50.067334732281935,13.482787320645626,B,E,-121.38495732294973,C,128.5315582134504,17.7538921952349,D,-81.4340753115327,D,-100.56354299113121,-25.89145420437004,D,D,0
Other,C,B,166.69804868706487,104.09421035412205,C,B,75.73290699031779,E,18.508210633571316,99.80100223158547,C,-185.58870697667436,E,-126.30148018102909,-115.67142422695524,D,B,1
M,D,C,30.32272267912306,-77.03436826968165,E,E,0.4822745370007295,A,-90.89272751083908,-32.96937261775233,E,-10.915734041451627,C,50.23943307613406,114.34667711009516,B,D,1
Female,E,A,78.43827163201288,-66.74337926536347,C,A,-132.9386286666746,E,81.39846090128123,85.961540181736,C,-91.57109881600525,D,-102.84700628221614,-36.332478488170246,B,D,1
Non-binary,B,A,72.50092533379025,18.714925732491643,A,D,-68.19631613019823,E,139.8678396795534,30.543641583044533,D,-25.704665934217175,B,-7.890222645897155,-127.52971087478966,B,E,1
