nationality,Religion,age_range,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Other,Hindu,65+,69,-114.42379740451538,-77.58240509742109,E,89.66525052072451,8.262869226624218,D,C,29.685980986423132,A,1
Mexico,Christian,36-50,70,-9.989758006501303,-133.9057440297052,B,-7.138348211457651,-18.84434546633541,B,D,43.9340704245905,B,1
China,Jewish,51-65,52,-73.55782565439691,110.39996268356833,D,157.06884254902843,107.00905794596322,A,A,-41.231507829795916,E,1
China,Christian,65+,52,-93.29257835814714,251.01865108812223,B,-144.4610585487465,-37.478544036772234,C,A,3.670159786038791,D,1
Mexico,Hindu,65+,18,135.40145735514025,-42.90255148210185,E,122.54857516895284,35.2733777857159,C,E,-113.78681295183732,E,1
Other,Christian,51-65,75,134.82539012049796,49.40033934927478,C,-89.32950560290246,-2.4221736680075763,A,D,-190.07583438405337,E,0
Other,Muslim,26-35,68,-31.28961556491312,44.82954468728335,C,-24.46535994537179,-32.39530002242217,A,B,-111.0296918397508,E,1
US,Buddhist,18-25,39,106.70751209620828,-178.51094722597597,B,-70.94260489392576,80.89811004693374,C,B,-19.060889690238234,C,1
US,Christian,18-25,30,58.78362334271715,31.119695557670973,B,-26.26746010875742,-74.11531963278814,C,C,-37.97492691835303,E,1
Other,Other,26-35,48,-90.82844126015556,-234.1370126895638,D,21.964603084111076,32.26170454446296,D,C,127.96883531865322,A,0
India,None,36-50,26,-10.272340754995572,-144.90349999332312,A,73.07745288141196,7.441042076919488,E,D,77.67959540462637,B,0
China,Muslim,36-50,76,13.501884546728803,52.81650411985757,D,-77.13424047271943,11.061476018920056,B,E,65.54334651832112,A,0
UK,Hindu,51-65,49,-78.63003337744863,137.4528356944621,A,46.186202764810226,-188.44447283771274,B,D,-242.11646019015203,D,1
US,Muslim,65+,69,-98.95710128681658,32.89740076721838,A,142.16769093750176,-118.86652338918122,E,A,9.83654339067558,C,1
US,Jewish,65+,25,-61.29038987054726,139.84088812183663,C,-53.639421972572755,109.54438755134387,C,A,21.10953728605862,D,0
Germany,Buddhist,18-25,59,-41.96264461173522,-106.47371064521198,D,-81.12728486238503,-45.008655140496515,C,B,73.37047808033851,D,0
UK,None,36-50,25,-71.85628139068307,1.0684201192723803,B,171.06671465537772,-9.14099876977371,C,E,17.443858555695037,E,1
US,Other,65+,51,-94.86838290284373,-65.5634985400058,C,-177.24008117075485,140.85268556404864,B,E,-93.82578999208422,E,0
Other,None,36-50,53,-2.846904067180765,-133.88970782542143,A,-59.830627522288424,-18.98659897652692,E,D,36.83968955878681,C,0
Germany,Muslim,26-35,38,192.75797578486444,-172.52674793424535,A,-308.22242259721304,-88.39569857027834,C,A,-180.65604525973876,B,0
India,Muslim,26-35,26,44.69172080698925,56.578191773144496,D,-70.71826075865386,53.5238376368207,C,A,11.938946770972631,D,1
Brazil,Buddhist,65+,30,-90.8613404158759,-34.053888781100945,A,-102.33754641788077,-4.468244172778126,A,E,6.5932717024518475,C,1
Other,Muslim,18-25,36,22.021923440498018,39.897957303113856,B,28.98889856610987,-63.89943781699328,C,C,58.29581896275052,C,0
